,LLM_o_library_o_human_epoch_20241013_234441,LLM_o_library_o_human_epoch_20241013_234439,LLM_o_library_o_human_epoch_20241013_232256,LLM_o_library_o_human_average,our_w_library_o_human_epoch_20241014_050125,our_w_library_o_human_epoch_20241014_050122,our_w_library_o_human_epoch_20241014_050123,our_w_library_o_human_average
cdl_dataset/dataset/Change_TV_channel/g2.txt,0.0,1.0,0.0,0.333,0.0,0.0,0.0,0.0
cdl_dataset/dataset/Change_TV_channel/g3.txt,0.667,0.0,0.667,0.445,0.667,0.667,0.667,0.667
cdl_dataset/dataset/Clean_the_bathroom/g1.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cdl_dataset/dataset/Clean_the_bathroom/g2.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cdl_dataset/dataset/Cook_some_food/g1.txt,0.205,0.051,0.0,0.085,0.196,1.0,0.667,0.621
cdl_dataset/dataset/Cook_some_food/g2.txt,0.697,0.455,1.0,0.717,1.0,1.0,1.0,1.0
cdl_dataset/dataset/Cook_some_food/g3.txt,0.067,0.067,0.0,0.045,0.0,0.533,0.0,0.178
cdl_dataset/dataset/Cook_some_food/g4.txt,0.067,0.306,0.1,0.158,0.0,0.933,0.0,0.311
cdl_dataset/dataset/Drink/g1.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cdl_dataset/dataset/Drink/g2.txt,0.0,1.0,0.0,0.333,1.0,0.286,0.333,0.54
cdl_dataset/dataset/Drink/g3.txt,0.429,0.429,0.048,0.302,0.333,1.0,1.0,0.778
cdl_dataset/dataset/Drink/g4.txt,0.312,0.438,0.312,0.354,0.438,1.0,1.0,0.813
cdl_dataset/dataset/Drink/g5.txt,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.667
cdl_dataset/dataset/Iron_clothes/g1.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdl_dataset/dataset/Iron_clothes/g2.txt,0.167,0.0,0.0,0.056,0.0,0.0,0.667,0.222
cdl_dataset/dataset/Iron_clothes/g3.txt,0.074,0.074,0.074,0.074,0.0,0.037,0.037,0.025
