,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average",best_method
cdl_dataset/dataset/Change_TV_channel/g2.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Change_TV_channel/g3.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Clean_the_bathroom/g1.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Clean_the_bathroom/g2.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Cook_some_food/g1.txt,0.385,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Cook_some_food/g2.txt,0.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Cook_some_food/g3.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Cook_some_food/g4.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Drink/g1.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Drink/g2.txt,0.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Drink/g3.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Drink/g4.txt,0.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Drink/g5.txt,1.0,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Iron_clothes/g1.txt,0.727,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
cdl_dataset/dataset/Iron_clothes/g2.txt,0.636,"('main_with_guidance', '/Users/liupeiqi/workshop/Research/Instruction_Representation/lpq/Concepts/projects/crow/examples/06-virtual-home/log/main_with_guidance/epoch.csv')_average"
