,LLM_o_library_o_human_average,our_w_library_o_human_average,max_avg_success
cdl_dataset/dataset/Iron_clothes/g1.txt,0.0,0.0,0.0
cdl_dataset/dataset/Iron_clothes/g5.txt,0.049,0.012,0.049
cdl_dataset/dataset/Prepare_dinner/g2.txt,0.022,0.067,0.067
cdl_dataset/dataset/Iron_clothes/g3.txt,0.074,0.025,0.074
cdl_dataset/dataset/Iron_clothes/g4.txt,0.089,0.044,0.089
cdl_dataset/dataset/Pet_cat/g5.txt,0.111,0.0,0.111
cdl_dataset/dataset/Prepare_breakfast/g4.txt,0.0,0.116,0.116
cdl_dataset/dataset/Wash_clothes/g2.txt,0.027,0.12,0.12
cdl_dataset/dataset/Prepare_breakfast/g2.txt,0.133,0.067,0.133
cdl_dataset/dataset/Cook_some_food/g3.txt,0.045,0.178,0.178
cdl_dataset/dataset/Vacuum_the_living_room/g1.txt,0.222,0.111,0.222
cdl_dataset/dataset/Iron_clothes/g2.txt,0.056,0.222,0.222
cdl_dataset/dataset/Wash_windows/g2.txt,0.222,0.0,0.222
cdl_dataset/dataset/Make_coffee/g2.txt,0.246,0.053,0.246
cdl_dataset/dataset/Cook_some_food/g4.txt,0.158,0.311,0.311
cdl_dataset/dataset/Prepare_dinner/g3.txt,0.311,0.267,0.311
cdl_dataset/dataset/Pet_cat/g1.txt,0.0,0.333,0.333
cdl_dataset/dataset/Change_TV_channel/g2.txt,0.333,0.0,0.333
cdl_dataset/dataset/Prepare_dinner/g1.txt,0.392,0.216,0.392
cdl_dataset/dataset/Put_groceries_in_Fridge/g1.txt,0.174,0.42,0.42
cdl_dataset/dataset/Wash_dishes_with_dishwasher/g2.txt,0.439,0.333,0.439
cdl_dataset/dataset/Prepare_a_reading_space/g2.txt,0.444,0.222,0.444
cdl_dataset/dataset/Write_an_email/g3.txt,0.445,0.444,0.445
cdl_dataset/dataset/Prepare_dinner/g4.txt,0.037,0.454,0.454
cdl_dataset/dataset/Put_groceries_in_Fridge/g2.txt,0.444,0.459,0.459
cdl_dataset/dataset/Listen_to_music/g1.txt,0.5,0.333,0.5
cdl_dataset/dataset/Wash_windows/g1.txt,0.0,0.5,0.5
cdl_dataset/dataset/Pet_cat/g2.txt,0.518,0.278,0.518
cdl_dataset/dataset/Drink/g2.txt,0.333,0.54,0.54
cdl_dataset/dataset/Cook_some_food/g1.txt,0.085,0.621,0.621
cdl_dataset/dataset/Wash_dishes_with_dishwasher/g3.txt,0.625,0.653,0.653
cdl_dataset/dataset/Change_TV_channel/g3.txt,0.445,0.667,0.667
cdl_dataset/dataset/Listen_to_music/g2.txt,0.667,0.667,0.667
cdl_dataset/dataset/Pet_cat/g4.txt,0.555,0.667,0.667
cdl_dataset/dataset/Write_an_email/g2.txt,0.667,0.333,0.667
cdl_dataset/dataset/Prepare_a_reading_space/g4.txt,0.722,0.355,0.722
cdl_dataset/dataset/Prepare_a_reading_space/g3.txt,0.555,0.722,0.722
cdl_dataset/dataset/Prepare_a_reading_space/g1.txt,0.667,0.75,0.75
cdl_dataset/dataset/Wash_clothes/g4.txt,0.366,0.756,0.756
cdl_dataset/dataset/Drink/g3.txt,0.302,0.778,0.778
cdl_dataset/dataset/Wash_clothes/g3.txt,0.667,0.778,0.778
cdl_dataset/dataset/Pet_cat/g3.txt,0.121,0.788,0.788
cdl_dataset/dataset/Drink/g4.txt,0.354,0.813,0.813
cdl_dataset/dataset/Make_coffee/g1.txt,0.833,0.083,0.833
cdl_dataset/dataset/Turn_on_light/g2.txt,0.667,0.833,0.833
cdl_dataset/dataset/Prepare_breakfast/g1.txt,0.222,0.867,0.867
cdl_dataset/dataset/Clean_the_bathroom/g1.txt,1.0,1.0,1.0
cdl_dataset/dataset/Write_an_email/g1.txt,1.0,1.0,1.0
cdl_dataset/dataset/Clean_the_bathroom/g2.txt,1.0,1.0,1.0
cdl_dataset/dataset/Cook_some_food/g2.txt,0.717,1.0,1.0
cdl_dataset/dataset/Drink/g1.txt,1.0,1.0,1.0
cdl_dataset/dataset/Wash_dishes_with_dishwasher/g1.txt,0.583,1.0,1.0
cdl_dataset/dataset/Wash_clothes/g1.txt,0.016,1.0,1.0
cdl_dataset/dataset/Drink/g5.txt,1.0,0.667,1.0
cdl_dataset/dataset/Turn_on_light/g3.txt,1.0,1.0,1.0
cdl_dataset/dataset/Turn_on_light/g1.txt,1.0,1.0,1.0
cdl_dataset/dataset/Put_groceries_in_Fridge/g4.txt,0.5,1.0,1.0
cdl_dataset/dataset/Put_groceries_in_Fridge/g3.txt,0.203,1.0,1.0
cdl_dataset/dataset/Prepare_a_reading_space/g5.txt,1.0,0.833,1.0
cdl_dataset/dataset/Prepare_breakfast/g3.txt,0.467,1.0,1.0
cdl_dataset/dataset/make_up_bed/g3.txt,0.619,1.0,1.0
