Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Drink/g2.txt,Get a cup of water and freeze it.,[],"Time consume: 127 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 9
goal correct times: 2
","Keystate: k1 - Requires: 7 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Pet_cat/g3.txt,"Prepare a bowl of water and put the bowl on the table in home office. Then find my cat put it on the
 table.","['walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(closetdrawer_154)', 'w
alk_executor(closetdrawer_382)', 'walk_executor(wallshelf_35)', 'walk_executor(wallshelf_234)', 'wal
k_executor(wallshelf_235)', 'walk_executor(table_226)', 'walk_executor(bowl_2071)', 'grab_executor(b
owl_2071)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_4
3)', 'walk_executor(table_355)', 'put_executor(bowl_2071, table_355)', 'walk_executor(cat_2055)', 'g
rab_executor(cat_2055)', 'walk_executor(table_355)', 'put_executor(cat_2055, table_355)']","Time consume: 168 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 2
goal generate times: 4
goal correct times: 0
",1,Scene_id: 0
cdl_dataset/dataset/Wash_dishes_with_dishwasher/g1.txt,wash all the bowls and the plates with dishwasher,"['walk_executor(kitchen_counter_230)', 'walk_executor(tray_296)', 'walk_executor(cupboard_229)', 'op
en_executor(cupboard_229)', 'walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001)', 'wal
k_executor(pot_2069)', 'open_executor(pot_2069)', 'walk_executor(couch_352)', 'walk_executor(table_2
26)', 'walk_executor(bowl_2071)', 'walk_executor(bowl_2072)', 'walk_executor(table_226)', 'walk_exec
utor(bowl_2071)', 'walk_executor(bowl_2072)', 'walk_executor(table_107)', 'walk_executor(bowl_2071)'
, 'walk_executor(bowl_2072)', 'walk_executor(table_355)', 'walk_executor(bowl_2071)', 'walk_executor
(bowl_2072)', 'walk_executor(coffee_table_2068)', 'walk_executor(bowl_2071)', 'walk_executor(bowl_20
72)', 'walk_executor(sink_231)', 'walk_executor(bowl_2071)', 'walk_executor(bowl_2072)', 'walk_execu
tor(plate_1000)', 'grab_executor(plate_1000)', 'walk_executor(dishwasher_1001)', 'put_executor(plate
_1000, dishwasher_1001)', 'walk_executor(plate_1000)', 'grab_executor(plate_1000)', 'walk_executor(d
ishwasher_1001)', 'putin_executor(plate_1000, dishwasher_1001)', 'walk_executor(bowl_2071)', 'grab_e
xecutor(bowl_2071)', 'walk_executor(dishwasher_1001)', 'putin_executor(bowl_2071, dishwasher_1001)',
 'walk_executor(bowl_2072)', 'grab_executor(bowl_2072)', 'walk_executor(dishwasher_1001)', 'putin_ex
ecutor(bowl_2072, dishwasher_1001)', 'close_executor(dishwasher_1001)', 'switchon_executor(dishwashe
r_1001)']","Time consume: 763 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 5
goal generate times: 6
goal correct times: 0
",1,Scene_id: 0
cdl_dataset/dataset/Prepare_dinner/g3.txt,Cook bacon with the frying pan.,"['walk_executor(kitchen_counter_230)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)'
, 'open_executor(fridge_289)', 'grab_executor(food_bacon_2010)', 'walk_executor(fryingpan_2083)', 'p
utin_executor(food_bacon_2010, fryingpan_2083)', 'grab_executor(fryingpan_2083)', 'walk_executor(sto
ve_2065)', 'put_executor(fryingpan_2083, stove_2065)', 'switchon_executor(stove_2065)']","Time consume: 75 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 5
goal generate times: 4
goal correct times: 0
","Keystate: k1 - Requires: 4 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Clean_the_bathroom/g1.txt,Clean the bathroom sink directly.,"['walk_executor(sink_42)', 'wipe_executor(sink_42) (Failed)', 'wash_executor(sink_42)']","Time consume: 24 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 6
goal generate times: 2
goal correct times: 0
",1,Scene_id: 0
cdl_dataset/dataset/Put_groceries_in_Fridge/g4.txt,"Cut the chicken into pieces, then put back to the fridge.","['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_e
xecutor(kitchen_counter_230)', 'walk_executor(food_chicken_2017)', 'grab_executor(food_chicken_2017)
', 'walk_executor(cutting_board_2051)', 'put_executor(food_chicken_2017, cutting_board_2051)', 'walk
_executor(knife_2050)', 'grab_executor(knife_2050)', 'walk_executor(food_chicken_2017)', 'cut_execut
or(food_chicken_2017)', 'grab_executor(food_chicken_2017)', 'walk_executor(fridge_289)', 'putin_exec
utor(food_chicken_2017, fridge_289)', 'close_executor(fridge_289)']","Time consume: 131 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 7
goal generate times: 6
goal correct times: 0
",1,Scene_id: 0
cdl_dataset/dataset/Write_an_email/g1.txt,Turn on the computer in home office.,"['walk_executor(computer_170)', 'switchon_executor(computer_170)']","Time consume: 15 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 7
goal generate times: 1
goal correct times: 0
","Keystate: k1 - Requires: 2 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Pet_cat/g1.txt,Find my cat and touch it,"['walk_executor(couch_352)', 'walk_executor(cat_2055)', 'touch_executor(cat_2055)']","Time consume: 27 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 7
goal generate times: 2
goal correct times: 0
",Action Completion Rate: 0.0,Scene_id: 0
cdl_dataset/dataset/Turn_on_light/g3.txt,Make sure there is at least one light on in every room.,"['walk_executor(bathroom_1)', 'walk_executor(bedroom_67)', 'walk_executor(dining_room_201)', 'walk_e
xecutor(home_office_319)', 'walk_executor(bathroom_1)', 'walk_executor(bedroom_67)', 'walk_executor(
dining_room_201)', 'walk_executor(home_office_319)', 'walk_executor(light_64)', 'switchon_executor(l
ight_64)', 'walk_executor(light_169)', 'switchon_executor(light_169)', 'walk_executor(light_245)', '
switchon_executor(light_245)', 'walk_executor(light_411)', 'switchon_executor(light_411)']","Time consume: 127 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 10
goal generate times: 8
goal correct times: 0
",1,Scene_id: 0
cdl_dataset/dataset/Prepare_a_reading_space/g5.txt,"Find my spectacles and put it on the coffe table in home office. Then find the book and put it on th
e coffe table in home office.","['walk_executor(closetdrawer_154)', 'walk_executor(closetdrawer_150)', 'walk_executor(closetdrawer_3
82)', 'walk_executor(spectacles_2082)', 'grab_executor(spectacles_2082)', 'walk_executor(coffee_tabl
e_2068)', 'put_executor(spectacles_2082, coffee_table_2068)', 'walk_executor(book_2066)', 'grab_exec
utor(book_2066)', 'walk_executor(coffee_table_2068)', 'put_executor(book_2066, coffee_table_2068)']","Time consume: 69 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 10
goal generate times: 2
goal correct times: 2
","Keystate: k1 - Requires: 8 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Prepare_breakfast/g2.txt,Syntax Error,"['walk_executor(kitchen_counter_230)', 'walk_executor(fryingpan_2083)', 'grab_executor(fryingpan_208
3)', 'walk_executor(stove_2065)', 'put_executor(fryingpan_2083, stove_2065)']","Time consume: 110 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 10
goal generate times: 5
goal correct times: 2
","Keystate: k1 - Requires: 12 steps
Keystate: k2 - Requires: 12 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Cook_some_food/g1.txt,Boil vegetables with a pot on the stove.,"['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_e
xecutor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(kitchen_counter_230)', 'walk_e
xecutor(pot_2069)', 'grab_executor(pot_2069)', 'walk_executor(faucet_43)', 'switchon_executor(faucet
_43)', 'switchoff_executor(faucet_43)', 'walk_executor(stove_2065)', 'put_executor(pot_2069, stove_2
065)', 'open_executor(pot_2069)', 'walk_executor(food_vegetable_2041)', 'grab_executor(food_vegetabl
e_2041)', 'walk_executor(pot_2069)', 'putin_executor(food_vegetable_2041, pot_2069)', 'walk_executor
(stove_2065)', 'switchon_executor(stove_2065)']","Time consume: 145 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 10
goal generate times: 7
goal correct times: 0
","Keystate: k1 - Requires: 9 steps
Keystate: k2 - Requires: 8 steps
Action Completion Rate: 1.0",Scene_id: 0
