Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Iron_clothes/g1.txt,Syntax Error,"['walk_executor(ironing_board_2074)', 'walk_executor(iron_2089)', 'plugin_executor(iron_2089)', 'gra
b_executor(iron_2089)', 'walk_executor(powersocket_246)', 'put_executor(iron_2089, powersocket_246)'
, 'walk_executor(iron_2089)', 'switchon_executor(iron_2089)', 'walk_executor(closetdrawer_146)', 'wa
lk_executor(hanger_132)', 'walk_executor(phone_247)', 'walk_executor(hanger_115)', 'walk_executor(ha
nger_114)', 'walk_executor(hanger_140)', 'walk_executor(bathtub_30)', 'walk_executor(basket_for_clot
hes_2006)', 'grab_executor(clothes_skirt_2088)', 'walk_executor(ironing_board_2074)', 'put_executor(
clothes_skirt_2088, ironing_board_2074)']","Time consume: 137 seconds
Exp_helper query times: 1
Guidance query times: 1
library scale: 0
goal generate times: 4
goal correct times: 1
","Keystate: k1 - Requires: 4 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Prepare_a_reading_space/g4.txt,Syntax Error,"['walk_executor(bookshelf_354)', 'open_executor(bookshelf_354)', 'walk_executor(book_2066)', 'grab_e
xecutor(book_2066)', 'walk_executor(coffee_table_2068)', 'put_executor(book_2066, coffee_table_2068)
']","Time consume: 130 seconds
Exp_helper query times: 0
Guidance query times: 1
library scale: 0
goal generate times: 4
goal correct times: 2
","Keystate: k1 - Requires: 3 steps
Keystate: k2 - Requires: 16 steps
Keystate: k3 - Requires: 10 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Prepare_breakfast/g2.txt,Scramble egg by the fryingpan.,"['walk_executor(kitchen_counter_230)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)'
, 'open_executor(fridge_289)', 'grab_executor(food_egg_2020)', 'walk_executor(fryingpan_2083)', 'put
_executor(food_egg_2020, fryingpan_2083)', 'grab_executor(fryingpan_2083)', 'walk_executor(stove_206
5)', 'put_executor(fryingpan_2083, stove_2065)', 'switchon_executor(stove_2065)']","Time consume: 62 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 1
","Keystate: k1 - Requires: 6 steps
Keystate: k2 - Requires: 4 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Pet_cat/g4.txt,Wash my cat in a sink,"['walk_executor(couch_352)', 'walk_executor(cat_2055)', 'grab_executor(cat_2055)', 'walk_executor(si
nk_42)', 'put_executor(cat_2055, sink_42)', 'walk_executor(cat_2055)', 'grab_executor(cat_2055)', 'w
alk_executor(sink_42)', 'putin_executor(cat_2055, sink_42)', 'walk_executor(faucet_43)', 'switchon_e
xecutor(faucet_43)', 'walk_executor(cat_2055)', 'wash_executor(cat_2055)']","Time consume: 126 seconds
Exp_helper query times: 0
Guidance query times: 1
library scale: 2
goal generate times: 5
goal correct times: 3
",1,Scene_id: 0
cdl_dataset/dataset/Change_TV_channel/g1.txt,Turn on the TV by touching the remote control.,"['walk_executor(couch_352)', 'walk_executor(remote_control_2052)', 'grab_executor(remote_control_205
2)', 'walk_executor(television_248)', 'switchon_executor(television_248)']","Time consume: 21 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 2
goal generate times: 1
goal correct times: 0
",Action Completion Rate: 0.0,Scene_id: 0
cdl_dataset/dataset/Drink/g5.txt,Use pot to boil some water.,"['walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'walk_executor(cupboard_229)', 'open_ex
ecutor(cupboard_229)', 'walk_executor(ceilinglamp_224)', 'walk_executor(kitchen_counter_230)', 'walk
_executor(pot_2069)', 'grab_executor(pot_2069)', 'walk_executor(faucet_43)', 'switchoff_executor(fau
cet_43)', 'walk_executor(stove_2065)', 'put_executor(pot_2069, stove_2065)', 'switchon_executor(stov
e_2065)']","Time consume: 46 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 2
goal generate times: 1
goal correct times: 0
","Keystate: k1 - Requires: 6 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Pet_cat/g3.txt,"Prepare a bowl of water and put the bowl on the table in home office. Then find my cat put it on the
 table.","['walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(couch_352)', 'walk_exe
cutor(hanger_369)', 'walk_executor(sink_231)', 'walk_executor(sink_42)', 'walk_executor(filing_cabin
et_399)', 'open_executor(filing_cabinet_399)', 'walk_executor(table_226)', 'walk_executor(bowl_2071)
', 'grab_executor(bowl_2071)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'switchof
f_executor(faucet_43)', 'walk_executor(table_355)', 'put_executor(bowl_2071, table_355)', 'walk_exec
utor(cat_2055)', 'grab_executor(cat_2055)', 'walk_executor(table_355)', 'put_executor(cat_2055, tabl
e_355)']","Time consume: 194 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 4
goal generate times: 3
goal correct times: 2
",1,Scene_id: 0
cdl_dataset/dataset/Prepare_dinner/g1.txt,Syntax Error,"['walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(bench_227)', 'walk_exe
cutor(stove_2065)', 'open_executor(stove_2065)', 'walk_executor(pot_2069)', 'grab_executor(pot_2069)
', 'walk_executor(sink_42)', 'putin_executor(pot_2069, sink_42)', 'walk_executor(faucet_43)', 'switc
hon_executor(faucet_43)', 'walk_executor(pot_2069)', 'grab_executor(pot_2069)', 'walk_executor(stove
_2065)', 'put_executor(pot_2069, stove_2065)', 'close_executor(stove_2065)', 'switchon_executor(stov
e_2065)']","Time consume: 129 seconds
Exp_helper query times: 0
Guidance query times: 1
library scale: 4
goal generate times: 4
goal correct times: 1
","Keystate: k1 - Requires: 14 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Wash_dishes_with_dishwasher/g2.txt,Put cleaning solution in the dishwasher. Then wash the bowls and the plates with dishwasher.,"['walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(filing_cabinet_399)', 
'open_executor(filing_cabinet_399)', 'walk_executor(bathroom_cabinet_40)', 'open_executor(bathroom_c
abinet_40)', 'walk_executor(bathroom_counter_41)', 'walk_executor(dishwasher_1001)', 'open_executor(
dishwasher_1001)', 'walk_executor(sink_42)', 'walk_executor(cleaning_solution_2073)', 'grab_executor
(cleaning_solution_2073)', 'walk_executor(dishwasher_1001)', 'putin_executor(cleaning_solution_2073,
 dishwasher_1001)', 'walk_executor(kitchen_counter_230)', 'walk_executor(sink_231)', 'walk_executor(
plate_1000)', 'grab_executor(plate_1000)', 'walk_executor(dishwasher_1001)', 'putin_executor(plate_1
000, dishwasher_1001)', 'close_executor(dishwasher_1001)', 'switchon_executor(dishwasher_1001)']","Time consume: 176 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 4
goal generate times: 2
goal correct times: 0
","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 12 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Turn_on_light/g2.txt,Turn on the lights in the bedroom. Then turn on the lights in the bathroom.,"['walk_executor(light_169)', 'switchon_executor(light_169)', 'walk_executor(light_64)', 'switchon_ex
ecutor(light_64)']","Time consume: 27 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 6
goal generate times: 2
goal correct times: 0
",1,Scene_id: 0
