Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Wash_dishes_with_dishwasher/g3.txt,Syntax Error,"['walk_executor(table_123)', 'walk_executor(dishwasher_143)', 'open_executor(dishwasher_143)', 'walk
_executor(bowl_2095)', 'grab_executor(bowl_2095)', 'walk_executor(dishwasher_143)', 'putin_executor(
bowl_2095, dishwasher_143)', 'walk_executor(table_123)', 'walk_executor(sink_133)', 'walk_executor(w
allshelf_191)', 'walk_executor(walllamp_183)']","Time consume: 83 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 11
","Keystate: k1 - Requires: 14 steps
Action Completion Rate: 0.0",Scene_id: 2
cdl_dataset/dataset/Put_groceries_in_Fridge/g3.txt,Throw all the items in the fridge to the trashcan.,"['walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'grab_e
xecutor(food_steak_2042)', 'walk_executor(trashcan_360)', 'putin_executor(food_steak_2042, trashcan_
360)', 'walk_executor(food_apple_2043)', 'grab_executor(food_apple_2043)', 'walk_executor(trashcan_3
60)', 'putin_executor(food_apple_2043, trashcan_360)', 'walk_executor(food_bacon_2044)', 'grab_execu
tor(food_bacon_2044)', 'walk_executor(trashcan_360)', 'putin_executor(food_bacon_2044, trashcan_360)
', 'walk_executor(food_banana_2045)', 'grab_executor(food_banana_2045)', 'walk_executor(trashcan_360
)', 'putin_executor(food_banana_2045, trashcan_360)', 'walk_executor(food_cake_2046)', 'grab_executo
r(food_cake_2046)', 'walk_executor(trashcan_360)', 'putin_executor(food_cake_2046, trashcan_360)', '
walk_executor(food_carrot_2047)', 'grab_executor(food_carrot_2047)', 'walk_executor(trashcan_360)', 
'putin_executor(food_carrot_2047, trashcan_360)', 'walk_executor(food_cereal_2048)', 'grab_executor(
food_cereal_2048)', 'walk_executor(trashcan_360)', 'putin_executor(food_cereal_2048, trashcan_360)',
 'walk_executor(food_cheese_2049)', 'grab_executor(food_cheese_2049)', 'walk_executor(trashcan_360)'
, 'putin_executor(food_cheese_2049, trashcan_360)', 'walk_executor(food_chicken_2050)', 'grab_execut
or(food_chicken_2050)', 'walk_executor(trashcan_360)', 'putin_executor(food_chicken_2050, trashcan_3
60)', 'walk_executor(food_dessert_2051)', 'grab_executor(food_dessert_2051)', 'walk_executor(trashca
n_360)', 'putin_executor(food_dessert_2051, trashcan_360)', 'walk_executor(food_donut_2052)', 'grab_
executor(food_donut_2052)', 'walk_executor(trashcan_360)', 'putin_executor(food_donut_2052, trashcan
_360)', 'walk_executor(food_egg_2053)', 'grab_executor(food_egg_2053)', 'walk_executor(trashcan_360)
', 'putin_executor(food_egg_2053, trashcan_360)', 'walk_executor(food_fish_2054)', 'grab_executor(fo
od_fish_2054)', 'walk_executor(trashcan_360)', 'putin_executor(food_fish_2054, trashcan_360)', 'walk
_executor(food_food_2055)', 'grab_executor(food_food_2055)', 'walk_executor(trashcan_360)', 'putin_e
xecutor(food_food_2055, trashcan_360)', 'walk_executor(food_fruit_2056)', 'grab_executor(food_fruit_
2056)', 'walk_executor(trashcan_360)', 'putin_executor(food_fruit_2056, trashcan_360)', 'walk_execut
or(food_hamburger_2057)', 'grab_executor(food_hamburger_2057)', 'walk_executor(trashcan_360)', 'puti
n_executor(food_hamburger_2057, trashcan_360)', 'walk_executor(food_ice_cream_2058)', 'grab_executor
(food_ice_cream_2058)', 'walk_executor(trashcan_360)', 'putin_executor(food_ice_cream_2058, trashcan
_360)', 'walk_executor(food_jam_2059)', 'grab_executor(food_jam_2059)', 'walk_executor(trashcan_360)
', 'putin_executor(food_jam_2059, trashcan_360)', 'walk_executor(food_kiwi_2060)', 'grab_executor(fo
od_kiwi_2060)', 'walk_executor(trashcan_360)', 'putin_executor(food_kiwi_2060, trashcan_360)', 'walk
_executor(food_lemon_2061)', 'grab_executor(food_lemon_2061)', 'walk_executor(trashcan_360)', 'putin
_executor(food_lemon_2061, trashcan_360)', 'walk_executor(food_noodles_2062)', 'grab_executor(food_n
oodles_2062)', 'walk_executor(trashcan_360)', 'putin_executor(food_noodles_2062, trashcan_360)', 'wa
lk_executor(food_oatmeal_2063)', 'grab_executor(food_oatmeal_2063)', 'walk_executor(trashcan_360)', 
'putin_executor(food_oatmeal_2063, trashcan_360)', 'walk_executor(food_peanut_butter_2064)', 'grab_e
xecutor(food_peanut_butter_2064)', 'walk_executor(trashcan_360)', 'putin_executor(food_peanut_butter
_2064, trashcan_360)', 'walk_executor(food_pizza_2065)', 'grab_executor(food_pizza_2065)', 'walk_exe
cutor(trashcan_360)', 'putin_executor(food_pizza_2065, trashcan_360)', 'walk_executor(food_potato_20
66)', 'grab_executor(food_potato_2066)', 'walk_executor(trashcan_360)', 'putin_executor(food_potato_
2066, trashcan_360)', 'walk_executor(food_rice_2067)', 'grab_executor(food_rice_2067)', 'walk_execut
or(trashcan_360)', 'putin_executor(food_rice_2067, trashcan_360)', 'walk_executor(food_salt_2068)', 
'grab_executor(food_salt_2068)', 'walk_executor(trashcan_360)', 'putin_executor(food_salt_2068, tras
hcan_360)', 'walk_executor(food_snack_2069)', 'grab_executor(food_snack_2069)', 'walk_executor(trash
can_360)', 'putin_executor(food_snack_2069, trashcan_360)', 'walk_executor(food_sugar_2070)', 'grab_
executor(food_sugar_2070)', 'walk_executor(trashcan_360)', 'putin_executor(food_sugar_2070, trashcan
_360)', 'walk_executor(food_turkey_2071)', 'grab_executor(food_turkey_2071)', 'walk_executor(trashca
n_360)', 'putin_executor(food_turkey_2071, trashcan_360)', 'walk_executor(food_vegetable_2072)', 'gr
ab_executor(food_vegetable_2072)', 'walk_executor(trashcan_360)', 'putin_executor(food_vegetable_207
2, trashcan_360)', 'walk_executor(sauce_2101)', 'grab_executor(sauce_2101)', 'walk_executor(trashcan
_360)', 'putin_executor(sauce_2101, trashcan_360)']","Time consume: 391 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 2
goal correct times: 1
action_num: 130
",1,Scene_id: 2
cdl_dataset/dataset/Prepare_breakfast/g1.txt,Slice and toast bread.,"['walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'walk_e
xecutor(cupboard_131)', 'open_executor(cupboard_131)', 'walk_executor(wallshelf_191)', 'walk_executo
r(wallshelf_190)', 'walk_executor(cupboard_130)', 'walk_executor(kitchen_counter_128)', 'walk_execut
or(filing_cabinet_378)', 'grab_executor(food_bread_2016)', 'walk_executor(cutting_board_2080)', 'put
_executor(food_bread_2016, cutting_board_2080)', 'walk_executor(knifeblock_52)', 'walk_executor(ceil
inglamp_43)', 'walk_executor(powersocket_218)', 'walk_executor(toaster_144)', 'open_executor(toaster
_144)', 'walk_executor(microwave_149)', 'open_executor(microwave_149)', 'walk_executor(dishwasher_14
3)', 'open_executor(dishwasher_143)', 'grab_executor(knife_2036)', 'walk_executor(food_bread_2016)',
 'cut_executor(food_bread_2016)', 'grab_executor(food_bread_2016)', 'walk_executor(toaster_144)', 'p
utin_executor(food_bread_2016, toaster_144)', 'close_executor(toaster_144)', 'switchon_executor(toas
ter_144)']","Time consume: 198 seconds
Exp_helper query times: 2
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 1
action_num: 30
",1,Scene_id: 2
cdl_dataset/dataset/Iron_clothes/g2.txt,Hand wash a shirt and iron this shirt.,"['walk_executor(basket_for_clothes_2040)', 'grab_executor(clothes_shirt_2114)', 'walk_executor(sink_
133)', 'putin_executor(clothes_shirt_2114, sink_133)', 'walk_executor(clothes_shirt_2114)', 'grab_ex
ecutor(clothes_shirt_2114)', 'wash_executor(clothes_shirt_2114)', 'walk_executor(faucet_134)', 'swit
choff_executor(faucet_134)', 'walk_executor(ironing_board_2099)', 'put_executor(clothes_shirt_2114, 
ironing_board_2099)', 'walk_executor(iron_2117)', 'plugin_executor(iron_2117)', 'switchon_executor(i
ron_2117)', 'switchoff_executor(iron_2117)', 'switchon_executor(iron_2117)', 'grab_executor(iron_211
7)', 'walk_executor(clothes_shirt_2114)', 'put_executor(iron_2117, clothes_shirt_2114)', 'walk_execu
tor(iron_2117)', 'switchoff_executor(iron_2117)', 'switchon_executor(iron_2117)', 'switchoff_executo
r(iron_2117)']","Time consume: 333 seconds
Exp_helper query times: 0
Guidance query times: 2
library scale: 0
goal generate times: 13
goal correct times: 3
action_num: 23
","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 2
cdl_dataset/dataset/Wash_clothes/g4.txt,Syntax Error,"['walk_executor(dresser_377)', 'walk_executor(basket_for_clothes_2040)', 'walk_executor(sink_133)']","Time consume: 60 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 1
action_num: 3
","Keystate: k1 - Requires: 6 steps
Keystate: k2 - Requires: 13 steps
Action Completion Rate: 0.0",Scene_id: 2
cdl_dataset/dataset/Change_TV_channel/g1.txt,Turn on the TV by touching the remote control.,"['walk_executor(tvstand_135)', 'walk_executor(remote_control_2081)', 'switchon_executor(remote_contr
ol_2081)']","Time consume: 23 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 3
",Action Completion Rate: 0.0,Scene_id: 2
cdl_dataset/dataset/Listen_to_music/g1.txt,Insert a CD and play music using the CD player.,"['walk_executor(table_123)', 'walk_executor(table_127)', 'walk_executor(tvstand_135)', 'walk_executo
r(bookshelf_188)', 'open_executor(bookshelf_188)', 'walk_executor(bookshelf_260)', 'open_executor(bo
okshelf_260)', 'walk_executor(bookshelf_189)', 'open_executor(bookshelf_189)', 'walk_executor(booksh
elf_136)', 'walk_executor(tvstand_186)', 'walk_executor(cd_player_2084)', 'open_executor(cd_player_2
084)', 'walk_executor(cd_2100)', 'grab_executor(cd_2100)', 'walk_executor(cd_player_2084)', 'putin_e
xecutor(cd_2100, cd_player_2084)', 'plugin_executor(cd_player_2084)', 'close_executor(cd_player_2084
)', 'switchon_executor(cd_player_2084)']","Time consume: 116 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 20
",1,Scene_id: 2
cdl_dataset/dataset/Prepare_breakfast/g2.txt,Scramble egg by the fryingpan.,"['walk_executor(kitchen_counter_132)', 'walk_executor(cupboard_131)', 'open_executor(cupboard_131)',
 'walk_executor(cupboard_130)', 'walk_executor(wallshelf_191)', 'walk_executor(wallshelf_190)', 'wal
k_executor(stove_2090)', 'open_executor(stove_2090)', 'walk_executor(fryingpan_2107)', 'grab_executo
r(fryingpan_2107)', 'walk_executor(stove_2090)', 'put_executor(fryingpan_2107, stove_2090)', 'switch
on_executor(stove_2090)', 'walk_executor(oil_2102)', 'grab_executor(oil_2102)', 'walk_executor(fryin
gpan_2107)', 'putin_executor(oil_2102, fryingpan_2107)', 'walk_executor(fridge_140)', 'switchoff_exe
cutor(fridge_140)', 'open_executor(fridge_140)', 'grab_executor(food_egg_2053)', 'walk_executor(fryi
ngpan_2107)', 'putin_executor(food_egg_2053, fryingpan_2107)']","Time consume: 162 seconds
Exp_helper query times: 0
Guidance query times: 1
library scale: 0
goal generate times: 4
goal correct times: 0
action_num: 23
",1,Scene_id: 2
cdl_dataset/dataset/Pet_cat/g5.txt,Shower my cat in the sink. Use towel to dry my cat.,"['walk_executor(sink_133)', 'walk_executor(bed_264)', 'walk_executor(bed_376)', 'walk_executor(couch
_192)', 'walk_executor(cat_2082)', 'grab_executor(cat_2082)', 'walk_executor(sink_133)', 'putin_exec
utor(cat_2082, sink_133)', 'walk_executor(cat_2082)', 'grab_executor(cat_2082)', 'walk_executor(fauc
et_134)', 'switchoff_executor(faucet_134)', 'switchon_executor(faucet_134)', 'wash_executor(cat_2082
)', 'switchoff_executor(faucet_134)', 'walk_executor(bathroom_counter_306)', 'walk_executor(towel_ra
ck_298)', 'walk_executor(towel_2083)', 'grab_executor(towel_2083)', 'walk_executor(cat_2082)', 'put_
executor(towel_2083, cat_2082)']","Time consume: 163 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 4
goal correct times: 0
action_num: 21
",1,Scene_id: 2
cdl_dataset/dataset/Wash_dishes_with_dishwasher/g1.txt,wash all the bowls and the plates with dishwasher,"['walk_executor(kitchen_counter_132)', 'walk_executor(cupboard_131)', 'open_executor(cupboard_131)',
 'walk_executor(sink_133)', 'walk_executor(cupboard_130)', 'walk_executor(oven_141)', 'open_executor
(oven_141)', 'walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_14
0)', 'walk_executor(table_123)', 'walk_executor(bowl_2095)', 'walk_executor(table_123)', 'walk_execu
tor(dry_pasta_2073)', 'walk_executor(walllamp_44)', 'walk_executor(table_127)', 'walk_executor(bowl_
2096)', 'walk_executor(bowl_2097)', 'walk_executor(plate_2105)', 'walk_executor(dishwasher_143)', 'o
pen_executor(dishwasher_143)', 'walk_executor(bowl_2096)', 'grab_executor(bowl_2096)', 'walk_executo
r(dishwasher_143)', 'putin_executor(bowl_2096, dishwasher_143)', 'walk_executor(plate_2105)', 'grab_
executor(plate_2105)', 'walk_executor(dishwasher_143)', 'putin_executor(plate_2105, dishwasher_143)'
, 'close_executor(dishwasher_143)', 'open_executor(dishwasher_143)', 'walk_executor(bowl_2095)', 'gr
ab_executor(bowl_2095)', 'walk_executor(dishwasher_143)', 'putin_executor(bowl_2095, dishwasher_143)
', 'walk_executor(bowl_2097)', 'grab_executor(bowl_2097)', 'walk_executor(dishwasher_143)', 'putin_e
xecutor(bowl_2097, dishwasher_143)', 'close_executor(dishwasher_143)', 'switchon_executor(dishwasher
_143)']","Time consume: 1075 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 6
goal correct times: 0
action_num: 41
",1,Scene_id: 2
