Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Prepare_dinner/g3.txt,Cook bacon with the frying pan.,"['walk_executor(stove_2090)', 'open_executor(stove_2090)', 'walk_executor(fridge_140)', 'switchoff_e
xecutor(fridge_140)', 'open_executor(fridge_140)', 'grab_executor(food_bacon_2044)', 'walk_executor(
fryingpan_2107)', 'putin_executor(food_bacon_2044, fryingpan_2107)', 'grab_executor(fryingpan_2107)'
, 'walk_executor(stove_2090)', 'put_executor(fryingpan_2107, stove_2090)', 'switchon_executor(stove_
2090)']","Time consume: 78 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 2
goal correct times: 0
action_num: 12
","Keystate: k1 - Requires: 4 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Put_groceries_in_Fridge/g1.txt,Syntax Error,"['walk_executor(table_123)', 'walk_executor(table_127)']","Time consume: 50 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 2
goal correct times: 0
action_num: 2
","Keystate: k1 - Requires: 23 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Put_groceries_in_Fridge/g4.txt,"Cut the chicken into pieces, then put back to the fridge.","['walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'grab_e
xecutor(food_chicken_2050)', 'walk_executor(cutting_board_2080)', 'put_executor(food_chicken_2050, c
utting_board_2080)', 'walk_executor(knifeblock_52)', 'walk_executor(faucet_308)', 'walk_executor(tra
shcan_360)', 'walk_executor(wallshelf_187)', 'walk_executor(wallshelf_301)', 'walk_executor(kitchen_
counter_129)', 'walk_executor(dishwasher_143)', 'open_executor(dishwasher_143)', 'grab_executor(knif
e_2036)', 'walk_executor(food_chicken_2050)', 'cut_executor(food_chicken_2050)', 'grab_executor(food
_chicken_2050)', 'walk_executor(fridge_140)', 'putin_executor(food_chicken_2050, fridge_140)', 'clos
e_executor(fridge_140)']","Time consume: 166 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 21
",1,Scene_id: 2
cdl_dataset/dataset/Prepare_breakfast/g5.txt,Syntax Error,"['walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'walk_e
xecutor(milk_2074)', 'walk_executor(food_cereal_2048)', 'open_executor(food_cereal_2048) (Failed)', 
'walk_executor(cupboard_130)', 'walk_executor(wallshelf_301)', 'walk_executor(wallshelf_190)', 'walk
_executor(wallshelf_191)', 'walk_executor(cupboard_131)', 'open_executor(cupboard_131)', 'walk_execu
tor(wallshelf_187)', 'walk_executor(table_123)', 'walk_executor(cup_2087)', 'walk_executor(cup_2088)
', 'walk_executor(table_123)', 'walk_executor(walllamp_46)', 'walk_executor(table_127)', 'walk_execu
tor(table_193)', 'walk_executor(kitchen_counter_128)', 'walk_executor(bookshelf_137)', 'open_executo
r(bookshelf_137)', 'walk_executor(cup_2089)', 'walk_executor(bookshelf_137)', 'walk_executor(tvstand
_135)', 'walk_executor(nightstand_262)', 'walk_executor(bookshelf_372)', 'open_executor(bookshelf_37
2)', 'walk_executor(bookshelf_136)', 'walk_executor(computer_2110)', 'walk_executor(sink_133)', 'wal
k_executor(doorjamb_182)', 'walk_executor(fork_2103)', 'walk_executor(desk_261)', 'walk_executor(tab
lelamp_236)', 'walk_executor(toilet_302)', 'open_executor(toilet_302)', 'walk_executor(bathtub_297)'
, 'walk_executor(home_office_161)', 'walk_executor(laptop_2015)', 'walk_executor(spectacles_2106)', 
'walk_executor(home_office_161)', 'walk_executor(walllamp_184)', 'walk_executor(home_office_161)', '
walk_executor(orchid_117)', 'walk_executor(sink_307)', 'walk_executor(couch_192)', 'walk_executor(wa
lllamp_45)', 'walk_executor(shoes_2001)', 'walk_executor(kitchen_counter_129)', 'walk_executor(home_
office_161)', 'walk_executor(dishwasher_143)', 'open_executor(dishwasher_143)', 'walk_executor(coffe
_maker_147)', 'open_executor(coffe_maker_147)', 'walk_executor(ceilinglamp_185)', 'walk_executor(dra
wing_196)', 'walk_executor(doorjamb_285)', 'walk_executor(towel_rack_298)', 'walk_executor(powersock
et_259)']","Time consume: 585 seconds
Exp_helper query times: 8
Guidance query times: 1
library scale: 0
goal generate times: 6
goal correct times: 2
action_num: 61
","Keystate: k1 - Requires: 16 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Prepare_a_reading_space/g2.txt,Find the book and put it on the table in home office. Then turn on the light in the home office.,"['walk_executor(bookshelf_136)', 'walk_executor(book_2091)', 'grab_executor(book_2091)', 'walk_execu
tor(table_193)', 'put_executor(book_2091, table_193)', 'walk_executor(light_217)', 'switchon_executo
r(light_217)']","Time consume: 97 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 4
goal correct times: 1
action_num: 7
",1,Scene_id: 2
cdl_dataset/dataset/Wash_dishes_with_dishwasher/g1.txt,wash all the bowls and the plates with dishwasher,"['walk_executor(cupboard_130)', 'walk_executor(kitchen_counter_128)', 'walk_executor(kitchen_counter
_132)', 'walk_executor(kitchen_counter_129)', 'walk_executor(dishwasher_143)', 'open_executor(dishwa
sher_143)', 'walk_executor(wallshelf_301)', 'walk_executor(table_123)', 'walk_executor(bowl_2095)', 
'grab_executor(bowl_2095)', 'walk_executor(dishwasher_143)', 'putin_executor(bowl_2095, dishwasher_1
43)', 'walk_executor(table_123)', 'walk_executor(table_127)', 'walk_executor(bowl_2096)', 'grab_exec
utor(bowl_2096)', 'walk_executor(dishwasher_143)', 'putin_executor(bowl_2096, dishwasher_143)', 'wal
k_executor(bowl_2097)', 'grab_executor(bowl_2097)', 'walk_executor(dishwasher_143)', 'putin_executor
(bowl_2097, dishwasher_143)', 'walk_executor(plate_2105)', 'grab_executor(plate_2105)', 'walk_execut
or(dishwasher_143)', 'putin_executor(plate_2105, dishwasher_143)', 'close_executor(dishwasher_143)',
 'switchon_executor(dishwasher_143)']","Time consume: 246 seconds
Exp_helper query times: 1
Guidance query times: 1
library scale: 0
goal generate times: 4
goal correct times: 0
action_num: 28
",1,Scene_id: 2
cdl_dataset/dataset/Prepare_a_reading_space/g5.txt,Syntax Error,"['walk_executor(wallshelf_301)', 'walk_executor(wallshelf_187)', 'walk_executor(wallshelf_191)', 'wa
lk_executor(wallshelf_190)', 'walk_executor(bookshelf_188)', 'open_executor(bookshelf_188)', 'walk_e
xecutor(bookshelf_189)', 'open_executor(bookshelf_189)', 'walk_executor(kitchen_counter_128)', 'walk
_executor(spectacles_2106)', 'grab_executor(spectacles_2106)', 'walk_executor(table_193)', 'put_exec
utor(spectacles_2106, table_193)', 'grab_executor(spectacles_2106)', 'put_executor(spectacles_2106, 
table_193)']","Time consume: 423 seconds
Exp_helper query times: 1
Guidance query times: 3
library scale: 0
goal generate times: 20
goal correct times: 7
action_num: 15
","Keystate: k1 - Requires: 4 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Cook_some_food/g7.txt,Get a bowl of ice cream and add some jam on the top.,"['walk_executor(kitchen_counter_128)', 'walk_executor(kitchen_counter_129)', 'walk_executor(wallshel
f_191)', 'walk_executor(cupboard_130)', 'walk_executor(cupboard_131)', 'open_executor(cupboard_131)'
, 'walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'walk_
executor(table_123)', 'walk_executor(food_ice_cream_2058)', 'grab_executor(food_ice_cream_2058)', 'w
alk_executor(bowl_2095)', 'putin_executor(food_ice_cream_2058, bowl_2095)', 'walk_executor(food_jam_
2059)', 'grab_executor(food_jam_2059)', 'walk_executor(bowl_2095)', 'put_executor(food_jam_2059, bow
l_2095)']","Time consume: 144 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 3
goal correct times: 0
action_num: 18
","Keystate: k1 - Requires: 3 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Drink/g6.txt,Make a cup of lemon water with additional sugar.,"['walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'walk_e
xecutor(kitchen_counter_128)', 'walk_executor(food_lemon_2061)', 'walk_executor(kitchen_counter_132)
', 'walk_executor(food_lemon_2061)', 'walk_executor(kitchen_counter_129)', 'walk_executor(food_lemon
_2061)', 'walk_executor(cupboard_130)', 'walk_executor(food_lemon_2061)', 'walk_executor(wallshelf_3
01)', 'walk_executor(food_lemon_2061)', 'walk_executor(wallshelf_187)', 'walk_executor(food_lemon_20
61)', 'walk_executor(table_123)', 'walk_executor(food_lemon_2061)', 'walk_executor(cup_2087)', 'walk
_executor(food_sugar_2070)', 'walk_executor(food_lemon_2061)', 'grab_executor(food_lemon_2061)', 'wa
lk_executor(cup_2087)', 'grab_executor(cup_2087)', 'putin_executor(food_lemon_2061, cup_2087)', 'wal
k_executor(food_sugar_2070)', 'grab_executor(food_sugar_2070)', 'walk_executor(cup_2087)', 'putin_ex
ecutor(food_sugar_2070, cup_2087)', 'walk_executor(faucet_134)', 'switchoff_executor(faucet_134)', '
walk_executor(faucet_308)', 'switchoff_executor(faucet_308)', 'walk_executor(food_lemon_2061)', 'gra
b_executor(food_lemon_2061)', 'walk_executor(kitchen_counter_128)', 'put_executor(food_lemon_2061, k
itchen_counter_128)', 'walk_executor(food_lemon_2061)', 'walk_executor(faucet_134)', 'switchon_execu
tor(faucet_134)', 'switchoff_executor(faucet_134)']","Time consume: 243 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 4
goal correct times: 0
action_num: 40
","Keystate: k1 - Requires: 4 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Prepare_dinner/g1.txt,Boil some rice by pot.,"['walk_executor(kitchen_counter_128)', 'walk_executor(stove_2090)', 'open_executor(stove_2090)', 'wa
lk_executor(pot_2093)', 'open_executor(pot_2093)', 'grab_executor(pot_2093)', 'walk_executor(faucet_
134)', 'switchoff_executor(faucet_134)', 'walk_executor(stove_2090)', 'put_executor(pot_2093, stove_
2090)', 'switchon_executor(stove_2090)', 'grab_executor(pot_2093)', 'walk_executor(faucet_308)', 'sw
itchoff_executor(faucet_308)', 'walk_executor(stove_2090)', 'put_executor(pot_2093, stove_2090)', 'w
alk_executor(faucet_134)', 'walk_executor(pot_2093)', 'grab_executor(pot_2093)', 'walk_executor(fauc
et_134)', 'switchon_executor(faucet_134)', 'switchoff_executor(faucet_134)', 'walk_executor(stove_20
90)', 'put_executor(pot_2093, stove_2090)']","Time consume: 126 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 3
goal correct times: 0
action_num: 24
","Keystate: k1 - Requires: 7 steps
Action Completion Rate: No actions required",Scene_id: 2
