Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Turn_on_light/g2.txt,Turn on the lights in the bedroom. Then turn on the lights in the bathroom.,"['walk_executor(light_169)', 'switchon_executor(light_169)', 'walk_executor(light_64)', 'switchon_ex
ecutor(light_64)']","Time consume: 19 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 4
",1,Scene_id: 0
cdl_dataset/dataset/Wash_clothes/g1.txt,Wash all the clothes in the basket for clothes by washing machine.,"['walk_executor(basket_for_clothes_2006)', 'grab_executor(clothes_socks_2087)', 'walk_executor(washi
ng_machine_2007)', 'open_executor(washing_machine_2007)', 'putin_executor(clothes_socks_2087, washin
g_machine_2007)', 'walk_executor(basket_for_clothes_2006)', 'grab_executor(clothes_pants_2085)', 'wa
lk_executor(washing_machine_2007)', 'putin_executor(clothes_pants_2085, washing_machine_2007)', 'wal
k_executor(basket_for_clothes_2006)', 'grab_executor(clothes_shirt_2086)', 'walk_executor(washing_ma
chine_2007)', 'putin_executor(clothes_shirt_2086, washing_machine_2007)', 'walk_executor(basket_for_
clothes_2006)', 'grab_executor(clothes_skirt_2088)', 'walk_executor(washing_machine_2007)', 'putin_e
xecutor(clothes_skirt_2088, washing_machine_2007)', 'walk_executor(basket_for_clothes_2006)', 'walk_
executor(basket_for_clothes_2006)', 'plugin_executor(washing_machine_2007) (Failed)', 'walk_executor
(washing_machine_2007)', 'plugin_executor(washing_machine_2007)', 'close_executor(washing_machine_20
07)', 'switchon_executor(washing_machine_2007)']","Time consume: 123 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 24
",1,Scene_id: 0
cdl_dataset/dataset/Put_groceries_in_Fridge/g3.txt,Throw all the items in the fridge to the trashcan.,"['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_e
xecutor(food_snack_2038)', 'grab_executor(food_snack_2038)', 'walk_executor(trashcan_99)', 'putin_ex
ecutor(food_snack_2038, trashcan_99)', 'walk_executor(fridge_289)', 'walk_executor(food_ice_cream_20
25)', 'grab_executor(food_ice_cream_2025)', 'walk_executor(trashcan_99)', 'putin_executor(food_ice_c
ream_2025, trashcan_99)', 'walk_executor(fridge_289)', 'walk_executor(food_hamburger_2024)', 'grab_e
xecutor(food_hamburger_2024)', 'walk_executor(trashcan_99)', 'putin_executor(food_hamburger_2024, tr
ashcan_99)', 'walk_executor(fridge_289)', 'walk_executor(food_jam_2026)', 'grab_executor(food_jam_20
26)', 'walk_executor(trashcan_99)', 'putin_executor(food_jam_2026, trashcan_99)', 'walk_executor(fri
dge_289)', 'walk_executor(food_peanut_butter_2033)', 'grab_executor(food_peanut_butter_2033)', 'walk
_executor(trashcan_99)', 'putin_executor(food_peanut_butter_2033, trashcan_99)', 'walk_executor(frid
ge_289)', 'walk_executor(food_apple_2009)', 'grab_executor(food_apple_2009)', 'walk_executor(trashca
n_99)', 'putin_executor(food_apple_2009, trashcan_99)', 'walk_executor(fridge_289)', 'close_executor
(fridge_289)', 'switchon_executor(fridge_289)']","Time consume: 125 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 35
","Keystate: k1 - Requires: 125 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Clean_the_bathroom/g1.txt,Clean the bathroom sink directly.,"['walk_executor(sink_42)', 'wash_executor(sink_42)']","Time consume: 9 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 2
",1,Scene_id: 0
cdl_dataset/dataset/Drink/g5.txt,Use pot to boil some water.,"['walk_executor(kitchen_counter_230)', 'walk_executor(pot_2069)', 'grab_executor(pot_2069)', 'walk_e
xecutor(faucet_232)', 'open_executor(pot_2069)', 'switchon_executor(faucet_232)', 'switchoff_executo
r(faucet_232)', 'walk_executor(stove_2065)', 'put_executor(pot_2069, stove_2065)', 'switchon_executo
r(stove_2065)']","Time consume: 45 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 10
",1,Scene_id: 0
cdl_dataset/dataset/Cook_some_food/g6.txt,"Slice apple, kiwi, and banana. Then put them on a plate.","['walk_executor(cutting_board_2051)', 'walk_executor(knife_2050)', 'grab_executor(knife_2050)', 'wal
k_executor(cutting_board_2051)', 'walk_executor(dining_room_201)', 'walk_executor(fridge_289)', 'swi
tchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'grab_executor(food_apple_2009)', 'walk_e
xecutor(kitchen_counter_230)', 'put_executor(food_apple_2009, cutting_board_2051)', 'cut_executor(fo
od_apple_2009)', 'walk_executor(food_kiwi_2027)', 'grab_executor(food_kiwi_2027)', 'put_executor(foo
d_kiwi_2027, cutting_board_2051) (Failed)', 'put_executor(food_kiwi_2027, cutting_board_2051) (Faile
d)', 'walk_executor(cutting_board_2051)', 'put_executor(food_kiwi_2027, cutting_board_2051)', 'cut_e
xecutor(food_kiwi_2027)', 'walk_executor(fridge_289)', 'grab_executor(food_banana_2011)', 'walk_exec
utor(kitchen_counter_230)', 'put_executor(food_banana_2011, cutting_board_2051)', 'cut_executor(food
_banana_2011)', 'walk_executor(table_226)', 'walk_executor(sink_231)', 'grab_executor(plate_1000)', 
'walk_executor(cutting_board_2051)', 'grab_executor(food_apple_2009) (Failed)', 'put_executor(knife_
2050, kitchen_counter_230)', 'walk_executor(cutting_board_2051)', 'grab_executor(food_apple_2009)', 
'grab_executor(knife_2050) (Failed)', 'put_executor(food_apple_2009, plate_1000)', 'grab_executor(fo
od_kiwi_2027)', 'put_executor(food_kiwi_2027, plate_1000)', 'grab_executor(food_banana_2011)', 'put_
executor(food_banana_2011, plate_1000)']","Time consume: 203 seconds
Exp_helper query times: 2
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 38
","Keystate: k1 - Requires: 8 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Drink/g2.txt,Get a cup of water and freeze it.,"['walk_executor(fridge_289)', 'open_executor(fridge_289) (Failed)', 'walk_executor(faucet_232)', 'wa
lk_executor(cup_2063)', 'grab_executor(cup_2063)', 'walk_executor(faucet_232)', 'switchon_executor(f
aucet_232)', 'put_executor(cup_2063, faucet_232)', 'grab_executor(cup_2063)', 'switchoff_executor(fa
ucet_232)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289
)', 'putin_executor(cup_2063, fridge_289)']","Time consume: 72 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 14
",1,Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g2.txt,Syntax Error,"['walk_executor(basket_for_clothes_2006)', 'walk_executor(clothes_shirt_2086)', 'grab_executor(cloth
es_shirt_2086)', 'walk_executor(sink_42)']","Time consume: 34 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 4
","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 8 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Prepare_a_reading_space/g1.txt,Find the book and put it on the coffee table in home office.,"['walk_executor(bookshelf_354)', 'open_executor(bookshelf_354)', 'walk_executor(book_2067)', 'grab_e
xecutor(book_2067)', 'walk_executor(coffee_table_2068)', 'put_executor(book_2067, coffee_table_2068)
']","Time consume: 25 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 6
","Keystate: k1 - Requires: 3 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Pet_cat/g2.txt,Slice some chicken and give it to my cat.,"['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_e
xecutor(food_chicken_2017)', 'grab_executor(food_chicken_2017)', 'walk_executor(cutting_board_2051)'
, 'put_executor(food_chicken_2017, cutting_board_2051)', 'walk_executor(knife_2050)', 'grab_executor
(knife_2050)', 'cut_executor(food_chicken_2017) (Failed)', 'cut_executor(food_chicken_2017) (Failed)
', 'walk_executor(food_chicken_2017)', 'grab_executor(food_chicken_2017)', 'walk_executor(cutting_bo
ard_2051)', 'put_executor(food_chicken_2017, cutting_board_2051)', 'cut_executor(food_chicken_2017)'
, 'grab_executor(food_chicken_2017)', 'put_executor(food_chicken_2017, kitchen_counter_230)', 'walk_
executor(kitchen_counter_230)', 'put_executor(food_chicken_2017, knife_2050) (Failed)', 'walk_execut
or(fridge_289)', 'open_executor(fridge_289) (Failed)', 'grab_executor(food_chicken_2017)', 'walk_exe
cutor(cutting_board_2051)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289) (Failed)', 
'walk_executor(cutting_board_2051)', 'put_executor(food_chicken_2017, cutting_board_2051)', 'cut_exe
cutor(food_chicken_2017)', 'grab_executor(food_chicken_2017)', 'walk_executor(cutting_board_2051)', 
'put_executor(food_chicken_2017, cutting_board_2051)', 'cut_executor(food_chicken_2017)', 'grab_exec
utor(food_chicken_2017)', 'walk_executor(kitchen_counter_230)', 'put_executor(food_chicken_2017, kit
chen_counter_230)']","Time consume: 246 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 36
","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 3 steps
Action Completion Rate: No actions required",Scene_id: 0
