Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Make_coffee/g2.txt,"make a cup of coffee using the coffee maker, then add milk and sugar.","['walk_executor(coffe_maker_130)', 'switchon_executor(coffe_maker_130)', 'switchoff_executor(coffe_m
aker_130)', 'open_executor(coffe_maker_130)', 'close_executor(coffe_maker_130)', 'switchon_executor(
coffe_maker_130)', 'walk_executor(kitchen_counter_123)', 'walk_executor(kitchen_counter_119)', 'walk
_executor(cupboard_117)', 'walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_execut
or(oven_127)', 'open_executor(oven_127)', 'walk_executor(table_114)', 'walk_executor(coffe_maker_130
)', 'switchoff_executor(coffe_maker_130)', 'open_executor(coffe_maker_130)', 'walk_executor(cup_2133
)', 'grab_executor(cup_2133)', 'walk_executor(coffe_maker_130)', 'putin_executor(cup_2133, coffe_mak
er_130)', 'close_executor(coffe_maker_130)', 'switchon_executor(coffe_maker_130)', 'walk_executor(mi
lk_2115)', 'grab_executor(milk_2115)', 'walk_executor(cup_2133)', 'putin_executor(milk_2115, cup_213
3)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open_executor(fridge_126)', 'wa
lk_executor(milk_2115)', 'grab_executor(milk_2115)', 'walk_executor(cup_2133)', 'putin_executor(milk
_2115, cup_2133)', 'walk_executor(food_sugar_2111)', 'grab_executor(food_sugar_2111)', 'walk_executo
r(cup_2133)', 'putin_executor(food_sugar_2111, cup_2133)']","Time consume: 230 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 3
goal correct times: 0
action_num: 38
","Keystate: k1 - Requires: 8 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Prepare_dinner/g3.txt,Cook bacon with the frying pan.,"['walk_executor(stove_2135)', 'switchon_executor(stove_2135)', 'walk_executor(kitchen_counter_123)',
 'walk_executor(cupboard_117)', 'walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_
executor(oven_127)', 'open_executor(oven_127)', 'walk_executor(toaster_132)', 'open_executor(toaster
_132)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open_executor(fridge_126)', 
'grab_executor(food_bacon_2082)', 'walk_executor(fryingpan_2154)', 'putin_executor(food_bacon_2082, 
fryingpan_2154)']","Time consume: 150 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 6
goal correct times: 0
action_num: 16
","Keystate: k1 - Requires: 7 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Cook_some_food/g5.txt,Make oil fried banana.,"['walk_executor(kitchen_counter_123)', 'walk_executor(cupboard_117)', 'walk_executor(cupboard_118)',
 'open_executor(cupboard_118)', 'walk_executor(dishwasher_129)', 'open_executor(dishwasher_129)', 'w
alk_executor(stove_2135)', 'open_executor(stove_2135)', 'walk_executor(oven_127)', 'open_executor(ov
en_127)', 'walk_executor(kitchen_counter_122)', 'walk_executor(oil_2149)', 'grab_executor(oil_2149)'
, 'walk_executor(fryingpan_2154)', 'putin_executor(oil_2149, fryingpan_2154)', 'walk_executor(fridge
_126)', 'switchoff_executor(fridge_126)', 'open_executor(fridge_126)', 'grab_executor(food_banana_20
83)', 'walk_executor(fryingpan_2154)', 'put_executor(food_banana_2083, fryingpan_2154)', 'walk_execu
tor(stove_2135)', 'switchon_executor(stove_2135)']","Time consume: 218 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 5
goal correct times: 0
action_num: 23
","Keystate: k1 - Requires: 8 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Wash_windows/g2.txt,Wipe all the windows in the house by towel.,"['walk_executor(window_310)', 'open_executor(window_310)', 'walk_executor(basket_for_clothes_2078)',
 'walk_executor(washing_machine_2079)', 'open_executor(washing_machine_2079)', 'walk_executor(dishwa
sher_129)', 'open_executor(dishwasher_129)', 'walk_executor(sink_120)', 'walk_executor(couch_269)', 
'walk_executor(drawing_288)', 'walk_executor(curtain_289)', 'walk_executor(bathroom_cabinet_17)', 'o
pen_executor(bathroom_cabinet_17)', 'walk_executor(drawing_33)', 'walk_executor(towel_2128)', 'grab_
executor(towel_2128)', 'walk_executor(window_2156)', 'wipe_executor(window_2156)', 'walk_executor(wi
ndow_191)', 'wipe_executor(window_191)', 'walk_executor(window_310)', 'wipe_executor(window_310)']","Time consume: 161 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 22
",1,Scene_id: 1
cdl_dataset/dataset/Prepare_breakfast/g5.txt,Prepare a cup of hot milk with cereal inside.,"['walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open_executor(fridge_126)', 'walk_e
xecutor(cupboard_117)', 'walk_executor(curtain_289)', 'walk_executor(couch_269)', 'walk_executor(cei
linglamp_35)', 'walk_executor(kitchen_counter_123)', 'walk_executor(table_114)', 'walk_executor(stov
e_2135)', 'open_executor(stove_2135)', 'walk_executor(milk_2115)', 'grab_executor(milk_2115)', 'walk
_executor(stove_2135)', 'putin_executor(milk_2115, stove_2135)', 'switchon_executor(stove_2135)', 'w
alk_executor(food_cereal_2087)', 'grab_executor(food_cereal_2087)', 'walk_executor(cup_2132)', 'puti
n_executor(food_cereal_2087, cup_2132)', 'walk_executor(milk_2115)', 'grab_executor(milk_2115)', 'wa
lk_executor(cup_2132)', 'putin_executor(milk_2115, cup_2132)']","Time consume: 168 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 24
","Keystate: k1 - Requires: 8 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Wash_clothes/g1.txt,Wash all the clothes in the basket for clothes by washing machine.,"['walk_executor(washing_machine_2079)', 'plugin_executor(washing_machine_2079)', 'switchon_executor(
washing_machine_2079)', 'walk_executor(basket_for_clothes_2078)', 'walk_executor(washing_machine_207
9)', 'switchoff_executor(washing_machine_2079)', 'open_executor(washing_machine_2079)', 'walk_execut
or(clothes_pants_2157)', 'grab_executor(clothes_pants_2157)', 'walk_executor(washing_machine_2079)',
 'putin_executor(clothes_pants_2157, washing_machine_2079)', 'walk_executor(clothes_shirt_2158)', 'g
rab_executor(clothes_shirt_2158)', 'walk_executor(washing_machine_2079)', 'putin_executor(clothes_sh
irt_2158, washing_machine_2079)', 'walk_executor(clothes_socks_2159)', 'grab_executor(clothes_socks_
2159)', 'walk_executor(washing_machine_2079)', 'putin_executor(clothes_socks_2159, washing_machine_2
079)', 'walk_executor(clothes_skirt_2160)', 'grab_executor(clothes_skirt_2160)', 'walk_executor(wash
ing_machine_2079)', 'putin_executor(clothes_skirt_2160, washing_machine_2079)', 'close_executor(wash
ing_machine_2079)', 'switchon_executor(washing_machine_2079)']","Time consume: 565 seconds
Exp_helper query times: 0
Guidance query times: 2
library scale: 0
goal generate times: 31
goal correct times: 0
action_num: 25
",1,Scene_id: 1
cdl_dataset/dataset/Cook_some_food/g7.txt,Get a bowl of ice cream and add some jam on the top.,"['walk_executor(table_114)', 'walk_executor(kitchen_counter_123)', 'walk_executor(cupboard_117)', 'w
alk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_executor(kitchen_counter_119)', 'w
alk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open_executor(fridge_126)', 'grab_exec
utor(food_ice_cream_2097)', 'walk_executor(bowl_2140)', 'putin_executor(food_ice_cream_2097, bowl_21
40)', 'walk_executor(food_jam_2098)', 'grab_executor(food_jam_2098)', 'walk_executor(food_ice_cream_
2097)', 'put_executor(food_jam_2098, food_ice_cream_2097)']","Time consume: 121 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 16
",1,Scene_id: 1
cdl_dataset/dataset/Cook_some_food/g6.txt,"Slice apple, kiwi, and banana. Then put them on a plate.","['walk_executor(kitchen_counter_123)', 'walk_executor(kitchen_counter_119)', 'walk_executor(cupboard
_117)', 'walk_executor(kitchen_counter_122)', 'walk_executor(fridge_126)', 'switchoff_executor(fridg
e_126)', 'open_executor(fridge_126)', 'grab_executor(food_apple_2081)', 'walk_executor(cutting_board
_2123)', 'put_executor(food_apple_2081, cutting_board_2123)', 'walk_executor(knife_2035)', 'grab_exe
cutor(knife_2035)', 'walk_executor(food_apple_2081)', 'cut_executor(food_apple_2081)', 'walk_executo
r(food_kiwi_2054)', 'grab_executor(food_kiwi_2054)', 'walk_executor(cutting_board_2123)', 'put_execu
tor(food_kiwi_2054, cutting_board_2123)', 'walk_executor(food_kiwi_2054)', 'cut_executor(food_kiwi_2
054)', 'walk_executor(food_banana_2083)', 'grab_executor(food_banana_2083)', 'walk_executor(cutting_
board_2123)', 'put_executor(food_banana_2083, cutting_board_2123)', 'walk_executor(food_banana_2083)
', 'cut_executor(food_banana_2083)', 'walk_executor(food_apple_2081)', 'grab_executor(food_apple_208
1)', 'walk_executor(plate_2152)', 'put_executor(food_apple_2081, plate_2152)', 'walk_executor(food_k
iwi_2054)', 'grab_executor(food_kiwi_2054)', 'walk_executor(plate_2152)', 'put_executor(food_kiwi_20
54, plate_2152)', 'walk_executor(food_banana_2083)', 'grab_executor(food_banana_2083)', 'walk_execut
or(plate_2152)', 'put_executor(food_banana_2083, plate_2152)']","Time consume: 194 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 38
","Keystate: k1 - Requires: 34 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Cook_some_food/g2.txt,slice some chicken,"['walk_executor(kitchen_counter_123)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)'
, 'open_executor(fridge_126)', 'grab_executor(food_chicken_2089)', 'walk_executor(cutting_board_2123
)', 'put_executor(food_chicken_2089, cutting_board_2123)', 'walk_executor(knife_2035)', 'grab_execut
or(knife_2035)', 'walk_executor(food_chicken_2089)', 'cut_executor(food_chicken_2089)']","Time consume: 68 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 11
","Keystate: k1 - Requires: 1 steps
Action Completion Rate: 1.0",Scene_id: 1
Task Category,Content,Executed Actions,Info,Success Rate,Task Path
