Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/cooking/easy/Slice_chicken.txt,slice some chicken,"['walk_executor(cutting_board_2123)', 'walk_executor(kitchen_counter_123)', 'walk_executor(fridge_12
6)', 'switchoff_executor(fridge_126)', 'open_executor(fridge_126)', 'grab_executor(food_chicken_2089
)', 'walk_executor(cutting_board_2123)', 'put_executor(food_chicken_2089, cutting_board_2123)', 'wal
k_executor(knife_2035)', 'grab_executor(knife_2035)', 'walk_executor(food_chicken_2089)', 'cut_execu
tor(food_chicken_2089)']","Time consume: 66 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 12
","Keystate: k1 - Requires: 1 steps
Action Completion Rate: 1.0",Scene_id: 1
cdl_dataset/cooking/easy/Make_coffee.txt,Make a cup of coffee using the coffee maker.,"['walk_executor(coffe_maker_147)', 'switchon_executor(coffe_maker_147)', 'walk_executor(cupboard_130
)', 'walk_executor(cupboard_131)', 'open_executor(cupboard_131)', 'walk_executor(wallshelf_187)', 'w
alk_executor(wallshelf_301)', 'walk_executor(kitchen_counter_132)', 'walk_executor(kitchen_counter_1
28)', 'walk_executor(table_123)', 'walk_executor(coffe_maker_147)', 'switchoff_executor(coffe_maker_
147)', 'open_executor(coffe_maker_147)', 'walk_executor(cup_2087)', 'grab_executor(cup_2087)', 'walk
_executor(coffe_maker_147)', 'putin_executor(cup_2087, coffe_maker_147)', 'close_executor(coffe_make
r_147)', 'switchon_executor(coffe_maker_147)', 'switchoff_executor(coffe_maker_147)', 'open_executor
(coffe_maker_147)', 'close_executor(coffe_maker_147)', 'switchon_executor(coffe_maker_147)']","Time consume: 198 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 6
goal correct times: 0
action_num: 23
",1,Scene_id: 2
cdl_dataset/cooking/easy/Ice_cream.txt,Get a bowl of ice cream and add some jam on the top.,"['walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_executor(kitchen_counter_122)',
 'walk_executor(kitchen_counter_119)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)'
, 'open_executor(fridge_126)', 'grab_executor(food_ice_cream_2097)', 'walk_executor(bowl_2140)', 'pu
t_executor(food_ice_cream_2097, bowl_2140)', 'walk_executor(food_jam_2098)', 'grab_executor(food_jam
_2098)', 'walk_executor(bowl_2140)', 'put_executor(food_jam_2098, bowl_2140)']","Time consume: 148 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 5
goal correct times: 0
action_num: 14
","Keystate: k1 - Requires: 7 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/cooking/easy/Boil_water.txt,Use pot to boil some water.,"['walk_executor(cupboard_130)', 'walk_executor(pot_54)', 'open_executor(pot_54)', 'grab_executor(pot
_54)', 'walk_executor(faucet_134)', 'switchoff_executor(faucet_134)', 'walk_executor(stove_2090)', '
switchon_executor(stove_2090)', 'walk_executor(faucet_308)', 'switchoff_executor(faucet_308)', 'walk
_executor(stove_2090)', 'put_executor(pot_54, stove_2090)', 'walk_executor(faucet_134)', 'switchon_e
xecutor(faucet_134)', 'walk_executor(pot_54)', 'grab_executor(pot_54)', 'walk_executor(faucet_134)',
 'switchoff_executor(faucet_134)', 'walk_executor(stove_2090)', 'put_executor(pot_54, stove_2090)']","Time consume: 522 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 4
goal correct times: 0
action_num: 20
","Keystate: k1 - Requires: 6 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/cooking/easy/Ice_cream.txt,Get a bowl of ice cream and add some jam on the top.,"['walk_executor(cupboard_130)', 'walk_executor(cupboard_131)', 'open_executor(cupboard_131)', 'walk_
executor(kitchen_counter_132)', 'walk_executor(kitchen_counter_129)', 'walk_executor(kitchen_counter
_128)', 'walk_executor(sink_133)', 'walk_executor(table_123)', 'walk_executor(bowl_2095)', 'walk_exe
cutor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'walk_executor(ta
ble_123)', 'walk_executor(table_127)', 'walk_executor(bowl_2096)', 'walk_executor(food_ice_cream_205
8)', 'grab_executor(food_ice_cream_2058)', 'walk_executor(bowl_2096)', 'putin_executor(food_ice_crea
m_2058, bowl_2096)', 'walk_executor(food_jam_2059)', 'grab_executor(food_jam_2059)', 'walk_executor(
bowl_2096)', 'put_executor(food_jam_2059, bowl_2096)']","Time consume: 163 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 2
goal correct times: 0
action_num: 23
","Keystate: k1 - Requires: 3 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/cooking/easy/Slice_chicken.txt,slice some chicken,"['walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'grab_e
xecutor(food_chicken_2050)', 'walk_executor(cutting_board_2080)', 'put_executor(food_chicken_2050, c
utting_board_2080)', 'walk_executor(knifeblock_52)', 'walk_executor(kitchen_counter_132)', 'walk_exe
cutor(door_38)', 'walk_executor(sink_133)', 'walk_executor(cupboard_130)', 'walk_executor(cupboard_1
31)', 'open_executor(cupboard_131)', 'walk_executor(dishwasher_143)', 'open_executor(dishwasher_143)
', 'grab_executor(knife_2036)', 'walk_executor(food_chicken_2050)', 'cut_executor(food_chicken_2050)
']","Time consume: 125 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 1
goal generate times: 1
goal correct times: 1
action_num: 18
",1,Scene_id: 2
cdl_dataset/cooking/easy/Get_water_freeze.txt,Get a cup of water and freeze it.,"['walk_executor(coffee_table_2068)', 'walk_executor(table_226)', 'walk_executor(table_355)', 'walk_e
xecutor(bowl_2072)', 'walk_executor(stove_2065)', 'open_executor(stove_2065)', 'walk_executor(cup_20
63)', 'walk_executor(cup_2064)', 'grab_executor(cup_2064)', 'walk_executor(faucet_43)', 'switchon_ex
ecutor(faucet_43)', 'switchoff_executor(faucet_43)', 'walk_executor(fridge_289)', 'switchoff_executo
r(fridge_289)', 'open_executor(fridge_289)', 'putin_executor(cup_2064, fridge_289)', 'close_executor
(fridge_289)']","Time consume: 153 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 4
goal generate times: 5
goal correct times: 0
action_num: 17
",1,Scene_id: 0
cdl_dataset/cooking/easy/Slice_chicken.txt,slice some chicken,"['walk_executor(cutting_board_2051)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)',
 'open_executor(fridge_289)', 'grab_executor(food_chicken_2017)', 'walk_executor(cutting_board_2051)
', 'put_executor(food_chicken_2017, cutting_board_2051)', 'walk_executor(knife_2050)', 'grab_executo
r(knife_2050)', 'walk_executor(food_chicken_2017)', 'cut_executor(food_chicken_2017)']","Time consume: 61 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 5
goal generate times: 1
goal correct times: 0
action_num: 11
",1,Scene_id: 0
cdl_dataset/cooking/easy/Boil_rice.txt,Boil some rice by pot.,"['walk_executor(kitchen_counter_122)', 'walk_executor(cupboard_118)', 'open_executor(cupboard_118)',
 'walk_executor(cupboard_117)', 'walk_executor(doorjamb_37)', 'walk_executor(oven_127)', 'open_execu
tor(oven_127)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open_executor(fridge
_126)', 'grab_executor(food_rice_2108)', 'walk_executor(pot_78)', 'putin_executor(food_rice_2108, po
t_78)', 'grab_executor(pot_78)', 'walk_executor(faucet_20)', 'switchon_executor(faucet_20)', 'switch
off_executor(faucet_20)', 'walk_executor(stove_2135)', 'put_executor(pot_78, stove_2135)', 'switchon
_executor(stove_2135)']","Time consume: 116 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 6
goal generate times: 1
goal correct times: 0
action_num: 20
",1,Scene_id: 1
cdl_dataset/cooking/easy/Boil_water.txt,Use pot to boil some water.,"['walk_executor(stove_2065)', 'open_executor(stove_2065)', 'walk_executor(pot_2069)', 'open_executor
(pot_2069)', 'grab_executor(pot_2069)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 
'switchoff_executor(faucet_43)', 'walk_executor(stove_2065)', 'put_executor(pot_2069, stove_2065)', 
'switchon_executor(stove_2065)']","Time consume: 51 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 7
goal generate times: 1
goal correct times: 0
action_num: 11
",1,Scene_id: 0
