Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/cooking/middle/Fired_banana.txt,Make oil fried banana.,"['walk_executor(table_107)', 'walk_executor(table_226)', 'walk_executor(fridge_289)', 'switchoff_exe
cutor(fridge_289)', 'open_executor(fridge_289)', 'grab_executor(food_banana_2011)', 'walk_executor(c
utting_board_2051)', 'put_executor(food_banana_2011, cutting_board_2051)', 'walk_executor(cupboard_2
29)', 'open_executor(cupboard_229)', 'walk_executor(knife_2050)', 'grab_executor(knife_2050)', 'walk
_executor(food_banana_2011)', 'cut_executor(food_banana_2011)', 'walk_executor(fryingpan_2083)', 'gr
ab_executor(fryingpan_2083)', 'walk_executor(stove_2065)', 'put_executor(fryingpan_2083, stove_2065)
', 'walk_executor(oil_2079)', 'grab_executor(oil_2079)', 'walk_executor(fryingpan_2083)', 'putin_exe
cutor(oil_2079, fryingpan_2083)', 'walk_executor(stove_2065)', 'switchon_executor(stove_2065)', 'wal
k_executor(food_banana_2011)', 'grab_executor(food_banana_2011)', 'walk_executor(fryingpan_2083)', '
putin_executor(food_banana_2011, fryingpan_2083)']","Time consume: 325 seconds
Exp_helper query times: 0
Guidance query times: 3
library scale: 14
goal generate times: 15
goal correct times: 4
action_num: 28
",1,Scene_id: 0
cdl_dataset/cooking/middle/Boil_vegetables_store.txt,Boil some vegetables with pot. Then store the whole pot in the fridge.,"['walk_executor(kitchen_counter_119)', 'walk_executor(bowl_2140)', 'walk_executor(kitchen_counter_12
2)', 'walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_executor(fridge_126)', 'swi
tchoff_executor(fridge_126)', 'open_executor(fridge_126)', 'grab_executor(food_vegetable_2113)', 'wa
lk_executor(pot_78)', 'putin_executor(food_vegetable_2113, pot_78)', 'grab_executor(pot_78)', 'walk_
executor(faucet_20)', 'switchon_executor(faucet_20)', 'switchoff_executor(faucet_20)', 'walk_executo
r(stove_2135)', 'put_executor(pot_78, stove_2135)', 'switchon_executor(stove_2135)', 'grab_executor(
pot_78)', 'walk_executor(fridge_126)', 'putin_executor(pot_78, fridge_126)', 'close_executor(fridge_
126)']","Time consume: 205 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 14
goal generate times: 3
goal correct times: 0
action_num: 22
","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 10 steps
Keystate: k3 - Requires: 2 steps
Action Completion Rate: 1.0",Scene_id: 1
Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/cooking/middle/Multi_slice.txt,"Slice apple, kiwi, and banana. Then put them on a plate.","['walk_executor(table_114)', 'walk_executor(table_270)', 'walk_executor(table_199)', 'walk_executor(
kitchen_counter_123)', 'walk_executor(kitchen_counter_122)', 'walk_executor(fridge_126)', 'switchoff
_executor(fridge_126)', 'open_executor(fridge_126)', 'grab_executor(food_apple_2081)', 'walk_executo
r(cutting_board_2123)', 'put_executor(food_apple_2081, cutting_board_2123)', 'walk_executor(knife_21
22)', 'grab_executor(knife_2122)', 'walk_executor(food_apple_2081)', 'cut_executor(food_apple_2081)'
, 'walk_executor(food_kiwi_2054)', 'grab_executor(food_kiwi_2054)', 'walk_executor(cutting_board_212
3)', 'put_executor(food_kiwi_2054, cutting_board_2123)', 'walk_executor(food_kiwi_2054)', 'cut_execu
tor(food_kiwi_2054)', 'walk_executor(food_banana_2083)', 'grab_executor(food_banana_2083)', 'walk_ex
ecutor(cutting_board_2123)', 'put_executor(food_banana_2083, cutting_board_2123)', 'walk_executor(fo
od_banana_2083)', 'cut_executor(food_banana_2083)', 'walk_executor(food_apple_2081)', 'grab_executor
(food_apple_2081)', 'walk_executor(plate_2152)', 'put_executor(food_apple_2081, plate_2152)', 'walk_
executor(food_kiwi_2054)', 'grab_executor(food_kiwi_2054)', 'walk_executor(plate_2152)', 'put_execut
or(food_kiwi_2054, plate_2152)', 'walk_executor(food_banana_2083)', 'grab_executor(food_banana_2083)
', 'walk_executor(plate_2152)', 'put_executor(food_banana_2083, plate_2152)']","Time consume: 211 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 14
goal generate times: 2
goal correct times: 0
action_num: 39
","Keystate: k1 - Requires: 8 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/cooking/middle/Multi_slice.txt,"Slice apple, kiwi, and banana. Then put them on a plate.","['walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'grab_e
xecutor(food_apple_2043)', 'walk_executor(cutting_board_2080)', 'put_executor(food_apple_2043, cutti
ng_board_2080)', 'walk_executor(knifeblock_52)', 'walk_executor(kitchen_counter_132)', 'walk_executo
r(walllamp_291)', 'walk_executor(cupboard_131)', 'open_executor(cupboard_131)', 'walk_executor(cupbo
ard_130)', 'walk_executor(walllamp_46)', 'walk_executor(dishwasher_143)', 'open_executor(dishwasher_
143)', 'grab_executor(knife_2036)', 'walk_executor(food_apple_2043)', 'cut_executor(food_apple_2043)
', 'walk_executor(food_kiwi_2060)', 'grab_executor(food_kiwi_2060)', 'walk_executor(cutting_board_20
80)', 'put_executor(food_kiwi_2060, cutting_board_2080)', 'walk_executor(food_kiwi_2060)', 'cut_exec
utor(food_kiwi_2060)', 'walk_executor(food_banana_2045)', 'grab_executor(food_banana_2045)', 'walk_e
xecutor(cutting_board_2080)', 'put_executor(food_banana_2045, cutting_board_2080)', 'walk_executor(f
ood_banana_2045)', 'cut_executor(food_banana_2045)', 'walk_executor(table_127)', 'walk_executor(food
_apple_2043)', 'grab_executor(food_apple_2043)', 'walk_executor(plate_2105)', 'put_executor(food_app
le_2043, plate_2105)', 'walk_executor(food_banana_2045)', 'grab_executor(food_banana_2045)', 'walk_e
xecutor(plate_2105)', 'put_executor(food_banana_2045, plate_2105)', 'walk_executor(food_kiwi_2060)',
 'grab_executor(food_kiwi_2060)', 'walk_executor(plate_2105)', 'put_executor(food_kiwi_2060, plate_2
105)']","Time consume: 206 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 14
goal generate times: 2
goal correct times: 0
action_num: 43
","Keystate: k1 - Requires: 7 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/cooking/middle/Fired_banana.txt,Make oil fried banana.,"['walk_executor(cutting_board_2080)', 'walk_executor(kitchen_counter_132)', 'walk_executor(cupboard_
131)', 'open_executor(cupboard_131)', 'walk_executor(fridge_140)', 'switchoff_executor(fridge_140)',
 'open_executor(fridge_140)', 'grab_executor(food_banana_2045)', 'walk_executor(cutting_board_2080)'
, 'put_executor(food_banana_2045, cutting_board_2080)', 'walk_executor(knifeblock_52)', 'walk_execut
or(pot_54)', 'open_executor(pot_54)', 'walk_executor(shower_303)', 'walk_executor(dishwasher_143)', 
'open_executor(dishwasher_143)', 'grab_executor(knife_2036)', 'walk_executor(food_banana_2045)', 'cu
t_executor(food_banana_2045)', 'walk_executor(stove_2090)', 'open_executor(stove_2090)', 'walk_execu
tor(fryingpan_2107)', 'grab_executor(fryingpan_2107)', 'walk_executor(stove_2090)', 'put_executor(fr
yingpan_2107, stove_2090)', 'walk_executor(oil_2102)', 'grab_executor(oil_2102)', 'walk_executor(fry
ingpan_2107)', 'putin_executor(oil_2102, fryingpan_2107)', 'walk_executor(stove_2090)', 'switchon_ex
ecutor(stove_2090)', 'walk_executor(food_banana_2045)', 'grab_executor(food_banana_2045)', 'walk_exe
cutor(fryingpan_2107)', 'putin_executor(food_banana_2045, fryingpan_2107)', 'grab_executor(food_bana
na_2045)']","Time consume: 222 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 14
goal generate times: 4
goal correct times: 0
action_num: 36
","Keystate: k1 - Requires: 1 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/cooking/middle/French_fires.txt,Make some French fries.,"['walk_executor(kitchen_counter_132)', 'walk_executor(cupboard_131)', 'open_executor(cupboard_131)',
 'walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'grab_e
xecutor(food_potato_2066)', 'walk_executor(cutting_board_2080)', 'put_executor(food_potato_2066, cut
ting_board_2080)', 'walk_executor(knifeblock_52)', 'walk_executor(sink_307)', 'walk_executor(dishwas
her_143)', 'open_executor(dishwasher_143)', 'grab_executor(knife_2036)', 'walk_executor(food_potato_
2066)', 'cut_executor(food_potato_2066)', 'walk_executor(stove_2090)', 'open_executor(stove_2090)', 
'walk_executor(fryingpan_2107)', 'grab_executor(fryingpan_2107)', 'walk_executor(stove_2090)', 'put_
executor(fryingpan_2107, stove_2090)', 'walk_executor(oil_2102)', 'grab_executor(oil_2102)', 'walk_e
xecutor(fryingpan_2107)', 'putin_executor(oil_2102, fryingpan_2107)', 'walk_executor(stove_2090)', '
switchon_executor(stove_2090)', 'walk_executor(food_potato_2066)', 'grab_executor(food_potato_2066)'
, 'walk_executor(fryingpan_2107)', 'putin_executor(food_potato_2066, fryingpan_2107)']","Time consume: 215 seconds
Exp_helper query times: 0
Guidance query times: 1
library scale: 17
goal generate times: 6
goal correct times: 0
action_num: 32
",1,Scene_id: 2
cdl_dataset/cooking/middle/Cook_bacon.txt,Cook bacon with the frying pan.,"['walk_executor(kitchen_counter_230)', 'walk_executor(fryingpan_2083)', 'grab_executor(fryingpan_208
3)', 'walk_executor(stove_2065)', 'put_executor(fryingpan_2083, stove_2065)', 'walk_executor(oil_207
9)', 'grab_executor(oil_2079)', 'walk_executor(fryingpan_2083)', 'putin_executor(oil_2079, fryingpan
_2083)', 'walk_executor(stove_2065)', 'switchon_executor(stove_2065)', 'walk_executor(fridge_289)', 
'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'grab_executor(food_bacon_2010)', 'wa
lk_executor(fryingpan_2083)', 'putin_executor(food_bacon_2010, fryingpan_2083)']","Time consume: 83 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 18
goal generate times: 1
goal correct times: 0
action_num: 17
",1,Scene_id: 0
cdl_dataset/cooking/middle/Boil_vegetables_cooling.txt,Boil some vegetables. Then cool them in a bowl.,"['walk_executor(kitchen_counter_230)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)'
, 'open_executor(fridge_289)', 'walk_executor(pot_2069)', 'open_executor(pot_2069)', 'walk_executor(
food_vegetable_2041)', 'grab_executor(food_vegetable_2041)', 'walk_executor(pot_2069)', 'putin_execu
tor(food_vegetable_2041, pot_2069)', 'grab_executor(pot_2069)', 'walk_executor(faucet_43)', 'switcho
n_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'walk_executor(stove_2065)', 'put_executor(
pot_2069, stove_2065)', 'switchon_executor(stove_2065)', 'walk_executor(cupboard_229)', 'open_execut
or(cupboard_229)', 'walk_executor(wallshelf_234)', 'walk_executor(wallshelf_35)', 'walk_executor(wal
lshelf_235)', 'walk_executor(bookshelf_233)', 'open_executor(bookshelf_233)', 'walk_executor(closetd
rawer_388)', 'walk_executor(table_226)', 'walk_executor(bowl_2072)', 'scrub_executor(bowl_2072)', 'r
inse_executor(bowl_2072)', 'walk_executor(food_vegetable_2041)', 'grab_executor(food_vegetable_2041)
', 'walk_executor(bowl_2072)', 'putin_executor(food_vegetable_2041, bowl_2072)']","Time consume: 335 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 18
goal generate times: 2
goal correct times: 0
action_num: 33
","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 10 steps
Keystate: k3 - Requires: 2 steps
Action Completion Rate: 1.0",Scene_id: 0
cdl_dataset/cooking/middle/Toast_bread.txt,Slice and toast bread.,"['walk_executor(kitchen_counter_132)', 'walk_executor(cupboard_131)', 'open_executor(cupboard_131)',
 'walk_executor(toaster_144)', 'open_executor(toaster_144)', 'walk_executor(cutting_board_2080)', 'w
alk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'walk_exec
utor(food_orange_2008)', 'walk_executor(filing_cabinet_378)', 'grab_executor(food_bread_2016)', 'wal
k_executor(cutting_board_2080)', 'put_executor(food_bread_2016, cutting_board_2080)', 'walk_executor
(knifeblock_52)', 'walk_executor(cupboard_130)', 'walk_executor(dishwasher_143)', 'open_executor(dis
hwasher_143)', 'grab_executor(knife_2036)', 'walk_executor(food_bread_2016)', 'cut_executor(food_bre
ad_2016)', 'grab_executor(food_bread_2016)', 'walk_executor(toaster_144)', 'putin_executor(food_brea
d_2016, toaster_144)', 'close_executor(toaster_144)', 'switchon_executor(toaster_144)']","Time consume: 160 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 19
goal generate times: 1
goal correct times: 0
action_num: 26
",1,Scene_id: 2
