Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/cooking/hard/Make_chichen_pasta.txt,"Make chicken pasta, put it in a plate.","['walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(kitchen_counter_230)',
 'walk_executor(wallshelf_35)', 'walk_executor(wallshelf_234)', 'walk_executor(bookshelf_233)', 'ope
n_executor(bookshelf_233)', 'walk_executor(wallshelf_235)', 'walk_executor(fridge_289)', 'switchoff_
executor(fridge_289)', 'open_executor(fridge_289)', 'walk_executor(fryingpan_2083)', 'walk_executor(
pot_2069)', 'open_executor(pot_2069)', 'grab_executor(pot_2069)', 'walk_executor(faucet_43)', 'switc
hon_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'walk_executor(dry_pasta_2042)', 'grab_ex
ecutor(dry_pasta_2042)', 'walk_executor(pot_2069)', 'putin_executor(dry_pasta_2042, pot_2069)', 'wal
k_executor(stove_2065)', 'put_executor(pot_2069, stove_2065)', 'switchon_executor(stove_2065)', 'wal
k_executor(food_chicken_2017)', 'grab_executor(food_chicken_2017)', 'walk_executor(fryingpan_2083)',
 'putin_executor(food_chicken_2017, fryingpan_2083)', 'grab_executor(fryingpan_2083)', 'walk_executo
r(stove_2065)', 'put_executor(fryingpan_2083, stove_2065)', 'walk_executor(dishwasher_1001)', 'open_
executor(dishwasher_1001)', 'walk_executor(computer_417)', 'walk_executor(oven_295)', 'open_executor
(oven_295)', 'walk_executor(microwave_297)', 'open_executor(microwave_297)', 'walk_executor(coffe_ma
ker_290)', 'open_executor(coffe_maker_290)', 'walk_executor(sink_231)', 'walk_executor(food_chicken_
2017)', 'grab_executor(food_chicken_2017)', 'walk_executor(plate_1000)', 'put_executor(food_chicken_
2017, plate_1000)', 'walk_executor(dry_pasta_2042)', 'grab_executor(dry_pasta_2042)', 'walk_executor
(plate_1000)', 'put_executor(dry_pasta_2042, plate_1000)']","Time consume: 595 seconds
Exp_helper query times: 2
Guidance query times: 0
library scale: 59
goal generate times: 3
goal correct times: 0
action_num: 50
","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 8 steps
Keystate: k3 - Requires: 6 steps
Keystate: k4 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 0
Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/cooking/hard/Fired_rice_with_egg.txt,Fried rice with egg.,"['walk_executor(kitchen_counter_119)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)'
, 'open_executor(fridge_126)', 'grab_executor(food_rice_2108)', 'walk_executor(kitchen_counter_119)'
, 'put_executor(food_rice_2108, kitchen_counter_119)', 'walk_executor(food_egg_2092)', 'grab_executo
r(food_egg_2092)', 'walk_executor(kitchen_counter_119)', 'put_executor(food_egg_2092, kitchen_counte
r_119)', 'walk_executor(food_vegetable_2113)', 'grab_executor(food_vegetable_2113)', 'walk_executor(
kitchen_counter_119)', 'put_executor(food_vegetable_2113, kitchen_counter_119)', 'walk_executor(food
_rice_2108)', 'grab_executor(food_rice_2108)', 'walk_executor(pot_78)', 'putin_executor(food_rice_21
08, pot_78)', 'grab_executor(pot_78)', 'walk_executor(faucet_20)', 'switchon_executor(faucet_20)', '
switchoff_executor(faucet_20)', 'walk_executor(stove_2135)', 'put_executor(pot_78, stove_2135)', 'sw
itchon_executor(stove_2135)', 'walk_executor(cupboard_117)', 'walk_executor(cupboard_118)', 'open_ex
ecutor(cupboard_118)', 'walk_executor(table_270)', 'walk_executor(sink_120)', 'walk_executor(sink_19
)', 'walk_executor(kitchen_counter_122)', 'walk_executor(fryingpan_2154)', 'grab_executor(fryingpan_
2154)', 'walk_executor(stove_2135)', 'put_executor(fryingpan_2154, stove_2135)', 'walk_executor(food
_rice_2108)', 'grab_executor(food_rice_2108)', 'walk_executor(fryingpan_2154)', 'putin_executor(food
_rice_2108, fryingpan_2154)', 'walk_executor(food_egg_2092)', 'grab_executor(food_egg_2092)', 'walk_
executor(fryingpan_2154)', 'putin_executor(food_egg_2092, fryingpan_2154)', 'walk_executor(microwave
_135)', 'open_executor(microwave_135)', 'walk_executor(kitchen_counter_123)', 'walk_executor(oil_214
9)', 'grab_executor(oil_2149)', 'walk_executor(fryingpan_2154)', 'putin_executor(oil_2149, fryingpan
_2154)']","Time consume: 511 seconds
Exp_helper query times: 1
Guidance query times: 1
library scale: 63
goal generate times: 10
goal correct times: 2
action_num: 52
",1,Scene_id: 1
cdl_dataset/cooking/hard/Fried_steak.txt,Fried a steak. Then cut it and put it on a plate.,"['walk_executor(kitchen_counter_123)', 'walk_executor(stove_2135)', 'open_executor(stove_2135)', 'wa
lk_executor(sink_19)', 'walk_executor(cupboard_117)', 'walk_executor(fridge_126)', 'switchoff_execut
or(fridge_126)', 'open_executor(fridge_126)', 'walk_executor(cupboard_118)', 'open_executor(cupboard
_118)', 'walk_executor(kitchen_counter_122)', 'walk_executor(fryingpan_2154)', 'grab_executor(frying
pan_2154)', 'walk_executor(stove_2135)', 'put_executor(fryingpan_2154, stove_2135)', 'switchon_execu
tor(stove_2135)', 'walk_executor(oil_2149)', 'grab_executor(oil_2149)', 'walk_executor(fryingpan_215
4)', 'putin_executor(oil_2149, fryingpan_2154)', 'walk_executor(food_steak_2080)', 'grab_executor(fo
od_steak_2080)', 'walk_executor(fryingpan_2154)', 'putin_executor(food_steak_2080, fryingpan_2154)',
 'grab_executor(food_steak_2080)', 'walk_executor(cutting_board_2123)', 'put_executor(food_steak_208
0, cutting_board_2123)', 'walk_executor(knife_2035)', 'grab_executor(knife_2035)', 'walk_executor(fo
od_steak_2080)', 'cut_executor(food_steak_2080)']","Time consume: 516 seconds
Exp_helper query times: 1
Guidance query times: 3
library scale: 63
goal generate times: 31
goal correct times: 0
action_num: 31
","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 4 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/cooking/hard/Make_latte.txt,"make a cup of coffee using the coffee maker, then add milk and sugar.","['walk_executor(coffe_maker_130)', 'open_executor(coffe_maker_130)', 'walk_executor(kitchen_counter_
123)', 'walk_executor(coffe_maker_130)', 'close_executor(coffe_maker_130)', 'switchon_executor(coffe
_maker_130)', 'switchoff_executor(coffe_maker_130)', 'open_executor(coffe_maker_130)', 'close_execut
or(coffe_maker_130)', 'switchon_executor(coffe_maker_130)', 'switchoff_executor(coffe_maker_130)', '
open_executor(coffe_maker_130)', 'walk_executor(kitchen_counter_119)', 'walk_executor(coffe_maker_13
0)', 'walk_executor(cupboard_117)', 'walk_executor(coffe_maker_130)', 'walk_executor(coffee_filter_2
053)', 'grab_executor(coffee_filter_2053)', 'walk_executor(coffe_maker_130)', 'putin_executor(coffee
_filter_2053, coffe_maker_130)', 'close_executor(coffe_maker_130)', 'switchon_executor(coffe_maker_1
30)', 'walk_executor(table_114)', 'walk_executor(cup_2132)', 'walk_executor(cup_2133)', 'walk_execut
or(cup_2134)', 'walk_executor(cup_2049)', 'walk_executor(milk_2115)', 'grab_executor(milk_2115)', 'w
alk_executor(cup_2132)', 'putin_executor(milk_2115, cup_2132)', 'walk_executor(bowl_2141)', 'walk_ex
ecutor(bowl_2142)', 'walk_executor(bowl_2140)', 'walk_executor(cupboard_118)', 'open_executor(cupboa
rd_118)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open_executor(fridge_126)'
, 'grab_executor(food_sugar_2111)', 'walk_executor(cup_2132)', 'putin_executor(food_sugar_2111, cup_
2132)']","Time consume: 311 seconds
Exp_helper query times: 1
Guidance query times: 1
library scale: 63
goal generate times: 9
goal correct times: 0
action_num: 42
","Keystate: k1 - Requires: 17 steps
Action Completion Rate: No actions required",Scene_id: 1
Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/cooking/hard/Roast_chicken.txt,Roast chicken with onion in the oven.,"['walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'walk_e
xecutor(oven_141)', 'open_executor(oven_141)', 'walk_executor(food_chicken_2050)', 'grab_executor(fo
od_chicken_2050)', 'walk_executor(oven_141)', 'putin_executor(food_chicken_2050, oven_141)', 'walk_e
xecutor(fridge_140)', 'walk_executor(oven_141)', 'close_executor(oven_141)', 'switchon_executor(oven
_141)']","Time consume: 278 seconds
Exp_helper query times: 0
Guidance query times: 3
library scale: 63
goal generate times: 22
goal correct times: 1
action_num: 13
","Keystate: k1 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/cooking/hard/Egg_salad.txt,"Make a bowl of egg salad with boiled egg, lemon, and vegetables.","['walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'grab_e
xecutor(food_egg_2053)', 'walk_executor(cutting_board_2080)', 'put_executor(food_egg_2053, cutting_b
oard_2080)', 'walk_executor(food_egg_2053)', 'walk_executor(food_lemon_2061)', 'grab_executor(food_l
emon_2061)', 'walk_executor(cutting_board_2080)', 'put_executor(food_lemon_2061, cutting_board_2080)
', 'walk_executor(food_lemon_2061)', 'walk_executor(food_vegetable_2072)', 'grab_executor(food_veget
able_2072)', 'walk_executor(cutting_board_2080)', 'put_executor(food_vegetable_2072, cutting_board_2
080)', 'walk_executor(food_vegetable_2072)', 'grab_executor(food_vegetable_2072)', 'wash_executor(fo
od_vegetable_2072)', 'walk_executor(faucet_134)', 'switchoff_executor(faucet_134)', 'walk_executor(k
itchen_counter_129)', 'walk_executor(table_127)', 'walk_executor(food_egg_2053)', 'grab_executor(foo
d_egg_2053)', 'walk_executor(bowl_2096)', 'putin_executor(food_egg_2053, bowl_2096)', 'walk_executor
(food_lemon_2061)', 'grab_executor(food_lemon_2061)', 'walk_executor(bowl_2096)', 'putin_executor(fo
od_lemon_2061, bowl_2096)', 'putin_executor(food_vegetable_2072, bowl_2096)']","Time consume: 326 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 63
goal generate times: 4
goal correct times: 1
action_num: 32
","Keystate: k1 - Requires: 12 steps
Keystate: k2 - Requires: 23 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/cooking/hard/Egg_salad.txt,"Make a bowl of egg salad with boiled egg, lemon, and vegetables.","['walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_executor(fridge_126)', 'switcho
ff_executor(fridge_126)', 'open_executor(fridge_126)', 'grab_executor(food_egg_2092)', 'walk_executo
r(pot_78)', 'putin_executor(food_egg_2092, pot_78)', 'grab_executor(pot_78)', 'walk_executor(faucet_
20)', 'switchon_executor(faucet_20)', 'switchoff_executor(faucet_20)', 'walk_executor(stove_2135)', 
'put_executor(pot_78, stove_2135)', 'switchon_executor(stove_2135)', 'walk_executor(food_vegetable_2
113)', 'grab_executor(food_vegetable_2113)', 'walk_executor(faucet_20)', 'switchon_executor(faucet_2
0)', 'wash_executor(food_vegetable_2113)', 'switchoff_executor(faucet_20)', 'walk_executor(cutting_b
oard_2123)', 'put_executor(food_vegetable_2113, cutting_board_2123)', 'walk_executor(knife_2037)', '
grab_executor(knife_2037)', 'walk_executor(food_vegetable_2113)', 'cut_executor(food_vegetable_2113)
', 'walk_executor(food_lemon_2100)', 'grab_executor(food_lemon_2100)', 'walk_executor(cutting_board_
2123)', 'put_executor(food_lemon_2100, cutting_board_2123)', 'walk_executor(food_lemon_2100)', 'cut_
executor(food_lemon_2100)']","Time consume: 826 seconds
Exp_helper query times: 0
Guidance query times: 3
library scale: 63
goal generate times: 25
goal correct times: 1
action_num: 33
","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 15 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/cooking/hard/Scramble_egg.txt,Scramble egg by the fryingpan.,"['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_e
xecutor(stove_2065)', 'open_executor(stove_2065)', 'walk_executor(fryingpan_2083)', 'walk_executor(f
ood_egg_2020)', 'grab_executor(food_egg_2020)', 'walk_executor(fryingpan_2083)', 'putin_executor(foo
d_egg_2020, fryingpan_2083)']","Time consume: 90 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 63
goal generate times: 3
goal correct times: 0
action_num: 10
","Keystate: k1 - Requires: 8 steps
Keystate: k2 - Requires: 11 steps
Action Completion Rate: No actions required",Scene_id: 0
