Goal Representation,Debug Result,Action,Add Info,LLM Answer,Plan
Clean the bathroom,Prepare a sink of soapy water in the bathroom.,"['walk_executor(sink_42)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_ex
ecutor(faucet_43)', 'walk_executor(soap_2053)', 'grab_executor(soap_2053)', 'walk_executor(sink_42)'
, 'putin_executor(soap_2053, sink_42)']",True,1,cdl_dataset/dataset/Clean_the_bathroom/g2.txt
Clean the bathroom,Clean the bathroom sink directly.,"['walk_executor(sink_42)', 'scrub_executor(sink_42)']",True,1,cdl_dataset/dataset/Clean_the_bathroom/g1.txt
Listen to music,Turn on the dvd player with remote control.,"['walk_executor(tvstand_225)', 'walk_executor(tvstand_353)', 'walk_executor(remote_control_2052)', '
switchon_executor(remote_control_2052)', 'walk_executor(dvd_player_2061)', 'plugin_executor(dvd_play
er_2061)', 'switchon_executor(dvd_player_2061)']",False,"Keystate: k1 - Completion Rate: 1.0
Action Completion Rate: 0.0",cdl_dataset/dataset/Listen_to_music/g2.txt
Listen to music,Turn on the cd player.,"['walk_executor(table_355)', 'walk_executor(remote_control_2052)', 'walk_executor(dvd_player_2061)',
 'open_executor(dvd_player_2061)', 'walk_executor(tvstand_225)', 'walk_executor(cd_player_2060)', 'o
pen_executor(cd_player_2060)', 'plugin_executor(cd_player_2060)', 'close_executor(cd_player_2060)', 
'switchon_executor(cd_player_2060)']",False,"Keystate: k1 - Completion Rate: 0.11111111111111116
Keystate: k2 - Completion Rate: 0.33333333333333337
Action Completion Rate: No actions required",cdl_dataset/dataset/Listen_to_music/g1.txt
Wash dishes with dishwasher,Put dish soap in the dishwasher. Then wash the bowls and the plates with dishwasher.,"['walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001)']",False,"Keystate: k1 - Completion Rate: 0.33333333333333337
Keystate: k2 - Completion Rate: 0.125
Action Completion Rate: No actions required",cdl_dataset/dataset/Wash_dishes_with_dishwasher/g2.txt
Wash dishes with dishwasher,Wash the bowls and plates with dishwasher. And wash forks by hand.,"['walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(dishwasher_1001)', 'op
en_executor(dishwasher_1001)', 'walk_executor(kitchen_counter_230)', 'walk_executor(sink_231)', 'wal
k_executor(plate_1000)', 'walk_executor(table_226)', 'walk_executor(bowl_2071)', 'grab_executor(bowl
_2071)', 'walk_executor(dishwasher_1001)', 'putin_executor(bowl_2071, dishwasher_1001)', 'walk_execu
tor(bowl_2072)', 'grab_executor(bowl_2072)', 'walk_executor(dishwasher_1001)', 'putin_executor(bowl_
2072, dishwasher_1001)', 'walk_executor(plate_1000)', 'grab_executor(plate_1000)', 'walk_executor(di
shwasher_1001)', 'putin_executor(plate_1000, dishwasher_1001)', 'close_executor(dishwasher_1001)', '
switchon_executor(dishwasher_1001)']",False,"Keystate: k1 - Completion Rate: 1.0
Action Completion Rate: 0.0",cdl_dataset/dataset/Wash_dishes_with_dishwasher/g3.txt
Wash dishes with dishwasher,wash the bowls and the plates with dishwasher,"['walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(dishwasher_1001)', 'op
en_executor(dishwasher_1001)', 'walk_executor(kitchen_counter_230)', 'walk_executor(sink_231)', 'wal
k_executor(table_355)', 'walk_executor(bathroom_cabinet_40)', 'open_executor(bathroom_cabinet_40)', 
'walk_executor(table_226)', 'walk_executor(bowl_2071)', 'grab_executor(bowl_2071)', 'walk_executor(d
ishwasher_1001)', 'putin_executor(bowl_2071, dishwasher_1001)', 'walk_executor(bowl_2072)', 'grab_ex
ecutor(bowl_2072)', 'walk_executor(dishwasher_1001)', 'putin_executor(bowl_2072, dishwasher_1001)', 
'walk_executor(plate_1000)', 'grab_executor(plate_1000)', 'walk_executor(dishwasher_1001)', 'putin_e
xecutor(plate_1000, dishwasher_1001)', 'close_executor(dishwasher_1001)', 'switchon_executor(dishwas
her_1001)']",True,1,cdl_dataset/dataset/Wash_dishes_with_dishwasher/g1.txt
Change TV channel,Turn on the TV with the remote control.,"['walk_executor(tvstand_225)', 'walk_executor(tvstand_353)', 'walk_executor(remote_control_2052)', '
grab_executor(remote_control_2052)', 'switchon_executor(remote_control_2052)']",False,Action Completion Rate: 0.0,cdl_dataset/dataset/Change_TV_channel/g2.txt
Change TV channel,"Sitting on the couch, then turn on the TV with the remote control.","['walk_executor(couch_352)', 'sit_executor(couch_352)']",False,"Keystate: k1 - Completion Rate: 1.0
Action Completion Rate: 0.0",cdl_dataset/dataset/Change_TV_channel/g3.txt
Make coffee,"make a cup of coffee using the coffee maker, then add milk and sugar.","['walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(table_355)', 'walk_exe
cutor(coffee_table_2068)', 'walk_executor(coffe_maker_290)', 'open_executor(coffe_maker_290)', 'walk
_executor(cup_2063)', 'walk_executor(coffe_maker_290)', 'walk_executor(cup_2064)', 'walk_executor(fa
ucet_232)', 'switchon_executor(faucet_232)', 'switchoff_executor(faucet_232)', 'walk_executor(coffe_
maker_290)', 'close_executor(coffe_maker_290)', 'switchon_executor(coffe_maker_290)']",False,"Keystate: k1 - Completion Rate: 0.0
Action Completion Rate: No actions required",cdl_dataset/dataset/Make_coffee/g2.txt
