Goal Representation,Debug Result,Action,Add Info,LLM Answer,Plan
Clean the bathroom,Prepare a sink of soapy water in the bathroom.,"['walk_executor(sink_42)', 'walk_executor(sink_231)']",False,"Keystate: k1 - Completion Rate: 0.0
Action Completion Rate: 0.0",None
Clean the bathroom,Clean the bathroom sink directly.,"['walk_executor(sink_42)', 'walk_executor(cleaning_solution_2073)', 'grab_executor(cleaning_solution
_2073)', 'walk_executor(detergent_2084)', 'grab_executor(detergent_2084)', 'walk_executor(basket_for
_clothes_2006)', 'put_executor(cleaning_solution_2073, basket_for_clothes_2006)', 'walk_executor(sin
k_42)', 'scrub_executor(sink_42)']",True,1,None
Listen to music,Turn on the dvd player with remote control.,"['walk_executor(tvstand_225)', 'walk_executor(tvstand_353)', 'walk_executor(remote_control_2052)']",False,"Keystate: k1 - Completion Rate: 0.0
Action Completion Rate: 0.0",None
Listen to music,Turn on the cd player.,"['walk_executor(tvstand_225)', 'walk_executor(cd_player_2060)', 'open_executor(cd_player_2060)', 'pl
ugin_executor(cd_player_2060)', 'close_executor(cd_player_2060)', 'switchon_executor(cd_player_2060)
']",False,"Keystate: k1 - Completion Rate: 0.11111111111111116
Keystate: k2 - Completion Rate: 0.33333333333333337
Action Completion Rate: No actions required",None
Wash dishes with dishwasher,Put dish soap in the dishwasher. Then wash the bowls and the plates with dishwasher.,[],False,"Keystate: k1 - Completion Rate: 0.0
Keystate: k2 - Completion Rate: 0.0
Action Completion Rate: No actions required",None
Wash dishes with dishwasher,Wash the bowls and plates with dishwasher. And wash forks by hand.,"['walk_executor(coffee_table_2068)', 'walk_executor(dishwasher_1001)', 'open_executor(dishwasher_100
1)', 'walk_executor(kitchen_counter_230)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_22
9)', 'walk_executor(tray_296)', 'walk_executor(sink_42)', 'walk_executor(table_226)', 'walk_executor
(bowl_2071)', 'grab_executor(bowl_2071)', 'walk_executor(dishwasher_1001)', 'putin_executor(bowl_207
1, dishwasher_1001)', 'walk_executor(table_226)', 'walk_executor(bowl_2072)', 'grab_executor(bowl_20
72)', 'walk_executor(dishwasher_1001)', 'putin_executor(bowl_2072, dishwasher_1001)', 'walk_executor
(table_226)', 'walk_executor(mat_236)', 'walk_executor(tvstand_225)', 'walk_executor(mat_237)', 'wal
k_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_execut
or(sink_231)', 'walk_executor(plate_1000)', 'grab_executor(plate_1000)', 'walk_executor(dishwasher_1
001)', 'putin_executor(plate_1000, dishwasher_1001)', 'close_executor(dishwasher_1001)', 'switchon_e
xecutor(dishwasher_1001)', 'walk_executor(fork_2080)', 'wash_executor(fork_2080)']",True,1,None
Wash dishes with dishwasher,wash the bowls and the plates with dishwasher,"['walk_executor(coffee_table_2068)', 'walk_executor(kitchen_counter_230)', 'walk_executor(dishwasher
_1001)']",True,1,None
Change TV channel,Turn on the TV with the remote control.,"['walk_executor(coffee_table_2068)', 'walk_executor(remote_control_2052)', 'grab_executor(remote_con
trol_2052)', 'walk_executor(television_248)', 'walk_executor(television_410)', 'walk_executor(washin
g_machine_2007)', 'put_executor(remote_control_2052, washing_machine_2007)', 'walk_executor(televisi
on_410)', 'switchon_executor(television_410)']",False,Action Completion Rate: 0.0,None
Change TV channel,"Sitting on the couch, then turn on the TV with the remote control.","['walk_executor(couch_352)', 'sit_executor(couch_352)', 'standup_executor(char)', 'walk_executor(rem
ote_control_2052)', 'grab_executor(remote_control_2052)']",False,"Keystate: k1 - Completion Rate: 1.0
Action Completion Rate: 0.0",None
Make coffee,"make a cup of coffee using the coffee maker, then add milk and sugar.","['walk_executor(coffe_maker_290)', 'switchon_executor(coffe_maker_290)', 'walk_executor(kitchen_coun
ter_230)', 'walk_executor(cup_2063)', 'grab_executor(cup_2063) (Failed)', 'grab_executor(cup_2063) (
Failed)']",False,"Keystate: k1 - Completion Rate: 0.10526315789473684
Action Completion Rate: No actions required",None
