Task Category,Content,Executed Actions,Info,Success Rate,Task Path
Wash dishes with dishwasher,Put cleaning solution in the dishwasher. Then wash the bowls and the plates with dishwasher.,"['walk_executor(kitchen_counter_119)', 'walk_executor(cupboard_118)', 'open_executor(cupboard_118)',
 'walk_executor(cupboard_117)', 'walk_executor(dishwasher_129)', 'open_executor(dishwasher_129)', 'w
alk_executor(bathroom_cabinet_17)', 'open_executor(bathroom_cabinet_17)', 'walk_executor(bathroom_co
unter_18)', 'walk_executor(sink_19)', 'walk_executor(cleaning_solution_2143)', 'grab_executor(cleani
ng_solution_2143)', 'walk_executor(dishwasher_129)', 'putin_executor(cleaning_solution_2143, dishwas
her_129)', 'walk_executor(bowl_2140)', 'grab_executor(bowl_2140)', 'walk_executor(dishwasher_129)', 
'putin_executor(bowl_2140, dishwasher_129)', 'walk_executor(bowl_2141)', 'grab_executor(bowl_2141)',
 'walk_executor(dishwasher_129)', 'putin_executor(bowl_2141, dishwasher_129)', 'walk_executor(bowl_2
142)', 'grab_executor(bowl_2142)', 'walk_executor(dishwasher_129)', 'putin_executor(bowl_2142, dishw
asher_129)', 'walk_executor(plate_2152)', 'grab_executor(plate_2152)', 'walk_executor(dishwasher_129
)', 'putin_executor(plate_2152, dishwasher_129)', 'close_executor(dishwasher_129)', 'switchon_execut
or(dishwasher_129)']","Time consume: 182 seconds
Exp_helper query times: 1",1,cdl_dataset/dataset/Wash_dishes_with_dishwasher/g2.txt
Change TV channel,Turn on the TV with the remote control.,"['walk_executor(tvstand_116)', 'walk_executor(tvstand_273)', 'walk_executor(remote_control_2124)', '
touch_executor(remote_control_2124)']","Time consume: 47 seconds
Exp_helper query times: 0",Action Completion Rate: 0.0,cdl_dataset/dataset/Change_TV_channel/g2.txt
Prepare a reading space,Find the book and put it on the coffee table in home office.,"['walk_executor(bookshelf_196)', 'open_executor(bookshelf_196)', 'walk_executor(bookshelf_124)', 'op
en_executor(bookshelf_124)', 'walk_executor(book_2136)', 'open_executor(book_2136)', 'walk_executor(
book_2137)', 'open_executor(book_2137)', 'walk_executor(novel_2060)', 'open_executor(novel_2060)', '
walk_executor(book_2136)', 'grab_executor(book_2136)', 'walk_executor(table_270)', 'put_executor(boo
k_2136, table_270)']","Time consume: 77 seconds
Exp_helper query times: 0",1,cdl_dataset/dataset/Prepare_a_reading_space/g1.txt
Pet cat,Find my cat and touch it,"['walk_executor(couch_269)', 'walk_executor(couch_198)', 'walk_executor(cat_2127)', 'walk_executor(c
ouch_198)', 'walk_executor(cat_2127)', 'touch_executor(cat_2127)']","Time consume: 45 seconds
Exp_helper query times: 0",Action Completion Rate: 0.0,cdl_dataset/dataset/Pet_cat/g1.txt
Wash dishes with dishwasher,wash the bowls and the plates with dishwasher,"['walk_executor(dishwasher_129)', 'open_executor(dishwasher_129)', 'walk_executor(cupboard_118)', 'o
pen_executor(cupboard_118)', 'walk_executor(dishwasher_129)', 'walk_executor(cupboard_117)', 'walk_e
xecutor(dishwasher_129)', 'walk_executor(sink_120)', 'walk_executor(dishwasher_129)', 'walk_executor
(bowl_2140)', 'grab_executor(bowl_2140)', 'walk_executor(dishwasher_129)', 'putin_executor(bowl_2140
, dishwasher_129)', 'walk_executor(bowl_2141)', 'grab_executor(bowl_2141)', 'walk_executor(dishwashe
r_129)', 'putin_executor(bowl_2141, dishwasher_129)', 'walk_executor(bowl_2142)', 'grab_executor(bow
l_2142)', 'walk_executor(dishwasher_129)', 'putin_executor(bowl_2142, dishwasher_129)', 'walk_execut
or(plate_2152)', 'grab_executor(plate_2152)', 'walk_executor(dishwasher_129)', 'putin_executor(plate
_2152, dishwasher_129)', 'close_executor(dishwasher_129)', 'switchon_executor(dishwasher_129)']","Time consume: 218 seconds
Exp_helper query times: 0",1,cdl_dataset/dataset/Wash_dishes_with_dishwasher/g1.txt
Vacuum the floor,Vacuum the floor.,"['walk_executor(kitchen_counter_119)', 'walk_executor(washing_machine_2079)', 'open_executor(washing
_machine_2079)', 'walk_executor(dishwasher_129)', 'open_executor(dishwasher_129)', 'walk_executor(tr
ashcan_99)', 'walk_executor(vacuum_cleaner_2139)', 'grab_executor(vacuum_cleaner_2139)', 'plugin_exe
cutor(vacuum_cleaner_2139)', 'switchon_executor(vacuum_cleaner_2139)', 'walk_executor(floor_10)', 'w
ash_executor(floor_10)', 'walk_executor(floor_51)', 'wash_executor(floor_51)', 'switchoff_executor(v
acuum_cleaner_2139)', 'plugout_executor(vacuum_cleaner_2139)', 'plugin_executor(vacuum_cleaner_2139)
', 'switchon_executor(vacuum_cleaner_2139)', 'push_executor(vacuum_cleaner_2139)', 'pull_executor(va
cuum_cleaner_2139)', 'push_executor(vacuum_cleaner_2139)', 'pull_executor(vacuum_cleaner_2139)', 'pu
sh_executor(vacuum_cleaner_2139)', 'pull_executor(vacuum_cleaner_2139)', 'push_executor(vacuum_clean
er_2139)', 'pull_executor(vacuum_cleaner_2139)', 'push_executor(vacuum_cleaner_2139)', 'pull_executo
r(vacuum_cleaner_2139)', 'push_executor(vacuum_cleaner_2139)', 'pull_executor(vacuum_cleaner_2139)',
 'push_executor(vacuum_cleaner_2139)', 'pull_executor(vacuum_cleaner_2139)', 'push_executor(vacuum_c
leaner_2139)', 'pull_executor(vacuum_cleaner_2139)', 'push_executor(vacuum_cleaner_2139)', 'pull_exe
cutor(vacuum_cleaner_2139)', 'push_executor(vacuum_cleaner_2139)', 'pull_executor(vacuum_cleaner_213
9)', 'push_executor(vacuum_cleaner_2139)', 'pull_executor(vacuum_cleaner_2139)', 'push_executor(vacu
um_cleaner_2139)', 'pull_executor(vacuum_cleaner_2139)', 'push_executor(vacuum_cleaner_2139)', 'pull
_executor(vacuum_cleaner_2139)', 'push_executor(vacuum_cleaner_2139)', 'pull_executor(vacuum_cleaner
_2139)', 'push_executor(vacuum_cleaner_2139)', 'pull_executor(vacuum_cleaner_2139)', 'push_executor(
vacuum_cleaner_2139)', 'pull_executor(vacuum_cleaner_2139)', 'push_executor(vacuum_cleaner_2139)', '
pull_executor(vacuum_cleaner_2139)', 'push_executor(vacuum_cleaner_2139)', 'pull_executor(vacuum_cle
aner_2139)', 'push_executor(vacuum_cleaner_2139)', 'pull_executor(vacuum_cleaner_2139)', 'push_execu
tor(vacuum_cleaner_2139)', 'pull_executor(vacuum_cleaner_2139)', 'push_executor(vacuum_cleaner_2139)
', 'pull_executor(vacuum_cleaner_2139)', 'push_executor(vacuum_cleaner_2139)', 'pull_executor(vacuum
_cleaner_2139)', 'push_executor(vacuum_cleaner_2139)', 'pull_executor(vacuum_cleaner_2139)', 'push_e
xecutor(vacuum_cleaner_2139)', 'pull_executor(vacuum_cleaner_2139)', 'push_executor(vacuum_cleaner_2
139)', 'pull_executor(vacuum_cleaner_2139)', 'push_executor(vacuum_cleaner_2139)', 'pull_executor(va
cuum_cleaner_2139)', 'push_executor(vacuum_cleaner_2139)', 'pull_executor(vacuum_cleaner_2139)', 'pu
sh_executor(vacuum_cleaner_2139)', 'pull_executor(vacuum_cleaner_2139)', 'push_executor(vacuum_clean
er_2139)', 'pull_executor(vacuum_cleaner_2139)', 'push_executor(vacuum_cleaner_2139)', 'pull_executo
r(vacuum_cleaner_2139)', 'push_executor(vacuum_cleaner_2139)', 'pull_executor(vacuum_cleaner_2139)',
 'push_executor(vacuum_cleaner_2139)', 'pull_executor(vacuum_cleaner_2139)', 'push_executor(vacuum_c
leaner_2139)', 'pull_executor(vacuum_cleaner_2139)', 'push_executor(vacuum_cleaner_2139)', 'pull_exe
cutor(vacuum_cleaner_2139)', 'push_executor(vacuum_cleaner_2139)', 'pull_executor(vacuum_cleaner_213
9)']","Time consume: 216 seconds
Exp_helper query times: 0","Keystate: k1 - Requires: 0 steps
Action Completion Rate: 0.0",cdl_dataset/dataset/Vacuum_the_living_room/g1.txt
Put groceries in Fridge,"Put milk and egg on the table in dining room. Throw all the items in the fridge to the trashcan. The
n put milk and eggs back in the fridge.","['walk_executor(kitchen_counter_119)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)'
, 'open_executor(fridge_126)', 'walk_executor(ceilinglamp_138)', 'walk_executor(computer_276)', 'wal
k_executor(trashcan_99)', 'walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_execut
or(table_114)', 'walk_executor(milk_2115)', 'grab_executor(milk_2115)', 'put_executor(milk_2115, tab
le_114)', 'walk_executor(food_egg_2092)', 'grab_executor(food_egg_2092)', 'walk_executor(table_114)'
, 'put_executor(food_egg_2092, table_114)', 'walk_executor(food_steak_2080)', 'grab_executor(food_st
eak_2080)', 'walk_executor(trashcan_99)', 'putin_executor(food_steak_2080, trashcan_99)', 'walk_exec
utor(food_apple_2081)', 'grab_executor(food_apple_2081)', 'walk_executor(trashcan_99)', 'putin_execu
tor(food_apple_2081, trashcan_99)', 'walk_executor(food_bacon_2082)', 'grab_executor(food_bacon_2082
)', 'walk_executor(trashcan_99)', 'putin_executor(food_bacon_2082, trashcan_99)', 'walk_executor(foo
d_banana_2083)', 'grab_executor(food_banana_2083)', 'walk_executor(trashcan_99)', 'putin_executor(fo
od_banana_2083, trashcan_99)', 'walk_executor(food_cake_2085)', 'grab_executor(food_cake_2085)', 'wa
lk_executor(trashcan_99)', 'putin_executor(food_cake_2085, trashcan_99)', 'walk_executor(food_carrot
_2086)', 'grab_executor(food_carrot_2086)', 'walk_executor(trashcan_99)', 'putin_executor(food_carro
t_2086, trashcan_99)', 'walk_executor(food_cereal_2087)', 'grab_executor(food_cereal_2087)', 'walk_e
xecutor(trashcan_99)', 'putin_executor(food_cereal_2087, trashcan_99)', 'walk_executor(food_cheese_2
088)', 'grab_executor(food_cheese_2088)', 'walk_executor(trashcan_99)', 'putin_executor(food_cheese_
2088, trashcan_99)', 'walk_executor(food_chicken_2089)', 'grab_executor(food_chicken_2089)', 'walk_e
xecutor(trashcan_99)', 'putin_executor(food_chicken_2089, trashcan_99)', 'walk_executor(food_dessert
_2090)', 'grab_executor(food_dessert_2090)', 'walk_executor(trashcan_99)', 'putin_executor(food_dess
ert_2090, trashcan_99)', 'walk_executor(food_donut_2091)', 'grab_executor(food_donut_2091)', 'walk_e
xecutor(trashcan_99)', 'putin_executor(food_donut_2091, trashcan_99)', 'walk_executor(food_fish_2093
)', 'grab_executor(food_fish_2093)', 'walk_executor(trashcan_99)', 'putin_executor(food_fish_2093, t
rashcan_99)', 'walk_executor(food_food_2094)', 'grab_executor(food_food_2094)', 'walk_executor(trash
can_99)', 'putin_executor(food_food_2094, trashcan_99)', 'walk_executor(food_fruit_2095)', 'grab_exe
cutor(food_fruit_2095)', 'walk_executor(trashcan_99)', 'putin_executor(food_fruit_2095, trashcan_99)
', 'walk_executor(food_hamburger_2096)', 'grab_executor(food_hamburger_2096)', 'walk_executor(trashc
an_99)', 'putin_executor(food_hamburger_2096, trashcan_99)', 'walk_executor(food_ice_cream_2097)', '
grab_executor(food_ice_cream_2097)', 'walk_executor(trashcan_99)', 'putin_executor(food_ice_cream_20
97, trashcan_99)', 'walk_executor(food_jam_2098)', 'grab_executor(food_jam_2098)', 'walk_executor(tr
ashcan_99)', 'putin_executor(food_jam_2098, trashcan_99)', 'walk_executor(food_kiwi_2099)', 'grab_ex
ecutor(food_kiwi_2099)', 'walk_executor(trashcan_99)', 'putin_executor(food_kiwi_2099, trashcan_99)'
, 'walk_executor(food_lemon_2100)', 'grab_executor(food_lemon_2100)', 'walk_executor(trashcan_99)', 
'putin_executor(food_lemon_2100, trashcan_99)', 'walk_executor(food_noodles_2101)', 'grab_executor(f
ood_noodles_2101)', 'walk_executor(trashcan_99)', 'putin_executor(food_noodles_2101, trashcan_99)', 
'walk_executor(food_oatmeal_2102)', 'grab_executor(food_oatmeal_2102)', 'walk_executor(trashcan_99)'
, 'putin_executor(food_oatmeal_2102, trashcan_99)', 'walk_executor(food_orange_2103)', 'grab_executo
r(food_orange_2103)', 'walk_executor(trashcan_99)', 'putin_executor(food_orange_2103, trashcan_99)',
 'walk_executor(food_onion_2104)', 'grab_executor(food_onion_2104)', 'walk_executor(trashcan_99)', '
putin_executor(food_onion_2104, trashcan_99)', 'walk_executor(food_peanut_butter_2105)', 'grab_execu
tor(food_peanut_butter_2105)', 'walk_executor(trashcan_99)', 'putin_executor(food_peanut_butter_2105
, trashcan_99)', 'walk_executor(food_pizza_2106)', 'grab_executor(food_pizza_2106)', 'walk_executor(
trashcan_99)', 'putin_executor(food_pizza_2106, trashcan_99)', 'walk_executor(food_potato_2107)', 'g
rab_executor(food_potato_2107)', 'walk_executor(trashcan_99)', 'putin_executor(food_potato_2107, tra
shcan_99)', 'walk_executor(food_rice_2108)', 'grab_executor(food_rice_2108)', 'walk_executor(trashca
n_99)', 'putin_executor(food_rice_2108, trashcan_99)', 'walk_executor(food_salt_2109)', 'grab_execut
or(food_salt_2109)', 'walk_executor(trashcan_99)', 'putin_executor(food_salt_2109, trashcan_99)', 'w
alk_executor(food_snack_2110)', 'grab_executor(food_snack_2110)', 'walk_executor(trashcan_99)', 'put
in_executor(food_snack_2110, trashcan_99)', 'walk_executor(food_sugar_2111)', 'grab_executor(food_su
gar_2111)', 'walk_executor(trashcan_99)', 'putin_executor(food_sugar_2111, trashcan_99)', 'walk_exec
utor(food_turkey_2112)', 'grab_executor(food_turkey_2112)', 'walk_executor(trashcan_99)', 'putin_exe
cutor(food_turkey_2112, trashcan_99)', 'walk_executor(food_vegetable_2113)', 'grab_executor(food_veg
etable_2113)', 'walk_executor(trashcan_99)', 'putin_executor(food_vegetable_2113, trashcan_99)', 'wa
lk_executor(sauce_2148)', 'grab_executor(sauce_2148)', 'walk_executor(trashcan_99)', 'putin_executor
(sauce_2148, trashcan_99)', 'walk_executor(food_food_2001)', 'grab_executor(food_food_2001)', 'walk_
executor(trashcan_99)', 'putin_executor(food_food_2001, trashcan_99)', 'walk_executor(food_food_2046
)', 'grab_executor(food_food_2046)', 'walk_executor(trashcan_99)', 'putin_executor(food_food_2046, t
rashcan_99)', 'walk_executor(food_onion_2048)', 'grab_executor(food_onion_2048)', 'walk_executor(tra
shcan_99)', 'putin_executor(food_onion_2048, trashcan_99)', 'walk_executor(food_food_2073)', 'grab_e
xecutor(food_food_2073)', 'walk_executor(trashcan_99)', 'putin_executor(food_food_2073, trashcan_99)
', 'walk_executor(milk_2115)', 'grab_executor(milk_2115)', 'walk_executor(fridge_126)', 'putin_execu
tor(milk_2115, fridge_126)', 'walk_executor(food_egg_2092)', 'grab_executor(food_egg_2092)', 'walk_e
xecutor(fridge_126)', 'putin_executor(food_egg_2092, fridge_126)']","Time consume: 1213 seconds
Exp_helper query times: 1",1,cdl_dataset/dataset/Put_groceries_in_Fridge/g3.txt
cdl_dataset/dataset/Put_groceries_in_Fridge/g1.txt,Syntax Error,None,None,None,cdl_dataset/dataset/Put_groceries_in_Fridge/g1.txt
Wash clothes,Wash all the clothes in the basket for clothes by adding soap to the washing machine and running it.,"['walk_executor(washing_machine_2079)', 'open_executor(washing_machine_2079)', 'walk_executor(ironin
g_board_2144)', 'walk_executor(table_199)', 'walk_executor(table_270)', 'walk_executor(table_114)', 
'walk_executor(bench_113)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open_exe
cutor(fridge_126)', 'walk_executor(basket_for_clothes_2078)', 'grab_executor(clothes_pants_2157)', '
walk_executor(washing_machine_2079)', 'putin_executor(clothes_pants_2157, washing_machine_2079)', 'w
alk_executor(bathroom_counter_18)', 'walk_executor(clothes_shirt_2158)', 'grab_executor(clothes_shir
t_2158)', 'walk_executor(washing_machine_2079)', 'putin_executor(clothes_shirt_2158, washing_machine
_2079)', 'walk_executor(bathroom_cabinet_17)', 'open_executor(bathroom_cabinet_17)', 'walk_executor(
clothes_socks_2159)', 'grab_executor(clothes_socks_2159)', 'walk_executor(washing_machine_2079)', 'p
utin_executor(clothes_socks_2159, washing_machine_2079)', 'walk_executor(sink_19)', 'walk_executor(c
lothes_skirt_2160)', 'grab_executor(clothes_skirt_2160)', 'walk_executor(washing_machine_2079)', 'pu
tin_executor(clothes_skirt_2160, washing_machine_2079)', 'walk_executor(soap_2125)', 'grab_executor(
soap_2125)', 'walk_executor(washing_machine_2079)', 'putin_executor(soap_2125, washing_machine_2079)
', 'close_executor(washing_machine_2079)', 'plugin_executor(washing_machine_2079)', 'switchon_execut
or(washing_machine_2079)']","Time consume: 191 seconds
Exp_helper query times: 1",1,cdl_dataset/dataset/Wash_clothes/g2.txt
Pet cat,Slice some chicken and give it to my cat.,['walk_executor(kitchen_counter_119)'],"Time consume: 201 seconds
Exp_helper query times: 0","Keystate: k1 - Requires: 11 steps
Keystate: k2 - Requires: 7 steps
Action Completion Rate: No actions required",cdl_dataset/dataset/Pet_cat/g2.txt
