Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Drink/g2.txt,Syntax Error,None,None,None,cdl_dataset/dataset/Drink/g2.txt
cdl_dataset/dataset/make_up_bed/g3.txt,Syntax Error,None,None,None,cdl_dataset/dataset/make_up_bed/g3.txt
Listen to music,Turn on the cd player.,"['walk_executor(desk_261)', 'walk_executor(desk_375)', 'walk_executor(nightstand_262)', 'walk_execut
or(nightstand_373)', 'walk_executor(bed_376)', 'walk_executor(bookshelf_136)', 'walk_executor(tvstan
d_135)', 'walk_executor(cd_player_2084)', 'plugin_executor(cd_player_2084)', 'switchon_executor(cd_p
layer_2084)']","Time consume: 69 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 8 steps
Keystate: k2 - Requires: 4 steps
Action Completion Rate: No actions required",cdl_dataset/dataset/Listen_to_music/g1.txt
cdl_dataset/dataset/Pet_cat/g5.txt,Syntax Error,None,None,None,cdl_dataset/dataset/Pet_cat/g5.txt
cdl_dataset/dataset/Drink/g3.txt,Syntax Error,None,None,None,cdl_dataset/dataset/Drink/g3.txt
Prepare a reading space,"Find the book and put it on the coffe table in home office. Then prepare a cup of hot milk, put it o
n the table.","['walk_executor(bookshelf_372)', 'open_executor(bookshelf_372)', 'walk_executor(bookshelf_137)', 'op
en_executor(bookshelf_137)', 'walk_executor(bookshelf_188)', 'open_executor(bookshelf_188)', 'walk_e
xecutor(book_2092)', 'open_executor(book_2092)', 'walk_executor(bookshelf_189)', 'open_executor(book
shelf_189)', 'walk_executor(bookshelf_260)', 'open_executor(bookshelf_260)', 'walk_executor(bookshel
f_136)', 'walk_executor(book_2091)', 'grab_executor(book_2091)', 'walk_executor(table_123)', 'put_ex
ecutor(book_2091, table_123)', 'grab_executor(book_2091)', 'walk_executor(table_193)', 'put_executor
(book_2091, table_193)', 'walk_executor(kitchen_counter_128)', 'walk_executor(cupboard_131)', 'open_
executor(cupboard_131)', 'walk_executor(cupboard_130)', 'walk_executor(freezer_140)', 'switchoff_exe
cutor(freezer_140)', 'open_executor(freezer_140)', 'grab_executor(milk_2074)', 'walk_executor(table_
193)', 'put_executor(milk_2074, table_193)', 'walk_executor(microwave_149)', 'open_executor(microwav
e_149)', 'walk_executor(milk_2074)', 'grab_executor(milk_2074)', 'walk_executor(microwave_149)', 'pu
tin_executor(milk_2074, microwave_149)', 'close_executor(microwave_149)', 'switchon_executor(microwa
ve_149)', 'switchoff_executor(microwave_149)', 'open_executor(microwave_149)', 'walk_executor(milk_2
074)', 'grab_executor(milk_2074)', 'walk_executor(table_193)', 'put_executor(milk_2074, table_193)']","Time consume: 590 seconds
Exp_helper query times: 1
Guidance query times: 1
library scale: 0","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 8 steps
Keystate: k3 - Requires: 6 steps
Action Completion Rate: No actions required",cdl_dataset/dataset/Prepare_a_reading_space/g4.txt
cdl_dataset/dataset/Prepare_breakfast/g1.txt,Syntax Error,None,None,None,cdl_dataset/dataset/Prepare_breakfast/g1.txt
Wash windows,Open the windows in the bathroom.,"['walk_executor(window_2156)', 'open_executor(window_2156)']","Time consume: 13 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 1",1,cdl_dataset/dataset/Wash_windows/g1.txt
cdl_dataset/dataset/Prepare_dinner/g1.txt,Syntax Error,None,None,None,cdl_dataset/dataset/Prepare_dinner/g1.txt
Iron clothes,Clean a shirt and iron this shirt.,"['walk_executor(washing_machine_2079)', 'open_executor(washing_machine_2079)', 'walk_executor(nights
tand_192)', 'walk_executor(nightstand_195)', 'open_executor(nightstand_195)', 'walk_executor(bed_197
)', 'walk_executor(dresser_274)', 'open_executor(dresser_274)', 'walk_executor(cupboard_118)', 'open
_executor(cupboard_118)', 'walk_executor(phone_2147)', 'walk_executor(pillow_287)', 'walk_executor(c
urtain_289)', 'walk_executor(bathroom_cabinet_17)', 'open_executor(bathroom_cabinet_17)', 'walk_exec
utor(bathroom_counter_18)', 'walk_executor(table_199)', 'walk_executor(chair_194)', 'walk_executor(t
elevision_281)', 'walk_executor(curtain_206)', 'walk_executor(doorjamb_37)', 'walk_executor(door_61)
', 'walk_executor(computer_276)', 'walk_executor(walllamp_307)', 'walk_executor(shoes_2033)', 'walk_
executor(drawing_202)', 'walk_executor(drawing_201)', 'walk_executor(light_212)', 'walk_executor(cup
board_117)', 'walk_executor(bookshelf_124)', 'open_executor(bookshelf_124)', 'walk_executor(bookshel
f_196)', 'open_executor(bookshelf_196)', 'walk_executor(walllamp_36)', 'walk_executor(kitchen_counte
r_122)', 'walk_executor(powersocket_282)', 'walk_executor(shower_16)', 'walk_executor(walllamp_304)'
, 'walk_executor(mat_284)', 'walk_executor(mat_32)', 'walk_executor(drawing_111)', 'walk_executor(pi
llow_106)', 'walk_executor(pillow_208)', 'walk_executor(ironing_board_2144)', 'walk_executor(cd_play
er_2129)', 'open_executor(cd_player_2129)', 'walk_executor(filing_cabinet_200)', 'open_executor(fili
ng_cabinet_200)', 'walk_executor(faucet_121)', 'walk_executor(sink_120)', 'walk_executor(basket_for_
clothes_2078)']","Time consume: 609 seconds
Exp_helper query times: 8
Guidance query times: 1
library scale: 1","Keystate: k1 - Requires: 1 steps
Keystate: k2 - Requires: 10 steps
Action Completion Rate: No actions required",cdl_dataset/dataset/Iron_clothes/g1.txt
