Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Drink/g2.txt,Syntax Error,None,None,None,cdl_dataset/dataset/Drink/g2.txt
Turn on light,Make sure there is at least one light on in every room.,"['walk_executor(bathroom_1)', 'walk_executor(bedroom_67)', 'walk_executor(dining_room_201)', 'walk_e
xecutor(home_office_319)', 'walk_executor(light_64)', 'switchon_executor(light_64)', 'walk_executor(
light_169)', 'switchon_executor(light_169)', 'walk_executor(light_245)', 'switchon_executor(light_24
5)', 'walk_executor(light_411)', 'switchon_executor(light_411)']","Time consume: 31 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 2",1,cdl_dataset/dataset/Turn_on_light/g3.txt
cdl_dataset/dataset/Pet_cat/g3.txt,Syntax Error,None,None,None,cdl_dataset/dataset/Pet_cat/g3.txt
cdl_dataset/dataset/Prepare_dinner/g1.txt,Syntax Error,None,None,None,cdl_dataset/dataset/Prepare_dinner/g1.txt
Prepare a reading space,"Find my spectacles and put it on the coffe table in home office. Then find the book and put it on th
e coffe table in home office.","['walk_executor(coffee_table_2068)', 'walk_executor(spectacles_2082)', 'grab_executor(spectacles_208
2)', 'walk_executor(coffee_table_2068)', 'put_executor(spectacles_2082, coffee_table_2068)', 'walk_e
xecutor(home_office_319)', 'walk_executor(book_2066)', 'grab_executor(book_2066)', 'walk_executor(co
ffee_table_2068)', 'put_executor(book_2066, coffee_table_2068)']","Time consume: 85 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 4",1,cdl_dataset/dataset/Prepare_a_reading_space/g5.txt
Change TV channel,"Sitting on the couch, then turn on the TV with the remote control.","['walk_executor(couch_352)', 'sit_executor(couch_352)', 'standup_executor(char)', 'walk_executor(rem
ote_control_2052)', 'grab_executor(remote_control_2052)', 'standup_executor(char) (Failed)', 'walk_e
xecutor(television_248)', 'switchon_executor(television_248)', 'switchoff_executor(television_248)',
 'switchon_executor(remote_control_2052)', 'switchon_executor(television_248)']","Time consume: 125 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 5",1,cdl_dataset/dataset/Change_TV_channel/g3.txt
cdl_dataset/dataset/Drink/g1.txt,Syntax Error,None,None,None,cdl_dataset/dataset/Drink/g1.txt
Pet cat,Shower my cat in the bathtub. Use towel to dry my cat.,[],"Time consume: 72 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 5","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 2 steps
Action Completion Rate: No actions required",cdl_dataset/dataset/Pet_cat/g5.txt
Prepare dinner,Roast chicken with onion in the oven.,"['walk_executor(freezer_140)', 'switchoff_executor(freezer_140)', 'open_executor(freezer_140)', 'was
h_executor(food_chicken_2050)', 'rinse_executor(food_chicken_2050)', 'walk_executor(kitchen_counter_
132)', 'walk_executor(food_chicken_2050)', 'wash_executor(food_chicken_2050)', 'rinse_executor(food_
chicken_2050)', 'walk_executor(cupboard_130)', 'walk_executor(food_chicken_2050)', 'wash_executor(fo
od_chicken_2050)', 'rinse_executor(food_chicken_2050)', 'walk_executor(kitchen_counter_129)', 'walk_
executor(food_chicken_2050)', 'wash_executor(food_chicken_2050)', 'rinse_executor(food_chicken_2050)
', 'walk_executor(cupboard_131)', 'open_executor(cupboard_131)', 'walk_executor(food_chicken_2050)',
 'wash_executor(food_chicken_2050)', 'rinse_executor(food_chicken_2050)', 'walk_executor(kitchen_cou
nter_128)', 'walk_executor(food_chicken_2050)', 'wash_executor(food_chicken_2050)', 'rinse_executor(
food_chicken_2050)', 'walk_executor(cutting_board_2080)', 'walk_executor(food_chicken_2050)', 'wash_
executor(food_chicken_2050)', 'rinse_executor(food_chicken_2050)', 'walk_executor(oven_141)', 'open_
executor(oven_141)', 'walk_executor(food_chicken_2050)', 'wash_executor(food_chicken_2050)', 'rinse_
executor(food_chicken_2050)', 'walk_executor(food_onion_2026)', 'wash_executor(food_onion_2026)', 'r
inse_executor(food_onion_2026)', 'walk_executor(food_chicken_2050)', 'grab_executor(food_chicken_205
0)', 'walk_executor(oven_141)', 'putin_executor(food_chicken_2050, oven_141)', 'grab_executor(food_o
nion_2026)', 'walk_executor(sink_133)', 'putin_executor(food_onion_2026, sink_133)', 'walk_executor(
food_onion_2026)', 'wash_executor(food_onion_2026)', 'grab_executor(food_onion_2026)', 'walk_executo
r(oven_141)', 'putin_executor(food_onion_2026, oven_141)']","Time consume: 89 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 5","Keystate: k1 - Requires: 2 steps
Action Completion Rate: No actions required",cdl_dataset/dataset/Prepare_dinner/g2.txt
Clean the bathroom,Clean the bathroom sink directly.,"['walk_executor(sink_42)', 'scrub_executor(sink_42)', 'rinse_executor(sink_42)']","Time consume: 13 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 6",1,cdl_dataset/dataset/Clean_the_bathroom/g1.txt
cdl_dataset/dataset/Prepare_dinner/g2.txt,Syntax Error,None,None,None,cdl_dataset/dataset/Prepare_dinner/g2.txt
Wash clothes,Wash all the clothes in the basket for clothes by adding soap to the washing machine and running it.,"['walk_executor(washing_machine_2041)', 'open_executor(washing_machine_2041)', 'walk_executor(bathro
om_counter_306)', 'walk_executor(bathroom_cabinet_305)', 'open_executor(bathroom_cabinet_305)', 'wal
k_executor(bathtub_297)', 'walk_executor(basket_for_clothes_2040)', 'grab_executor(clothes_pants_211
3)', 'walk_executor(washing_machine_2041)', 'putin_executor(clothes_pants_2113, washing_machine_2041
)', 'walk_executor(clothes_shirt_2114)', 'grab_executor(clothes_shirt_2114)', 'walk_executor(washing
_machine_2041)', 'putin_executor(clothes_shirt_2114, washing_machine_2041)', 'walk_executor(clothes_
socks_2115)', 'grab_executor(clothes_socks_2115)', 'walk_executor(washing_machine_2041)', 'putin_exe
cutor(clothes_socks_2115, washing_machine_2041)', 'walk_executor(clothes_skirt_2116)', 'grab_executo
r(clothes_skirt_2116)', 'walk_executor(washing_machine_2041)', 'putin_executor(clothes_skirt_2116, w
ashing_machine_2041)', 'walk_executor(sink_307)', 'walk_executor(detergent_2108)', 'walk_executor(fa
ucet_308)', 'walk_executor(filing_cabinet_378)', 'grab_executor(soap_2037)', 'walk_executor(washing_
machine_2041)', 'putin_executor(soap_2037, washing_machine_2041)', 'close_executor(washing_machine_2
041)', 'plugin_executor(washing_machine_2041)', 'switchon_executor(washing_machine_2041)']","Time consume: 130 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 9",1,cdl_dataset/dataset/Wash_clothes/g2.txt
Wash clothes,Wash all the clothes in the basket for clothes by washing machine.,"['walk_executor(washing_machine_2079)', 'open_executor(washing_machine_2079)', 'walk_executor(trashc
an_99)', 'walk_executor(kitchen_counter_122)', 'walk_executor(kitchen_counter_119)', 'walk_executor(
nightstand_195)', 'open_executor(nightstand_195)', 'walk_executor(ironing_board_2144)', 'walk_execut
or(sink_120)', 'walk_executor(basket_for_clothes_2078)', 'grab_executor(clothes_pants_2157)', 'walk_
executor(washing_machine_2079)', 'putin_executor(clothes_pants_2157, washing_machine_2079)', 'walk_e
xecutor(clothes_shirt_2158)', 'grab_executor(clothes_shirt_2158)', 'walk_executor(washing_machine_20
79)', 'putin_executor(clothes_shirt_2158, washing_machine_2079)', 'walk_executor(clothes_socks_2159)
', 'grab_executor(clothes_socks_2159)', 'walk_executor(washing_machine_2079)', 'putin_executor(cloth
es_socks_2159, washing_machine_2079)', 'walk_executor(clothes_skirt_2160)', 'grab_executor(clothes_s
kirt_2160)', 'walk_executor(washing_machine_2079)', 'putin_executor(clothes_skirt_2160, washing_mach
ine_2079)', 'close_executor(washing_machine_2079)', 'plugin_executor(washing_machine_2079)', 'switch
on_executor(washing_machine_2079)']","Time consume: 136 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 11",1,cdl_dataset/dataset/Wash_clothes/g1.txt
Wash clothes,"Hand wash the jacket, then wash it by washing machine.","['walk_executor(dresser_377)', 'walk_executor(walllamp_184)', 'walk_executor(bed_264)', 'walk_execut
or(clothes_jacket_2078)', 'wash_executor(clothes_jacket_2078)', 'rinse_executor(clothes_jacket_2078)
', 'wash_executor(clothes_jacket_2078)', 'rinse_executor(clothes_jacket_2078)', 'wash_executor(cloth
es_jacket_2078)', 'rinse_executor(clothes_jacket_2078)', 'walk_executor(washing_machine_2041)', 'ope
n_executor(washing_machine_2041)', 'walk_executor(clothes_jacket_2078)', 'grab_executor(clothes_jack
et_2078)', 'walk_executor(washing_machine_2041)', 'putin_executor(clothes_jacket_2078, washing_machi
ne_2041)', 'close_executor(washing_machine_2041)', 'plugin_executor(washing_machine_2041)', 'switcho
n_executor(washing_machine_2041)', 'switchoff_executor(washing_machine_2041)', 'open_executor(washin
g_machine_2041)', 'grab_executor(clothes_jacket_2078)', 'putin_executor(clothes_jacket_2078, washing
_machine_2041)', 'close_executor(washing_machine_2041)', 'switchon_executor(washing_machine_2041)', 
'switchoff_executor(washing_machine_2041)', 'open_executor(washing_machine_2041)', 'grab_executor(cl
othes_jacket_2078)', 'putin_executor(clothes_jacket_2078, washing_machine_2041)', 'close_executor(wa
shing_machine_2041)', 'switchon_executor(washing_machine_2041)']","Time consume: 198 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 11",1,cdl_dataset/dataset/Wash_clothes/g3.txt
cdl_dataset/dataset/Put_groceries_in_Fridge/g4.txt,Syntax Error,None,None,None,cdl_dataset/dataset/Put_groceries_in_Fridge/g4.txt
Prepare dinner,Cook bacon.,"['walk_executor(kitchen_counter_122)', 'walk_executor(fryingpan_2154)', 'grab_executor(fryingpan_215
4)', 'walk_executor(stove_2135)', 'put_executor(fryingpan_2154, stove_2135)', 'switchon_executor(sto
ve_2135)', 'walk_executor(kitchen_counter_122)', 'walk_executor(fridge_126)', 'switchoff_executor(fr
idge_126)', 'open_executor(fridge_126)', 'grab_executor(food_bacon_2082)', 'walk_executor(fryingpan_
2154)', 'putin_executor(food_bacon_2082, fryingpan_2154)']","Time consume: 116 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 11","Keystate: k1 - Requires: 4 steps
Action Completion Rate: No actions required",cdl_dataset/dataset/Prepare_dinner/g3.txt
cdl_dataset/dataset/Clean_the_bathroom/g2.txt,Syntax Error,None,None,None,cdl_dataset/dataset/Clean_the_bathroom/g2.txt
