Goal Representation,Debug Result,Action,Add Info,LLM Answer,Plan
"['1. Fill a cup with water.', '2. Place the cup of water in the freezer.']",,,,,
"
behavior fill_the_cup_with_water(faucet:item, cup:item):
    body:
        fill_cup_with_water(faucet, cup) 
        verify_cup_has_water(cup)
        turn_off_faucet(faucet)

behavior __goal__():
    body:
        bind faucet: item where:
            is_faucet(faucet)
        bind cup: item where:
            is_cup(cup)
        fill_the_cup_with_water(faucet, cup)
","Error trying to process rule ""behavior_definition"":

'Function fill_cup_with_water not found. Note that recursive function calls are not supported in the
 current version.'",,,,
" 
behavior fill_the_cup_with_water(faucet:item, cup:item):
    body:
        is_faucet(faucet) 
        verify_cup_has_water(cup)
        turn_off_faucet(faucet)

behavior __goal__():
    body:
        bind faucet: item where:
            is_faucet(faucet)
        bind cup: item where:
            is_cup(cup)
        fill_the_cup_with_water(faucet, cup)
",,,,,"['walk_executor(cupboard_229); open_executor(cupboard_229); exp(cup_2063, cupboard_229); walk_execut
or(cup_2063); grab_executor(cup_2063); walk_executor(faucet_43); switchon_executor(faucet_43); switc
hoff_executor(faucet_43)']"
,,,,,"(CrowControllerApplier<walk_executor(cupboard_229)>, CrowControllerApplier<open_executor(cupboard_22
9)>, CrowControllerApplier<exp(cup_2063, cupboard_229)>, CrowControllerApplier<walk_executor(cup_206
3)>, CrowControllerApplier<grab_executor(cup_2063)>, CrowControllerApplier<walk_executor(faucet_43)>
, CrowControllerApplier<switchon_executor(faucet_43)>, CrowControllerApplier<switchoff_executor(fauc
et_43)>)"
,,walk_executor(cupboard_229),"Find tray_296. Robot is inside dining_room_201. Robot is close wall_211. Robot is close cupboard_229
. Robot is no longer inside bathroom_1.",,
,,open_executor(cupboard_229),Robot is inside dining_room_201. Robot is close wall_211. Robot is close cupboard_229. ,,
,,"exp(cup_2063, cupboard_229)",Failed to find cup_2063 around cupboard_229. ,,
,,,,,"(CrowControllerApplier<walk_executor(kitchen_counter_230)>, CrowControllerApplier<exp(cup_2063, kitc
hen_counter_230)>, CrowControllerApplier<walk_executor(cup_2063)>, CrowControllerApplier<grab_execut
or(cup_2063)>, CrowControllerApplier<walk_executor(faucet_43)>, CrowControllerApplier<switchon_execu
tor(faucet_43)>, CrowControllerApplier<switchoff_executor(faucet_43)>)"
,,walk_executor(kitchen_counter_230),"Find pot_2069. Find oil_2079. Find knife_2050. Find cutting_board_2051. Find cup_2064. Find cup_2063
. Find napkin_2005. Find drawing_239. Find drawing_238. Find drawing_240. Find drawing_241. Find dra
wing_242. Find drawing_243. Robot is inside dining_room_201. Robot is close kitchen_counter_230. Rob
ot is no longer close wall_211.Robot is no longer close cupboard_229.",,
,,"exp(cup_2063, kitchen_counter_230)",Find cup_2063. ,,
,,walk_executor(cup_2063),Robot is inside dining_room_201. Robot is close kitchen_counter_230. Robot is close cup_2063. ,,
,,grab_executor(cup_2063),"Robot is inside dining_room_201. Robot is close kitchen_counter_230. Robot is close cup_2063. Grabbi
ng cup_2063 by right hand. ",,
