Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/cooking/hard/Lemonade_with_sugar.txt,Make a cup of lemon water with additional sugar.,"['walk_executor(kitchen_counter_129)', 'walk_executor(cupboard_130)', 'walk_executor(kitchen_counter
_128)', 'walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 
'grab_executor(food_lemon_2061)', 'walk_executor(cutting_board_2080)', 'put_executor(food_lemon_2061
, cutting_board_2080)', 'walk_executor(knifeblock_52)', 'walk_executor(window_346)', 'open_executor(
window_346)', 'walk_executor(bookshelf_188)', 'open_executor(bookshelf_188)', 'walk_executor(dishwas
her_143)', 'open_executor(dishwasher_143)', 'grab_executor(knife_2036)', 'walk_executor(food_lemon_2
061)', 'cut_executor(food_lemon_2061)', 'walk_executor(table_127)', 'walk_executor(table_123)', 'wal
k_executor(food_lemon_2061)', 'grab_executor(food_lemon_2061)', 'walk_executor(cup_2087)', 'putin_ex
ecutor(food_lemon_2061, cup_2087)', 'grab_executor(food_lemon_2061)', 'walk_executor(cutting_board_2
080)', 'put_executor(food_lemon_2061, cutting_board_2080)', 'walk_executor(food_lemon_2061)', 'grab_
executor(food_lemon_2061)', 'walk_executor(cup_2087)', 'putin_executor(food_lemon_2061, cup_2087)', 
'grab_executor(food_lemon_2061)', 'walk_executor(cutting_board_2080)', 'put_executor(food_lemon_2061
, cutting_board_2080)', 'walk_executor(food_lemon_2061)', 'grab_executor(food_lemon_2061)', 'walk_ex
ecutor(cup_2087)', 'putin_executor(food_lemon_2061, cup_2087)', 'walk_executor(food_sugar_2070)', 'g
rab_executor(food_sugar_2070)', 'walk_executor(cup_2087)', 'putin_executor(food_sugar_2070, cup_2087
)', 'grab_executor(cup_2087)', 'walk_executor(faucet_134)', 'switchoff_executor(faucet_134)', 'put_e
xecutor(cup_2087, kitchen_counter_132)', 'switchon_executor(faucet_134)', 'switchoff_executor(faucet
_134)', 'switchon_executor(faucet_134)', 'grab_executor(cup_2087)', 'walk_executor(faucet_308)', 'sw
itchoff_executor(faucet_308)']","Time consume: 363 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 59
goal generate times: 8
goal correct times: 1
action_num: 53
","Keystate: k1 - Requires: 4 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/cooking/hard/Make_latte.txt,"make a cup of coffee using the coffee maker, then add milk and sugar.","['walk_executor(coffe_maker_147)', 'open_executor(coffe_maker_147)', 'close_executor(coffe_maker_147
)', 'switchon_executor(coffe_maker_147)', 'walk_executor(cupboard_130)', 'walk_executor(sink_307)', 
'walk_executor(kitchen_counter_132)', 'walk_executor(kitchen_counter_128)', 'walk_executor(table_123
)', 'walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'wal
k_executor(milk_2074)', 'grab_executor(milk_2074)', 'walk_executor(cup_2087)', 'putin_executor(milk_
2074, cup_2087)', 'walk_executor(food_sugar_2070)', 'grab_executor(food_sugar_2070)', 'walk_executor
(cup_2087)', 'putin_executor(food_sugar_2070, cup_2087)']","Time consume: 127 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 59
goal generate times: 2
goal correct times: 0
action_num: 20
","Keystate: k1 - Requires: 9 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/cooking/hard/Scramble_egg.txt,Scramble egg by the fryingpan.,"['walk_executor(kitchen_counter_122)', 'walk_executor(kitchen_counter_123)', 'walk_executor(kitchen_
counter_119)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open_executor(fridge_
126)', 'grab_executor(food_egg_2092)', 'walk_executor(bowl_2140)', 'putin_executor(food_egg_2092, bo
wl_2140)', 'grab_executor(bowl_2140)', 'walk_executor(faucet_20)', 'switchon_executor(faucet_20)', '
wash_executor(bowl_2140)', 'switchoff_executor(faucet_20)', 'walk_executor(bowl_2140)', 'walk_execut
or(food_egg_2092)', 'grab_executor(food_egg_2092)', 'walk_executor(cutting_board_2123)', 'put_execut
or(food_egg_2092, cutting_board_2123)', 'walk_executor(knife_2035)', 'grab_executor(knife_2035)', 'w
alk_executor(food_egg_2092)', 'cut_executor(food_egg_2092)', 'walk_executor(kitchen_counter_122)', '
put_executor(bowl_2140, kitchen_counter_122)', 'grab_executor(fryingpan_2154)', 'walk_executor(stove
_2135)', 'put_executor(fryingpan_2154, stove_2135)', 'switchon_executor(stove_2135)', 'walk_executor
(food_egg_2092)', 'grab_executor(food_egg_2092)', 'walk_executor(fryingpan_2154)', 'putin_executor(f
ood_egg_2092, fryingpan_2154)']","Time consume: 327 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 59
goal generate times: 15
goal correct times: 2
action_num: 33
","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 7 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/cooking/hard/Egg_salad.txt,"Make a bowl of egg salad with boiled egg, lemon, and vegetables.","['walk_executor(kitchen_counter_230)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)'
, 'open_executor(fridge_289)', 'walk_executor(pot_2069)', 'open_executor(pot_2069)', 'walk_executor(
food_egg_2020)', 'grab_executor(food_egg_2020)', 'walk_executor(pot_2069)', 'putin_executor(food_egg
_2020, pot_2069)', 'grab_executor(pot_2069)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_
43)', 'switchoff_executor(faucet_43)', 'walk_executor(stove_2065)', 'put_executor(pot_2069, stove_20
65)', 'switchon_executor(stove_2065)', 'walk_executor(food_vegetable_2041)', 'grab_executor(food_veg
etable_2041)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'wash_executor(food_veget
able_2041)', 'switchoff_executor(faucet_43)', 'walk_executor(dishwasher_1001)', 'open_executor(dishw
asher_1001)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(filing_ca
binet_399)', 'open_executor(filing_cabinet_399)', 'walk_executor(ceilinglamp_26)', 'walk_executor(bo
okshelf_354)', 'open_executor(bookshelf_354)', 'walk_executor(table_226)', 'walk_executor(food_egg_2
020)', 'grab_executor(food_egg_2020)', 'walk_executor(bowl_2072)', 'putin_executor(food_egg_2020, bo
wl_2072)', 'walk_executor(food_lemon_2028)', 'grab_executor(food_lemon_2028)', 'walk_executor(bowl_2
072)', 'putin_executor(food_lemon_2028, bowl_2072)', 'putin_executor(food_vegetable_2041, bowl_2072)
']","Time consume: 403 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 59
goal generate times: 6
goal correct times: 0
action_num: 42
","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 21 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/cooking/hard/Chicken_noodle.txt,Boil some noodles with chicken.,"['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_e
xecutor(kitchen_counter_230)', 'walk_executor(pot_2069)', 'open_executor(pot_2069)', 'walk_executor(
food_noodles_2029)', 'grab_executor(food_noodles_2029)', 'walk_executor(pot_2069)', 'putin_executor(
food_noodles_2029, pot_2069)', 'walk_executor(food_chicken_2017)', 'grab_executor(food_chicken_2017)
', 'walk_executor(pot_2069)', 'putin_executor(food_chicken_2017, pot_2069)', 'grab_executor(pot_2069
)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'wa
lk_executor(stove_2065)', 'put_executor(pot_2069, stove_2065)', 'switchon_executor(stove_2065)']","Time consume: 121 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 59
goal generate times: 3
goal correct times: 0
action_num: 21
","Keystate: k1 - Requires: 11 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/cooking/hard/Scramble_egg.txt,Scramble egg by the fryingpan.,"['walk_executor(kitchen_counter_129)', 'walk_executor(fryingpan_2107)', 'grab_executor(fryingpan_210
7)', 'walk_executor(stove_2090)', 'put_executor(fryingpan_2107, stove_2090)', 'walk_executor(oil_210
2)', 'grab_executor(oil_2102)', 'walk_executor(fryingpan_2107)', 'putin_executor(oil_2102, fryingpan
_2107)', 'walk_executor(stove_2090)', 'switchon_executor(stove_2090)', 'walk_executor(kitchen_counte
r_129)', 'walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)',
 'grab_executor(food_egg_2053)', 'walk_executor(fryingpan_2107)', 'putin_executor(food_egg_2053, fry
ingpan_2107)']","Time consume: 111 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 60
goal generate times: 2
goal correct times: 0
action_num: 18
",1,Scene_id: 2
cdl_dataset/cooking/hard/Roast_chicken.txt,Roast chicken with onion in the oven.,"['walk_executor(kitchen_counter_230)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)'
, 'open_executor(fridge_289)', 'walk_executor(oven_295)', 'open_executor(oven_295)', 'walk_executor(
food_chicken_2017)', 'grab_executor(food_chicken_2017)', 'walk_executor(oven_295)', 'putin_executor(
food_chicken_2017, oven_295)', 'walk_executor(food_onion_2032)', 'grab_executor(food_onion_2032)', '
walk_executor(oven_295)', 'putin_executor(food_onion_2032, oven_295)', 'close_executor(oven_295)', '
switchon_executor(oven_295)']","Time consume: 93 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 62
goal generate times: 2
goal correct times: 0
action_num: 16
",1,Scene_id: 0
cdl_dataset/cooking/hard/Lemonade_with_sugar.txt,Make a cup of lemon water with additional sugar.,"['walk_executor(kitchen_counter_119)', 'walk_executor(kitchen_counter_122)', 'walk_executor(fridge_1
26)', 'switchoff_executor(fridge_126)', 'open_executor(fridge_126)', 'grab_executor(food_lemon_2100)
', 'walk_executor(cutting_board_2123)', 'put_executor(food_lemon_2100, cutting_board_2123)', 'walk_e
xecutor(knifeblock_76)', 'walk_executor(cupboard_117)', 'walk_executor(dishwasher_129)', 'open_execu
tor(dishwasher_129)', 'walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'grab_executor(k
nife_2037)', 'walk_executor(food_lemon_2100)', 'cut_executor(food_lemon_2100)', 'walk_executor(table
_114)', 'walk_executor(food_lemon_2100)', 'cut_executor(food_lemon_2100)', 'grab_executor(food_lemon
_2100)', 'walk_executor(cup_2132)', 'putin_executor(food_lemon_2100, cup_2132)', 'walk_executor(fauc
et_20)', 'switchon_executor(faucet_20)', 'walk_executor(cup_2132)', 'grab_executor(cup_2132)', 'walk
_executor(faucet_121)', 'switchon_executor(faucet_121)', 'switchoff_executor(faucet_121)', 'walk_exe
cutor(food_sugar_2111)', 'grab_executor(food_sugar_2111) (Failed)', 'walk_executor(faucet_20)', 'wal
k_executor(kitchen_counter_119)', 'put_executor(cup_2132, kitchen_counter_119)', 'walk_executor(food
_sugar_2111)', 'grab_executor(food_sugar_2111)', 'walk_executor(cup_2132)', 'putin_executor(food_sug
ar_2111, cup_2132)', 'grab_executor(cup_2132)', 'wash_executor(cup_2132)', 'walk_executor(faucet_20)
', 'switchoff_executor(faucet_20)']","Time consume: 331 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 66
goal generate times: 6
goal correct times: 1
action_num: 43
",1,Scene_id: 1
cdl_dataset/cooking/hard/Lemonade_with_sugar.txt,Make a cup of lemon water with additional sugar.,"['walk_executor(kitchen_counter_230)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)'
, 'open_executor(fridge_289)', 'grab_executor(food_lemon_2028)', 'walk_executor(cutting_board_2051)'
, 'put_executor(food_lemon_2028, cutting_board_2051)', 'walk_executor(knife_2050)', 'grab_executor(k
nife_2050)', 'walk_executor(food_lemon_2028)', 'cut_executor(food_lemon_2028)', 'grab_executor(food_
lemon_2028)', 'walk_executor(cup_2063)', 'putin_executor(food_lemon_2028, cup_2063)', 'walk_executor
(faucet_43)', 'switchon_executor(faucet_43)', 'walk_executor(cup_2063)', 'grab_executor(cup_2063)', 
'walk_executor(faucet_232)', 'walk_executor(kitchen_counter_230)', 'put_executor(knife_2050, kitchen
_counter_230)', 'switchon_executor(faucet_232)', 'switchoff_executor(faucet_232)', 'walk_executor(fo
od_sugar_2039)', 'grab_executor(food_sugar_2039)', 'walk_executor(cup_2063)', 'putin_executor(food_s
ugar_2039, cup_2063)', 'wash_executor(cup_2063)', 'walk_executor(faucet_43)', 'switchoff_executor(fa
ucet_43)']","Time consume: 290 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 66
goal generate times: 17
goal correct times: 0
action_num: 30
","Keystate: k1 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/cooking/hard/Make_fish_soap.txt,Cook a pot of fish soup.,"['walk_executor(kitchen_counter_129)', 'walk_executor(cupboard_130)', 'walk_executor(fridge_140)', '
switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'grab_executor(food_fish_2054)', 'wash
_executor(food_fish_2054)', 'walk_executor(faucet_134)', 'switchoff_executor(faucet_134)', 'walk_exe
cutor(food_vegetable_2072)', 'walk_executor(sauce_2101)', 'walk_executor(food_vegetable_2072)', 'gra
b_executor(food_vegetable_2072)', 'wash_executor(food_vegetable_2072)', 'walk_executor(faucet_308)',
 'switchoff_executor(faucet_308)', 'walk_executor(sauce_2101)', 'grab_executor(sauce_2101) (Failed)'
]","Time consume: 261 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 66
goal generate times: 11
goal correct times: 3
action_num: 18
","Keystate: k1 - Requires: 23 steps
Action Completion Rate: No actions required",Scene_id: 2
