Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Prepare_breakfast/g3.txt,Boil egg.,"['walk_executor(kitchen_counter_119)', 'walk_executor(stove_2135)', 'plugin_executor(stove_2135) (Fa
iled)', 'walk_executor(kitchen_counter_119)', 'grab_executor(pot_2138)', 'walk_executor(sink_120)', 
'put_executor(pot_2138, sink_120)', 'walk_executor(stove_2135)', 'walk_executor(fridge_126)', 'open_
executor(fridge_126) (Failed)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open
_executor(fridge_126)', 'grab_executor(food_egg_2092)', 'walk_executor(kitchen_counter_119)', 'grab_
executor(pot_2138)', 'walk_executor(sink_120)', 'put_executor(pot_2138, sink_120)', 'walk_executor(f
ridge_126)', 'put_executor(food_egg_2092, pot_2138) (Failed)', 'walk_executor(stove_2135)', 'put_exe
cutor(food_egg_2092, stove_2135)', 'walk_executor(sink_120)', 'grab_executor(pot_2138)', 'walk_execu
tor(faucet_121)', 'switchon_executor(faucet_121)', 'put_executor(pot_2138, faucet_121)', 'switchoff_
executor(faucet_121)', 'grab_executor(pot_2138)', 'walk_executor(stove_2135)', 'put_executor(pot_213
8, stove_2135)', 'switchon_executor(stove_2135)']","Time consume: 46 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 5 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Turn_on_light/g2.txt,Syntax Error,"['walk_executor(light_212)', 'switchon_executor(light_212)', 'walk_executor(light_39)', 'switchon_ex
ecutor(light_39)']","Time consume: 11 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Prepare_a_reading_space/g4.txt,"Find the book and put it on the coffe table in home office. Then prepare a cup of hot milk, put it o
n the table.","['walk_executor(bookshelf_275)', 'walk_executor(bookshelf_275)', 'walk_executor(bookshelf_275)', 'wa
lk_executor(bookshelf_275)', 'walk_executor(table_270)', 'walk_executor(bookshelf_275)', 'walk_execu
tor(bookshelf_275)', 'walk_executor(dining_room_41)', 'walk_executor(bookshelf_124)', 'grab_executor
(book_2137)', 'walk_executor(home_office_241)', 'walk_executor(table_270)', 'put_executor(book_2137,
 table_270)', 'walk_executor(dining_room_41)', 'walk_executor(bookshelf_124)', 'grab_executor(book_2
137)', 'walk_executor(home_office_241)', 'put_executor(book_2137, table_270) (Failed)', 'walk_execut
or(kitchen_counter_123)', 'walk_executor(table_270)', 'put_executor(book_2137, table_270)', 'walk_ex
ecutor(kitchen_counter_119)', 'walk_executor(kitchen_counter_119)', 'walk_executor(kitchen_counter_1
19)', 'walk_executor(dining_room_41)', 'walk_executor(bookshelf_124)', 'grab_executor(book_2137)', '
walk_executor(home_office_241)', 'walk_executor(table_270)', 'put_executor(book_2137, table_270)', '
walk_executor(kitchen_counter_122)', 'walk_executor(dining_room_41)', 'walk_executor(bookshelf_124)'
, 'grab_executor(book_2137)', 'walk_executor(home_office_241)', 'walk_executor(table_270)', 'put_exe
cutor(book_2137, table_270)', 'walk_executor(kitchen_counter_122)', 'walk_executor(kitchen_counter_1
22)', 'walk_executor(cupboard_117)', 'open_executor(cupboard_117) (Failed)', 'walk_executor(dining_r
oom_41)', 'walk_executor(bookshelf_124)', 'grab_executor(book_2137)', 'walk_executor(home_office_241
)', 'walk_executor(table_270)', 'put_executor(book_2137, table_270)', 'walk_executor(dining_room_41)
', 'walk_executor(kitchen_counter_122)', 'walk_executor(dining_room_41)', 'walk_executor(bookshelf_1
24)', 'grab_executor(book_2137)', 'walk_executor(home_office_241)', 'walk_executor(table_270)', 'put
_executor(book_2137, table_270)', 'walk_executor(kitchen_counter_119)', 'walk_executor(dining_room_4
1)', 'walk_executor(bookshelf_124)', 'grab_executor(book_2137)', 'walk_executor(home_office_241)', '
walk_executor(table_270)', 'put_executor(book_2137, table_270)', 'walk_executor(dining_room_41)', 'w
alk_executor(table_114)', 'grab_executor(cup_2132)', 'walk_executor(kitchen_counter_119)', 'walk_exe
cutor(faucet_121)', 'switchon_executor(faucet_121)', 'switchon_executor(faucet_121) (Failed)', 'walk
_executor(faucet_121)', 'switchoff_executor(faucet_121)', 'walk_executor(bookshelf_124)', 'grab_exec
utor(book_2137)', 'walk_executor(home_office_241)', 'walk_executor(table_270)', 'put_executor(book_2
137, table_270)', 'walk_executor(dining_room_41)', 'walk_executor(table_114)', 'walk_executor(faucet
_121)', 'switchon_executor(faucet_121)', 'switchoff_executor(faucet_121)', 'walk_executor(kitchen_co
unter_119)', 'walk_executor(milk_2115)', 'grab_executor(milk_2115)', 'walk_executor(cupboard_117)', 
'walk_executor(stove_2135)', 'switchon_executor(stove_2135)', 'walk_executor(kitchen_counter_119)', 
'walk_executor(home_office_241)', 'put_executor(cup_2132, table_270) (Failed)', 'walk_executor(dinin
g_room_41)', 'walk_executor(table_114)', 'put_executor(cup_2132, table_114)', 'walk_executor(kitchen
_counter_122)', 'walk_executor(kitchen_counter_122)', 'walk_executor(faucet_121)', 'switchon_executo
r(faucet_121)', 'switchoff_executor(faucet_121)', 'walk_executor(dining_room_41)', 'walk_executor(bo
okshelf_124)', 'grab_executor(book_2137)', 'walk_executor(home_office_241)', 'walk_executor(table_27
0)', 'put_executor(book_2137, table_270)', 'walk_executor(dining_room_41)', 'walk_executor(table_114
)', 'grab_executor(cup_2132)', 'walk_executor(stove_2135)', 'put_executor(cup_2132, stove_2135)', 'w
alk_executor(dining_room_41)', 'walk_executor(bookshelf_124)', 'grab_executor(book_2137)', 'walk_exe
cutor(home_office_241)', 'walk_executor(table_270)', 'put_executor(book_2137, table_270)', 'walk_exe
cutor(dining_room_41)', 'walk_executor(table_114)', 'grab_executor(cup_2132)', 'walk_executor(stove_
2135)', 'put_executor(cup_2132, stove_2135)', 'walk_executor(stove_2135)', 'switchon_executor(stove_
2135) (Failed)', 'walk_executor(dining_room_41)', 'walk_executor(table_114)', 'grab_executor(cup_213
2)', 'walk_executor(stove_2135)', 'put_executor(cup_2132, stove_2135)', 'walk_executor(bookshelf_124
)', 'grab_executor(book_2137)', 'walk_executor(home_office_241)', 'walk_executor(table_270)', 'put_e
xecutor(book_2137, table_270)', 'walk_executor(dining_room_41)', 'walk_executor(milk_2115)', 'walk_e
xecutor(dining_room_41)', 'walk_executor(bookshelf_124)', 'grab_executor(book_2137)', 'walk_executor
(home_office_241)', 'walk_executor(table_270)', 'put_executor(book_2137, table_270)', 'walk_executor
(dining_room_41)', 'walk_executor(table_114)', 'grab_executor(cup_2132)', 'walk_executor(kitchen_cou
nter_119)', 'walk_executor(stove_2135)', 'put_executor(cup_2132, stove_2135)', 'walk_executor(dining
_room_41)', 'walk_executor(milk_2115)', 'walk_executor(kitchen_counter_119)', 'walk_executor(stove_2
135)', 'put_executor(milk_2115, stove_2135)']","Time consume: 330 seconds
Exp_helper query times: 2
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 11 steps
Keystate: k3 - Requires: 6 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Prepare_breakfast/g4.txt,"Make chicken pasta, put it in a plate.","['walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open_executor(fridge_126)', 'walk_e
xecutor(food_chicken_2089)', 'grab_executor(food_chicken_2089)', 'walk_executor(kitchen_counter_119)
', 'switchon_executor(stove_2135)', 'walk_executor(food_noodles_2101)', 'open_executor(fridge_126) (
Failed)', 'walk_executor(cutting_board_2123)', 'put_executor(food_chicken_2089, cutting_board_2123)'
, 'walk_executor(knifeblock_76)', 'grab_executor(knifeblock_76) (Failed)', 'grab_executor(knifeblock
_76) (Failed)', 'walk_executor(cutting_board_2123)', 'walk_executor(knifeblock_76)', 'walk_executor(
cutting_board_2123)', 'walk_executor(knifeblock_76)', 'walk_executor(dining_room_41)', 'walk_executo
r(table_114)', 'grab_executor(knife_2122)', 'walk_executor(cutting_board_2123)', 'grab_executor(food
_chicken_2089)', 'cut_executor(food_chicken_2089)', 'grab_executor(food_noodles_2101) (Failed)', 'wa
lk_executor(kitchen_counter_119)', 'grab_executor(dry_pasta_2114) (Failed)', 'walk_executor(cutting_
board_2123)', 'put_executor(food_chicken_2089, stove_2135)', 'grab_executor(dry_pasta_2114) (Failed)
', 'walk_executor(kitchen_counter_119)', 'grab_executor(dry_pasta_2114) (Failed)', 'walk_executor(di
ning_room_41)', 'walk_executor(table_114)', 'walk_executor(food_noodles_2101)', 'grab_executor(food_
noodles_2101)', 'walk_executor(kitchen_counter_119)', 'put_executor(food_noodles_2101, pot_2138)', '
walk_executor(plate_2152)', 'grab_executor(plate_2152)', 'walk_executor(stove_2135)', 'put_executor(
plate_2152, kitchen_counter_119)']","Time consume: 240 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 13 steps
Keystate: k2 - Requires: 10 steps
Keystate: k3 - Requires: 8 steps
Keystate: k4 - Requires: 8 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Turn_on_light/g1.txt,Syntax Error,"['walk_executor(light_39)', 'switchon_executor(light_39)']","Time consume: 12 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Turn_on_light/g3.txt,Syntax Error,"['walk_executor(light_39)', 'switchon_executor(light_39)', 'walk_executor(light_73)', 'switchon_exec
utor(light_73)', 'walk_executor(light_212)', 'switchon_executor(light_212)', 'walk_executor(light_28
3)', 'switchon_executor(light_283)']","Time consume: 14 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Wash_clothes/g1.txt,Wash all the clothes in the basket for clothes by washing machine.,"['walk_executor(dining_room_41)', 'walk_executor(washing_machine_2079)', 'open_executor(washing_mach
ine_2079)', 'plugin_executor(washing_machine_2079)', 'close_executor(washing_machine_2079)', 'switch
on_executor(washing_machine_2079)']","Time consume: 41 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 20 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Iron_clothes/g1.txt,Directly iron a pair of skirt.,"['walk_executor(ironing_board_2144)', 'walk_executor(cupboard_117)', 'walk_executor(cupboard_118)', 
'open_executor(cupboard_118)', 'walk_executor(cupboard_117)', 'walk_executor(ironing_board_2144)', '
walk_executor(cupboard_117)', 'walk_executor(cupboard_118)', 'walk_executor(cupboard_117)', 'walk_ex
ecutor(ironing_board_2144)', 'walk_executor(cupboard_117)', 'walk_executor(cupboard_118)', 'walk_exe
cutor(cupboard_117)', 'walk_executor(ironing_board_2144)']","Time consume: 45 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 11 steps
Action Completion Rate: 0.0",Scene_id: 1
cdl_dataset/dataset/Drink/g1.txt,Get a cup of water.,"['walk_executor(faucet_20)', 'walk_executor(bathroom_cabinet_17)', 'open_executor(bathroom_cabinet_1
7)', 'walk_executor(bathroom_counter_18)', 'walk_executor(bathroom_cabinet_17)', 'open_executor(bath
room_cabinet_17) (Failed)', 'walk_executor(bathroom_counter_18)', 'walk_executor(bathroom_counter_18
)', 'walk_executor(faucet_20)', 'walk_executor(bathroom_cabinet_17)', 'open_executor(bathroom_cabine
t_17) (Failed)', 'walk_executor(bathroom_counter_18)', 'walk_executor(faucet_20)', 'walk_executor(ba
throom_counter_18)', 'walk_executor(bathroom_cabinet_17)', 'walk_executor(bathroom_counter_18)', 'wa
lk_executor(faucet_20)', 'walk_executor(bathroom_counter_18)', 'walk_executor(faucet_20)', 'walk_exe
cutor(bathroom_counter_18)', 'walk_executor(faucet_20)', 'walk_executor(bathroom_counter_18)', 'walk
_executor(faucet_20)', 'walk_executor(bathroom_counter_18)', 'walk_executor(faucet_20)']","Time consume: 47 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0",Action Completion Rate: 0.0,Scene_id: 1
cdl_dataset/dataset/Clean_the_bathroom/g3.txt,Wipe the toilet with toilet paper. Then throw it into the toilet.,"['walk_executor(toilet_15)', 'walk_executor(bathroom_cabinet_17)', 'open_executor(bathroom_cabinet_1
7)', 'walk_executor(toilet_paper_2076)', 'grab_executor(toilet_paper_2076)', 'walk_executor(toilet_1
5)', 'wipe_executor(toilet_15)', 'putin_executor(toilet_paper_2076, toilet_15) (Failed)']","Time consume: 27 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 2 steps
Action Completion Rate: 1.0",Scene_id: 1
