Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Listen_to_music/g2.txt,Turn on the dvd player with remote control.,"['walk_executor(television_410)', 'walk_executor(tvstand_353)', 'walk_executor(tvstand_353)', 'walk_
executor(dvd_player_2061)', 'walk_executor(floor_324)', 'walk_executor(dvd_player_2061)', 'plugin_ex
ecutor(dvd_player_2061)', 'switchon_executor(dvd_player_2061)']","Time consume: 20 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Clean_the_bathroom/g3.txt,Wipe the toilet with toilet paper. Then throw it into the toilet.,"['walk_executor(bathroom_1)', 'open_executor(bathroom_cabinet_40) (Failed)', 'walk_executor(bathroom
_counter_41)', 'open_executor(bathroom_cabinet_40)', 'walk_executor(bathroom_counter_41)', 'open_exe
cutor(bathroom_cabinet_40) (Failed)', 'walk_executor(sink_42)', 'walk_executor(bathroom_counter_41)'
, 'walk_executor(toilet_37)', 'walk_executor(bathroom_counter_41)', 'open_executor(bathroom_cabinet_
40) (Failed)', 'walk_executor(toilet_37)', 'grab_executor(toilet_paper_2090)', 'wipe_executor(toilet
_37)', 'putin_executor(toilet_paper_2090, toilet_37) (Failed)']","Time consume: 50 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 2 steps
Action Completion Rate: 1.0",Scene_id: 0
cdl_dataset/dataset/Prepare_a_reading_space/g2.txt,Find the book and put it on the table in home office. Then turn on the light in the home office.,"['walk_executor(bookshelf_354)', 'open_executor(bookshelf_354)', 'walk_executor(book_2067)', 'grab_e
xecutor(book_2067)', 'walk_executor(coffee_table_2068)', 'put_executor(book_2067, coffee_table_2068)
', 'walk_executor(light_411)', 'switchon_executor(light_411)']","Time consume: 28 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Pet_cat/g1.txt,Find my cat and touch it,"['walk_executor(dining_room_201)', 'walk_executor(floor_207)', 'walk_executor(floor_206)', 'walk_exe
cutor(floor_203)', 'walk_executor(floor_202)', 'walk_executor(floor_77)', 'walk_executor(floor_72)',
 'walk_executor(floor_71)', 'walk_executor(floor_70)', 'walk_executor(window_86)', 'walk_executor(fl
oor_74)', 'walk_executor(floor_73)', 'walk_executor(floor_68)', 'walk_executor(floor_69)', 'walk_exe
cutor(floor_6)', 'walk_executor(floor_7)', 'walk_executor(floor_8)', 'walk_executor(floor_75)', 'wal
k_executor(floor_76)', 'walk_executor(floor_75)', 'walk_executor(floor_74)', 'walk_executor(floor_73
)', 'walk_executor(floor_72)', 'walk_executor(floor_71)', 'walk_executor(floor_70)', 'walk_executor(
floor_69)', 'walk_executor(floor_68)', 'walk_executor(floor_202)', 'walk_executor(floor_203)', 'walk
_executor(floor_204)', 'walk_executor(floor_205)', 'walk_executor(floor_206)', 'walk_executor(floor_
207)', 'walk_executor(floor_208)', 'walk_executor(floor_321)', 'walk_executor(floor_320)', 'walk_exe
cutor(floor_322)', 'walk_executor(floor_321)', 'walk_executor(floor_320)', 'walk_executor(floor_323)
', 'walk_executor(floor_324)', 'walk_executor(floor_325)', 'walk_executor(floor_327)', 'walk_executo
r(floor_326)', 'walk_executor(floor_328)', 'walk_executor(dresser_358)', 'open_executor(dresser_358)
', 'walk_executor(closetdrawer_377)', 'open_executor(closetdrawer_377) (Failed)', 'walk_executor(dre
sser_358)', 'touch_executor(cat_2055) (Failed)']","Time consume: 71 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0",Action Completion Rate: 0.0,Scene_id: 0
cdl_dataset/dataset/Listen_to_music/g1.txt,Insert a CD and play music using the CD player.,"['walk_executor(tvstand_353)', 'walk_executor(tvstand_353)', 'walk_executor(dvd_player_2061)', 'plug
in_executor(dvd_player_2061)', 'switchon_executor(dvd_player_2061)', 'walk_executor(tvstand_353)', '
walk_executor(dvd_player_2061)', 'switchon_executor(dvd_player_2061) (Failed)']","Time consume: 30 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 9 steps
Keystate: k2 - Requires: 6 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Prepare_a_reading_space/g5.txt,"Find my spectacles and put it on the coffe table in home office. Then find the book and put it on th
e coffe table in home office.","['walk_executor(home_office_319)', 'walk_executor(desk_357)', 'walk_executor(bookshelf_354)', 'open_
executor(bookshelf_354)', 'walk_executor(spectacles_2082)', 'grab_executor(spectacles_2082)', 'walk_
executor(coffee_table_2068)', 'put_executor(spectacles_2082, coffee_table_2068)', 'walk_executor(boo
kshelf_354)', 'walk_executor(book_2067)', 'grab_executor(book_2067)', 'walk_executor(coffee_table_20
68)', 'put_executor(book_2067, coffee_table_2068)']","Time consume: 23 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 8 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Put_groceries_in_Fridge/g2.txt,"Wash the fish at first. Then put milk, turkey, eggs, fish and chicken on one of the table in dining 
room.","['walk_executor(sink_231)', 'walk_executor(sink_231)', 'walk_executor(sink_231)', 'walk_executor(kit
chen_counter_230)', 'walk_executor(sink_231)', 'walk_executor(sink_231)', 'walk_executor(fridge_289)
', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'grab_executor(food_fish_2021)', '
walk_executor(sink_231)', 'wash_executor(food_fish_2021)', 'walk_executor(fridge_289)', 'grab_execut
or(milk_2043)', 'walk_executor(table_226)', 'put_executor(milk_2043, table_226)', 'walk_executor(fri
dge_289)', 'grab_executor(food_turkey_2040)', 'walk_executor(table_226)', 'put_executor(food_turkey_
2040, table_226)', 'walk_executor(fridge_289)', 'grab_executor(food_egg_2020)', 'walk_executor(table
_226)', 'put_executor(food_egg_2020, table_226)', 'walk_executor(sink_231)', 'walk_executor(fridge_2
89)', 'grab_executor(food_chicken_2017)', 'walk_executor(table_226)', 'put_executor(food_chicken_201
7, table_226)']","Time consume: 97 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 2 steps
Keystate: k2 - Requires: 1 steps
Action Completion Rate: 1.0",Scene_id: 0
cdl_dataset/dataset/Wash_clothes/g1.txt,Wash all the clothes in the basket for clothes by washing machine.,"['walk_executor(bathroom_1)', 'walk_executor(washing_machine_2007)', 'plugin_executor(washing_machin
e_2007)', 'open_executor(washing_machine_2007)']","Time consume: 158 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 18 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g4.txt,"Iron a shirt, and put it in on the bed.","['walk_executor(bathroom_1)', 'walk_executor(ironing_board_2074)', 'walk_executor(iron_2089)', 'grab
_executor(iron_2089)', 'walk_executor(ironing_board_2074)', 'put_executor(iron_2089, ironing_board_2
074)', 'walk_executor(dresser_108)', 'open_executor(dresser_108)', 'walk_executor(dresser_108)', 'op
en_executor(dresser_108) (Failed)', 'walk_executor(dresser_108)', 'walk_executor(dresser_108)', 'ope
n_executor(dresser_108) (Failed)', 'walk_executor(dresser_108)', 'open_executor(dresser_108) (Failed
)', 'walk_executor(dresser_108)', 'walk_executor(iron_2089)', 'grab_executor(iron_2089)', 'walk_exec
utor(ironing_board_2074)', 'put_executor(iron_2089, ironing_board_2074)', 'plugin_executor(iron_2089
)', 'switchon_executor(iron_2089)', 'walk_executor(dresser_108)', 'open_executor(dresser_108) (Faile
d)', 'walk_executor(bathroom_1)']","Time consume: 164 seconds
Exp_helper query times: 2
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 7 steps
Keystate: k2 - Requires: 4 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Drink/g1.txt,Syntax Error,"['walk_executor(kitchen_counter_230)', 'walk_executor(cup_2064)', 'grab_executor(cup_2064)', 'walk_e
xecutor(faucet_232)', 'switchon_executor(faucet_232)', 'putin_executor(cup_2064, sink_231)', 'switch
off_executor(faucet_232)', 'grab_executor(cup_2064)']","Time consume: 16 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0",Action Completion Rate: 1.0,Scene_id: 0
