Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Cook_some_food/g1.txt,Syntax Error,"['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)']","Time consume: 190 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 18 steps
Keystate: k2 - Requires: 14 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Pet_cat/g5.txt,Syntax Error,[],"Time consume: 48 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 2 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Prepare_a_reading_space/g5.txt,Syntax Error,[],"Time consume: 49 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 4 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Prepare_a_reading_space/g4.txt,Syntax Error,[],"Time consume: 52 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 16 steps
Keystate: k3 - Requires: 10 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g6.txt,Syntax Error,[],"Time consume: 44 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 10 steps
Keystate: k2 - Requires: 10 steps
Keystate: k3 - Requires: 4 steps
Keystate: k4 - Requires: 4 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Put_groceries_in_Fridge/g4.txt,"Cut the chicken into pieces, then put back to the fridge.",[],"Time consume: 164 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 11 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Vacuum_the_living_room/g1.txt,Vacuum the floor by push and pull the vacuume clearner.,"['walk_executor(closetdrawer_394)', 'walk_executor(vacuum_cleaner_2070)', 'plugin_executor(vacuum_cl
eaner_2070)', 'switchon_executor(vacuum_cleaner_2070)', 'push_executor(vacuum_cleaner_2070)', 'pull_
executor(vacuum_cleaner_2070)']","Time consume: 28 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 1 steps
Action Completion Rate: 1.0",Scene_id: 0
cdl_dataset/dataset/Listen_to_music/g2.txt,Syntax Error,[],"Time consume: 71 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 1 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Wash_clothes/g2.txt,Syntax Error,[],"Time consume: 70 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 25 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Wash_clothes/g4.txt,Syntax Error,[],"Time consume: 75 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 6 steps
Keystate: k2 - Requires: 13 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Prepare_a_reading_space/g2.txt,Syntax Error,[],"Time consume: 67 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 2 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g4.txt,"Iron a shirt, and put it in on the bed.","['walk_executor(closetdrawer_382)', 'walk_executor(hanger_363)', 'walk_executor(hanger_369)', 'walk_
executor(hanger_367)', 'walk_executor(hanger_365)', 'walk_executor(closetdrawer_384)', 'walk_executo
r(bathtub_30)', 'walk_executor(basket_for_clothes_2006)', 'grab_executor(clothes_shirt_2086)', 'walk
_executor(ironing_board_2074)', 'put_executor(clothes_shirt_2086, ironing_board_2074)', 'grab_execut
or(clothes_shirt_2086)', 'put_executor(clothes_shirt_2086, ironing_board_2074)', 'walk_executor(iron
_2089)', 'plugin_executor(iron_2089)', 'switchon_executor(iron_2089)', 'walk_executor(clothes_shirt_
2086)', 'grab_executor(clothes_shirt_2086)', 'walk_executor(bed_105)', 'put_executor(clothes_shirt_2
086, bed_105)']","Time consume: 113 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 6 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Wash_clothes/g1.txt,Syntax Error,[],"Time consume: 53 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 21 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Drink/g1.txt,Syntax Error,[],"Time consume: 38 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0",Action Completion Rate: 0.0,Scene_id: 0
cdl_dataset/dataset/Clean_the_bathroom/g3.txt,Syntax Error,"['walk_executor(toilet_37)', 'wipe_executor(toilet_37) (Failed)']","Time consume: 106 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 2 steps
Keystate: k2 - Requires: 5 steps
Action Completion Rate: 0.0",Scene_id: 0
