Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Wash_clothes/g3.txt,"Hand wash the jacket, then wash it by washing machine.","['walk_executor(closetdrawer_384)', 'walk_executor(clothes_jacket_2047)', 'grab_executor(clothes_jac
ket_2047)', 'walk_executor(sink_42)', 'putin_executor(clothes_jacket_2047, sink_42)', 'walk_executor
(faucet_43)', 'switchon_executor(faucet_43)', 'walk_executor(clothes_jacket_2047)', 'wash_executor(c
lothes_jacket_2047)', 'walk_executor(washing_machine_2007)', 'open_executor(washing_machine_2007)', 
'walk_executor(clothes_jacket_2047)', 'grab_executor(clothes_jacket_2047)', 'walk_executor(washing_m
achine_2007)', 'putin_executor(clothes_jacket_2047, washing_machine_2007)', 'close_executor(washing_
machine_2007)', 'plugin_executor(washing_machine_2007)', 'switchon_executor(washing_machine_2007)']","Time consume: 30 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0",1,Scene_id: 0
cdl_dataset/dataset/Wash_clothes/g3.txt,Syntax Error,"['walk_executor(closetdrawer_384)', 'walk_executor(clothes_jacket_2047)', 'grab_executor(clothes_jac
ket_2047)', 'walk_executor(sink_42)', 'putin_executor(clothes_jacket_2047, sink_42)', 'walk_executor
(faucet_43)', 'switchon_executor(faucet_43)', 'walk_executor(clothes_jacket_2047)', 'wash_executor(c
lothes_jacket_2047)', 'walk_executor(washing_machine_2007)', 'open_executor(washing_machine_2007)', 
'walk_executor(clothes_jacket_2047)', 'grab_executor(clothes_jacket_2047)', 'walk_executor(washing_m
achine_2007)', 'putin_executor(clothes_jacket_2047, washing_machine_2007)', 'close_executor(washing_
machine_2007)', 'plugin_executor(washing_machine_2007)', 'switchon_executor(washing_machine_2007)']","Time consume: 30 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 0 steps
Action Completion Rate: 1.0",Scene_id: 0
cdl_dataset/dataset/Clean_the_bathroom/g2.txt,Prepare a sink of soapy water in the bathroom.,"['walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'switc
hon_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'walk_executor(bathroom_cabinet_40)', 'op
en_executor(bathroom_cabinet_40)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'swit
choff_executor(faucet_43)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_exec
utor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'walk_executor(bo
okshelf_101)', 'open_executor(bookshelf_101)', 'walk_executor(faucet_43)', 'switchon_executor(faucet
_43)', 'switchoff_executor(faucet_43)', 'walk_executor(closetdrawer_384)', 'walk_executor(faucet_43)
', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'walk_executor(closetdrawer_119)
', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'wal
k_executor(closetdrawer_118)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'switchof
f_executor(faucet_43)', 'walk_executor(sink_42)', 'walk_executor(faucet_43)', 'switchon_executor(fau
cet_43)', 'switchoff_executor(faucet_43)', 'walk_executor(cleaning_solution_2073)', 'grab_executor(c
leaning_solution_2073)', 'walk_executor(sink_42)', 'putin_executor(cleaning_solution_2073, sink_42)'
, 'grab_executor(cleaning_solution_2073)', 'put_executor(cleaning_solution_2073, sink_42)', 'grab_ex
ecutor(cleaning_solution_2073)', 'put_executor(cleaning_solution_2073, sink_42)']","Time consume: 179 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 4 steps
Action Completion Rate: 1.0",Scene_id: 0
cdl_dataset/dataset/Clean_the_bathroom/g1.txt,Clean the bathroom sink directly.,"['walk_executor(sink_42)', 'wash_executor(sink_42)']","Time consume: 17 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0",1,Scene_id: 0
cdl_dataset/dataset/Clean_the_bathroom/g1.txt,Syntax Error,"['walk_executor(sink_42)', 'wash_executor(sink_42)']","Time consume: 17 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0",Action Completion Rate: 1.0,Scene_id: 0
cdl_dataset/dataset/Drink/g4.txt,Get a cup of milk and heat it by microwave.,"['walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(sink_231)', 'walk_exec
utor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'grab_executor(mil
k_2043)', 'walk_executor(cup_2063)', 'putin_executor(milk_2043, cup_2063)', 'walk_executor(microwave
_297)', 'switchoff_executor(microwave_297)', 'open_executor(microwave_297)', 'walk_executor(cup_2063
)', 'grab_executor(cup_2063)', 'walk_executor(microwave_297)', 'putin_executor(cup_2063, microwave_2
97)', 'close_executor(microwave_297)', 'switchon_executor(microwave_297)']","Time consume: 45 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0",1,Scene_id: 0
cdl_dataset/dataset/Drink/g4.txt,Syntax Error,"['walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(sink_231)', 'walk_exec
utor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'grab_executor(mil
k_2043)', 'walk_executor(cup_2063)', 'putin_executor(milk_2043, cup_2063)', 'walk_executor(microwave
_297)', 'switchoff_executor(microwave_297)', 'open_executor(microwave_297)', 'walk_executor(cup_2063
)', 'grab_executor(cup_2063)', 'walk_executor(microwave_297)', 'putin_executor(cup_2063, microwave_2
97)', 'close_executor(microwave_297)', 'switchon_executor(microwave_297)']","Time consume: 45 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Prepare_dinner/g2.txt,Roast chicken with onion in the oven.,"['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_e
xecutor(oven_295)', 'switchoff_executor(oven_295)', 'open_executor(oven_295)', 'walk_executor(food_c
hicken_2017)', 'grab_executor(food_chicken_2017)', 'walk_executor(oven_295)', 'putin_executor(food_c
hicken_2017, oven_295)', 'walk_executor(food_onion_2032)', 'grab_executor(food_onion_2032)', 'walk_e
xecutor(oven_295)', 'putin_executor(food_onion_2032, oven_295)', 'close_executor(oven_295)', 'switch
on_executor(oven_295)']","Time consume: 115 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0",1,Scene_id: 0
cdl_dataset/dataset/Prepare_dinner/g2.txt,Syntax Error,"['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_e
xecutor(oven_295)', 'switchoff_executor(oven_295)', 'open_executor(oven_295)', 'walk_executor(food_c
hicken_2017)', 'grab_executor(food_chicken_2017)', 'walk_executor(oven_295)', 'putin_executor(food_c
hicken_2017, oven_295)', 'walk_executor(food_onion_2032)', 'grab_executor(food_onion_2032)', 'walk_e
xecutor(oven_295)', 'putin_executor(food_onion_2032, oven_295)', 'close_executor(oven_295)', 'switch
on_executor(oven_295)']","Time consume: 115 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0","Keystate: k1 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Put_groceries_in_Fridge/g1.txt,"Put milk, turkey, egg, fish and chicken on one of the table in dining room.","['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'grab_e
xecutor(milk_2043)', 'walk_executor(table_226)', 'put_executor(milk_2043, table_226)', 'walk_executo
r(food_turkey_2040)', 'grab_executor(food_turkey_2040)', 'walk_executor(table_226)', 'put_executor(f
ood_turkey_2040, table_226)', 'walk_executor(food_egg_2020)', 'grab_executor(food_egg_2020)', 'walk_
executor(table_226)', 'put_executor(food_egg_2020, table_226)', 'walk_executor(food_fish_2021)', 'gr
ab_executor(food_fish_2021)', 'walk_executor(table_226)', 'put_executor(food_fish_2021, table_226)',
 'walk_executor(food_chicken_2017)', 'grab_executor(food_chicken_2017)', 'walk_executor(table_226)',
 'put_executor(food_chicken_2017, table_226)']","Time consume: 39 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0",1,Scene_id: 0
