Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Cook_some_food/g9.txt,Make some French fries.,"['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_e
xecutor(food_potato_2035)', 'grab_executor(food_potato_2035)', 'walk_executor(kitchen_counter_230)',
 'put_executor(food_potato_2035, kitchen_counter_230)', 'walk_executor(cupboard_229)', 'open_executo
r(cupboard_229)', 'walk_executor(knife_2050)', 'grab_executor(knife_2050)', 'walk_executor(food_pota
to_2035)', 'grab_executor(food_potato_2035)', 'walk_executor(cutting_board_2051)', 'put_executor(foo
d_potato_2035, cutting_board_2051)', 'cut_executor(food_potato_2035)', 'grab_executor(food_potato_20
35)', 'walk_executor(fryingpan_2083)', 'grab_executor(fryingpan_2083) (Failed)', 'put_executor(food_
potato_2035, fryingpan_2083)', 'switchon_executor(stove_2065)']","Time consume: 41 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
","Keystate: k1 - Requires: 9 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Prepare_breakfast/g3.txt,Boil egg.,"['walk_executor(sink_231)', 'walk_executor(faucet_232)', 'switchon_executor(faucet_232)', 'walk_exec
utor(kitchen_counter_230)', 'walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001)', 'wal
k_executor(sink_231)', 'grab_executor(pot_2069)', 'wash_executor(pot_2069)', 'put_executor(pot_2069,
 sink_231)', 'grab_executor(pot_2069)', 'put_executor(pot_2069, kitchen_counter_230)', 'walk_executo
r(stove_2065)', 'put_executor(pot_2069, stove_2065) (Failed)', 'walk_executor(dishwasher_1001)', 'wa
lk_executor(sink_231)', 'grab_executor(pot_2069)', 'walk_executor(faucet_232)', 'switchon_executor(f
aucet_232) (Failed)', 'switchon_executor(faucet_232) (Failed)', 'walk_executor(kitchen_counter_230)'
, 'walk_executor(stove_2065)', 'put_executor(pot_2069, stove_2065)', 'switchon_executor(stove_2065)'
]","Time consume: 63 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
","Keystate: k1 - Requires: 13 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Prepare_a_reading_space/g3.txt,Find a book and put it on the coffe table in home office. Then open the window in the home office.,"['walk_executor(bookshelf_354)', 'open_executor(bookshelf_354)', 'grab_executor(book_2067)', 'walk_e
xecutor(coffee_table_2068)', 'put_executor(book_2067, coffee_table_2068)', 'walk_executor(window_348
)', 'open_executor(window_348)']","Time consume: 25 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Cook_some_food/g2.txt,slice some chicken,"['walk_executor(kitchen_counter_230)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)'
, 'open_executor(fridge_289)', 'walk_executor(food_chicken_2017)', 'grab_executor(food_chicken_2017)
', 'walk_executor(cutting_board_2051)', 'put_executor(food_chicken_2017, cutting_board_2051)', 'walk
_executor(knife_2050)', 'grab_executor(knife_2050)', 'cut_executor(food_chicken_2017) (Failed)']","Time consume: 21 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
","Keystate: k1 - Requires: 4 steps
Action Completion Rate: 1.0",Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g6.txt,Syntax Error,"['walk_executor(dresser_108)', 'open_executor(dresser_108)', 'walk_executor(hanger_109)', 'walk_exec
utor(hanger_110)', 'walk_executor(hanger_109)', 'walk_executor(dresser_123)', 'open_executor(dresser
_123)', 'walk_executor(hanger_109)', 'grab_executor(hanger_109)', 'walk_executor(ironing_board_2074)
', 'put_executor(hanger_109, ironing_board_2074)', 'walk_executor(hanger_110)', 'grab_executor(hange
r_110)', 'walk_executor(ironing_board_2074)', 'put_executor(hanger_110, ironing_board_2074)', 'walk_
executor(dresser_123)', 'close_executor(dresser_123)', 'walk_executor(iron_2089)', 'grab_executor(ir
on_2089)', 'plugin_executor(iron_2089)', 'switchon_executor(iron_2089)', 'walk_executor(ironing_boar
d_2074)', 'grab_executor(hanger_109)']","Time consume: 175 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
","Keystate: k1 - Requires: 8 steps
Keystate: k2 - Requires: 8 steps
Keystate: k3 - Requires: 6 steps
Keystate: k4 - Requires: 6 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Pet_cat/g1.txt,Find my cat and touch it,"['walk_executor(dining_room_201)', 'walk_executor(bedroom_67)', 'walk_executor(bedroom_67)', 'walk_e
xecutor(dining_room_201)', 'walk_executor(dining_room_201)', 'walk_executor(bedroom_67)', 'walk_exec
utor(dining_room_201)', 'walk_executor(bedroom_67)']","Time consume: 20 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
",Action Completion Rate: 0.0,Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g2.txt,Syntax Error,"['walk_executor(bathroom_counter_41)', 'walk_executor(sink_42)', 'walk_executor(basket_for_clothes_2
006)', 'open_executor(basket_for_clothes_2006) (Failed)', 'grab_executor(clothes_shirt_2086)', 'walk
_executor(sink_42)', 'wash_executor(clothes_shirt_2086)', 'scrub_executor(clothes_shirt_2086)', 'rin
se_executor(clothes_shirt_2086)', 'walk_executor(ironing_board_2074)', 'put_executor(clothes_shirt_2
086, ironing_board_2074)', 'walk_executor(iron_2089)', 'grab_executor(iron_2089)']","Time consume: 56 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 5 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Put_groceries_in_Fridge/g5.txt,"Put milk and egg on one of the table in dining room. Throw all the items in the fridge to the trashc
an. Then put milk and eggs back in the fridge.","['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_e
xecutor(milk_2043)', 'grab_executor(milk_2043)', 'walk_executor(food_egg_2020)', 'grab_executor(food
_egg_2020)', 'walk_executor(table_226)', 'put_executor(milk_2043, table_226)', 'put_executor(food_eg
g_2020, table_226)', 'walk_executor(fridge_289)', 'grab_executor(food_snack_2038)', 'walk_executor(t
rashcan_99)', 'putin_executor(food_snack_2038, trashcan_99)', 'walk_executor(fridge_289)', 'grab_exe
cutor(food_ice_cream_2025)', 'walk_executor(trashcan_99)', 'putin_executor(food_ice_cream_2025, tras
hcan_99)', 'walk_executor(fridge_289)', 'grab_executor(food_peanut_butter_2033)', 'walk_executor(tra
shcan_99)', 'putin_executor(food_peanut_butter_2033, trashcan_99)', 'walk_executor(fridge_289)', 'gr
ab_executor(food_turkey_2040)', 'walk_executor(trashcan_99)', 'putin_executor(food_turkey_2040, tras
hcan_99)', 'walk_executor(fridge_289)', 'grab_executor(food_food_2022)', 'walk_executor(trashcan_99)
', 'putin_executor(food_food_2022, trashcan_99)', 'walk_executor(table_226)', 'grab_executor(milk_20
43)', 'walk_executor(fridge_289)', 'putin_executor(milk_2043, fridge_289)', 'walk_executor(table_226
)', 'grab_executor(food_egg_2020)', 'walk_executor(fridge_289)', 'putin_executor(food_egg_2020, frid
ge_289)', 'close_executor(fridge_289)', 'switchon_executor(fridge_289)']","Time consume: 174 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 129 steps
Keystate: k3 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Pet_cat/g4.txt,Wash my cat in a sink,"['walk_executor(dining_room_201)', 'walk_executor(bathroom_1)', 'walk_executor(bathroom_counter_41)'
, 'walk_executor(sink_42)', 'open_executor(bathroom_cabinet_40)', 'walk_executor(faucet_43)', 'open_
executor(faucet_43) (Failed)', 'walk_executor(sink_42)', 'walk_executor(faucet_43)', 'switchon_execu
tor(faucet_43)', 'walk_executor(bathroom_counter_41)', 'walk_executor(sink_42)', 'walk_executor(home
_office_319)', 'walk_executor(couch_352)', 'grab_executor(cat_2055)', 'walk_executor(bathroom_1)', '
walk_executor(sink_42)', 'wash_executor(cat_2055)']","Time consume: 64 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
","Keystate: k1 - Requires: 1 steps
Action Completion Rate: 1.0",Scene_id: 0
cdl_dataset/dataset/Drink/g5.txt,Use pot to boil some water.,"['walk_executor(kitchen_counter_230)', 'walk_executor(pot_2069)', 'grab_executor(pot_2069)', 'walk_e
xecutor(faucet_232)', 'open_executor(pot_2069)', 'switchon_executor(faucet_232)', 'switchon_executor
(faucet_232) (Failed)', 'switchon_executor(faucet_232) (Failed)', 'switchon_executor(faucet_232) (Fa
iled)', 'switchoff_executor(faucet_232)', 'grab_executor(faucet_232) (Failed)', 'walk_executor(stove
_2065)', 'put_executor(pot_2069, stove_2065)', 'switchon_executor(stove_2065)']","Time consume: 53 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
",1,Scene_id: 0
