Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Cook_some_food/g2.txt,slice some chicken,"['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'grab_e
xecutor(food_chicken_2017)', 'walk_executor(kitchen_counter_230)', 'walk_executor(cutting_board_2051
)', 'grab_executor(cutting_board_2051)', 'walk_executor(kitchen_counter_230)', 'put_executor(cutting
_board_2051, kitchen_counter_230)', 'walk_executor(knife_2050)', 'grab_executor(knife_2050)', 'walk_
executor(kitchen_counter_230)', 'put_executor(food_chicken_2017, cutting_board_2051)', 'cut_executor
(food_chicken_2017)']","Time consume: 31 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
","Keystate: k1 - Requires: 2 steps
Action Completion Rate: 1.0",Scene_id: 0
cdl_dataset/dataset/Cook_some_food/g5.txt,Make oil fried banana.,"['walk_executor(fridge_289)', 'open_executor(fridge_289) (Failed)', 'switchoff_executor(fridge_289)'
, 'open_executor(fridge_289)', 'walk_executor(food_banana_2011)', 'grab_executor(food_banana_2011)',
 'close_executor(fridge_289)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_e
xecutor(kitchen_counter_230)', 'grab_executor(knife_2050)', 'walk_executor(stove_2065)', 'open_execu
tor(stove_2065) (Failed)', 'walk_executor(kitchen_counter_230)', 'put_executor(food_banana_2011, kit
chen_counter_230)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229) (Failed)', 'walk_exe
cutor(cupboard_229)', 'grab_executor(cutting_board_2051) (Failed)', 'walk_executor(cupboard_229)', '
open_executor(cupboard_229) (Failed)', 'walk_executor(kitchen_counter_230)', 'grab_executor(cutting_
board_2051)', 'put_executor(cutting_board_2051, kitchen_counter_230)', 'put_executor(food_banana_201
1, cutting_board_2051) (Failed)', 'grab_executor(food_banana_2011)', 'put_executor(food_banana_2011,
 cutting_board_2051)', 'cut_executor(food_banana_2011)', 'grab_executor(fryingpan_2083)', 'put_execu
tor(fryingpan_2083, stove_2065)', 'grab_executor(oil_2079)', 'putin_executor(oil_2079, fryingpan_208
3)', 'switchon_executor(stove_2065)']","Time consume: 111 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
","Keystate: k1 - Requires: 2 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Cook_some_food/g1.txt,Boil vegetables with a pot on the stove.,"['walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(kitchen_counter_230)',
 'walk_executor(faucet_232)', 'walk_executor(sink_231)', 'walk_executor(cupboard_229)', 'grab_execut
or(pot_2069) (Failed)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229) (Failed)', 'walk
_executor(cupboard_229)', 'open_executor(cupboard_229) (Failed)', 'walk_executor(kitchen_counter_230
)', 'grab_executor(pot_2069)', 'walk_executor(faucet_232)', 'switchon_executor(faucet_232)', 'put_ex
ecutor(pot_2069, sink_231)', 'switchoff_executor(faucet_232)', 'grab_executor(pot_2069)', 'walk_exec
utor(cupboard_229)', 'open_executor(cupboard_229) (Failed)', 'walk_executor(kitchen_counter_230)', '
walk_executor(stove_2065)', 'put_executor(pot_2069, stove_2065)', 'switchon_executor(stove_2065)']","Time consume: 74 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
","Keystate: k1 - Requires: 14 steps
Keystate: k2 - Requires: 14 steps
Action Completion Rate: 1.0",Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g6.txt,"Iron the shirt and the skirt, and place them on the bed.","['walk_executor(dresser_108)', 'open_executor(dresser_108)', 'walk_executor(hanger_109)', 'walk_exec
utor(hanger_109)', 'walk_executor(ironing_board_2074)', 'walk_executor(dresser_108)', 'walk_executor
(hanger_109)', 'walk_executor(dresser_108)', 'open_executor(dresser_108) (Failed)', 'walk_executor(h
anger_109)', 'walk_executor(bathroom_1)', 'walk_executor(bathroom_1)', 'walk_executor(bathroom_1)', 
'walk_executor(bathroom_1)', 'walk_executor(bathroom_1)', 'walk_executor(bathroom_1)', 'walk_executo
r(bathroom_1)', 'walk_executor(bathroom_1)', 'walk_executor(bathroom_1)', 'walk_executor(bathroom_1)
', 'walk_executor(bathroom_1)', 'walk_executor(bathroom_1)', 'walk_executor(shower_36)', 'walk_execu
tor(basket_for_clothes_2006)', 'open_executor(basket_for_clothes_2006) (Failed)', 'walk_executor(bas
ket_for_clothes_2006)', 'grab_executor(clothes_shirt_2086)', 'walk_executor(ironing_board_2074)', 'g
rab_executor(iron_2089)', 'plugin_executor(iron_2089) (Failed)', 'put_executor(clothes_shirt_2086, i
roning_board_2074)', 'plugin_executor(iron_2089)', 'switchon_executor(iron_2089)', 'grab_executor(cl
othes_shirt_2086)', 'put_executor(clothes_shirt_2086, ironing_board_2074)', 'grab_executor(clothes_s
kirt_2088) (Failed)', 'put_executor(iron_2089, ironing_board_2074)', 'grab_executor(clothes_shirt_20
86)', 'walk_executor(bed_105)', 'put_executor(clothes_shirt_2086, bed_105)', 'walk_executor(basket_f
or_clothes_2006)', 'grab_executor(clothes_skirt_2088)', 'walk_executor(ironing_board_2074)', 'put_ex
ecutor(clothes_skirt_2088, ironing_board_2074)', 'grab_executor(iron_2089)', 'switchon_executor(iron
_2089) (Failed)', 'grab_executor(clothes_skirt_2088)', 'walk_executor(ironing_board_2074)', 'put_exe
cutor(clothes_skirt_2088, ironing_board_2074)', 'walk_executor(ironing_board_2074)', 'grab_executor(
clothes_skirt_2088)', 'put_executor(clothes_skirt_2088, ironing_board_2074)', 'grab_executor(clothes
_skirt_2088)', 'walk_executor(ironing_board_2074)', 'put_executor(clothes_skirt_2088, ironing_board_
2074)', 'walk_executor(ironing_board_2074)', 'walk_executor(ironing_board_2074)', 'walk_executor(iro
ning_board_2074)', 'walk_executor(ironing_board_2074)', 'grab_executor(clothes_skirt_2088)', 'put_ex
ecutor(clothes_skirt_2088, ironing_board_2074)', 'grab_executor(clothes_skirt_2088)', 'walk_executor
(bed_105)', 'put_executor(clothes_skirt_2088, bed_105)']","Time consume: 599 seconds
Exp_helper query times: 2
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
","Keystate: k1 - Requires: 6 steps
Keystate: k2 - Requires: 5 steps
Keystate: k3 - Requires: 0 steps
Keystate: k4 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Turn_on_light/g3.txt,Make sure there is at least one light on in every room.,"['walk_executor(light_64)', 'switchon_executor(light_64)', 'walk_executor(light_245)', 'switchon_exe
cutor(light_245)', 'walk_executor(light_169)', 'switchon_executor(light_169)', 'walk_executor(light_
411)', 'switchon_executor(light_411)']","Time consume: 15 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
",1,Scene_id: 0
cdl_dataset/dataset/Wash_dishes_with_dishwasher/g1.txt,wash all the bowls and the plates with dishwasher,"['walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(dishwasher_1001)', 'op
en_executor(dishwasher_1001)', 'walk_executor(cupboard_229)', 'walk_executor(cupboard_229)', 'walk_e
xecutor(cupboard_229)', 'open_executor(cupboard_229) (Failed)', 'walk_executor(dining_room_201)', 'w
alk_executor(table_226)', 'grab_executor(bowl_2071)', 'walk_executor(dishwasher_1001)', 'putin_execu
tor(bowl_2071, dishwasher_1001)', 'walk_executor(cupboard_229)', 'walk_executor(cupboard_229)', 'ope
n_executor(cupboard_229) (Failed)', 'walk_executor(cupboard_229)', 'walk_executor(dining_room_201)',
 'walk_executor(table_226)', 'grab_executor(bowl_2072)', 'walk_executor(dishwasher_1001)', 'putin_ex
ecutor(bowl_2072, dishwasher_1001)', 'walk_executor(dining_room_201)', 'walk_executor(table_226)', '
grab_executor(fork_2080)', 'putin_executor(fork_2080, dishwasher_1001) (Failed)', 'put_executor(fork
_2080, kitchen_counter_230) (Failed)', 'put_executor(fork_2080, kitchen_counter_230) (Failed)', 'wal
k_executor(table_226)', 'put_executor(fork_2080, table_226)', 'walk_executor(dishwasher_1001)', 'clo
se_executor(dishwasher_1001)', 'switchon_executor(dishwasher_1001)']","Time consume: 145 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
","Keystate: k1 - Requires: 6 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Cook_some_food/g7.txt,Get a bowl of ice cream and add some jam on the top.,"['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_e
xecutor(food_ice_cream_2025)', 'grab_executor(food_ice_cream_2025)', 'walk_executor(kitchen_counter_
230)', 'put_executor(food_ice_cream_2025, kitchen_counter_230)', 'walk_executor(fridge_289)', 'grab_
executor(food_jam_2026)', 'walk_executor(kitchen_counter_230)', 'put_executor(food_jam_2026, food_ic
e_cream_2025)']","Time consume: 33 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
","Keystate: k1 - Requires: 3 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Prepare_dinner/g5.txt,Syntax Error,"['walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(fridge_289)', 'open_ex
ecutor(fridge_289) (Failed)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229) (Failed)',
 'walk_executor(fridge_289)', 'open_executor(fridge_289) (Failed)', 'walk_executor(fridge_289)', 'sw
itchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'grab_executor(food_steak_2008)', 'walk_
executor(stove_2065)', 'switchon_executor(stove_2065)', 'grab_executor(fryingpan_2083)', 'put_execut
or(fryingpan_2083, stove_2065)', 'put_executor(food_steak_2008, fryingpan_2083)', 'switchoff_executo
r(stove_2065)', 'grab_executor(knife_2050)', 'grab_executor(cutting_board_2051)', 'put_executor(cutt
ing_board_2051, kitchen_counter_230)', 'put_executor(food_steak_2008, cutting_board_2051) (Failed)',
 'walk_executor(kitchen_counter_230)', 'walk_executor(food_steak_2008)', 'grab_executor(food_steak_2
008)', 'walk_executor(stove_2065)', 'switchon_executor(stove_2065)', 'grab_executor(fryingpan_2083) 
(Failed)', 'walk_executor(stove_2065)', 'switchon_executor(stove_2065) (Failed)', 'grab_executor(fry
ingpan_2083) (Failed)', 'grab_executor(fryingpan_2083) (Failed)', 'walk_executor(fryingpan_2083)', '
grab_executor(fryingpan_2083) (Failed)', 'walk_executor(fryingpan_2083)', 'grab_executor(fryingpan_2
083) (Failed)', 'put_executor(food_steak_2008, cutting_board_2051) (Failed)', 'put_executor(food_ste
ak_2008, cutting_board_2051) (Failed)', 'walk_executor(cutting_board_2051)', 'put_executor(food_stea
k_2008, cutting_board_2051)', 'cut_executor(food_steak_2008)', 'walk_executor(kitchen_counter_230)',
 'walk_executor(fryingpan_2083)', 'grab_executor(fryingpan_2083)', 'walk_executor(stove_2065)', 'put
_executor(fryingpan_2083, stove_2065)', 'switchon_executor(stove_2065) (Failed)', 'grab_executor(fry
ingpan_2083)', 'walk_executor(stove_2065)', 'put_executor(fryingpan_2083, stove_2065)', 'switchon_ex
ecutor(stove_2065) (Failed)', 'walk_executor(stove_2065)', 'switchon_executor(stove_2065) (Failed)',
 'walk_executor(stove_2065)', 'put_executor(food_steak_2008, fryingpan_2083) (Failed)', 'grab_execut
or(food_steak_2008) (Failed)', 'grab_executor(cutting_board_2051)', 'put_executor(cutting_board_2051
, kitchen_counter_230)', 'walk_executor(fryingpan_2083)', 'grab_executor(fryingpan_2083)', 'walk_exe
cutor(stove_2065)', 'put_executor(fryingpan_2083, stove_2065)', 'walk_executor(food_steak_2008)', 'g
rab_executor(food_steak_2008)', 'walk_executor(stove_2065)', 'put_executor(food_steak_2008, fryingpa
n_2083)', 'switchon_executor(stove_2065) (Failed)', 'walk_executor(kitchen_counter_230)', 'walk_exec
utor(fridge_289)', 'switchoff_executor(fridge_289) (Failed)', 'walk_executor(dining_room_201)', 'wal
k_executor(sink_231)', 'grab_executor(plate_1000)', 'walk_executor(cutting_board_2051)', 'grab_execu
tor(food_steak_2008) (Failed)', 'walk_executor(cutting_board_2051)', 'grab_executor(food_steak_2008)
 (Failed)']","Time consume: 384 seconds
Exp_helper query times: 1
Guidance query times: 1
library scale: 0
goal generate times: 0
goal correct times: 0
","Keystate: k1 - Requires: 7 steps
Keystate: k2 - Requires: 5 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g4.txt,"Iron a shirt, and put it in on the bed.","['walk_executor(dresser_108)', 'open_executor(dresser_108)', 'walk_executor(dresser_123)', 'open_exe
cutor(dresser_123)', 'walk_executor(nightstand_100)', 'open_executor(nightstand_100)', 'walk_executo
r(nightstand_102)', 'walk_executor(nightstand_102)', 'walk_executor(closetdrawer_116)', 'walk_execut
or(closetdrawer_117)', 'walk_executor(closetdrawer_118)', 'walk_executor(closetdrawer_119)', 'walk_e
xecutor(closetdrawer_120)', 'walk_executor(closetdrawer_121)', 'walk_executor(closetdrawer_122)', 'w
alk_executor(closetdrawer_143)', 'walk_executor(closetdrawer_146)', 'walk_executor(closetdrawer_148)
', 'walk_executor(closetdrawer_150)', 'walk_executor(closetdrawer_154)', 'walk_executor(closetdrawer
_158)', 'walk_executor(closetdrawer_160)', 'walk_executor(closetdrawer_377)', 'walk_executor(closetd
rawer_380)', 'walk_executor(closetdrawer_382)', 'walk_executor(closetdrawer_384)', 'walk_executor(cl
osetdrawer_388)', 'walk_executor(closetdrawer_392)', 'walk_executor(closetdrawer_394)', 'walk_execut
or(dresser_108)', 'open_executor(dresser_108) (Failed)', 'walk_executor(dresser_108)', 'walk_executo
r(bed_105)', 'walk_executor(closetdrawer_116)', 'grab_executor(hanger_109)', 'walk_executor(bedroom_
67)', 'put_executor(hanger_109, bed_105) (Failed)']","Time consume: 139 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
","Keystate: k1 - Requires: 10 steps
Keystate: k2 - Requires: 4 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Prepare_breakfast/g1.txt,Slice and toast bread.,"['walk_executor(kitchen_counter_230)', 'walk_executor(toaster_292)', 'switchon_executor(toaster_292)
', 'walk_executor(kitchen_counter_230)', 'grab_executor(knife_2050)', 'walk_executor(toaster_292)', 
'walk_executor(kitchen_counter_230)', 'walk_executor(kitchen_counter_230)', 'grab_executor(cutting_b
oard_2051)', 'put_executor(cutting_board_2051, kitchen_counter_230)', 'walk_executor(kitchen_counter
_230)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 
'grab_executor(food_bread_2012)', 'walk_executor(cutting_board_2051)', 'put_executor(food_bread_2012
, cutting_board_2051)', 'cut_executor(food_bread_2012)', 'grab_executor(food_bread_2012)', 'walk_exe
cutor(toaster_292)', 'put_executor(food_bread_2012, toaster_292)', 'switchon_executor(toaster_292) (
Failed)']","Time consume: 143 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
","Keystate: k1 - Requires: 2 steps
Action Completion Rate: No actions required",Scene_id: 0
