Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Iron_clothes/g4.txt,Syntax Error,"['walk_executor(ironing_board_2074)', 'walk_executor(closetdrawer_116)', 'walk_executor(closetdrawer
_116)', 'walk_executor(closetdrawer_116)', 'walk_executor(closetdrawer_116)', 'walk_executor(closetd
rawer_116)', 'walk_executor(kitchen_counter_230)', 'walk_executor(powersocket_412)', 'walk_executor(
curtain_23)', 'open_executor(curtain_23)', 'walk_executor(walllamp_27)', 'walk_executor(tvstand_225)
', 'walk_executor(sink_231)', 'walk_executor(washing_machine_2007)', 'open_executor(washing_machine_
2007)', 'walk_executor(drawing_241)', 'walk_executor(ceilinglamp_26)', 'walk_executor(mousepad_167)'
, 'walk_executor(mat_236)', 'walk_executor(cup_2063)', 'walk_executor(fridge_289)', 'switchoff_execu
tor(fridge_289)', 'open_executor(fridge_289)', 'walk_executor(bed_105)', 'walk_executor(bookshelf_35
4)', 'open_executor(bookshelf_354)', 'walk_executor(bowl_2071)', 'walk_executor(plate_1000)', 'walk_
executor(closetdrawer_146)', 'walk_executor(closetdrawer_146)', 'walk_executor(closetdrawer_146)', '
walk_executor(towel_rack_33)', 'walk_executor(basket_for_clothes_2006)']","Time consume: 552 seconds
Exp_helper query times: 5
Guidance query times: 0
library scale: 0
goal generate times: 7
goal correct times: 0
","Keystate: k1 - Requires: 9 steps
Keystate: k2 - Requires: 3 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Drink/g6.txt,Syntax Error,[],"Time consume: 123 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 6
goal correct times: 0
","Keystate: k1 - Requires: 16 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g6.txt,Syntax Error,['walk_executor(bedroom_67)'],"Time consume: 145 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 8
goal correct times: 0
","Keystate: k1 - Requires: 10 steps
Keystate: k2 - Requires: 10 steps
Keystate: k3 - Requires: 4 steps
Keystate: k4 - Requires: 4 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Drink/g2.txt,Syntax Error,"['walk_executor(kitchen_counter_230)', 'walk_executor(cup_2063)', 'grab_executor(cup_2063)', 'walk_e
xecutor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_43)']","Time consume: 124 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 10
goal correct times: 0
","Keystate: k1 - Requires: 4 steps
Action Completion Rate: 1.0",Scene_id: 0
cdl_dataset/dataset/Turn_on_light/g2.txt,Syntax Error,"['walk_executor(light_169)', 'switchon_executor(light_169)', 'walk_executor(light_64)', 'switchon_ex
ecutor(light_64)']","Time consume: 40 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 2
goal correct times: 0
","Keystate: k1 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Wash_clothes/g2.txt,Syntax Error,"['walk_executor(bathtub_30)', 'walk_executor(basket_for_clothes_2006)', 'walk_executor(bathroom_coun
ter_41)', 'walk_executor(bathroom_cabinet_40)', 'open_executor(bathroom_cabinet_40)', 'walk_executor
(washing_machine_2007)', 'open_executor(washing_machine_2007)', 'walk_executor(sink_231)', 'walk_exe
cutor(soap_2054)', 'grab_executor(soap_2054)', 'walk_executor(washing_machine_2007)', 'putin_executo
r(soap_2054, washing_machine_2007)', 'walk_executor(clothes_pants_2085)', 'grab_executor(clothes_pan
ts_2085)', 'walk_executor(washing_machine_2007)', 'putin_executor(clothes_pants_2085, washing_machin
e_2007)', 'walk_executor(clothes_shirt_2086)', 'grab_executor(clothes_shirt_2086)', 'walk_executor(w
ashing_machine_2007)', 'putin_executor(clothes_shirt_2086, washing_machine_2007)', 'walk_executor(cl
othes_socks_2087)', 'grab_executor(clothes_socks_2087)', 'walk_executor(washing_machine_2007)', 'put
in_executor(clothes_socks_2087, washing_machine_2007)', 'walk_executor(clothes_skirt_2088)', 'grab_e
xecutor(clothes_skirt_2088)', 'walk_executor(washing_machine_2007)', 'putin_executor(clothes_skirt_2
088, washing_machine_2007)', 'close_executor(washing_machine_2007)', 'plugin_executor(washing_machin
e_2007)', 'switchon_executor(washing_machine_2007)']","Time consume: 193 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 4
goal correct times: 0
","Keystate: k1 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Prepare_dinner/g5.txt,Syntax Error,"['walk_executor(kitchen_counter_230)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)'
, 'open_executor(fridge_289)', 'grab_executor(food_steak_2008)', 'walk_executor(fryingpan_2083)', 'p
ut_executor(food_steak_2008, fryingpan_2083)', 'grab_executor(fryingpan_2083)', 'walk_executor(stove
_2065)', 'put_executor(fryingpan_2083, stove_2065)', 'switchon_executor(stove_2065)', 'switchoff_exe
cutor(stove_2065)']","Time consume: 142 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 7
goal correct times: 0
","Keystate: k1 - Requires: 7 steps
Keystate: k2 - Requires: 11 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Prepare_dinner/g1.txt,Syntax Error,"['walk_executor(kitchen_counter_230)', 'walk_executor(pot_2069)', 'open_executor(pot_2069)', 'grab_e
xecutor(pot_2069)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(
faucet_43)', 'walk_executor(stove_2065)', 'put_executor(pot_2069, stove_2065)', 'walk_executor(fridg
e_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'grab_executor(food_rice_203
6)', 'walk_executor(pot_2069)', 'putin_executor(food_rice_2036, pot_2069)', 'walk_executor(stove_206
5)', 'switchon_executor(stove_2065)']","Time consume: 142 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 5
goal correct times: 0
","Keystate: k1 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Prepare_breakfast/g3.txt,Syntax Error,"['walk_executor(kitchen_counter_230)', 'walk_executor(pot_2069)', 'open_executor(pot_2069)', 'grab_e
xecutor(pot_2069)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(
faucet_43)', 'walk_executor(stove_2065)', 'switchon_executor(stove_2065)', 'walk_executor(fridge_289
)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_executor(pot_2069)', 'walk_
executor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'walk_executo
r(stove_2065)', 'switchon_executor(stove_2065) (Failed)', 'walk_executor(food_egg_2020)', 'grab_exec
utor(food_egg_2020)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_executo
r(faucet_43)', 'switchoff_executor(faucet_43) (Failed)']","Time consume: 233 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 11
goal correct times: 0
","Keystate: k1 - Requires: 4 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Cook_some_food/g7.txt,Syntax Error,"['walk_executor(kitchen_counter_230)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229)',
 'walk_executor(sink_231)', 'walk_executor(wallshelf_234)', 'walk_executor(wallshelf_235)', 'walk_ex
ecutor(light_245)', 'walk_executor(table_226)', 'walk_executor(bowl_2071)', 'walk_executor(bowl_2072
)']","Time consume: 340 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 20
goal correct times: 0
","Keystate: k1 - Requires: 11 steps
Action Completion Rate: No actions required",Scene_id: 0
