Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Listen_to_music/g2.txt,Turn on the dvd player with remote control.,"['walk_executor(television_248)', 'walk_executor(tvstand_353)', 'walk_executor(dresser_123)', 'open_
executor(dresser_123)', 'walk_executor(dresser_358)', 'open_executor(dresser_358)', 'walk_executor(c
d_player_2060)', 'open_executor(cd_player_2060)', 'walk_executor(closetdrawer_120)', 'walk_executor(
couch_352)', 'walk_executor(remote_control_2052)', 'grab_executor(remote_control_2052)', 'walk_execu
tor(dvd_player_2061)', 'plugin_executor(dvd_player_2061)', 'switchon_executor(dvd_player_2061)']","Time consume: 128 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 3
goal correct times: 0
","Keystate: k1 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Pet_cat/g3.txt,"Prepare a bowl of water and put the bowl on the table in home office. Then find my cat put it on the
 table.","['walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(closetdrawer_394)', 'w
alk_executor(closetdrawer_394)', 'walk_executor(closetdrawer_394)', 'walk_executor(closetdrawer_382)
', 'walk_executor(closetdrawer_394)', 'walk_executor(home_office_319)', 'walk_executor(toilet_37)', 
'open_executor(toilet_37)', 'walk_executor(table_226)', 'walk_executor(bowl_2071)', 'grab_executor(b
owl_2071)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_4
3)', 'walk_executor(table_355)', 'put_executor(bowl_2071, table_355)']","Time consume: 424 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 11
goal correct times: 3
","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 4 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Write_an_email/g1.txt,Turn on the computer in home office.,"['walk_executor(computer_417)', 'switchon_executor(computer_417)']","Time consume: 22 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
","Keystate: k1 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Drink/g4.txt,Get a cup of milk and heat it by microwave.,"['walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(closetdrawer_394)', 'w
alk_executor(closetdrawer_394)', 'walk_executor(closetdrawer_394)', 'walk_executor(closetdrawer_394)
', 'walk_executor(closetdrawer_392)', 'walk_executor(kitchen_counter_230)', 'walk_executor(cup_2063)
', 'grab_executor(cup_2063)', 'walk_executor(sink_42)', 'putin_executor(cup_2063, sink_42)', 'wash_e
xecutor(cup_2063)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fr
idge_289)', 'grab_executor(milk_2043)', 'walk_executor(cup_2063)', 'putin_executor(milk_2043, cup_20
63)', 'walk_executor(microwave_297)', 'open_executor(microwave_297)', 'walk_executor(cup_2063)', 'gr
ab_executor(cup_2063)', 'walk_executor(microwave_297)', 'putin_executor(cup_2063, microwave_297)', '
close_executor(microwave_297)', 'switchon_executor(microwave_297)']","Time consume: 146 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 2
goal generate times: 3
goal correct times: 0
",1,Scene_id: 0
cdl_dataset/dataset/Change_TV_channel/g1.txt,Turn on the TV by touching the remote control.,"['walk_executor(television_248)', 'switchon_executor(television_248)', 'walk_executor(tvstand_353)',
 'walk_executor(couch_352)', 'walk_executor(remote_control_2052)', 'touch_executor(remote_control_20
52)', 'grab_executor(remote_control_2052)']","Time consume: 94 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 2
goal generate times: 6
goal correct times: 0
",1,Scene_id: 0
cdl_dataset/dataset/Cook_some_food/g7.txt,Get a bowl of ice cream and add some jam on the top.,"['walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(kitchen_counter_230)',
 'walk_executor(bench_228)', 'walk_executor(wallshelf_234)', 'walk_executor(microwave_297)', 'open_e
xecutor(microwave_297)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_execut
or(fridge_289)', 'walk_executor(table_355)', 'walk_executor(table_226)', 'walk_executor(food_ice_cre
am_2025)', 'grab_executor(food_ice_cream_2025)', 'walk_executor(bowl_2071)', 'putin_executor(food_ic
e_cream_2025, bowl_2071)', 'walk_executor(food_jam_2026)', 'grab_executor(food_jam_2026)', 'walk_exe
cutor(bowl_2071)', 'put_executor(food_jam_2026, bowl_2071)']","Time consume: 145 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 2
goal generate times: 3
goal correct times: 0
","Keystate: k1 - Requires: 3 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Wash_dishes_with_dishwasher/g1.txt,wash all the bowls and the plates with dishwasher,"['walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(closetdrawer_394)', 'w
alk_executor(closetdrawer_394)', 'walk_executor(closetdrawer_394)', 'walk_executor(closetdrawer_394)
', 'walk_executor(closetdrawer_394)', 'walk_executor(table_226)', 'walk_executor(bowl_2071)', 'walk_
executor(bowl_2072)', 'walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001)', 'walk_exec
utor(kitchen_counter_230)', 'walk_executor(closetdrawer_394)', 'walk_executor(closetdrawer_394)', 'w
alk_executor(closetdrawer_394)', 'walk_executor(sink_231)', 'walk_executor(plate_1000)', 'grab_execu
tor(plate_1000)', 'walk_executor(dishwasher_1001)', 'putin_executor(plate_1000, dishwasher_1001)', '
close_executor(dishwasher_1001)', 'switchon_executor(dishwasher_1001)', 'switchoff_executor(dishwash
er_1001)', 'open_executor(dishwasher_1001)', 'walk_executor(bowl_2071)', 'grab_executor(bowl_2071)',
 'walk_executor(dishwasher_1001)', 'putin_executor(bowl_2071, dishwasher_1001)', 'walk_executor(bowl
_2072)', 'grab_executor(bowl_2072)', 'walk_executor(dishwasher_1001)', 'putin_executor(bowl_2072, di
shwasher_1001)', 'close_executor(dishwasher_1001)', 'switchon_executor(dishwasher_1001)']","Time consume: 307 seconds
Exp_helper query times: 2
Guidance query times: 0
library scale: 4
goal generate times: 6
goal correct times: 0
",1,Scene_id: 0
cdl_dataset/dataset/Prepare_a_reading_space/g4.txt,Syntax Error,"['walk_executor(bookshelf_233)', 'open_executor(bookshelf_233)', 'walk_executor(bookshelf_354)', 'op
en_executor(bookshelf_354)', 'walk_executor(book_2066)', 'grab_executor(book_2066)', 'walk_executor(
coffee_table_2068)', 'put_executor(book_2066, coffee_table_2068)']","Time consume: 139 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 4
goal generate times: 5
goal correct times: 0
","Keystate: k1 - Requires: 3 steps
Keystate: k2 - Requires: 15 steps
Keystate: k3 - Requires: 10 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Cook_some_food/g2.txt,slice some chicken,"['walk_executor(kitchen_counter_230)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)'
, 'open_executor(fridge_289)', 'grab_executor(food_chicken_2017)', 'walk_executor(cutting_board_2051
)', 'put_executor(food_chicken_2017, cutting_board_2051)', 'walk_executor(knife_2050)', 'grab_execut
or(knife_2050)', 'walk_executor(food_chicken_2017)', 'cut_executor(food_chicken_2017)']","Time consume: 47 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 4
goal generate times: 1
goal correct times: 0
","Keystate: k1 - Requires: 2 steps
Action Completion Rate: 1.0",Scene_id: 0
cdl_dataset/dataset/Drink/g5.txt,Syntax Error,[],"Time consume: 174 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 4
goal generate times: 3
goal correct times: 0
","Keystate: k1 - Requires: 9 steps
Action Completion Rate: No actions required",Scene_id: 0
