Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Drink/g5.txt,Use pot to boil some water.,"['walk_executor(faucet_43)', 'walk_executor(kitchen_counter_230)', 'walk_executor(faucet_43)', 'walk
_executor(pot_2069)', 'open_executor(pot_2069)', 'grab_executor(pot_2069)', 'walk_executor(faucet_43
)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'walk_executor(stove_2065)', 'p
ut_executor(pot_2069, stove_2065)', 'switchon_executor(stove_2065)']","Time consume: 46 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 2
goal correct times: 0
action_num: 12
",1,Scene_id: 0
cdl_dataset/dataset/Wash_dishes_with_dishwasher/g3.txt,Wash the bowls and plates with dishwasher. And wash forks by hand.,"['walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001)', 'walk_executor(washing_machine_
2007)', 'open_executor(washing_machine_2007)', 'walk_executor(coffee_table_2068)', 'walk_executor(ki
tchen_counter_230)', 'walk_executor(table_355)', 'walk_executor(table_107)', 'walk_executor(table_22
6)', 'walk_executor(bowl_2071)', 'grab_executor(bowl_2071)', 'walk_executor(faucet_43)', 'switchon_e
xecutor(faucet_43)', 'wash_executor(bowl_2071)', 'switchoff_executor(faucet_43)', 'walk_executor(dis
hwasher_1001)', 'putin_executor(bowl_2071, dishwasher_1001)', 'walk_executor(table_226)', 'walk_exec
utor(coffee_filter_2000)', 'walk_executor(tvstand_225)', 'walk_executor(bowl_2072)', 'grab_executor(
bowl_2072)', 'walk_executor(dishwasher_1001)', 'putin_executor(bowl_2072, dishwasher_1001)', 'close_
executor(dishwasher_1001)', 'switchon_executor(dishwasher_1001)', 'walk_executor(faucet_43)', 'switc
hon_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'walk_executor(fork_2080)', 'grab_executo
r(fork_2080)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'wash_executor(fork_2080)
', 'switchoff_executor(faucet_43)', 'walk_executor(fork_2081)', 'grab_executor(fork_2081)', 'walk_ex
ecutor(kitchen_counter_230)', 'put_executor(fork_2080, kitchen_counter_230)', 'switchon_executor(fau
cet_232)', 'wash_executor(fork_2081)', 'switchoff_executor(faucet_232)', 'walk_executor(tvstand_353)
', 'walk_executor(walllamp_28)', 'walk_executor(sink_231)', 'walk_executor(dishwasher_1001)', 'switc
hoff_executor(dishwasher_1001)', 'open_executor(dishwasher_1001)', 'walk_executor(plate_1000)', 'gra
b_executor(plate_1000)', 'walk_executor(dishwasher_1001)', 'putin_executor(plate_1000, dishwasher_10
01)', 'close_executor(dishwasher_1001)', 'switchon_executor(dishwasher_1001)', 'switchoff_executor(d
ishwasher_1001)']","Time consume: 445 seconds
Exp_helper query times: 2
Guidance query times: 1
library scale: 0
goal generate times: 15
goal correct times: 0
action_num: 55
","Keystate: k1 - Requires: 1 steps
Action Completion Rate: 1.0",Scene_id: 0
cdl_dataset/dataset/Drink/g3.txt,Get a cup of water and add some sliced kiwi inside.,"['walk_executor(table_107)', 'walk_executor(table_355)', 'walk_executor(coffee_table_2068)', 'walk_e
xecutor(kitchen_counter_230)', 'walk_executor(cup_2063)', 'grab_executor(cup_2063)', 'walk_executor(
faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'walk_executor(kitchen
_counter_230)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge
_289)', 'grab_executor(food_kiwi_2027)', 'walk_executor(cutting_board_2051)', 'put_executor(food_kiw
i_2027, cutting_board_2051)', 'walk_executor(knife_2050)', 'grab_executor(knife_2050)', 'walk_execut
or(food_kiwi_2027)', 'cut_executor(food_kiwi_2027)', 'grab_executor(food_kiwi_2027) (Failed)', 'walk
_executor(kitchen_counter_230)', 'put_executor(knife_2050, kitchen_counter_230)', 'walk_executor(foo
d_kiwi_2027)', 'grab_executor(food_kiwi_2027)', 'walk_executor(cup_2063)', 'putin_executor(food_kiwi
_2027, cup_2063)', 'walk_executor(cutting_board_2051)', 'walk_executor(food_kiwi_2027)', 'grab_execu
tor(food_kiwi_2027)', 'walk_executor(cutting_board_2051)', 'put_executor(food_kiwi_2027, cutting_boa
rd_2051)', 'walk_executor(food_kiwi_2027)', 'grab_executor(food_kiwi_2027)', 'walk_executor(cup_2063
)', 'putin_executor(food_kiwi_2027, cup_2063)']","Time consume: 178 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 6
goal correct times: 0
action_num: 36
",1,Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g2.txt,Hand wash a shirt and iron this shirt.,"['walk_executor(closetdrawer_158)', 'walk_executor(closetdrawer_158)', 'walk_executor(closetdrawer_1
58)', 'walk_executor(closetdrawer_158)', 'walk_executor(closetdrawer_158)', 'walk_executor(closetdra
wer_158)', 'walk_executor(basket_for_clothes_2006)', 'grab_executor(clothes_shirt_2086)', 'walk_exec
utor(faucet_43)', 'switchon_executor(faucet_43)', 'wash_executor(clothes_shirt_2086)', 'switchoff_ex
ecutor(faucet_43)', 'walk_executor(ironing_board_2074)', 'walk_executor(sink_42)', 'putin_executor(c
lothes_shirt_2086, sink_42)', 'walk_executor(clothes_shirt_2086)', 'grab_executor(clothes_shirt_2086
)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'wash_executor(clothes_shirt_2086)',
 'switchoff_executor(faucet_43)', 'walk_executor(ironing_board_2074)', 'put_executor(clothes_shirt_2
086, ironing_board_2074)', 'plugin_executor(iron_2089)', 'switchon_executor(iron_2089)', 'push_execu
tor(iron_2089)', 'pull_executor(iron_2089)']","Time consume: 291 seconds
Exp_helper query times: 1
Guidance query times: 1
library scale: 0
goal generate times: 10
goal correct times: 0
action_num: 27
","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 4 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Cook_some_food/g10.txt,Boil some noodles with chicken.,"['walk_executor(kitchen_counter_230)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229)',
 'walk_executor(light_411)', 'walk_executor(wallshelf_234)', 'walk_executor(wallshelf_235)', 'walk_e
xecutor(walllamp_28)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor
(fridge_289)', 'walk_executor(pot_2069)', 'open_executor(pot_2069)', 'walk_executor(food_noodles_202
9)', 'grab_executor(food_noodles_2029)', 'walk_executor(pot_2069)', 'putin_executor(food_noodles_202
9, pot_2069)', 'walk_executor(food_chicken_2017)', 'grab_executor(food_chicken_2017)', 'walk_executo
r(pot_2069)', 'putin_executor(food_chicken_2017, pot_2069)', 'walk_executor(stove_2065)', 'switchon_
executor(stove_2065)', 'walk_executor(pot_2069)', 'grab_executor(pot_2069)', 'walk_executor(faucet_4
3)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'walk_executor(stove_2065)', '
put_executor(pot_2069, stove_2065)']","Time consume: 217 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 8
goal correct times: 0
action_num: 29
","Keystate: k1 - Requires: 11 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g1.txt,Syntax Error,"['walk_executor(ironing_board_2074)', 'walk_executor(iron_2089)', 'plugin_executor(iron_2089)', 'swi
tchon_executor(iron_2089)', 'walk_executor(closetdrawer_158)', 'walk_executor(closetdrawer_158)', 'w
alk_executor(closetdrawer_158)', 'walk_executor(closetdrawer_158)', 'walk_executor(closetdrawer_158)
', 'walk_executor(closetdrawer_158)', 'walk_executor(basket_for_clothes_2006)', 'grab_executor(cloth
es_skirt_2088)', 'walk_executor(ironing_board_2074)', 'put_executor(clothes_skirt_2088, ironing_boar
d_2074)', 'walk_executor(clothes_skirt_2088)', 'grab_executor(clothes_skirt_2088)', 'walk_executor(f
aucet_43)', 'switchon_executor(faucet_43)', 'wash_executor(clothes_skirt_2088)', 'switchoff_executor
(faucet_43)', 'walk_executor(ironing_board_2074)', 'put_executor(clothes_skirt_2088, ironing_board_2
074)']","Time consume: 162 seconds
Exp_helper query times: 1
Guidance query times: 1
library scale: 0
goal generate times: 8
goal correct times: 0
action_num: 22
","Keystate: k1 - Requires: 4 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Prepare_dinner/g6.txt,"Put pizza and hamburger on a plate. Then hot them in the microwave. Then put them on a table in dinn
ing room.","['walk_executor(kitchen_counter_230)', 'walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1
001)', 'walk_executor(bookshelf_101)', 'open_executor(bookshelf_101)', 'walk_executor(cupboard_229)'
, 'open_executor(cupboard_229)', 'walk_executor(table_355)', 'walk_executor(curtain_409)', 'open_exe
cutor(curtain_409)', 'walk_executor(sink_231)', 'walk_executor(fridge_289)', 'switchoff_executor(fri
dge_289)', 'open_executor(fridge_289)', 'grab_executor(food_pizza_2034)', 'walk_executor(plate_1000)
', 'put_executor(food_pizza_2034, plate_1000)', 'walk_executor(food_hamburger_2024)', 'grab_executor
(food_hamburger_2024)', 'walk_executor(plate_1000)', 'put_executor(food_hamburger_2024, plate_1000)'
, 'walk_executor(microwave_297)', 'open_executor(microwave_297)', 'walk_executor(plate_1000)', 'grab
_executor(plate_1000)', 'walk_executor(microwave_297)', 'putin_executor(plate_1000, microwave_297)',
 'close_executor(microwave_297)', 'switchon_executor(microwave_297)', 'switchoff_executor(microwave_
297)', 'open_executor(microwave_297)', 'walk_executor(plate_1000)', 'grab_executor(plate_1000)', 'wa
lk_executor(table_226)', 'put_executor(plate_1000, table_226)']","Time consume: 248 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 6
goal correct times: 0
action_num: 35
",1,Scene_id: 0
cdl_dataset/dataset/Put_groceries_in_Fridge/g4.txt,"Cut the chicken into pieces, then put back to the fridge.","['walk_executor(kitchen_counter_230)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)'
, 'open_executor(fridge_289)', 'grab_executor(food_chicken_2017)', 'walk_executor(cutting_board_2051
)', 'put_executor(food_chicken_2017, cutting_board_2051)', 'walk_executor(knife_2050)', 'grab_execut
or(knife_2050)', 'walk_executor(food_chicken_2017)', 'cut_executor(food_chicken_2017)', 'grab_execut
or(food_chicken_2017)', 'walk_executor(fridge_289)', 'putin_executor(food_chicken_2017, fridge_289)'
, 'close_executor(fridge_289)']","Time consume: 64 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 15
",1,Scene_id: 0
cdl_dataset/dataset/Drink/g2.txt,Get a cup of water and freeze it.,"['walk_executor(table_107)', 'walk_executor(table_355)', 'walk_executor(coffee_table_2068)', 'walk_e
xecutor(table_226)', 'walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001)', 'walk_execu
tor(doorjamb_347)', 'walk_executor(kitchen_counter_230)', 'walk_executor(cup_2063)', 'grab_executor(
cup_2063)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_4
3)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'pu
tin_executor(cup_2063, fridge_289)', 'close_executor(fridge_289)']","Time consume: 120 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 3
goal correct times: 0
action_num: 18
",1,Scene_id: 0
cdl_dataset/dataset/Wash_clothes/g1.txt,Syntax Error,"['walk_executor(washing_machine_2007)', 'plugin_executor(washing_machine_2007)', 'switchon_executor(
washing_machine_2007)']","Time consume: 181 seconds
Exp_helper query times: 0
Guidance query times: 1
library scale: 0
goal generate times: 7
goal correct times: 0
action_num: 3
","Keystate: k1 - Requires: 20 steps
Action Completion Rate: No actions required",Scene_id: 0
