Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Wash_windows/g2.txt,Wipe all the windows in the house by towel.,"['walk_executor(window_63)', 'open_executor(window_63)', 'walk_executor(window_86)', 'open_executor(
window_86)', 'walk_executor(window_348)', 'open_executor(window_348)', 'walk_executor(towel_rack_33)
', 'walk_executor(towel_2058)', 'grab_executor(towel_2058)', 'walk_executor(window_63)', 'wipe_execu
tor(window_63)', 'walk_executor(window_86)', 'wipe_executor(window_86)', 'walk_executor(window_348)'
, 'wipe_executor(window_348)']","Time consume: 65 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 2
goal generate times: 2
goal correct times: 1
action_num: 15
",1,Scene_id: 0
cdl_dataset/dataset/Drink/g5.txt,Use pot to boil some water.,"['walk_executor(faucet_43)', 'walk_executor(kitchen_counter_230)', 'walk_executor(faucet_43)', 'walk
_executor(pot_2069)', 'open_executor(pot_2069)', 'grab_executor(pot_2069)', 'walk_executor(faucet_43
)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'walk_executor(stove_2065)', 'p
ut_executor(pot_2069, stove_2065)', 'switchon_executor(stove_2065)']","Time consume: 58 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 3
goal generate times: 3
goal correct times: 0
action_num: 12
",1,Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g6.txt,"Iron the shirt and the skirt, and place them on the bed.","['walk_executor(ironing_board_2074)', 'walk_executor(iron_2089)', 'plugin_executor(iron_2089)', 'swi
tchon_executor(iron_2089)', 'walk_executor(closetdrawer_384)', 'walk_executor(closetdrawer_384)', 'w
alk_executor(closetdrawer_384)', 'walk_executor(closetdrawer_384)', 'walk_executor(closetdrawer_384)
', 'walk_executor(closetdrawer_384)', 'walk_executor(basket_for_clothes_2006)', 'grab_executor(cloth
es_shirt_2086)', 'walk_executor(ironing_board_2074)', 'put_executor(clothes_shirt_2086, ironing_boar
d_2074)', 'walk_executor(clothes_shirt_2086)', 'grab_executor(clothes_shirt_2086)', 'walk_executor(f
aucet_43)', 'switchon_executor(faucet_43)', 'wash_executor(clothes_shirt_2086)', 'switchoff_executor
(faucet_43)', 'walk_executor(clothes_skirt_2088)', 'grab_executor(clothes_skirt_2088)', 'walk_execut
or(ironing_board_2074)', 'put_executor(clothes_skirt_2088, ironing_board_2074)', 'walk_executor(clot
hes_skirt_2088)', 'grab_executor(clothes_skirt_2088)', 'walk_executor(kitchen_counter_230)', 'put_ex
ecutor(clothes_shirt_2086, kitchen_counter_230)', 'switchon_executor(faucet_232)', 'wash_executor(cl
othes_skirt_2088)', 'switchoff_executor(faucet_232)', 'walk_executor(clothes_shirt_2086)', 'grab_exe
cutor(clothes_shirt_2086)', 'walk_executor(bed_105)', 'put_executor(clothes_shirt_2086, bed_105)', '
put_executor(clothes_skirt_2088, bed_105)', 'grab_executor(clothes_shirt_2086)', 'walk_executor(iron
ing_board_2074)', 'put_executor(clothes_shirt_2086, ironing_board_2074)', 'walk_executor(clothes_ski
rt_2088)', 'grab_executor(clothes_skirt_2088)', 'walk_executor(ironing_board_2074)', 'put_executor(c
lothes_skirt_2088, ironing_board_2074)', 'grab_executor(clothes_shirt_2086)', 'walk_executor(bed_105
)', 'put_executor(clothes_shirt_2086, bed_105)', 'walk_executor(clothes_skirt_2088)', 'grab_executor
(clothes_skirt_2088)', 'walk_executor(bed_105)', 'put_executor(clothes_skirt_2088, bed_105)', 'walk_
executor(clothes_shirt_2086)', 'grab_executor(clothes_shirt_2086)', 'walk_executor(ironing_board_207
4)', 'put_executor(clothes_shirt_2086, ironing_board_2074)', 'walk_executor(clothes_skirt_2088)', 'g
rab_executor(clothes_skirt_2088)', 'walk_executor(ironing_board_2074)', 'put_executor(clothes_skirt_
2088, ironing_board_2074)', 'walk_executor(clothes_shirt_2086)', 'grab_executor(clothes_shirt_2086)'
, 'walk_executor(bed_105)', 'put_executor(clothes_shirt_2086, bed_105)', 'walk_executor(clothes_skir
t_2088)', 'grab_executor(clothes_skirt_2088)', 'walk_executor(bed_105)', 'put_executor(clothes_skirt
_2088, bed_105)', 'walk_executor(clothes_shirt_2086)', 'grab_executor(clothes_shirt_2086)', 'walk_ex
ecutor(bed_105)', 'put_executor(clothes_shirt_2086, bed_105)', 'grab_executor(clothes_skirt_2088)', 
'put_executor(clothes_skirt_2088, bed_105)']","Time consume: 459 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 3
goal generate times: 7
goal correct times: 2
action_num: 72
","Keystate: k1 - Requires: 6 steps
Keystate: k2 - Requires: 6 steps
Keystate: k3 - Requires: 0 steps
Keystate: k4 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Cook_some_food/g5.txt,Syntax Error,"['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'grab_e
xecutor(food_banana_2011)', 'walk_executor(kitchen_counter_230)', 'walk_executor(knife_2050)', 'grab
_executor(knife_2050)', 'walk_executor(cutting_board_2051)', 'put_executor(food_banana_2011, cutting
_board_2051)', 'walk_executor(food_banana_2011)', 'cut_executor(food_banana_2011)']","Time consume: 67 seconds
Exp_helper query times: 0
Guidance query times: 1
library scale: 3
goal generate times: 4
goal correct times: 0
action_num: 11
","Keystate: k1 - Requires: 13 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Turn_on_light/g1.txt,Turn on the lights in the bathroom.,"['walk_executor(light_64)', 'switchon_executor(light_64)']","Time consume: 12 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 4
goal generate times: 1
goal correct times: 0
action_num: 2
",1,Scene_id: 0
cdl_dataset/dataset/Wash_windows/g1.txt,Open the windows in the bathroom.,"['walk_executor(window_63)', 'open_executor(window_63)', 'walk_executor(window_86)', 'open_executor(
window_86)', 'walk_executor(window_348)', 'open_executor(window_348)']","Time consume: 18 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 5
goal generate times: 1
goal correct times: 0
action_num: 6
",1,Scene_id: 0
cdl_dataset/dataset/Listen_to_music/g1.txt,Insert a CD and play music using the CD player.,"['walk_executor(home_office_319)', 'walk_executor(home_office_319)', 'walk_executor(home_office_319)
', 'walk_executor(home_office_319)', 'walk_executor(home_office_319)', 'walk_executor(home_office_31
9)', 'walk_executor(tvstand_225)', 'walk_executor(cd_player_2060)', 'open_executor(cd_player_2060)',
 'walk_executor(cd_2075)', 'grab_executor(cd_2075)', 'walk_executor(cd_player_2060)', 'putin_executo
r(cd_2075, cd_player_2060)', 'close_executor(cd_player_2060)', 'plugin_executor(cd_player_2060)', 's
witchon_executor(cd_player_2060)']","Time consume: 88 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 6
goal generate times: 1
goal correct times: 0
action_num: 16
",1,Scene_id: 0
cdl_dataset/dataset/Prepare_a_reading_space/g5.txt,"Find my spectacles and put it on the coffe table in home office. Then find the book and put it on th
e coffe table in home office.","['walk_executor(desk_104)', 'walk_executor(home_office_319)', 'walk_executor(desk_357)', 'walk_execu
tor(home_office_319)', 'walk_executor(home_office_319)', 'walk_executor(home_office_319)', 'walk_exe
cutor(table_355)', 'walk_executor(spectacles_2082)', 'grab_executor(spectacles_2082)', 'walk_executo
r(coffee_table_2068)', 'put_executor(spectacles_2082, coffee_table_2068)', 'walk_executor(home_offic
e_319)', 'walk_executor(home_office_319)', 'walk_executor(bookshelf_233)', 'open_executor(bookshelf_
233)', 'walk_executor(bookshelf_101)', 'open_executor(bookshelf_101)', 'walk_executor(bookshelf_354)
', 'open_executor(bookshelf_354)', 'walk_executor(book_2066)', 'open_executor(book_2066)', 'walk_exe
cutor(book_2067)', 'open_executor(book_2067)', 'walk_executor(book_2066)', 'grab_executor(book_2066)
', 'walk_executor(coffee_table_2068)', 'put_executor(book_2066, coffee_table_2068)']","Time consume: 157 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 6
goal generate times: 4
goal correct times: 1
action_num: 27
","Keystate: k1 - Requires: 8 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Cook_some_food/g7.txt,Get a bowl of ice cream and add some jam on the top.,"['walk_executor(kitchen_counter_230)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229)',
 'walk_executor(doorjamb_165)', 'walk_executor(coffee_table_2068)', 'walk_executor(doorjamb_347)', '
walk_executor(desk_104)', 'walk_executor(table_226)', 'walk_executor(fridge_289)', 'switchoff_execut
or(fridge_289)', 'open_executor(fridge_289)', 'grab_executor(food_ice_cream_2025)', 'walk_executor(b
owl_2071)', 'putin_executor(food_ice_cream_2025, bowl_2071)', 'walk_executor(food_jam_2026)', 'grab_
executor(food_jam_2026)', 'walk_executor(bowl_2071)', 'put_executor(food_jam_2026, bowl_2071)']","Time consume: 115 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 6
goal generate times: 2
goal correct times: 0
action_num: 18
","Keystate: k1 - Requires: 3 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Put_groceries_in_Fridge/g4.txt,"Cut the chicken into pieces, then put back to the fridge.","['walk_executor(cutting_board_2051)', 'walk_executor(kitchen_counter_230)', 'walk_executor(cutting_b
oard_2051)', 'walk_executor(knife_2050)', 'grab_executor(knife_2050)', 'walk_executor(fridge_289)', 
'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_executor(cutting_board_2051)', 
'walk_executor(food_chicken_2017)', 'grab_executor(food_chicken_2017)', 'walk_executor(cutting_board
_2051)', 'put_executor(food_chicken_2017, cutting_board_2051)', 'walk_executor(food_chicken_2017)', 
'cut_executor(food_chicken_2017)', 'grab_executor(food_chicken_2017)', 'walk_executor(fridge_289)', 
'putin_executor(food_chicken_2017, fridge_289)', 'close_executor(fridge_289)']","Time consume: 84 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 7
goal generate times: 1
goal correct times: 1
action_num: 19
",1,Scene_id: 0
