Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Write_an_email/g1.txt,Turn on the computer in home office.,"['walk_executor(computer_417)', 'switchon_executor(computer_417)']","Time consume: 7 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 2
","Keystate: k1 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Prepare_dinner/g3.txt,Cook bacon with the frying pan.,"['walk_executor(dining_room_201)', 'walk_executor(kitchen_counter_230)', 'walk_executor(stove_2065)'
, 'plugin_executor(stove_2065) (Failed)', 'walk_executor(kitchen_counter_230)', 'grab_executor(fryin
gpan_2083)', 'walk_executor(stove_2065)', 'put_executor(fryingpan_2083, stove_2065)', 'switchon_exec
utor(stove_2065)', 'walk_executor(kitchen_counter_230)', 'walk_executor(cupboard_229)', 'open_execut
or(cupboard_229)', 'walk_executor(cupboard_229)', 'walk_executor(cupboard_229)', 'walk_executor(kitc
hen_counter_230)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229) (Failed)', 'walk_exec
utor(fridge_289)', 'open_executor(fridge_289) (Failed)', 'walk_executor(fridge_289)', 'open_executor
(fridge_289) (Failed)', 'walk_executor(fridge_289)', 'open_executor(fridge_289) (Failed)', 'walk_exe
cutor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'grab_executor(fo
od_bacon_2010)', 'walk_executor(stove_2065)', 'put_executor(food_bacon_2010, fryingpan_2083)']","Time consume: 81 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 29
","Keystate: k1 - Requires: 6 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Clean_the_bathroom/g1.txt,Clean the bathroom sink directly.,"['walk_executor(sink_42)', 'wash_executor(sink_42)']","Time consume: 6 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 2
",1,Scene_id: 0
cdl_dataset/dataset/Turn_on_light/g3.txt,Make sure there is at least one light on in every room.,"['walk_executor(light_64)', 'switchon_executor(light_64)', 'walk_executor(light_245)', 'switchon_exe
cutor(light_245)', 'walk_executor(light_169)', 'switchon_executor(light_169)', 'walk_executor(light_
411)', 'switchon_executor(light_411)']","Time consume: 15 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 8
",1,Scene_id: 0
cdl_dataset/dataset/Wash_clothes/g2.txt,Wash all the clothes in the basket for clothes by adding soap to the washing machine and running it.,"['walk_executor(basket_for_clothes_2006)', 'grab_executor(clothes_shirt_2086)', 'walk_executor(washi
ng_machine_2007)', 'open_executor(washing_machine_2007)', 'putin_executor(clothes_shirt_2086, washin
g_machine_2007)', 'walk_executor(basket_for_clothes_2006)', 'grab_executor(clothes_pants_2085)', 'wa
lk_executor(washing_machine_2007)', 'putin_executor(clothes_pants_2085, washing_machine_2007)', 'wal
k_executor(basket_for_clothes_2006)', 'grab_executor(clothes_skirt_2088)', 'walk_executor(washing_ma
chine_2007)', 'putin_executor(clothes_skirt_2088, washing_machine_2007)', 'walk_executor(basket_for_
clothes_2006)', 'grab_executor(clothes_socks_2087)', 'walk_executor(washing_machine_2007)', 'putin_e
xecutor(clothes_socks_2087, washing_machine_2007)', 'walk_executor(basket_for_clothes_2006)', 'walk_
executor(bathroom_cabinet_40)', 'open_executor(bathroom_cabinet_40)', 'walk_executor(dining_room_201
)', 'walk_executor(sink_231)', 'grab_executor(soap_2054)', 'walk_executor(bathroom_1)', 'walk_execut
or(washing_machine_2007)', 'putin_executor(soap_2054, washing_machine_2007)', 'close_executor(washin
g_machine_2007)', 'plugin_executor(washing_machine_2007)', 'switchon_executor(washing_machine_2007)'
]","Time consume: 110 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 29
",1,Scene_id: 0
cdl_dataset/dataset/Wash_dishes_with_dishwasher/g2.txt,Syntax Error,"['walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001)', 'walk_executor(cupboard_229)', 
'open_executor(cupboard_229)', 'walk_executor(cupboard_229)', 'walk_executor(dishwasher_1001)', 'ope
n_executor(dishwasher_1001) (Failed)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229) (
Failed)', 'walk_executor(cupboard_229)', 'walk_executor(cupboard_229)', 'walk_executor(bathroom_1)',
 'walk_executor(sink_42)', 'grab_executor(cleaning_solution_2073)', 'walk_executor(dishwasher_1001)'
, 'putin_executor(cleaning_solution_2073, dishwasher_1001)', 'walk_executor(cupboard_229)', 'walk_ex
ecutor(cupboard_229)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229) (Failed)', 'walk_
executor(cupboard_229)', 'open_executor(cupboard_229) (Failed)', 'walk_executor(cupboard_229)', 'ope
n_executor(cupboard_229) (Failed)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229) (Fai
led)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229) (Failed)', 'walk_executor(cupboar
d_229)', 'open_executor(cupboard_229) (Failed)', 'walk_executor(cupboard_229)', 'open_executor(cupbo
ard_229) (Failed)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229) (Failed)', 'walk_exe
cutor(cupboard_229)', 'open_executor(cupboard_229) (Failed)', 'walk_executor(cupboard_229)', 'open_e
xecutor(cupboard_229) (Failed)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229) (Failed
)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229) (Failed)', 'walk_executor(cupboard_2
29)', 'open_executor(cupboard_229) (Failed)', 'walk_executor(cupboard_229)', 'open_executor(cupboard
_229) (Failed)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229) (Failed)', 'walk_execut
or(dishwasher_1001)', 'walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001) (Failed)', '
walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001) (Failed)', 'switchon_executor(dishw
asher_1001)', 'walk_executor(dining_room_201)', 'walk_executor(table_226)', 'grab_executor(bowl_2071
)', 'walk_executor(dishwasher_1001)', 'putin_executor(bowl_2071, dishwasher_1001)', 'switchon_execut
or(dishwasher_1001) (Failed)', 'walk_executor(dining_room_201)', 'walk_executor(sink_231)', 'walk_ex
ecutor(table_226)', 'grab_executor(bowl_2072)', 'walk_executor(dishwasher_1001)', 'putin_executor(bo
wl_2072, dishwasher_1001)', 'walk_executor(table_226)', 'grab_executor(plate_1000) (Failed)']","Time consume: 396 seconds
Exp_helper query times: 2
Guidance query times: 1
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 68
","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 4 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Turn_on_light/g2.txt,Turn on the lights in the bedroom. Then turn on the lights in the bathroom.,"['walk_executor(light_169)', 'switchon_executor(light_169)', 'walk_executor(light_64)', 'switchon_ex
ecutor(light_64)']","Time consume: 12 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 4
",1,Scene_id: 0
cdl_dataset/dataset/Pet_cat/g2.txt,Slice some chicken and give it to my cat.,"['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'grab_e
xecutor(food_chicken_2017)', 'close_executor(fridge_289)', 'walk_executor(kitchen_counter_230)', 'pu
t_executor(food_chicken_2017, cutting_board_2051)', 'walk_executor(knife_2050)', 'grab_executor(knif
e_2050)', 'cut_executor(food_chicken_2017) (Failed)', 'walk_executor(cutting_board_2051)', 'grab_exe
cutor(food_chicken_2017)', 'cut_executor(food_chicken_2017)', 'put_executor(food_chicken_2017, cutti
ng_board_2051)', 'cut_executor(food_chicken_2017)', 'grab_executor(food_chicken_2017)', 'put_executo
r(food_chicken_2017, cutting_board_2051)', 'grab_executor(food_chicken_2017)', 'cut_executor(food_ch
icken_2017)', 'put_executor(food_chicken_2017, cutting_board_2051)', 'cut_executor(food_chicken_2017
)', 'grab_executor(food_chicken_2017)', 'put_executor(food_chicken_2017, cutting_board_2051)', 'cut_
executor(food_chicken_2017)', 'grab_executor(food_chicken_2017)', 'walk_executor(home_office_319)', 
'walk_executor(couch_352)', 'putin_executor(food_chicken_2017, cat_2055) (Failed)', 'walk_executor(h
ome_office_319)', 'walk_executor(couch_352)', 'putin_executor(food_chicken_2017, cat_2055) (Failed)'
, 'cut_executor(food_chicken_2017)', 'walk_executor(home_office_319)', 'walk_executor(couch_352)', '
put_executor(food_chicken_2017, mat_401)']","Time consume: 131 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 35
","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 3 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Drink/g6.txt,Syntax Error,"['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_e
xecutor(food_lemon_2028)', 'grab_executor(food_lemon_2028)', 'walk_executor(food_sugar_2039)', 'grab
_executor(food_sugar_2039)', 'walk_executor(kitchen_counter_230)', 'grab_executor(knife_2050) (Faile
d)', 'put_executor(food_sugar_2039, kitchen_counter_230)', 'put_executor(food_lemon_2028, kitchen_co
unter_230)', 'grab_executor(cup_2063)', 'walk_executor(faucet_232)', 'switchon_executor(faucet_232)'
, 'wash_executor(cup_2063)', 'rinse_executor(cup_2063)', 'switchoff_executor(faucet_232)', 'walk_exe
cutor(kitchen_counter_230)', 'put_executor(cup_2063, kitchen_counter_230)', 'grab_executor(food_lemo
n_2028)', 'put_executor(food_lemon_2028, cutting_board_2051)', 'grab_executor(knife_2050)', 'cut_exe
cutor(food_lemon_2028)', 'put_executor(knife_2050, kitchen_counter_230)', 'grab_executor(food_lemon_
2028)', 'squeeze_executor(food_lemon_2028, cup_2063)', 'put_executor(food_lemon_2028, kitchen_counte
r_230)', 'grab_executor(food_sugar_2039)', 'put_executor(food_sugar_2039, cup_2063)', 'grab_executor
(cup_2063)']","Time consume: 62 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 30
","Keystate: k1 - Requires: 4 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Cook_some_food/g9.txt,Make some French fries.,"['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_e
xecutor(food_potato_2035)', 'grab_executor(food_potato_2035)', 'walk_executor(cutting_board_2051)', 
'put_executor(food_potato_2035, cutting_board_2051)', 'walk_executor(knife_2050)', 'grab_executor(kn
ife_2050)', 'walk_executor(food_potato_2035)', 'cut_executor(food_potato_2035)', 'walk_executor(frid
ge_289)', 'close_executor(fridge_289)', 'switchon_executor(fridge_289)', 'walk_executor(stove_2065)'
, 'plugin_executor(stove_2065) (Failed)', 'switchon_executor(stove_2065)', 'walk_executor(fryingpan_
2083)', 'grab_executor(fryingpan_2083)', 'walk_executor(stove_2065)', 'put_executor(fryingpan_2083, 
stove_2065)', 'walk_executor(oil_2079)', 'grab_executor(oil_2079)', 'walk_executor(stove_2065)', 'po
ur_executor(oil_2079, fryingpan_2083)', 'walk_executor(food_potato_2035)', 'grab_executor(food_potat
o_2035) (Failed)', 'walk_executor(food_potato_2035)', 'grab_executor(food_potato_2035) (Failed)', 'p
ut_executor(knife_2050, kitchen_counter_230)', 'walk_executor(cutting_board_2051)', 'grab_executor(f
ood_potato_2035)', 'walk_executor(stove_2065)', 'putin_executor(food_potato_2035, fryingpan_2083)']","Time consume: 71 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 34
","Keystate: k1 - Requires: 1 steps
Action Completion Rate: No actions required",Scene_id: 0
