Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Wash_windows/g1.txt,Open the windows in the bathroom.,"['walk_executor(window_63)', 'open_executor(window_63)']","Time consume: 20 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 2
",1,Scene_id: 0
cdl_dataset/dataset/Turn_on_light/g1.txt,Turn on the lights in the bathroom.,"['walk_executor(light_64)', 'switchon_executor(light_64)']","Time consume: 21 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 2
",1,Scene_id: 0
cdl_dataset/dataset/Cook_some_food/g6.txt,"Slice apple, kiwi, and banana. Then put them on a plate.","['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'grab_e
xecutor(food_apple_2009)', 'walk_executor(cutting_board_2051)', 'put_executor(food_apple_2009, cutti
ng_board_2051)', 'walk_executor(kitchen_counter_230)', 'walk_executor(knife_2050)', 'grab_executor(k
nife_2050)', 'walk_executor(food_apple_2009)', 'cut_executor(food_apple_2009)', 'walk_executor(food_
kiwi_2027)', 'grab_executor(food_kiwi_2027)', 'walk_executor(cutting_board_2051)', 'put_executor(foo
d_kiwi_2027, cutting_board_2051)', 'walk_executor(food_kiwi_2027)', 'cut_executor(food_kiwi_2027)', 
'walk_executor(food_banana_2011)', 'grab_executor(food_banana_2011)', 'walk_executor(cutting_board_2
051)', 'put_executor(food_banana_2011, cutting_board_2051)', 'walk_executor(food_banana_2011)', 'cut
_executor(food_banana_2011)', 'walk_executor(kitchen_counter_230)', 'walk_executor(cupboard_229)', '
open_executor(cupboard_229)', 'walk_executor(walllamp_27)', 'walk_executor(doorjamb_347)', 'walk_exe
cutor(dishwasher_1001)', 'open_executor(dishwasher_1001)', 'walk_executor(oil_2079)', 'walk_executor
(sink_231)', 'walk_executor(food_apple_2009)', 'grab_executor(food_apple_2009)', 'walk_executor(plat
e_1000)', 'put_executor(food_apple_2009, plate_1000)', 'walk_executor(food_kiwi_2027)', 'grab_execut
or(food_kiwi_2027)', 'walk_executor(plate_1000)', 'put_executor(food_kiwi_2027, plate_1000)', 'walk_
executor(food_banana_2011)', 'grab_executor(food_banana_2011)', 'walk_executor(plate_1000)', 'put_ex
ecutor(food_banana_2011, plate_1000)']","Time consume: 150 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 44
","Keystate: k1 - Requires: 8 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Turn_on_light/g2.txt,Turn on the lights in the bedroom. Then turn on the lights in the bathroom.,"['walk_executor(light_169)', 'switchon_executor(light_169)', 'walk_executor(light_64)', 'switchon_ex
ecutor(light_64)']","Time consume: 38 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 3
goal correct times: 0
action_num: 4
",1,Scene_id: 0
cdl_dataset/dataset/Make_coffee/g1.txt,Make a cup of coffee using the coffee maker.,"['walk_executor(coffe_maker_290)', 'switchon_executor(coffe_maker_290)', 'walk_executor(faucet_232)'
, 'switchon_executor(faucet_232)', 'switchoff_executor(faucet_232)', 'walk_executor(coffe_maker_290)
']","Time consume: 327 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 25
goal correct times: 0
action_num: 6
","Keystate: k1 - Requires: 8 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g4.txt,"Iron a shirt, and put it in on the bed.","['walk_executor(ironing_board_2074)', 'walk_executor(iron_2089)', 'plugin_executor(iron_2089)', 'swi
tchon_executor(iron_2089)', 'walk_executor(closetdrawer_158)', 'walk_executor(closetdrawer_158)', 'w
alk_executor(closetdrawer_158)', 'walk_executor(closetdrawer_158)', 'walk_executor(closetdrawer_158)
', 'walk_executor(closetdrawer_158)', 'walk_executor(basket_for_clothes_2006)', 'grab_executor(cloth
es_shirt_2086)', 'walk_executor(ironing_board_2074)', 'put_executor(clothes_shirt_2086, ironing_boar
d_2074)', 'switchoff_executor(iron_2089)', 'plugout_executor(iron_2089)', 'walk_executor(clothes_shi
rt_2086)', 'grab_executor(clothes_shirt_2086)', 'walk_executor(bed_105)', 'put_executor(clothes_shir
t_2086, bed_105)']","Time consume: 128 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 20
","Keystate: k1 - Requires: 9 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g1.txt,Directly iron a pair of skirt.,"['walk_executor(ironing_board_2074)', 'walk_executor(iron_2089)', 'plugin_executor(iron_2089)', 'swi
tchon_executor(iron_2089)', 'walk_executor(closetdrawer_158)', 'walk_executor(iron_2089)', 'walk_exe
cutor(closetdrawer_158)', 'walk_executor(iron_2089)', 'walk_executor(closetdrawer_158)', 'walk_execu
tor(iron_2089)', 'walk_executor(closetdrawer_158)', 'walk_executor(iron_2089)', 'walk_executor(close
tdrawer_158)', 'walk_executor(iron_2089)', 'walk_executor(closetdrawer_158)', 'walk_executor(iron_20
89)', 'walk_executor(basket_for_clothes_2006)', 'walk_executor(iron_2089)', 'walk_executor(clothes_s
kirt_2088)', 'grab_executor(clothes_skirt_2088)', 'walk_executor(ironing_board_2074)', 'put_executor
(clothes_skirt_2088, ironing_board_2074)', 'grab_executor(clothes_skirt_2088)', 'walk_executor(fauce
t_43)', 'switchon_executor(faucet_43)', 'wash_executor(clothes_skirt_2088)', 'switchoff_executor(fau
cet_43)', 'walk_executor(ironing_board_2074)', 'put_executor(clothes_skirt_2088, ironing_board_2074)
', 'walk_executor(clothes_skirt_2088)']","Time consume: 301 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 21
goal correct times: 0
action_num: 30
","Keystate: k1 - Requires: 4 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Wash_clothes/g3.txt,"Hand wash the jacket, then wash it by washing machine.","['walk_executor(closetdrawer_158)', 'walk_executor(closetdrawer_158)', 'walk_executor(closetdrawer_1
58)', 'walk_executor(closetdrawer_158)', 'walk_executor(closetdrawer_158)', 'walk_executor(closetdra
wer_158)', 'walk_executor(couch_352)', 'walk_executor(clothes_jacket_2047)', 'grab_executor(clothes_
jacket_2047)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'wash_executor(clothes_ja
cket_2047)', 'switchoff_executor(faucet_43)', 'walk_executor(washing_machine_2007)', 'open_executor(
washing_machine_2007)', 'putin_executor(clothes_jacket_2047, washing_machine_2007)', 'close_executor
(washing_machine_2007)', 'plugin_executor(washing_machine_2007)', 'switchon_executor(washing_machine
_2007)']","Time consume: 96 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 19
",1,Scene_id: 0
cdl_dataset/dataset/Put_groceries_in_Fridge/g3.txt,Throw all the items in the fridge to the trashcan.,[],"Time consume: 1288 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 18
goal correct times: 0
action_num: 0
","Keystate: k1 - Requires: 151 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g2.txt,Hand wash a shirt and iron this shirt.,"['walk_executor(closetdrawer_158)', 'walk_executor(closetdrawer_158)']","Time consume: 251 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 15
goal correct times: 0
action_num: 2
","Keystate: k1 - Requires: 6 steps
Keystate: k2 - Requires: 10 steps
Action Completion Rate: 0.0",Scene_id: 0
