Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Write_an_email/g1.txt,Turn on the computer in home office.,"['walk_executor(computer_417)', 'switchon_executor(computer_417)']","Time consume: 7 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 2
","Keystate: k1 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g5.txt,Iron the shirt and the skirt.,"['walk_executor(basket_for_clothes_2006)', 'grab_executor(clothes_shirt_2086)', 'walk_executor(ironi
ng_board_2074)', 'put_executor(clothes_shirt_2086, ironing_board_2074)', 'grab_executor(iron_2089)',
 'plugin_executor(iron_2089)', 'switchon_executor(iron_2089)', 'walk_executor(clothes_shirt_2086)', 
'touch_executor(clothes_shirt_2086)', 'switchoff_executor(iron_2089)', 'plugout_executor(iron_2089)'
, 'walk_executor(basket_for_clothes_2006)', 'grab_executor(clothes_skirt_2088)', 'walk_executor(iron
ing_board_2074)', 'put_executor(clothes_skirt_2088, ironing_board_2074)', 'plugin_executor(iron_2089
)', 'switchon_executor(iron_2089)', 'touch_executor(clothes_skirt_2088)', 'switchoff_executor(iron_2
089)', 'plugout_executor(iron_2089)']","Time consume: 86 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 20
","Keystate: k1 - Requires: 5 steps
Keystate: k2 - Requires: 3 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Cook_some_food/g4.txt,Boil some vegetables with pot. Then store the whole pot in the fridge.,"['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_e
xecutor(food_vegetable_2041)', 'grab_executor(food_vegetable_2041)', 'walk_executor(cupboard_229)', 
'open_executor(cupboard_229)', 'walk_executor(kitchen_counter_230)', 'grab_executor(pot_2069)', 'wal
k_executor(faucet_232)', 'switchon_executor(faucet_232)', 'putin_executor(food_vegetable_2041, pot_2
069) (Failed)', 'walk_executor(kitchen_counter_230)', 'put_executor(food_vegetable_2041, kitchen_cou
nter_230)', 'close_executor(cupboard_229)', 'walk_executor(faucet_232)', 'plugin_executor(stove_2065
) (Failed)', 'walk_executor(kitchen_counter_230)', 'open_executor(pot_2069)', 'grab_executor(food_ve
getable_2041)', 'putin_executor(food_vegetable_2041, pot_2069)', 'walk_executor(stove_2065)', 'put_e
xecutor(pot_2069, stove_2065)', 'switchon_executor(stove_2065)', 'walk_executor(pot_2069)', 'grab_ex
ecutor(pot_2069)', 'walk_executor(fridge_289)', 'putin_executor(pot_2069, fridge_289)']","Time consume: 126 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 28
","Keystate: k1 - Requires: 3 steps
Keystate: k2 - Requires: 8 steps
Keystate: k3 - Requires: 2 steps
Action Completion Rate: 1.0",Scene_id: 0
cdl_dataset/dataset/Cook_some_food/g9.txt,Make some French fries.,"['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_e
xecutor(food_potato_2035)', 'grab_executor(food_potato_2035)', 'walk_executor(fridge_289)', 'close_e
xecutor(fridge_289)', 'switchon_executor(fridge_289)', 'walk_executor(cutting_board_2051)', 'put_exe
cutor(food_potato_2035, cutting_board_2051)', 'walk_executor(knife_2050)', 'grab_executor(knife_2050
)', 'walk_executor(cutting_board_2051)', 'cut_executor(food_potato_2035)', 'walk_executor(fryingpan_
2083)', 'grab_executor(fryingpan_2083)', 'walk_executor(stove_2065)', 'put_executor(fryingpan_2083, 
stove_2065)', 'walk_executor(oil_2079)', 'grab_executor(oil_2079)', 'walk_executor(fryingpan_2083)',
 'putin_executor(oil_2079, fryingpan_2083)', 'walk_executor(food_potato_2035)', 'grab_executor(food_
potato_2035)', 'walk_executor(fryingpan_2083)', 'putin_executor(food_potato_2035, fryingpan_2083)', 
'walk_executor(stove_2065)', 'switchon_executor(stove_2065)']","Time consume: 43 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 28
",1,Scene_id: 0
cdl_dataset/dataset/Cook_some_food/g5.txt,Make oil fried banana.,"['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'grab_e
xecutor(food_banana_2011)', 'close_executor(fridge_289)', 'switchon_executor(fridge_289)', 'walk_exe
cutor(cutting_board_2051)', 'put_executor(food_banana_2011, cutting_board_2051)', 'walk_executor(cup
board_229)', 'open_executor(cupboard_229)', 'grab_executor(knife_2050) (Failed)', 'walk_executor(cup
board_229)', 'open_executor(cupboard_229) (Failed)', 'walk_executor(cupboard_229)', 'open_executor(c
upboard_229) (Failed)', 'walk_executor(cutting_board_2051)', 'walk_executor(cupboard_229)', 'open_ex
ecutor(cupboard_229) (Failed)', 'walk_executor(cutting_board_2051)', 'grab_executor(knife_2050)', 'c
ut_executor(food_banana_2011)', 'walk_executor(fryingpan_2083)', 'grab_executor(fryingpan_2083)', 'w
alk_executor(stove_2065)', 'put_executor(fryingpan_2083, stove_2065)', 'grab_executor(oil_2079)', 'p
utin_executor(oil_2079, fryingpan_2083)', 'switchon_executor(stove_2065)', 'putin_executor(food_bana
na_2011, fryingpan_2083) (Failed)', 'walk_executor(cutting_board_2051)', 'grab_executor(food_banana_
2011)', 'walk_executor(fryingpan_2083)', 'putin_executor(food_banana_2011, fryingpan_2083)']","Time consume: 79 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 33
",1,Scene_id: 0
cdl_dataset/dataset/Drink/g5.txt,Use pot to boil some water.,"['walk_executor(dining_room_201)', 'walk_executor(kitchen_counter_230)', 'walk_executor(cupboard_229
)', 'open_executor(cupboard_229)', 'walk_executor(wallshelf_234)', 'walk_executor(kitchen_counter_23
0)', 'walk_executor(pot_2069)', 'grab_executor(pot_2069)', 'walk_executor(sink_231)', 'switchon_exec
utor(faucet_232)', 'putin_executor(pot_2069, sink_231)', 'switchoff_executor(faucet_232)', 'grab_exe
cutor(pot_2069)', 'walk_executor(stove_2065)', 'put_executor(pot_2069, stove_2065)', 'switchon_execu
tor(stove_2065)']","Time consume: 39 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 16
",1,Scene_id: 0
cdl_dataset/dataset/Prepare_a_reading_space/g5.txt,"Find my spectacles and put it on the coffe table in home office. Then find the book and put it on th
e coffe table in home office.","['walk_executor(bookshelf_354)', 'open_executor(bookshelf_354)', 'walk_executor(filing_cabinet_399)'
, 'walk_executor(floor_320)', 'walk_executor(bookshelf_354)', 'grab_executor(book_2066)', 'walk_exec
utor(coffee_table_2068)', 'put_executor(book_2066, coffee_table_2068)', 'walk_executor(bookshelf_354
)', 'grab_executor(book_2067)', 'walk_executor(coffee_table_2068)', 'put_executor(book_2067, coffee_
table_2068)']","Time consume: 26 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 12
","Keystate: k1 - Requires: 3 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Listen_to_music/g2.txt,Turn on the dvd player.,"['walk_executor(tvstand_353)', 'plugin_executor(dvd_player_2061)', 'switchon_executor(dvd_player_206
1)']","Time consume: 8 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 3
",1,Scene_id: 0
cdl_dataset/dataset/Prepare_dinner/g1.txt,Syntax Error,"['walk_executor(kitchen_counter_230)', 'walk_executor(faucet_232)', 'switchon_executor(faucet_232)',
 'walk_executor(sink_231)', 'wash_executor(pot_2069)', 'walk_executor(faucet_232)', 'switchoff_execu
tor(faucet_232)', 'walk_executor(pot_2069)', 'grab_executor(pot_2069)', 'walk_executor(faucet_232)',
 'switchon_executor(faucet_232)', 'walk_executor(pot_2069)']","Time consume: 39 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 12
","Keystate: k1 - Requires: 11 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Put_groceries_in_Fridge/g3.txt,Throw all the items in the fridge to the trashcan.,"['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_e
xecutor(trashcan_99)', 'close_executor(fridge_289)', 'switchon_executor(fridge_289)']","Time consume: 16 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 0
goal correct times: 0
action_num: 6
","Keystate: k1 - Requires: 148 steps
Action Completion Rate: No actions required",Scene_id: 0
