Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Wash_clothes/g3.txt,Syntax Error,"['walk_executor(closetdrawer_119)', 'walk_executor(closetdrawer_119)']","Time consume: 31 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 2
","Keystate: k1 - Requires: 9 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Make_coffee/g1.txt,Make a cup of coffee using the coffee maker.,"['walk_executor(coffe_maker_290)', 'switchon_executor(coffe_maker_290)', 'walk_executor(kitchen_coun
ter_230)', 'walk_executor(cup_2063)', 'grab_executor(cup_2063)', 'walk_executor(faucet_232)', 'switc
hon_executor(faucet_232)', 'wash_executor(cup_2063)', 'switchoff_executor(faucet_232)', 'switchon_ex
ecutor(faucet_232)', 'switchoff_executor(faucet_232)', 'walk_executor(kitchen_counter_230)', 'walk_e
xecutor(faucet_232)', 'switchon_executor(faucet_232)', 'switchoff_executor(faucet_232)', 'walk_execu
tor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(faucet_232)', 'switchon_executor(f
aucet_232)', 'switchoff_executor(faucet_232)', 'walk_executor(shower_36)', 'walk_executor(faucet_232
)', 'switchon_executor(faucet_232)', 'switchoff_executor(faucet_232)', 'walk_executor(bathroom_cabin
et_40)', 'open_executor(bathroom_cabinet_40)', 'walk_executor(faucet_232)', 'switchon_executor(fauce
t_232)', 'switchoff_executor(faucet_232)', 'walk_executor(drawing_240)', 'walk_executor(faucet_232)'
, 'switchon_executor(faucet_232)', 'switchoff_executor(faucet_232)', 'walk_executor(cutting_board_20
51)', 'walk_executor(faucet_232)', 'switchon_executor(faucet_232)', 'switchoff_executor(faucet_232)'
, 'walk_executor(table_226)', 'walk_executor(faucet_232)', 'switchon_executor(faucet_232)', 'switcho
ff_executor(faucet_232)', 'walk_executor(coffe_maker_290)', 'switchoff_executor(coffe_maker_290)', '
open_executor(coffe_maker_290)', 'walk_executor(coffee_filter_2000)', 'grab_executor(coffee_filter_2
000)', 'walk_executor(coffe_maker_290)', 'putin_executor(coffee_filter_2000, coffe_maker_290)', 'wal
k_executor(faucet_232)', 'switchon_executor(faucet_232)', 'switchoff_executor(faucet_232)', 'walk_ex
ecutor(coffe_maker_290)', 'close_executor(coffe_maker_290)', 'switchon_executor(coffe_maker_290)', '
put_executor(cup_2063, coffe_maker_290)', 'walk_executor(faucet_232)', 'switchon_executor(faucet_232
)', 'switchoff_executor(faucet_232)']","Time consume: 202 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 4
goal correct times: 0
action_num: 58
","Keystate: k1 - Requires: 9 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Prepare_a_reading_space/g5.txt,"Find my spectacles and put it on the coffe table in home office. Then find the book and put it on th
e coffe table in home office.","['walk_executor(dresser_358)', 'open_executor(dresser_358)', 'walk_executor(closetdrawer_119)', 'wal
k_executor(closetdrawer_119)', 'walk_executor(closetdrawer_119)', 'walk_executor(closetdrawer_119)',
 'walk_executor(closetdrawer_119)', 'walk_executor(table_355)', 'walk_executor(spectacles_2082)', 'g
rab_executor(spectacles_2082)', 'walk_executor(coffee_table_2068)', 'put_executor(spectacles_2082, c
offee_table_2068)', 'walk_executor(bookshelf_354)', 'open_executor(bookshelf_354)', 'walk_executor(b
ook_2066)', 'open_executor(book_2066)', 'grab_executor(book_2066)', 'walk_executor(coffee_table_2068
)', 'put_executor(book_2066, coffee_table_2068)']","Time consume: 115 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 2
goal correct times: 0
action_num: 19
","Keystate: k1 - Requires: 8 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Prepare_breakfast/g5.txt,Prepare a cup of hot milk with cereal inside.,"['walk_executor(kitchen_counter_230)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229)',
 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'open_e
xecutor(food_cereal_2015) (Failed)', 'open_executor(food_cereal_2015) (Failed)', 'open_executor(food
_cereal_2015) (Failed)', 'open_executor(food_cereal_2015) (Failed)', 'open_executor(food_cereal_2015
) (Failed)', 'open_executor(food_cereal_2015) (Failed)', 'open_executor(food_cereal_2015) (Failed)',
 'walk_executor(cupboard_229)', 'walk_executor(kitchen_counter_230)', 'walk_executor(stove_2065)', '
open_executor(stove_2065)', 'walk_executor(milk_2043)', 'grab_executor(milk_2043)', 'walk_executor(s
tove_2065)', 'putin_executor(milk_2043, stove_2065)', 'switchon_executor(stove_2065)', 'grab_executo
r(milk_2043)', 'walk_executor(cup_2063)', 'putin_executor(milk_2043, cup_2063)', 'walk_executor(food
_cereal_2015)', 'grab_executor(food_cereal_2015)', 'walk_executor(cup_2063)', 'putin_executor(food_c
ereal_2015, cup_2063)']","Time consume: 635 seconds
Exp_helper query times: 0
Guidance query times: 2
library scale: 0
goal generate times: 29
goal correct times: 2
action_num: 29
","Keystate: k1 - Requires: 8 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Change_TV_channel/g1.txt,Turn on the TV by touching the remote control.,"['walk_executor(tvstand_225)', 'walk_executor(television_248)', 'walk_executor(coffee_table_2068)', 
'walk_executor(table_226)', 'walk_executor(couch_352)', 'walk_executor(remote_control_2052)', 'touch
_executor(remote_control_2052)', 'walk_executor(television_248)', 'switchon_executor(television_248)
']","Time consume: 56 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 9
",1,Scene_id: 0
cdl_dataset/dataset/Prepare_breakfast/g2.txt,Scramble egg by the fryingpan.,"['walk_executor(kitchen_counter_230)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)'
, 'open_executor(fridge_289)', 'grab_executor(food_egg_2020)', 'walk_executor(fryingpan_2083)', 'put
in_executor(food_egg_2020, fryingpan_2083)', 'walk_executor(food_egg_2020)', 'grab_executor(food_egg
_2020)', 'walk_executor(cutting_board_2051)', 'put_executor(food_egg_2020, cutting_board_2051)', 'wa
lk_executor(knife_2050)', 'grab_executor(knife_2050)', 'walk_executor(food_egg_2020)', 'cut_executor
(food_egg_2020)']","Time consume: 49 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 15
","Keystate: k1 - Requires: 13 steps
Keystate: k2 - Requires: 13 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Pet_cat/g4.txt,Wash my cat.,"['walk_executor(bed_105)', 'walk_executor(couch_352)', 'walk_executor(cat_2055)', 'walk_executor(fau
cet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'switchon_executor(faucet
_43)', 'walk_executor(cat_2055)', 'grab_executor(cat_2055)', 'walk_executor(faucet_43)', 'put_execut
or(cat_2055, faucet_43)', 'grab_executor(cat_2055)', 'put_executor(cat_2055, faucet_43)', 'grab_exec
utor(cat_2055)']","Time consume: 342 seconds
Exp_helper query times: 0
Guidance query times: 2
library scale: 0
goal generate times: 17
goal correct times: 3
action_num: 14
","Keystate: k1 - Requires: 2 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Cook_some_food/g6.txt,"Slice apple, kiwi, and banana. Then put them on a plate.","['walk_executor(cutting_board_2051)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)',
 'open_executor(fridge_289)', 'grab_executor(food_apple_2009)', 'walk_executor(cutting_board_2051)',
 'put_executor(food_apple_2009, cutting_board_2051)', 'walk_executor(knife_2050)', 'grab_executor(kn
ife_2050)', 'walk_executor(food_apple_2009)', 'cut_executor(food_apple_2009)', 'walk_executor(food_k
iwi_2027)', 'grab_executor(food_kiwi_2027)', 'walk_executor(cutting_board_2051)', 'put_executor(food
_kiwi_2027, cutting_board_2051)', 'walk_executor(food_kiwi_2027)', 'cut_executor(food_kiwi_2027)', '
walk_executor(food_banana_2011)', 'grab_executor(food_banana_2011)', 'walk_executor(cutting_board_20
51)', 'put_executor(food_banana_2011, cutting_board_2051)', 'walk_executor(food_banana_2011)', 'cut_
executor(food_banana_2011)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_exe
cutor(wallshelf_234)', 'walk_executor(wallshelf_235)', 'walk_executor(wallshelf_35)', 'walk_executor
(dishwasher_1001)', 'open_executor(dishwasher_1001)', 'walk_executor(sink_231)', 'walk_executor(food
_apple_2009)', 'grab_executor(food_apple_2009)', 'walk_executor(plate_1000)', 'put_executor(food_app
le_2009, plate_1000)', 'walk_executor(food_kiwi_2027)', 'grab_executor(food_kiwi_2027)', 'walk_execu
tor(plate_1000)', 'put_executor(food_kiwi_2027, plate_1000)', 'walk_executor(food_banana_2011)', 'gr
ab_executor(food_banana_2011)', 'walk_executor(plate_1000)', 'put_executor(food_banana_2011, plate_1
000)']","Time consume: 153 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 2
goal correct times: 0
action_num: 43
","Keystate: k1 - Requires: 8 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Put_groceries_in_Fridge/g1.txt,"Put milk, turkey, egg, fish and chicken on one of the table in dining room.","['walk_executor(table_226)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_ex
ecutor(fridge_289)', 'grab_executor(milk_2043)', 'walk_executor(table_226)', 'put_executor(milk_2043
, table_226)', 'walk_executor(food_turkey_2040)', 'grab_executor(food_turkey_2040)', 'walk_executor(
table_226)', 'put_executor(food_turkey_2040, table_226)', 'walk_executor(food_egg_2020)', 'grab_exec
utor(food_egg_2020)', 'walk_executor(table_226)', 'put_executor(food_egg_2020, table_226)', 'walk_ex
ecutor(food_fish_2021)', 'grab_executor(food_fish_2021)', 'walk_executor(table_226)', 'put_executor(
food_fish_2021, table_226)', 'walk_executor(food_chicken_2017)', 'grab_executor(food_chicken_2017)',
 'walk_executor(table_226)', 'put_executor(food_chicken_2017, table_226)']","Time consume: 86 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 2
goal correct times: 0
action_num: 23
",1,Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g1.txt,Directly iron a pair of skirt.,"['walk_executor(ironing_board_2074)', 'walk_executor(iron_2089)', 'plugin_executor(iron_2089)', 'swi
tchon_executor(iron_2089)', 'walk_executor(closetdrawer_119)', 'walk_executor(closetdrawer_119)', 'w
alk_executor(closetdrawer_119)', 'walk_executor(closetdrawer_119)', 'walk_executor(closetdrawer_119)
', 'walk_executor(closetdrawer_119)', 'walk_executor(basket_for_clothes_2006)', 'grab_executor(cloth
es_skirt_2088)', 'walk_executor(ironing_board_2074)', 'put_executor(clothes_skirt_2088, ironing_boar
d_2074)', 'walk_executor(clothes_skirt_2088)', 'grab_executor(clothes_skirt_2088)', 'walk_executor(f
aucet_43)', 'switchon_executor(faucet_43)', 'wash_executor(clothes_skirt_2088)', 'switchoff_executor
(faucet_43)']","Time consume: 136 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 4
goal correct times: 0
action_num: 20
","Keystate: k1 - Requires: 5 steps
Action Completion Rate: 0.0",Scene_id: 0
