Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Prepare_dinner/g1.txt,Boil some rice by pot.,"['walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_executor(pot_78)', 'grab_execut
or(pot_78)', 'walk_executor(faucet_20)', 'switchon_executor(faucet_20)', 'switchoff_executor(faucet_
20)', 'walk_executor(stove_2135)', 'put_executor(pot_78, stove_2135)', 'switchon_executor(stove_2135
)', 'walk_executor(cupboard_117)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'o
pen_executor(fridge_126)', 'grab_executor(food_rice_2108)', 'walk_executor(pot_78)', 'putin_executor
(food_rice_2108, pot_78)']","Time consume: 57 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 17
",1,Scene_id: 1
cdl_dataset/dataset/Prepare_dinner/g7.txt,Syntax Error,"['walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open_executor(fridge_126)']","Time consume: 105 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 3
","Keystate: k1 - Requires: 24 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Clean_the_bathroom/g2.txt,Syntax Error,[],"Time consume: 65 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 6
goal correct times: 0
action_num: 0
","Keystate: k1 - Requires: 4 steps
Action Completion Rate: 0.0",Scene_id: 1
cdl_dataset/dataset/Wash_dishes_with_dishwasher/g1.txt,wash all the bowls and the plates with dishwasher,"['walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_executor(cupboard_117)', 'walk_
executor(dishwasher_129)', 'open_executor(dishwasher_129)', 'walk_executor(kitchen_counter_119)', 'w
alk_executor(bowl_2140)', 'walk_executor(bowl_2141)', 'walk_executor(bowl_2142)', 'walk_executor(pla
te_2152)', 'walk_executor(bowl_2140)', 'grab_executor(bowl_2140)', 'walk_executor(dishwasher_129)', 
'putin_executor(bowl_2140, dishwasher_129)', 'walk_executor(bowl_2141)', 'grab_executor(bowl_2141)',
 'walk_executor(dishwasher_129)', 'putin_executor(bowl_2141, dishwasher_129)', 'walk_executor(bowl_2
142)', 'grab_executor(bowl_2142)', 'walk_executor(dishwasher_129)', 'putin_executor(bowl_2142, dishw
asher_129)', 'walk_executor(plate_2152)', 'grab_executor(plate_2152)', 'walk_executor(dishwasher_129
)', 'putin_executor(plate_2152, dishwasher_129)', 'close_executor(dishwasher_129)', 'switchon_execut
or(dishwasher_129)']","Time consume: 133 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 3
goal correct times: 0
action_num: 28
",1,Scene_id: 1
cdl_dataset/dataset/Turn_on_light/g3.txt,Syntax Error,[],"Time consume: 49 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 6
goal correct times: 0
action_num: 0
","Keystate: k1 - Requires: 8 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Prepare_a_reading_space/g2.txt,Find the book and put it on the table in home office. Then turn on the light in the home office.,"['walk_executor(bookshelf_275)', 'walk_executor(bookshelf_124)', 'open_executor(bookshelf_124)', 'wa
lk_executor(book_2136)', 'open_executor(book_2136)', 'walk_executor(book_2137)', 'open_executor(book
_2137)', 'grab_executor(book_2137)', 'walk_executor(table_270)', 'put_executor(book_2137, table_270)
', 'walk_executor(bookshelf_124)', 'open_executor(bookshelf_124) (Failed)', 'walk_executor(book_2136
)', 'grab_executor(book_2136)', 'walk_executor(table_114)', 'put_executor(book_2136, table_114)', 'w
alk_executor(book_2136)', 'grab_executor(book_2136)', 'walk_executor(table_270)', 'put_executor(book
_2136, table_270)', 'walk_executor(light_283)', 'switchon_executor(light_283)']","Time consume: 131 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 7
goal correct times: 0
action_num: 22
",1,Scene_id: 1
cdl_dataset/dataset/Put_groceries_in_Fridge/g2.txt,"Wash the fish at first. Then put milk, turkey, eggs, fish and chicken on one of the table in dining 
room.",[],"Time consume: 142 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 18
goal correct times: 0
action_num: 0
","Keystate: k1 - Requires: 7 steps
Keystate: k2 - Requires: 19 steps
Action Completion Rate: 0.0",Scene_id: 1
cdl_dataset/dataset/Prepare_breakfast/g4.txt,"Make chicken pasta, put it in a plate.","['walk_executor(stove_2135)', 'switchon_executor(stove_2135)', 'switchoff_executor(stove_2135)', 'op
en_executor(stove_2135)', 'switchon_executor(stove_2135)', 'walk_executor(cupboard_118)', 'open_exec
utor(cupboard_118)', 'walk_executor(cupboard_117)', 'walk_executor(dishwasher_129)', 'open_executor(
dishwasher_129)', 'walk_executor(oven_127)', 'open_executor(oven_127)', 'walk_executor(kitchen_count
er_123)', 'walk_executor(kitchen_counter_122)', 'walk_executor(fridge_126)', 'switchoff_executor(fri
dge_126)', 'open_executor(fridge_126)', 'grab_executor(food_chicken_2089)', 'walk_executor(fryingpan
_2154)', 'putin_executor(food_chicken_2089, fryingpan_2154)', 'walk_executor(kitchen_counter_122)', 
'walk_executor(cutting_board_2123)', 'walk_executor(pot_78)', 'walk_executor(table_114)', 'walk_exec
utor(dry_pasta_2114)', 'grab_executor(dry_pasta_2114)', 'walk_executor(pot_78)', 'putin_executor(dry
_pasta_2114, pot_78)', 'walk_executor(stove_2135)', 'walk_executor(food_chicken_2089)', 'grab_execut
or(food_chicken_2089)', 'put_executor(food_chicken_2089, fryingpan_2154)', 'grab_executor(food_chick
en_2089)', 'put_executor(food_chicken_2089, fryingpan_2154)', 'walk_executor(dry_pasta_2114)', 'grab
_executor(dry_pasta_2114)', 'walk_executor(fryingpan_2154)', 'put_executor(dry_pasta_2114, fryingpan
_2154)', 'walk_executor(food_food_2094)', 'grab_executor(food_food_2094)', 'walk_executor(plate_2152
)', 'put_executor(food_food_2094, plate_2152)', 'walk_executor(food_chicken_2089)', 'grab_executor(f
ood_chicken_2089)', 'walk_executor(plate_2152)', 'put_executor(food_chicken_2089, plate_2152)', 'wal
k_executor(dry_pasta_2114)', 'grab_executor(dry_pasta_2114)', 'walk_executor(plate_2152)', 'put_exec
utor(dry_pasta_2114, plate_2152)']","Time consume: 526 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 18
goal correct times: 0
action_num: 50
","Keystate: k1 - Requires: 11 steps
Keystate: k2 - Requires: 11 steps
Keystate: k3 - Requires: 6 steps
Keystate: k4 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Iron_clothes/g6.txt,Syntax Error,"['walk_executor(dresser_274)', 'open_executor(dresser_274)', 'walk_executor(bed_197)', 'walk_executo
r(clothes_dress_2116)', 'walk_executor(basket_for_clothes_2078)']","Time consume: 77 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 2
goal correct times: 0
action_num: 5
","Keystate: k1 - Requires: 10 steps
Keystate: k2 - Requires: 10 steps
Keystate: k3 - Requires: 3 steps
Keystate: k4 - Requires: 3 steps
Action Completion Rate: 0.0",Scene_id: 1
cdl_dataset/dataset/Prepare_breakfast/g1.txt,Slice and toast bread.,"['walk_executor(kitchen_counter_123)', 'walk_executor(kitchen_counter_122)', 'walk_executor(kitchen_
counter_119)', 'walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_executor(cupboard
_117)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open_executor(fridge_126)', 
'walk_executor(table_114)', 'walk_executor(food_bread_2084)', 'grab_executor(food_bread_2084)', 'wal
k_executor(cutting_board_2123)', 'put_executor(food_bread_2084, cutting_board_2123)', 'walk_executor
(knife_2122)', 'grab_executor(knife_2122)', 'walk_executor(food_bread_2084)', 'cut_executor(food_bre
ad_2084)', 'walk_executor(toaster_132)', 'open_executor(toaster_132)', 'walk_executor(food_bread_208
4)', 'grab_executor(food_bread_2084)', 'walk_executor(toaster_132)', 'putin_executor(food_bread_2084
, toaster_132)', 'close_executor(toaster_132)', 'switchon_executor(toaster_132)']","Time consume: 90 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 26
",1,Scene_id: 1
cdl_dataset/dataset/Pet_cat/g3.txt,Syntax Error,"['walk_executor(table_114)', 'walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_exe
cutor(home_office_241)', 'walk_executor(home_office_241)', 'walk_executor(home_office_241)', 'walk_e
xecutor(home_office_241)', 'walk_executor(kitchen_counter_119)', 'walk_executor(bowl_2140)', 'grab_e
xecutor(bowl_2140)', 'walk_executor(faucet_20)', 'switchon_executor(faucet_20)', 'switchoff_executor
(faucet_20)', 'walk_executor(table_270)', 'put_executor(bowl_2140, table_270)', 'grab_executor(bowl_
2140)', 'walk_executor(table_270)', 'put_executor(bowl_2140, table_270)']","Time consume: 219 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 14
goal correct times: 0
action_num: 18
","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 6 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Clean_the_bathroom/g3.txt,Wipe the toilet with toilet paper. Then throw it into the toilet.,"['walk_executor(bathroom_cabinet_17)', 'open_executor(bathroom_cabinet_17)', 'walk_executor(cupboard
_118)', 'open_executor(cupboard_118)', 'walk_executor(toilet_15)', 'open_executor(toilet_15)', 'walk
_executor(toilet_paper_2076)', 'grab_executor(toilet_paper_2076)', 'walk_executor(toilet_15)', 'puti
n_executor(toilet_paper_2076, toilet_15)', 'walk_executor(toilet_15)', 'walk_executor(toilet_paper_2
076)', 'grab_executor(toilet_paper_2076)', 'putin_executor(toilet_paper_2076, toilet_15)', 'grab_exe
cutor(toilet_paper_2076)']","Time consume: 117 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 6
goal correct times: 0
action_num: 15
","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 1
cdl_dataset/dataset/Iron_clothes/g5.txt,Syntax Error,"['walk_executor(basket_for_clothes_2078)', 'grab_executor(clothes_shirt_2158)', 'walk_executor(ironi
ng_board_2144)', 'put_executor(clothes_shirt_2158, ironing_board_2144)', 'walk_executor(clothes_skir
t_2160)', 'grab_executor(clothes_skirt_2160)', 'walk_executor(ironing_board_2144)', 'put_executor(cl
othes_skirt_2160, ironing_board_2144)', 'walk_executor(table_114)', 'walk_executor(table_270)', 'wal
k_executor(pillow_286)', 'walk_executor(dresser_274)', 'open_executor(dresser_274)', 'walk_executor(
washing_machine_2079)', 'open_executor(washing_machine_2079)', 'walk_executor(cupboard_117)', 'walk_
executor(tablelamp_238)', 'walk_executor(food_bread_2084)', 'walk_executor(table_199)', 'walk_execut
or(dishwasher_129)', 'open_executor(dishwasher_129)', 'walk_executor(cupboard_118)', 'open_executor(
cupboard_118)', 'walk_executor(walllamp_307)', 'walk_executor(clothes_gloves_2118)', 'walk_executor(
pot_78)', 'walk_executor(faucet_121)', 'walk_executor(bowl_2142)', 'walk_executor(iron_2161)', 'plug
in_executor(iron_2161)', 'switchon_executor(iron_2161)', 'walk_executor(clothes_shirt_2158)', 'walk_
executor(clothes_skirt_2160)']","Time consume: 330 seconds
Exp_helper query times: 2
Guidance query times: 0
library scale: 0
goal generate times: 12
goal correct times: 0
action_num: 33
","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 4 steps
Action Completion Rate: 0.0",Scene_id: 1
cdl_dataset/dataset/Cook_some_food/g10.txt,Syntax Error,"['walk_executor(kitchen_counter_119)', 'walk_executor(cupboard_118)', 'open_executor(cupboard_118)',
 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open_executor(fridge_126)']","Time consume: 126 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 8
goal correct times: 0
action_num: 6
","Keystate: k1 - Requires: 24 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Drink/g3.txt,Get a cup of water and add some sliced kiwi inside.,"['walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_executor(cupboard_117)', 'walk_
executor(kitchen_counter_122)', 'walk_executor(tvstand_116)', 'walk_executor(sink_120)', 'walk_execu
tor(bowl_2141)', 'walk_executor(table_114)', 'walk_executor(cup_2132)', 'grab_executor(cup_2132)', '
walk_executor(faucet_20)', 'switchon_executor(faucet_20)', 'switchoff_executor(faucet_20)', 'walk_ex
ecutor(fridge_126)', 'switchoff_executor(fridge_126)', 'open_executor(fridge_126)', 'walk_executor(c
ouch_198)', 'walk_executor(bowl_2142)', 'walk_executor(doorjamb_190)', 'walk_executor(walllamp_140)'
, 'walk_executor(kitchen_counter_123)', 'walk_executor(food_kiwi_2054)', 'grab_executor(food_kiwi_20
54)', 'walk_executor(cutting_board_2123)', 'put_executor(food_kiwi_2054, cutting_board_2123)', 'walk
_executor(knife_2122)', 'grab_executor(knife_2122)', 'walk_executor(food_kiwi_2054)', 'cut_executor(
food_kiwi_2054)', 'grab_executor(food_kiwi_2054) (Failed)', 'walk_executor(kitchen_counter_119)', 'p
ut_executor(knife_2122, kitchen_counter_119)', 'walk_executor(food_kiwi_2054)', 'grab_executor(food_
kiwi_2054)', 'walk_executor(cup_2132)', 'put_executor(food_kiwi_2054, cup_2132)']","Time consume: 179 seconds
Exp_helper query times: 2
Guidance query times: 0
library scale: 0
goal generate times: 4
goal correct times: 0
action_num: 36
","Keystate: k1 - Requires: 2 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Prepare_dinner/g3.txt,Syntax Error,"['walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_executor(cupboard_117)', 'walk_
executor(oven_127)', 'open_executor(oven_127)', 'walk_executor(stove_2135)', 'open_executor(stove_21
35)', 'walk_executor(kitchen_counter_122)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_
126)', 'open_executor(fridge_126)', 'grab_executor(food_bacon_2082)', 'walk_executor(fryingpan_2154)
', 'put_executor(food_bacon_2082, fryingpan_2154)']","Time consume: 132 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 8
goal correct times: 0
action_num: 14
","Keystate: k1 - Requires: 10 steps
Action Completion Rate: No actions required",Scene_id: 1
