Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Cook_some_food/g3.txt,Boil some vegetables. Then cool them in a bowl.,"['walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_executor(fridge_126)', 'switcho
ff_executor(fridge_126)', 'open_executor(fridge_126)', 'grab_executor(food_vegetable_2113)', 'walk_e
xecutor(pot_78)', 'putin_executor(food_vegetable_2113, pot_78)', 'grab_executor(pot_78)', 'walk_exec
utor(faucet_20)', 'switchon_executor(faucet_20)', 'switchoff_executor(faucet_20)', 'walk_executor(st
ove_2135)', 'switchon_executor(stove_2135)', 'walk_executor(food_vegetable_2113)', 'grab_executor(fo
od_vegetable_2113)', 'walk_executor(bowl_2141)', 'putin_executor(food_vegetable_2113, bowl_2141)']","Time consume: 305 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 4
goal correct times: 0
action_num: 18
","Keystate: k1 - Requires: 6 steps
Keystate: k2 - Requires: 9 steps
Keystate: k3 - Requires: 2 steps
Action Completion Rate: 1.0",Scene_id: 1
cdl_dataset/dataset/Make_coffee/g1.txt,Make a cup of coffee using the coffee maker.,"['walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_executor(cupboard_117)', 'walk_
executor(coffe_maker_130)', 'open_executor(coffe_maker_130)', 'walk_executor(coffee_filter_2053)', '
grab_executor(coffee_filter_2053)', 'walk_executor(coffe_maker_130)', 'putin_executor(coffee_filter_
2053, coffe_maker_130)', 'walk_executor(cupboard_117)', 'walk_executor(kitchen_counter_119)', 'walk_
executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open_executor(fridge_126)', 'grab_executor
(food_food_2094)', 'walk_executor(coffe_maker_130)', 'putin_executor(food_food_2094, coffe_maker_130
)', 'walk_executor(kitchen_counter_123)', 'walk_executor(coffe_maker_130)', 'walk_executor(table_199
)', 'walk_executor(coffe_maker_130)', 'walk_executor(table_114)', 'walk_executor(coffe_maker_130)', 
'walk_executor(cup_2133)', 'grab_executor(cup_2133)', 'walk_executor(coffe_maker_130)', 'putin_execu
tor(cup_2133, coffe_maker_130)', 'close_executor(coffe_maker_130)', 'switchon_executor(coffe_maker_1
30)']","Time consume: 206 seconds
Exp_helper query times: 0
Guidance query times: 1
library scale: 0
goal generate times: 6
goal correct times: 1
action_num: 29
",1,Scene_id: 1
cdl_dataset/dataset/Turn_on_light/g2.txt,Turn on the lights in the bedroom. Then turn on the lights in the bathroom.,"['walk_executor(light_212)', 'switchon_executor(light_212)']","Time consume: 17 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 2
","Keystate: k1 - Requires: 2 steps
Action Completion Rate: No actions required",Scene_id: 1
Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Iron_clothes/g2.txt,Hand wash a shirt and iron this shirt.,"['walk_executor(basket_for_clothes_2078)', 'grab_executor(clothes_shirt_2158)', 'walk_executor(fauce
t_20)', 'switchon_executor(faucet_20)', 'wash_executor(clothes_shirt_2158)', 'switchoff_executor(fau
cet_20)', 'walk_executor(ironing_board_2144)', 'walk_executor(shower_16)', 'walk_executor(walllamp_3
04)', 'walk_executor(bathroom_cabinet_17)', 'open_executor(bathroom_cabinet_17)', 'walk_executor(cup
board_118)', 'open_executor(cupboard_118)', 'walk_executor(kitchen_counter_119)', 'walk_executor(bow
l_2142)', 'walk_executor(iron_2161)', 'plugin_executor(iron_2161)', 'switchon_executor(iron_2161)', 
'walk_executor(ironing_board_2144)', 'put_executor(clothes_shirt_2158, ironing_board_2144)', 'walk_e
xecutor(iron_2161)', 'switchoff_executor(iron_2161)', 'plugout_executor(iron_2161)', 'plugin_executo
r(iron_2161)', 'switchon_executor(iron_2161)', 'switchoff_executor(iron_2161)', 'plugout_executor(ir
on_2161)', 'plugin_executor(iron_2161)', 'switchon_executor(iron_2161)', 'grab_executor(iron_2161)',
 'walk_executor(clothes_shirt_2158)', 'put_executor(iron_2161, clothes_shirt_2158)', 'walk_executor(
iron_2161)', 'switchoff_executor(iron_2161)', 'plugout_executor(iron_2161)']","Time consume: 397 seconds
Exp_helper query times: 1
Guidance query times: 1
library scale: 0
goal generate times: 13
goal correct times: 0
action_num: 35
","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 1
cdl_dataset/dataset/Prepare_a_reading_space/g3.txt,Find a book and put it on the coffe table in home office. Then open the window in the home office.,"['walk_executor(bookshelf_124)', 'open_executor(bookshelf_124)', 'walk_executor(book_2136)', 'grab_e
xecutor(book_2136)', 'walk_executor(table_270)', 'put_executor(book_2136, table_270)', 'walk_executo
r(table_114)', 'walk_executor(table_199)', 'walk_executor(table_270)', 'walk_executor(window_310)', 
'open_executor(window_310)']","Time consume: 100 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 4
goal correct times: 1
action_num: 11
",1,Scene_id: 1
cdl_dataset/dataset/Wash_clothes/g3.txt,"Hand wash the jacket, then wash it by washing machine.","['walk_executor(basket_for_clothes_2078)', 'walk_executor(light_212)', 'walk_executor(washing_machin
e_2079)', 'open_executor(washing_machine_2079)', 'walk_executor(shower_16)', 'walk_executor(basket_f
or_clothes_2078)', 'walk_executor(washing_machine_2079)', 'walk_executor(shower_16)', 'walk_executor
(shower_21)', 'walk_executor(light_39)', 'walk_executor(light_73)', 'walk_executor(light_212)', 'wal
k_executor(light_283)', 'walk_executor(bathroom_cabinet_17)', 'open_executor(bathroom_cabinet_17)', 
'walk_executor(tablelamp_238)', 'walk_executor(couch_198)', 'walk_executor(clothes_jacket_2119)', 'g
rab_executor(clothes_jacket_2119)', 'walk_executor(faucet_20)', 'switchon_executor(faucet_20)', 'was
h_executor(clothes_jacket_2119)', 'switchoff_executor(faucet_20)', 'walk_executor(clothes_jacket_211
9)', 'scrub_executor(clothes_jacket_2119)', 'rinse_executor(clothes_jacket_2119)', 'walk_executor(wa
shing_machine_2079)', 'putin_executor(clothes_jacket_2119, washing_machine_2079)', 'close_executor(w
ashing_machine_2079)', 'plugin_executor(washing_machine_2079)', 'switchon_executor(washing_machine_2
079)']","Time consume: 196 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 7
goal correct times: 0
action_num: 31
",1,Scene_id: 1
cdl_dataset/dataset/Wash_windows/g2.txt,Wipe all the windows in the house by towel.,"['walk_executor(window_2156)', 'open_executor(window_2156)', 'walk_executor(window_191)', 'open_exec
utor(window_191)', 'walk_executor(window_310)', 'open_executor(window_310)', 'walk_executor(ironing_
board_2144)', 'walk_executor(basket_for_clothes_2078)', 'walk_executor(washing_machine_2079)', 'open
_executor(washing_machine_2079)', 'walk_executor(shower_16)', 'walk_executor(bathroom_cabinet_17)', 
'open_executor(bathroom_cabinet_17)', 'walk_executor(bathroom_counter_18)', 'walk_executor(drawing_3
3)', 'walk_executor(towel_2128)', 'grab_executor(towel_2128)', 'walk_executor(window_2156)', 'wipe_e
xecutor(window_2156)', 'walk_executor(window_191)', 'wipe_executor(window_191)', 'walk_executor(wind
ow_310)', 'wipe_executor(window_310)']","Time consume: 137 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 5
goal correct times: 1
action_num: 23
",1,Scene_id: 1
cdl_dataset/dataset/Prepare_dinner/g5.txt,Fried a steak. Then cut it and put it on a plate.,"['walk_executor(kitchen_counter_122)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)'
, 'open_executor(fridge_126)', 'grab_executor(food_steak_2080)', 'walk_executor(fryingpan_2154)', 'p
utin_executor(food_steak_2080, fryingpan_2154)', 'walk_executor(stove_2135)', 'open_executor(stove_2
135)', 'walk_executor(fryingpan_2154)', 'grab_executor(fryingpan_2154)', 'walk_executor(stove_2135)'
, 'putin_executor(fryingpan_2154, stove_2135)', 'switchon_executor(stove_2135)', 'walk_executor(knif
eblock_76)', 'walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'grab_executor(knife_2037
)', 'walk_executor(food_steak_2080)', 'grab_executor(food_steak_2080)', 'walk_executor(cutting_board
_2123)', 'put_executor(food_steak_2080, cutting_board_2123)', 'walk_executor(food_steak_2080)', 'cut
_executor(food_steak_2080)', 'grab_executor(food_steak_2080)', 'walk_executor(plate_2152)', 'put_exe
cutor(food_steak_2080, plate_2152)']","Time consume: 158 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 5
goal correct times: 0
action_num: 27
","Keystate: k1 - Requires: 11 steps
Keystate: k2 - Requires: 8 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Iron_clothes/g5.txt,Iron the shirt and the skirt.,"['walk_executor(basket_for_clothes_2078)', 'grab_executor(clothes_shirt_2158)', 'walk_executor(ironi
ng_board_2144)', 'put_executor(clothes_shirt_2158, ironing_board_2144)', 'walk_executor(washing_mach
ine_2079)', 'open_executor(washing_machine_2079)', 'walk_executor(cupboard_118)', 'open_executor(cup
board_118)', 'walk_executor(cupboard_117)', 'walk_executor(light_39)', 'walk_executor(bathroom_cabin
et_17)', 'open_executor(bathroom_cabinet_17)', 'walk_executor(light_212)', 'walk_executor(tablelamp_
238)', 'walk_executor(microwave_135)', 'open_executor(microwave_135)', 'walk_executor(walllamp_139)'
, 'walk_executor(mousepad_279)', 'walk_executor(drawing_201)', 'walk_executor(mousepad_214)', 'walk_
executor(filing_cabinet_200)', 'open_executor(filing_cabinet_200)', 'walk_executor(spectacles_2153)'
, 'walk_executor(headset_2146)', 'walk_executor(tvstand_273)', 'walk_executor(tvstand_116)', 'walk_e
xecutor(table_114)', 'walk_executor(cd_2145)', 'walk_executor(light_73)', 'walk_executor(mat_203)', 
'walk_executor(pillow_104)', 'walk_executor(walllamp_305)', 'walk_executor(shower_16)', 'walk_execut
or(fridge_126)', 'switchoff_executor(fridge_126)', 'open_executor(fridge_126)', 'walk_executor(box_2
038)', 'walk_executor(ceilinglamp_303)', 'walk_executor(walllamp_304)', 'walk_executor(pillow_107)',
 'walk_executor(sink_120)', 'walk_executor(bowl_2142)', 'walk_executor(iron_2161)', 'plugin_executor
(iron_2161)', 'switchon_executor(iron_2161)', 'walk_executor(clothes_shirt_2158)', 'grab_executor(cl
othes_shirt_2158)', 'walk_executor(faucet_20)', 'switchon_executor(faucet_20)', 'wash_executor(cloth
es_shirt_2158)', 'switchoff_executor(faucet_20)', 'walk_executor(clothes_skirt_2160)', 'grab_executo
r(clothes_skirt_2160)', 'walk_executor(ironing_board_2144)', 'put_executor(clothes_skirt_2160, ironi
ng_board_2144)', 'walk_executor(clothes_skirt_2160)', 'grab_executor(clothes_skirt_2160)', 'walk_exe
cutor(kitchen_counter_119)', 'put_executor(clothes_shirt_2158, kitchen_counter_119)', 'switchon_exec
utor(faucet_121)', 'wash_executor(clothes_skirt_2160)', 'switchoff_executor(faucet_121)', 'grab_exec
utor(clothes_shirt_2158)', 'walk_executor(ironing_board_2144)', 'put_executor(clothes_shirt_2158, ir
oning_board_2144)', 'put_executor(clothes_skirt_2160, ironing_board_2144)']","Time consume: 511 seconds
Exp_helper query times: 6
Guidance query times: 0
library scale: 0
goal generate times: 3
goal correct times: 1
action_num: 66
","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 4 steps
Action Completion Rate: 0.0",Scene_id: 1
