Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Cook_some_food/g9.txt,Make some French fries.,"['walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'grab_e
xecutor(food_potato_2066)', 'walk_executor(faucet_134)', 'switchoff_executor(faucet_134)', 'grab_exe
cutor(food_potato_2066)', 'walk_executor(cutting_board_2080)', 'put_executor(food_potato_2066, cutti
ng_board_2080)', 'walk_executor(knifeblock_52)', 'walk_executor(food_potato_2066)', 'grab_executor(f
ood_potato_2066)', 'walk_executor(cutting_board_2080)', 'put_executor(food_potato_2066, cutting_boar
d_2080)', 'walk_executor(bench_124)', 'walk_executor(food_potato_2066)', 'grab_executor(food_potato_
2066)', 'walk_executor(cutting_board_2080)', 'put_executor(food_potato_2066, cutting_board_2080)', '
walk_executor(cupboard_130)', 'walk_executor(food_potato_2066)', 'grab_executor(food_potato_2066)', 
'walk_executor(cutting_board_2080)', 'put_executor(food_potato_2066, cutting_board_2080)', 'walk_exe
cutor(cupboard_131)', 'open_executor(cupboard_131)', 'walk_executor(food_potato_2066)', 'grab_execut
or(food_potato_2066)', 'walk_executor(cutting_board_2080)', 'put_executor(food_potato_2066, cutting_
board_2080)', 'walk_executor(kitchen_counter_129)', 'walk_executor(food_potato_2066)', 'grab_executo
r(food_potato_2066)', 'walk_executor(cutting_board_2080)', 'put_executor(food_potato_2066, cutting_b
oard_2080)', 'walk_executor(stove_2090)', 'open_executor(stove_2090)', 'walk_executor(food_potato_20
66)', 'grab_executor(food_potato_2066)', 'walk_executor(cutting_board_2080)', 'put_executor(food_pot
ato_2066, cutting_board_2080)', 'walk_executor(dishwasher_143)', 'open_executor(dishwasher_143)', 'w
alk_executor(food_potato_2066)', 'grab_executor(food_potato_2066)', 'walk_executor(cutting_board_208
0)', 'put_executor(food_potato_2066, cutting_board_2080)', 'walk_executor(knife_2036)', 'grab_execut
or(knife_2036)', 'walk_executor(cutting_board_2080)', 'cut_executor(food_potato_2066)', 'walk_execut
or(oil_2102)', 'grab_executor(oil_2102)', 'walk_executor(fryingpan_2107)', 'putin_executor(oil_2102,
 fryingpan_2107)', 'walk_executor(food_potato_2066)', 'grab_executor(food_potato_2066)', 'walk_execu
tor(fryingpan_2107)', 'putin_executor(food_potato_2066, fryingpan_2107)', 'walk_executor(sink_133)',
 'walk_executor(pot_54)', 'open_executor(pot_54)', 'walk_executor(sink_307)', 'walk_executor(table_1
23)', 'walk_executor(food_potato_2066)', 'grab_executor(food_potato_2066)', 'walk_executor(bowl_2095
)', 'putin_executor(food_potato_2066, bowl_2095)']","Time consume: 494 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 22
goal correct times: 0
action_num: 68
","Keystate: k1 - Requires: 9 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Drink/g4.txt,Get a cup of milk and heat it by microwave.,"['walk_executor(cupboard_130)', 'walk_executor(table_127)', 'walk_executor(bench_122)', 'walk_execut
or(bench_124)', 'walk_executor(table_123)', 'walk_executor(cup_2087)', 'grab_executor(cup_2087)', 'w
alk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'walk_exec
utor(fridge_140)', 'open_executor(fridge_140) (Failed)', 'walk_executor(fridge_140)', 'walk_executor
(milk_2074)', 'grab_executor(milk_2074)', 'walk_executor(cup_2087)', 'putin_executor(milk_2074, cup_
2087)', 'walk_executor(microwave_149)', 'open_executor(microwave_149)', 'putin_executor(cup_2087, mi
crowave_149)', 'close_executor(microwave_149)', 'switchon_executor(microwave_149)']","Time consume: 175 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 8
goal correct times: 0
action_num: 22
",1,Scene_id: 2
cdl_dataset/dataset/Listen_to_music/g1.txt,Insert a CD and play music using the CD player.,"['walk_executor(tvstand_135)', 'walk_executor(bookshelf_189)', 'open_executor(bookshelf_189)', 'walk
_executor(bookshelf_372)', 'open_executor(bookshelf_372)', 'walk_executor(walllamp_45)', 'walk_execu
tor(bookshelf_137)', 'open_executor(bookshelf_137)', 'walk_executor(bookshelf_136)', 'walk_executor(
bookshelf_188)', 'open_executor(bookshelf_188)', 'walk_executor(tvstand_186)', 'walk_executor(cd_pla
yer_2084)', 'open_executor(cd_player_2084)', 'walk_executor(cd_2100)', 'grab_executor(cd_2100)', 'wa
lk_executor(cd_player_2084)', 'putin_executor(cd_2100, cd_player_2084)', 'plugin_executor(cd_player_
2084)', 'close_executor(cd_player_2084)', 'switchon_executor(cd_player_2084)']","Time consume: 84 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 21
",1,Scene_id: 2
cdl_dataset/dataset/Wash_windows/g2.txt,Wipe all the windows in the house by towel.,"['walk_executor(window_2109)', 'open_executor(window_2109)', 'walk_executor(window_40)', 'open_execu
tor(window_40)', 'walk_executor(window_181)', 'open_executor(window_181)', 'walk_executor(window_287
)', 'open_executor(window_287)', 'walk_executor(window_346)', 'open_executor(window_346)', 'walk_exe
cutor(window_2109)', 'wipe_executor(window_2109) (Failed)', 'walk_executor(towel_rack_299)', 'walk_e
xecutor(basket_for_clothes_2040)', 'walk_executor(towel_rack_300)', 'walk_executor(shower_303)', 'wa
lk_executor(washing_machine_2041)', 'open_executor(washing_machine_2041)', 'walk_executor(drawing_19
6)', 'walk_executor(toilet_302)', 'open_executor(toilet_302)', 'walk_executor(powersocket_259)', 'wa
lk_executor(bookshelf_189)', 'open_executor(bookshelf_189)', 'walk_executor(light_258)', 'walk_execu
tor(bench_126)', 'walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridg
e_140)', 'walk_executor(bathroom_counter_306)', 'walk_executor(towel_rack_298)', 'walk_executor(towe
l_2083)', 'grab_executor(towel_2083)', 'walk_executor(window_40)', 'wipe_executor(window_40)', 'walk
_executor(window_181)', 'wipe_executor(window_181)', 'walk_executor(window_287)', 'wipe_executor(win
dow_287)', 'walk_executor(window_346)', 'wipe_executor(window_346)']","Time consume: 209 seconds
Exp_helper query times: 2
Guidance query times: 0
library scale: 0
goal generate times: 5
goal correct times: 0
action_num: 41
","Keystate: k1 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 2
cdl_dataset/dataset/Put_groceries_in_Fridge/g1.txt,"Put milk, turkey, egg, fish and chicken on one of the table in dining room.","['walk_executor(table_123)', 'walk_executor(table_127)', 'walk_executor(fridge_140)', 'switchoff_exe
cutor(fridge_140)', 'open_executor(fridge_140)', 'walk_executor(milk_2074)', 'grab_executor(milk_207
4)', 'walk_executor(table_123)', 'put_executor(milk_2074, table_123)', 'walk_executor(food_turkey_20
71)', 'grab_executor(food_turkey_2071)', 'walk_executor(table_123)', 'put_executor(food_turkey_2071,
 table_123)', 'walk_executor(food_egg_2053)', 'grab_executor(food_egg_2053)', 'walk_executor(table_1
23)', 'put_executor(food_egg_2053, table_123)', 'walk_executor(food_fish_2054)', 'grab_executor(food
_fish_2054)', 'walk_executor(table_123)', 'put_executor(food_fish_2054, table_123)', 'walk_executor(
food_chicken_2050)', 'grab_executor(food_chicken_2050)', 'walk_executor(table_123)', 'put_executor(f
ood_chicken_2050, table_123)']","Time consume: 172 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 7
goal correct times: 0
action_num: 25
",1,Scene_id: 2
cdl_dataset/dataset/Pet_cat/g1.txt,Find my cat and touch it,"['walk_executor(bed_264)', 'walk_executor(bed_376)', 'walk_executor(pillow_370)', 'walk_executor(cou
ch_192)', 'walk_executor(cat_2082)', 'touch_executor(cat_2082)']","Time consume: 49 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 2
goal correct times: 0
action_num: 6
",1,Scene_id: 2
cdl_dataset/dataset/Prepare_a_reading_space/g1.txt,Find the book and put it on the coffee table in home office.,"['walk_executor(bookshelf_189)', 'open_executor(bookshelf_189)', 'walk_executor(bookshelf_136)', 'wa
lk_executor(book_2091)', 'open_executor(book_2091)', 'walk_executor(bookshelf_136)', 'walk_executor(
bookshelf_137)', 'open_executor(bookshelf_137)', 'walk_executor(book_2092)', 'open_executor(book_209
2)', 'walk_executor(book_2091)', 'grab_executor(book_2091)', 'walk_executor(table_193)', 'put_execut
or(book_2091, table_193)', 'grab_executor(book_2091)', 'walk_executor(table_193)', 'put_executor(boo
k_2091, table_193)', 'walk_executor(book_2091)', 'grab_executor(book_2091)', 'walk_executor(table_19
3)', 'put_executor(book_2091, table_193)', 'grab_executor(book_2091)', 'walk_executor(table_193)', '
put_executor(book_2091, table_193)']","Time consume: 241 seconds
Exp_helper query times: 0
Guidance query times: 1
library scale: 0
goal generate times: 14
goal correct times: 0
action_num: 24
",1,Scene_id: 2
cdl_dataset/dataset/Prepare_a_reading_space/g3.txt,Find a book and put it on the coffe table in home office. Then open the window in the home office.,"['walk_executor(bookshelf_189)', 'open_executor(bookshelf_189)', 'walk_executor(bookshelf_260)', 'op
en_executor(bookshelf_260)', 'walk_executor(bookshelf_136)', 'walk_executor(book_2091)', 'open_execu
tor(book_2091)', 'walk_executor(bookshelf_136)', 'walk_executor(bookshelf_137)', 'open_executor(book
shelf_137)', 'walk_executor(book_2092)', 'open_executor(book_2092)', 'grab_executor(book_2092)', 'wa
lk_executor(table_123)', 'put_executor(book_2092, table_123)', 'walk_executor(table_123)', 'grab_exe
cutor(book_2092)', 'walk_executor(table_123)', 'put_executor(book_2092, table_123)', 'grab_executor(
book_2092)', 'walk_executor(table_193)', 'put_executor(book_2092, table_193)', 'walk_executor(window
_181)', 'open_executor(window_181)']","Time consume: 312 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 12
goal correct times: 0
action_num: 24
",1,Scene_id: 2
cdl_dataset/dataset/Cook_some_food/g4.txt,Syntax Error,[],"Time consume: 178 seconds
Exp_helper query times: 0
Guidance query times: 1
library scale: 0
goal generate times: 12
goal correct times: 0
action_num: 0
","Keystate: k1 - Requires: 15 steps
Keystate: k2 - Requires: 16 steps
Keystate: k3 - Requires: 12 steps
Action Completion Rate: 0.0",Scene_id: 2
cdl_dataset/dataset/Prepare_dinner/g3.txt,Cook bacon with the frying pan.,"['walk_executor(stove_2090)', 'switchon_executor(stove_2090)', 'walk_executor(kitchen_counter_132)',
 'walk_executor(fryingpan_2107)', 'grab_executor(fryingpan_2107)', 'walk_executor(stove_2090)', 'put
_executor(fryingpan_2107, stove_2090)', 'walk_executor(fridge_140)', 'switchoff_executor(fridge_140)
', 'open_executor(fridge_140)', 'grab_executor(food_bacon_2044)', 'walk_executor(fryingpan_2107)', '
put_executor(food_bacon_2044, fryingpan_2107)', 'walk_executor(stove_2090)', 'switchoff_executor(sto
ve_2090)']","Time consume: 43 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 15
","Keystate: k1 - Requires: 10 steps
Action Completion Rate: No actions required",Scene_id: 2
