Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Prepare_dinner/g6.txt,"Put pizza and hamburger on a plate. Then hot them in the microwave. Then put them on a table in dinn
ing room.","['walk_executor(oven_141)', 'open_executor(oven_141)', 'walk_executor(fridge_140)', 'switchoff_execu
tor(fridge_140)', 'open_executor(fridge_140)', 'walk_executor(kitchen_counter_129)', 'walk_executor(
kitchen_counter_132)', 'walk_executor(kitchen_counter_128)', 'walk_executor(sink_133)', 'walk_execut
or(cupboard_131)', 'open_executor(cupboard_131)', 'walk_executor(table_127)', 'walk_executor(food_pi
zza_2065)', 'grab_executor(food_pizza_2065)', 'walk_executor(plate_2105)', 'put_executor(food_pizza_
2065, plate_2105)', 'walk_executor(food_hamburger_2057)', 'grab_executor(food_hamburger_2057)', 'wal
k_executor(plate_2105)', 'put_executor(food_hamburger_2057, plate_2105)', 'walk_executor(microwave_1
49)', 'open_executor(microwave_149)', 'walk_executor(plate_2105)', 'grab_executor(plate_2105)', 'wal
k_executor(microwave_149)', 'putin_executor(plate_2105, microwave_149)', 'close_executor(microwave_1
49)', 'switchon_executor(microwave_149)', 'switchoff_executor(microwave_149)', 'open_executor(microw
ave_149)', 'grab_executor(plate_2105)', 'walk_executor(table_123)', 'put_executor(plate_2105, table_
123)', 'grab_executor(plate_2105)', 'walk_executor(table_127)', 'put_executor(plate_2105, table_127)
']","Time consume: 210 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 4
goal generate times: 5
goal correct times: 0
action_num: 36
",1,Scene_id: 2
cdl_dataset/dataset/Prepare_a_reading_space/g2.txt,Find the book and put it on the table in home office. Then turn on the light in the home office.,"['walk_executor(bookshelf_275)', 'walk_executor(bookshelf_124)', 'open_executor(bookshelf_124)', 'wa
lk_executor(book_2136)', 'grab_executor(book_2136)', 'walk_executor(table_270)', 'put_executor(book_
2136, table_270)', 'walk_executor(light_283)', 'switchon_executor(light_283)']","Time consume: 54 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 6
goal generate times: 2
goal correct times: 0
action_num: 9
",1,Scene_id: 1
cdl_dataset/dataset/Drink/g6.txt,Make a cup of lemon water with additional sugar.,"['walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open_executor(fridge_126)', 'grab_e
xecutor(food_lemon_2100)', 'walk_executor(cutting_board_2123)', 'put_executor(food_lemon_2100, cutti
ng_board_2123)', 'walk_executor(knifeblock_76)', 'walk_executor(cupboard_118)', 'open_executor(cupbo
ard_118)', 'grab_executor(knife_2037)', 'walk_executor(food_lemon_2100)', 'cut_executor(food_lemon_2
100)', 'cut_executor(food_lemon_2100)', 'cut_executor(food_lemon_2100)', 'walk_executor(kitchen_coun
ter_122)', 'walk_executor(sink_120)', 'walk_executor(couch_198)', 'walk_executor(kitchen_counter_123
)', 'walk_executor(table_114)', 'walk_executor(cup_2132)', 'grab_executor(cup_2132)', 'walk_executor
(faucet_20)', 'switchon_executor(faucet_20)', 'switchoff_executor(faucet_20)', 'walk_executor(food_l
emon_2100)', 'grab_executor(food_lemon_2100) (Failed)', 'walk_executor(kitchen_counter_119)', 'put_e
xecutor(cup_2132, kitchen_counter_119)', 'walk_executor(food_lemon_2100)', 'grab_executor(food_lemon
_2100)', 'walk_executor(cup_2132)', 'putin_executor(food_lemon_2100, cup_2132)', 'walk_executor(food
_sugar_2111)', 'grab_executor(food_sugar_2111)', 'walk_executor(cup_2132)', 'putin_executor(food_sug
ar_2111, cup_2132)', 'walk_executor(food_food_2094)', 'grab_executor(food_food_2094)', 'walk_executo
r(cup_2132)', 'putin_executor(food_food_2094, cup_2132)', 'grab_executor(cup_2132)', 'walk_executor(
faucet_20)', 'switchon_executor(faucet_20)', 'wash_executor(cup_2132)', 'switchoff_executor(faucet_2
0)', 'putin_executor(cup_2132, cup_2132) (Failed)', 'walk_executor(kitchen_counter_119)', 'put_execu
tor(cup_2132, kitchen_counter_119)', 'walk_executor(cup_2049)', 'grab_executor(cup_2049)', 'walk_exe
cutor(faucet_20)', 'switchon_executor(faucet_20)', 'wash_executor(cup_2049)', 'switchoff_executor(fa
ucet_20)', 'walk_executor(food_lemon_2100)', 'grab_executor(food_lemon_2100) (Failed)', 'walk_execut
or(faucet_20)', 'walk_executor(kitchen_counter_119)', 'put_executor(cup_2049, kitchen_counter_119)',
 'walk_executor(food_lemon_2100)', 'grab_executor(food_lemon_2100)', 'grab_executor(cup_2132) (Faile
d)', 'putin_executor(food_lemon_2100, cup_2132)', 'grab_executor(cup_2132)', 'putin_executor(cup_213
2, cup_2132) (Failed)', 'put_executor(cup_2132, kitchen_counter_119)', 'grab_executor(food_lemon_210
0)', 'walk_executor(bowl_2140)', 'putin_executor(food_lemon_2100, bowl_2140)', 'walk_executor(ice_20
24)', 'grab_executor(ice_2024)', 'walk_executor(bowl_2140)', 'putin_executor(ice_2024, bowl_2140)', 
'walk_executor(food_sugar_2111)', 'grab_executor(food_sugar_2111)', 'walk_executor(bowl_2140)', 'put
in_executor(food_sugar_2111, bowl_2140)', 'grab_executor(bowl_2140)', 'walk_executor(cup_2132)', 'pu
tin_executor(bowl_2140, cup_2132)', 'grab_executor(bowl_2140)', 'walk_executor(cup_2049)', 'putin_ex
ecutor(bowl_2140, cup_2049)']","Time consume: 1009 seconds
Exp_helper query times: 1
Guidance query times: 3
library scale: 6
goal generate times: 58
goal correct times: 0
action_num: 83
","Keystate: k1 - Requires: 8 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Pet_cat/g4.txt,Wash my cat.,"['walk_executor(bed_105)', 'walk_executor(couch_352)', 'walk_executor(cat_2055)', 'grab_executor(cat
_2055)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_43)'
, 'switchon_executor(faucet_43)', 'wash_executor(cat_2055)', 'switchoff_executor(faucet_43)', 'walk_
executor(sink_231)', 'walk_executor(shower_38)', 'walk_executor(shower_36)', 'walk_executor(bathroom
_cabinet_40)', 'open_executor(bathroom_cabinet_40)', 'walk_executor(closetdrawer_392)', 'walk_execut
or(sink_42)', 'walk_executor(detergent_2084)', 'grab_executor(detergent_2084)', 'walk_executor(fauce
t_43)', 'switchon_executor(faucet_43)', 'walk_executor(kitchen_counter_230)', 'put_executor(detergen
t_2084, kitchen_counter_230)', 'switchon_executor(faucet_232)', 'walk_executor(detergent_2084)', 'gr
ab_executor(detergent_2084)', 'wash_executor(cat_2055)', 'walk_executor(faucet_43)', 'switchoff_exec
utor(faucet_43)']","Time consume: 181 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 7
goal generate times: 6
goal correct times: 0
action_num: 29
",1,Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g5.txt,Iron the shirt and the skirt.,"['walk_executor(closetdrawer_120)', 'walk_executor(closetdrawer_120)', 'walk_executor(closetdrawer_1
20)', 'walk_executor(closetdrawer_120)', 'walk_executor(closetdrawer_120)', 'walk_executor(closetdra
wer_120)', 'walk_executor(basket_for_clothes_2006)', 'grab_executor(clothes_shirt_2086)', 'walk_exec
utor(ironing_board_2074)', 'put_executor(clothes_shirt_2086, ironing_board_2074)', 'walk_executor(ir
on_2089)', 'plugin_executor(iron_2089)', 'switchon_executor(iron_2089)', 'walk_executor(clothes_skir
t_2088)', 'grab_executor(clothes_skirt_2088)', 'walk_executor(ironing_board_2074)', 'put_executor(cl
othes_skirt_2088, ironing_board_2074)']","Time consume: 160 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 7
goal generate times: 2
goal correct times: 0
action_num: 17
","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 4 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g2.txt,Hand wash a shirt and iron this shirt.,"['walk_executor(basket_for_clothes_2006)', 'grab_executor(clothes_shirt_2086)', 'walk_executor(fauce
t_43)', 'switchon_executor(faucet_43)', 'wash_executor(clothes_shirt_2086)', 'switchoff_executor(fau
cet_43)', 'walk_executor(clothes_shirt_2086)', 'rinse_executor(clothes_shirt_2086)', 'rinse_executor
(clothes_shirt_2086)', 'rinse_executor(clothes_shirt_2086)', 'rinse_executor(clothes_shirt_2086)', '
walk_executor(ironing_board_2074)', 'walk_executor(iron_2089)', 'walk_executor(ironing_board_2074)',
 'put_executor(clothes_shirt_2086, ironing_board_2074)', 'plugin_executor(iron_2089)', 'switchon_exe
cutor(iron_2089)', 'walk_executor(iron_2089)', 'grab_executor(iron_2089)', 'walk_executor(clothes_sh
irt_2086)']","Time consume: 452 seconds
Exp_helper query times: 0
Guidance query times: 2
library scale: 7
goal generate times: 30
goal correct times: 0
action_num: 20
","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 1 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Pet_cat/g1.txt,Find my cat and touch it,"['walk_executor(bed_105)', 'walk_executor(nightstand_100)', 'open_executor(nightstand_100)', 'walk_e
xecutor(nightstand_102)', 'walk_executor(dresser_358)', 'open_executor(dresser_358)', 'walk_executor
(couch_352)', 'walk_executor(cat_2055)', 'touch_executor(cat_2055)']","Time consume: 56 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 8
goal generate times: 1
goal correct times: 0
action_num: 9
",1,Scene_id: 0
cdl_dataset/dataset/Cook_some_food/g9.txt,Syntax Error,"['walk_executor(kitchen_counter_122)', 'walk_executor(cupboard_118)', 'open_executor(cupboard_118)',
 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open_executor(fridge_126)', 'grab_e
xecutor(food_potato_2107)', 'walk_executor(cutting_board_2123)', 'put_executor(food_potato_2107, cut
ting_board_2123)', 'walk_executor(knife_2037)', 'grab_executor(knife_2037)', 'walk_executor(food_pot
ato_2107)', 'cut_executor(food_potato_2107)', 'cut_executor(food_potato_2107)']","Time consume: 229 seconds
Exp_helper query times: 0
Guidance query times: 1
library scale: 8
goal generate times: 14
goal correct times: 0
action_num: 14
","Keystate: k1 - Requires: 14 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Prepare_a_reading_space/g3.txt,Find a book and put it on the coffe table in home office. Then open the window in the home office.,"['walk_executor(home_office_319)', 'walk_executor(bookshelf_354)', 'open_executor(bookshelf_354)', '
walk_executor(book_2066)', 'open_executor(book_2066)', 'grab_executor(book_2066)', 'walk_executor(co
ffee_table_2068)', 'put_executor(book_2066, coffee_table_2068)', 'walk_executor(window_348)', 'open_
executor(window_348)']","Time consume: 99 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 8
goal generate times: 4
goal correct times: 0
action_num: 10
","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g1.txt,Directly iron a pair of skirt.,"['walk_executor(basket_for_clothes_2078)', 'grab_executor(clothes_skirt_2160)', 'walk_executor(ironi
ng_board_2144)', 'put_executor(clothes_skirt_2160, ironing_board_2144)', 'walk_executor(cupboard_118
)', 'open_executor(cupboard_118)', 'walk_executor(cupboard_117)', 'walk_executor(kitchen_counter_119
)', 'walk_executor(kitchen_counter_123)', 'walk_executor(walllamp_140)', 'walk_executor(bowl_2142)',
 'walk_executor(iron_2161)', 'plugin_executor(iron_2161)', 'switchon_executor(iron_2161)', 'grab_exe
cutor(iron_2161)', 'walk_executor(ironing_board_2144)']","Time consume: 169 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 8
goal generate times: 8
goal correct times: 0
action_num: 16
","Keystate: k1 - Requires: 2 steps
Action Completion Rate: 0.0",Scene_id: 1
