Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Prepare_dinner/g6.txt,"Put pizza and hamburger on a plate. Then hot them in the microwave. Then put them on a table in dinn
ing room.","['walk_executor(kitchen_counter_129)', 'walk_executor(fridge_140)', 'switchoff_executor(fridge_140)'
, 'open_executor(fridge_140)', 'grab_executor(food_pizza_2065)', 'walk_executor(cupboard_130)', 'wal
k_executor(cupboard_131)', 'open_executor(cupboard_131)', 'walk_executor(door_286)', 'walk_executor(
table_123)', 'walk_executor(kitchen_counter_128)', 'walk_executor(table_127)', 'walk_executor(plate_
2105)', 'put_executor(food_pizza_2065, plate_2105)', 'walk_executor(food_hamburger_2057)', 'grab_exe
cutor(food_hamburger_2057)', 'walk_executor(plate_2105)', 'put_executor(food_hamburger_2057, plate_2
105)', 'walk_executor(microwave_149)', 'open_executor(microwave_149)', 'walk_executor(plate_2105)', 
'grab_executor(plate_2105)', 'walk_executor(microwave_149)', 'putin_executor(plate_2105, microwave_1
49)', 'close_executor(microwave_149)', 'switchon_executor(microwave_149)', 'switchoff_executor(micro
wave_149)', 'walk_executor(plate_2105)', 'open_executor(microwave_149)', 'grab_executor(plate_2105)'
, 'walk_executor(table_123)', 'put_executor(plate_2105, table_123)']","Time consume: 208 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 3
goal generate times: 7
goal correct times: 0
action_num: 32
",1,Scene_id: 2
cdl_dataset/dataset/Prepare_a_reading_space/g2.txt,Find the book and put it on the table in home office. Then turn on the light in the home office.,"['walk_executor(bookshelf_124)', 'open_executor(bookshelf_124)', 'walk_executor(book_2136)', 'grab_e
xecutor(book_2136)', 'walk_executor(table_270)', 'put_executor(book_2136, table_270)', 'walk_executo
r(light_283)', 'switchon_executor(light_283)']","Time consume: 57 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 5
goal generate times: 2
goal correct times: 0
action_num: 8
",1,Scene_id: 1
cdl_dataset/dataset/Drink/g6.txt,Make a cup of lemon water with additional sugar.,"['walk_executor(kitchen_counter_123)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)'
, 'open_executor(fridge_126)', 'walk_executor(food_lemon_2100)', 'grab_executor(food_lemon_2100)', '
walk_executor(cutting_board_2123)', 'put_executor(food_lemon_2100, cutting_board_2123)', 'walk_execu
tor(knife_2035)', 'grab_executor(knife_2035)', 'walk_executor(food_lemon_2100)', 'cut_executor(food_
lemon_2100)', 'walk_executor(pot_78)', 'grab_executor(pot_78)', 'walk_executor(faucet_20)', 'switcho
n_executor(faucet_20)', 'switchoff_executor(faucet_20)', 'walk_executor(stove_2135)', 'put_executor(
pot_78, stove_2135)', 'switchon_executor(stove_2135)', 'walk_executor(cupboard_117)', 'walk_executor
(pot_2138)', 'open_executor(pot_2138)', 'grab_executor(pot_2138)', 'walk_executor(faucet_20)', 'swit
chon_executor(faucet_20)', 'switchoff_executor(faucet_20)', 'walk_executor(stove_2135)', 'put_execut
or(pot_2138, stove_2135)', 'walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_execu
tor(orchid_285)', 'walk_executor(pillow_286)', 'walk_executor(kitchen_counter_122)', 'walk_executor(
microwave_135)', 'open_executor(microwave_135)', 'open_executor(pot_2040)', 'grab_executor(pot_2040)
', 'walk_executor(faucet_20)', 'switchon_executor(faucet_20)', 'switchoff_executor(faucet_20)', 'wal
k_executor(stove_2135)', 'put_executor(pot_2040, stove_2135)', 'walk_executor(microwave_135)', 'walk
_executor(bowl_2140)', 'walk_executor(coffe_maker_130)', 'open_executor(coffe_maker_130)', 'walk_exe
cutor(toaster_132)', 'open_executor(toaster_132)', 'walk_executor(bookshelf_124)', 'open_executor(bo
okshelf_124)', 'walk_executor(table_114)', 'walk_executor(pot_2138)', 'grab_executor(pot_2138)', 'wa
lk_executor(cup_2132)', 'putin_executor(pot_2138, cup_2132)', 'walk_executor(food_lemon_2100)', 'gra
b_executor(food_lemon_2100)', 'walk_executor(cup_2132)', 'putin_executor(food_lemon_2100, cup_2132)'
, 'walk_executor(food_sugar_2111)', 'grab_executor(food_sugar_2111)', 'walk_executor(cup_2132)', 'pu
tin_executor(food_sugar_2111, cup_2132)']","Time consume: 475 seconds
Exp_helper query times: 2
Guidance query times: 0
library scale: 5
goal generate times: 11
goal correct times: 0
action_num: 64
","Keystate: k1 - Requires: 4 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Pet_cat/g4.txt,Wash my cat.,"['walk_executor(closetdrawer_380)', 'walk_executor(closetdrawer_380)', 'walk_executor(closetdrawer_3
80)', 'walk_executor(closetdrawer_380)', 'walk_executor(closetdrawer_380)', 'walk_executor(closetdra
wer_116)', 'walk_executor(closetdrawer_117)', 'walk_executor(closetdrawer_118)', 'walk_executor(clos
etdrawer_119)', 'walk_executor(closetdrawer_120)', 'walk_executor(closetdrawer_121)', 'walk_executor
(closetdrawer_122)', 'walk_executor(closetdrawer_143)', 'walk_executor(closetdrawer_146)', 'walk_exe
cutor(closetdrawer_148)', 'walk_executor(closetdrawer_150)', 'walk_executor(closetdrawer_154)', 'wal
k_executor(closetdrawer_158)', 'walk_executor(closetdrawer_160)', 'walk_executor(closetdrawer_377)',
 'walk_executor(closetdrawer_380)', 'walk_executor(closetdrawer_382)', 'walk_executor(closetdrawer_3
84)', 'walk_executor(closetdrawer_388)', 'walk_executor(closetdrawer_392)', 'walk_executor(closetdra
wer_394)', 'walk_executor(couch_352)', 'walk_executor(closetdrawer_116)', 'walk_executor(closetdrawe
r_117)', 'walk_executor(closetdrawer_118)', 'walk_executor(closetdrawer_119)', 'walk_executor(closet
drawer_120)', 'walk_executor(closetdrawer_121)', 'walk_executor(closetdrawer_122)', 'walk_executor(c
losetdrawer_143)', 'walk_executor(closetdrawer_146)', 'walk_executor(closetdrawer_148)', 'walk_execu
tor(closetdrawer_150)', 'walk_executor(closetdrawer_154)', 'walk_executor(closetdrawer_158)', 'walk_
executor(closetdrawer_160)', 'walk_executor(couch_352)', 'walk_executor(closetdrawer_377)', 'walk_ex
ecutor(closetdrawer_380)', 'walk_executor(closetdrawer_382)', 'walk_executor(closetdrawer_384)', 'wa
lk_executor(closetdrawer_388)', 'walk_executor(closetdrawer_392)', 'walk_executor(closetdrawer_394)'
, 'walk_executor(couch_352)', 'walk_executor(cat_2055)', 'grab_executor(cat_2055)', 'walk_executor(f
aucet_43)', 'switchon_executor(faucet_43)', 'wash_executor(cat_2055)', 'switchoff_executor(faucet_43
)']","Time consume: 848 seconds
Exp_helper query times: 0
Guidance query times: 1
library scale: 7
goal generate times: 18
goal correct times: 0
action_num: 56
",1,Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g5.txt,Iron the shirt and the skirt.,"['walk_executor(closetdrawer_380)', 'walk_executor(closetdrawer_380)', 'walk_executor(closetdrawer_3
80)', 'walk_executor(closetdrawer_380)', 'walk_executor(closetdrawer_380)', 'walk_executor(closetdra
wer_380)', 'walk_executor(basket_for_clothes_2006)', 'grab_executor(clothes_shirt_2086)', 'grab_exec
utor(clothes_skirt_2088)', 'walk_executor(ironing_board_2074)', 'walk_executor(kitchen_counter_230)'
, 'put_executor(clothes_shirt_2086, kitchen_counter_230)', 'walk_executor(iron_2089)', 'plugin_execu
tor(iron_2089)', 'switchon_executor(iron_2089)', 'switchoff_executor(iron_2089)', 'plugout_executor(
iron_2089)', 'plugin_executor(iron_2089)', 'switchon_executor(iron_2089)', 'switchoff_executor(iron_
2089)', 'plugout_executor(iron_2089)', 'plugin_executor(iron_2089)', 'switchon_executor(iron_2089)',
 'walk_executor(clothes_shirt_2086)', 'grab_executor(clothes_shirt_2086)', 'walk_executor(ironing_bo
ard_2074)', 'put_executor(clothes_shirt_2086, ironing_board_2074)', 'walk_executor(clothes_shirt_208
6)', 'walk_executor(ironing_board_2074)', 'put_executor(clothes_skirt_2088, ironing_board_2074)', 'w
alk_executor(clothes_skirt_2088)', 'walk_executor(iron_2089)', 'switchoff_executor(iron_2089)', 'plu
gout_executor(iron_2089)', 'walk_executor(ironing_board_2074)', 'walk_executor(iron_2089)', 'plugin_
executor(iron_2089)', 'switchon_executor(iron_2089)', 'switchoff_executor(iron_2089)', 'plugout_exec
utor(iron_2089)', 'walk_executor(iron_2089)', 'plugin_executor(iron_2089)', 'switchon_executor(iron_
2089)', 'switchoff_executor(iron_2089)', 'plugout_executor(iron_2089)']","Time consume: 620 seconds
Exp_helper query times: 1
Guidance query times: 1
library scale: 7
goal generate times: 16
goal correct times: 0
action_num: 45
","Keystate: k1 - Requires: 6 steps
Keystate: k2 - Requires: 6 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g2.txt,Hand wash a shirt and iron this shirt.,"['walk_executor(closetdrawer_380)', 'walk_executor(closetdrawer_380)', 'walk_executor(closetdrawer_3
80)', 'walk_executor(closetdrawer_380)', 'walk_executor(closetdrawer_380)', 'walk_executor(closetdra
wer_380)', 'walk_executor(basket_for_clothes_2006)', 'walk_executor(clothes_shirt_2086)', 'grab_exec
utor(clothes_shirt_2086)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'wash_executo
r(clothes_shirt_2086)', 'switchoff_executor(faucet_43)', 'walk_executor(ironing_board_2074)', 'put_e
xecutor(clothes_shirt_2086, ironing_board_2074)', 'walk_executor(iron_2089)', 'plugin_executor(iron_
2089)', 'switchon_executor(iron_2089)']","Time consume: 335 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 7
goal generate times: 10
goal correct times: 0
action_num: 18
","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 3 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Pet_cat/g1.txt,Find my cat and touch it,"['walk_executor(coffee_table_2068)', 'walk_executor(table_107)', 'walk_executor(desk_357)', 'walk_ex
ecutor(desk_104)', 'walk_executor(couch_352)', 'walk_executor(cat_2055)', 'touch_executor(cat_2055)'
, 'walk_executor(cat_2055)', 'touch_executor(cat_2055)']","Time consume: 66 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 9
goal generate times: 2
goal correct times: 0
action_num: 9
",1,Scene_id: 0
cdl_dataset/dataset/Cook_some_food/g9.txt,Make some French fries.,"['walk_executor(kitchen_counter_123)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)'
, 'open_executor(fridge_126)', 'grab_executor(food_potato_2107)', 'walk_executor(cutting_board_2123)
', 'put_executor(food_potato_2107, cutting_board_2123)', 'walk_executor(knife_2035)', 'grab_executor
(knife_2035)', 'walk_executor(food_potato_2107)', 'cut_executor(food_potato_2107)', 'grab_executor(f
ood_potato_2107)', 'walk_executor(cupboard_117)', 'walk_executor(stove_2135)', 'walk_executor(kitche
n_counter_119)', 'put_executor(knife_2035, kitchen_counter_119)', 'open_executor(stove_2135)', 'walk
_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_executor(tvstand_116)', 'walk_executo
r(coffe_maker_130)', 'open_executor(coffe_maker_130)', 'walk_executor(oil_2149)', 'grab_executor(oil
_2149)', 'walk_executor(fryingpan_2154)', 'putin_executor(oil_2149, fryingpan_2154)', 'putin_executo
r(food_potato_2107, fryingpan_2154)', 'walk_executor(stove_2135)', 'switchon_executor(stove_2135)', 
'walk_executor(fryingpan_2154)', 'walk_executor(food_potato_2107)']","Time consume: 1080 seconds
Exp_helper query times: 0
Guidance query times: 1
library scale: 9
goal generate times: 30
goal correct times: 0
action_num: 31
","Keystate: k1 - Requires: 15 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Prepare_a_reading_space/g3.txt,Find a book and put it on the coffe table in home office. Then open the window in the home office.,"['walk_executor(bookshelf_354)', 'open_executor(bookshelf_354)', 'walk_executor(book_2066)', 'grab_e
xecutor(book_2066)', 'walk_executor(coffee_table_2068)', 'put_executor(book_2066, coffee_table_2068)
', 'walk_executor(book_2066)', 'grab_executor(book_2066)', 'walk_executor(coffee_table_2068)', 'put_
executor(book_2066, coffee_table_2068)', 'walk_executor(window_348)', 'open_executor(window_348)']","Time consume: 128 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 9
goal generate times: 4
goal correct times: 0
action_num: 12
","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g1.txt,Directly iron a pair of skirt.,"['walk_executor(basket_for_clothes_2078)', 'walk_executor(clothes_skirt_2160)', 'grab_executor(cloth
es_skirt_2160)', 'walk_executor(ironing_board_2144)', 'walk_executor(clothes_skirt_2160)', 'grab_exe
cutor(clothes_skirt_2160)', 'walk_executor(kitchen_counter_123)', 'walk_executor(clothes_skirt_2160)
', 'walk_executor(kitchen_counter_119)', 'put_executor(clothes_skirt_2160, kitchen_counter_119)', 'w
alk_executor(clothes_skirt_2160)', 'grab_executor(clothes_skirt_2160)', 'walk_executor(kitchen_count
er_122)', 'walk_executor(clothes_skirt_2160)', 'grab_executor(clothes_skirt_2160)', 'walk_executor(w
ashing_machine_2079)', 'open_executor(washing_machine_2079) (Failed)', 'walk_executor(bathroom_count
er_18)', 'walk_executor(curtain_290)', 'walk_executor(cupboard_117)', 'walk_executor(bowl_2142)', 'w
alk_executor(iron_2161)', 'walk_executor(kitchen_counter_119)', 'put_executor(clothes_skirt_2160, ki
tchen_counter_119)', 'walk_executor(iron_2161)', 'plugin_executor(iron_2161)', 'switchon_executor(ir
on_2161)', 'walk_executor(iron_2161)', 'walk_executor(clothes_skirt_2160)', 'grab_executor(clothes_s
kirt_2160)', 'walk_executor(ironing_board_2144)', 'put_executor(clothes_skirt_2160, ironing_board_21
44)', 'walk_executor(clothes_skirt_2160)', 'touch_executor(clothes_skirt_2160)']","Time consume: 246 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 9
goal generate times: 6
goal correct times: 0
action_num: 34
","Keystate: k1 - Requires: 4 steps
Action Completion Rate: 0.0",Scene_id: 1
