Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Prepare_dinner/g6.txt,Syntax Error,"['walk_executor(oven_141)', 'open_executor(oven_141)']","Time consume: 95 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 9
goal correct times: 0
action_num: 2
","Keystate: k1 - Requires: 19 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Prepare_a_reading_space/g2.txt,Find the book and put it on the table in home office. Then turn on the light in the home office.,"['walk_executor(bookshelf_124)', 'open_executor(bookshelf_124)', 'walk_executor(book_2136)', 'open_e
xecutor(book_2136)', 'grab_executor(book_2136)', 'walk_executor(table_270)', 'put_executor(book_2136
, table_270)', 'walk_executor(table_270)', 'walk_executor(book_2136)', 'grab_executor(book_2136)', '
walk_executor(table_270)', 'put_executor(book_2136, table_270)', 'walk_executor(light_283)', 'switch
on_executor(light_283)']","Time consume: 117 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 1
goal generate times: 9
goal correct times: 0
action_num: 14
",1,Scene_id: 1
cdl_dataset/dataset/Drink/g6.txt,Make a cup of lemon water with additional sugar.,"['walk_executor(kitchen_counter_119)', 'walk_executor(kitchen_counter_123)', 'walk_executor(cupboard
_117)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open_executor(fridge_126)', 
'walk_executor(cutting_board_2123)', 'walk_executor(food_lemon_2100)', 'walk_executor(kitchen_counte
r_122)', 'walk_executor(food_lemon_2100)', 'walk_executor(cupboard_118)', 'open_executor(cupboard_11
8)', 'walk_executor(food_lemon_2100)', 'walk_executor(table_114)', 'walk_executor(food_lemon_2100)',
 'walk_executor(cup_2132)', 'grab_executor(cup_2132)', 'walk_executor(faucet_20)', 'switchon_executo
r(faucet_20)', 'switchoff_executor(faucet_20)', 'walk_executor(food_lemon_2100)', 'grab_executor(foo
d_lemon_2100)', 'walk_executor(cutting_board_2123)', 'put_executor(food_lemon_2100, cutting_board_21
23)', 'walk_executor(knife_2122)', 'grab_executor(knife_2122)', 'walk_executor(food_lemon_2100)', 'c
ut_executor(food_lemon_2100)', 'grab_executor(food_lemon_2100) (Failed)', 'walk_executor(cutting_boa
rd_2123)', 'walk_executor(kitchen_counter_119)', 'put_executor(knife_2122, kitchen_counter_119)', 'w
alk_executor(food_lemon_2100)', 'grab_executor(food_lemon_2100)', 'walk_executor(kitchen_counter_119
)', 'put_executor(food_lemon_2100, kitchen_counter_119)', 'walk_executor(food_lemon_2100)', 'walk_ex
ecutor(food_sugar_2111)', 'grab_executor(food_sugar_2111)', 'walk_executor(cup_2132)', 'putin_execut
or(food_sugar_2111, cup_2132)']","Time consume: 190 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 1
goal generate times: 9
goal correct times: 0
action_num: 41
","Keystate: k1 - Requires: 4 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Pet_cat/g4.txt,Syntax Error,"['walk_executor(couch_352)', 'walk_executor(cat_2055)', 'grab_executor(cat_2055)', 'walk_executor(ba
thtub_30)', 'put_executor(cat_2055, bathtub_30)', 'walk_executor(shower_38)']","Time consume: 168 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 1
goal generate times: 15
goal correct times: 0
action_num: 6
","Keystate: k1 - Requires: 6 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g5.txt,Syntax Error,"['walk_executor(dresser_358)', 'open_executor(dresser_358)', 'walk_executor(closetdrawer_120)', 'wal
k_executor(closetdrawer_120)', 'walk_executor(closetdrawer_120)', 'walk_executor(closetdrawer_120)',
 'walk_executor(closetdrawer_120)', 'walk_executor(basket_for_clothes_2006)', 'grab_executor(clothes
_shirt_2086)', 'walk_executor(ironing_board_2074)', 'put_executor(clothes_shirt_2086, ironing_board_
2074)', 'walk_executor(iron_2089)', 'plugin_executor(iron_2089)', 'switchon_executor(iron_2089)', 'g
rab_executor(iron_2089)', 'walk_executor(clothes_shirt_2086)', 'walk_executor(clothes_skirt_2088)', 
'grab_executor(clothes_skirt_2088)', 'walk_executor(ironing_board_2074)', 'put_executor(clothes_skir
t_2088, ironing_board_2074)', 'walk_executor(clothes_skirt_2088)', 'walk_executor(clothes_shirt_2086
)', 'grab_executor(clothes_shirt_2086)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)',
 'wash_executor(clothes_shirt_2086)', 'switchoff_executor(faucet_43)', 'walk_executor(clothes_skirt_
2088)', 'grab_executor(clothes_skirt_2088) (Failed)']","Time consume: 305 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 1
goal generate times: 11
goal correct times: 0
action_num: 29
","Keystate: k1 - Requires: 2 steps
Keystate: k2 - Requires: 1 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g2.txt,Hand wash a shirt and iron this shirt.,"['walk_executor(dresser_123)', 'open_executor(dresser_123)', 'walk_executor(dresser_358)', 'open_exe
cutor(dresser_358)', 'walk_executor(closetdrawer_120)', 'walk_executor(closetdrawer_120)', 'walk_exe
cutor(closetdrawer_120)', 'walk_executor(closetdrawer_120)', 'walk_executor(basket_for_clothes_2006)
', 'walk_executor(clothes_shirt_2086)', 'grab_executor(clothes_shirt_2086)', 'walk_executor(faucet_4
3)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'walk_executor(washing_machine
_2007)', 'open_executor(washing_machine_2007)', 'walk_executor(clothes_shirt_2086)', 'walk_executor(
faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'walk_executor(bathroo
m_cabinet_40)', 'open_executor(bathroom_cabinet_40)', 'walk_executor(basket_for_clothes_2006)', 'wal
k_executor(basket_for_clothes_2006)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 's
witchoff_executor(faucet_43)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'wash_exe
cutor(clothes_shirt_2086)', 'switchoff_executor(faucet_43)', 'walk_executor(basket_for_clothes_2006)
', 'walk_executor(ironing_board_2074)', 'walk_executor(basket_for_clothes_2006)', 'walk_executor(iro
n_2089)', 'plugin_executor(iron_2089)', 'switchon_executor(iron_2089)', 'put_executor(clothes_shirt_
2086, iron_2089)']","Time consume: 227 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 1
goal generate times: 4
goal correct times: 0
action_num: 38
","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 4 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Pet_cat/g1.txt,Find my cat and touch it,"['walk_executor(couch_352)', 'walk_executor(cat_2055)', 'touch_executor(cat_2055)']","Time consume: 31 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 2
goal generate times: 2
goal correct times: 0
action_num: 3
",1,Scene_id: 0
cdl_dataset/dataset/Cook_some_food/g9.txt,Syntax Error,"['walk_executor(kitchen_counter_119)', 'walk_executor(cupboard_117)', 'walk_executor(fridge_126)', '
switchoff_executor(fridge_126)', 'open_executor(fridge_126)', 'grab_executor(food_potato_2107)', 'wa
lk_executor(cutting_board_2123)', 'put_executor(food_potato_2107, cutting_board_2123)', 'walk_execut
or(knifeblock_76)', 'walk_executor(coffe_maker_130)', 'open_executor(coffe_maker_130)', 'walk_execut
or(kitchen_counter_123)', 'walk_executor(knife_2035)', 'grab_executor(knife_2035)', 'walk_executor(f
ood_potato_2107)', 'cut_executor(food_potato_2107)', 'grab_executor(food_potato_2107)', 'put_executo
r(food_potato_2107, cutting_board_2123)', 'cut_executor(food_potato_2107)', 'cut_executor(food_potat
o_2107)', 'cut_executor(food_potato_2107)', 'cut_executor(food_potato_2107)']","Time consume: 436 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 2
goal generate times: 15
goal correct times: 0
action_num: 22
","Keystate: k1 - Requires: 14 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Prepare_a_reading_space/g3.txt,Find a book and put it on the coffe table in home office. Then open the window in the home office.,"['walk_executor(bookshelf_233)', 'open_executor(bookshelf_233)', 'walk_executor(bookshelf_354)', 'op
en_executor(bookshelf_354)', 'walk_executor(book_2066)', 'open_executor(book_2066)', 'walk_executor(
book_2067)', 'open_executor(book_2067)', 'walk_executor(book_2066)', 'grab_executor(book_2066)', 'wa
lk_executor(coffee_table_2068)', 'put_executor(book_2066, coffee_table_2068)', 'walk_executor(window
_348)', 'open_executor(window_348)']","Time consume: 103 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 2
goal generate times: 5
goal correct times: 0
action_num: 14
","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g1.txt,Directly iron a pair of skirt.,"['walk_executor(ironing_board_2144)', 'walk_executor(kitchen_counter_119)', 'walk_executor(cupboard_
117)', 'walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_executor(light_73)', 'wal
k_executor(bathroom_counter_18)', 'walk_executor(bowl_2142)', 'walk_executor(iron_2161)', 'plugin_ex
ecutor(iron_2161)', 'switchon_executor(iron_2161)', 'walk_executor(basket_for_clothes_2078)', 'grab_
executor(clothes_skirt_2160)', 'walk_executor(ironing_board_2144)', 'put_executor(clothes_skirt_2160
, ironing_board_2144)', 'touch_executor(clothes_skirt_2160)']","Time consume: 125 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 2
goal generate times: 5
goal correct times: 0
action_num: 16
","Keystate: k1 - Requires: 4 steps
Action Completion Rate: 0.0",Scene_id: 1
cdl_dataset/dataset/Wash_clothes/g1.txt,Wash all the clothes in the basket for clothes by washing machine.,"['walk_executor(basket_for_clothes_2040)', 'walk_executor(washing_machine_2041)', 'open_executor(was
hing_machine_2041)', 'walk_executor(clothes_pants_2113)', 'grab_executor(clothes_pants_2113)', 'walk
_executor(washing_machine_2041)', 'putin_executor(clothes_pants_2113, washing_machine_2041)', 'walk_
executor(clothes_shirt_2114)', 'grab_executor(clothes_shirt_2114)', 'walk_executor(washing_machine_2
041)', 'putin_executor(clothes_shirt_2114, washing_machine_2041)', 'walk_executor(clothes_socks_2115
)', 'grab_executor(clothes_socks_2115)', 'walk_executor(washing_machine_2041)', 'putin_executor(clot
hes_socks_2115, washing_machine_2041)', 'walk_executor(clothes_skirt_2116)', 'grab_executor(clothes_
skirt_2116)', 'walk_executor(washing_machine_2041)', 'putin_executor(clothes_skirt_2116, washing_mac
hine_2041)', 'close_executor(washing_machine_2041)', 'plugin_executor(washing_machine_2041)', 'switc
hon_executor(washing_machine_2041)']","Time consume: 70 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 4
goal generate times: 3
goal correct times: 0
action_num: 22
",1,Scene_id: 2
cdl_dataset/dataset/Drink/g5.txt,Use pot to boil some water.,"['walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(kitchen_counter_230)',
 'walk_executor(pot_2069)', 'open_executor(pot_2069)', 'grab_executor(pot_2069)', 'walk_executor(fau
cet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'walk_executor(stove_2065
)', 'put_executor(pot_2069, stove_2065)', 'switchon_executor(stove_2065)']","Time consume: 41 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 5
goal generate times: 1
goal correct times: 0
action_num: 12
",1,Scene_id: 0
cdl_dataset/dataset/Clean_the_bathroom/g2.txt,Prepare a sink of soapy water in the bathroom.,"['walk_executor(faucet_20)', 'switchon_executor(faucet_20)', 'switchoff_executor(faucet_20)', 'walk_
executor(bathroom_cabinet_17)', 'open_executor(bathroom_cabinet_17)', 'walk_executor(cupboard_117)',
 'walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_executor(pot_78)', 'walk_execut
or(sink_120)', 'walk_executor(soap_2126)', 'grab_executor(soap_2126)', 'walk_executor(sink_19)', 'pu
t_executor(soap_2126, sink_19)', 'grab_executor(soap_2126)', 'put_executor(soap_2126, sink_19)', 'wa
lk_executor(faucet_20)', 'switchon_executor(faucet_20)', 'switchoff_executor(faucet_20)', 'walk_exec
utor(soap_2126)', 'grab_executor(soap_2126)', 'walk_executor(sink_19)', 'put_executor(soap_2126, sin
k_19)']","Time consume: 141 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 5
goal generate times: 8
goal correct times: 0
action_num: 23
","Keystate: k1 - Requires: 2 steps
Action Completion Rate: 1.0",Scene_id: 1
