Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Prepare_dinner/g6.txt,"Put pizza and hamburger on a plate. Then hot them in the microwave. Then put them on a table in dinn
ing room.","['walk_executor(kitchen_counter_132)', 'walk_executor(cupboard_131)', 'open_executor(cupboard_131)',
 'walk_executor(cupboard_130)', 'walk_executor(walllamp_183)', 'walk_executor(kitchen_counter_128)',
 'walk_executor(kitchen_counter_129)', 'walk_executor(table_127)', 'walk_executor(stove_2090)', 'ope
n_executor(stove_2090)', 'walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_execut
or(fridge_140)', 'grab_executor(food_pizza_2065)', 'walk_executor(plate_2105)', 'put_executor(food_p
izza_2065, plate_2105)', 'walk_executor(food_hamburger_2057)', 'grab_executor(food_hamburger_2057)',
 'walk_executor(plate_2105)', 'put_executor(food_hamburger_2057, plate_2105)', 'walk_executor(microw
ave_149)', 'open_executor(microwave_149)', 'walk_executor(plate_2105)', 'grab_executor(plate_2105)',
 'walk_executor(microwave_149)', 'putin_executor(plate_2105, microwave_149)', 'close_executor(microw
ave_149)', 'switchon_executor(microwave_149)', 'switchoff_executor(microwave_149)', 'open_executor(m
icrowave_149)', 'grab_executor(plate_2105)', 'walk_executor(table_123)', 'put_executor(plate_2105, t
able_123)', 'grab_executor(plate_2105)', 'walk_executor(table_127)', 'put_executor(plate_2105, table
_127)']","Time consume: 172 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 3
goal generate times: 4
goal correct times: 0
action_num: 36
",1,Scene_id: 2
cdl_dataset/dataset/Prepare_a_reading_space/g2.txt,Find the book and put it on the table in home office. Then turn on the light in the home office.,"['walk_executor(bookshelf_275)', 'walk_executor(bookshelf_124)', 'open_executor(bookshelf_124)', 'wa
lk_executor(book_2136)', 'grab_executor(book_2136)', 'walk_executor(table_270)', 'put_executor(book_
2136, table_270)', 'walk_executor(light_283)', 'switchon_executor(light_283)']","Time consume: 74 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 5
goal generate times: 3
goal correct times: 0
action_num: 9
",1,Scene_id: 1
cdl_dataset/dataset/Drink/g6.txt,Syntax Error,"['walk_executor(kitchen_counter_123)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)'
, 'open_executor(fridge_126)', 'grab_executor(food_lemon_2100)', 'walk_executor(cutting_board_2123)'
, 'put_executor(food_lemon_2100, cutting_board_2123)', 'walk_executor(knife_2035)', 'grab_executor(k
nife_2035)', 'walk_executor(food_lemon_2100)', 'cut_executor(food_lemon_2100)', 'walk_executor(kitch
en_counter_122)', 'walk_executor(food_lemon_2100)', 'cut_executor(food_lemon_2100)', 'walk_executor(
cupboard_118)', 'open_executor(cupboard_118)', 'walk_executor(food_lemon_2100)', 'cut_executor(food_
lemon_2100)', 'walk_executor(cupboard_117)', 'walk_executor(food_lemon_2100)', 'cut_executor(food_le
mon_2100)', 'walk_executor(walllamp_305)', 'walk_executor(food_lemon_2100)', 'cut_executor(food_lemo
n_2100)', 'walk_executor(coffe_maker_130)', 'open_executor(coffe_maker_130)', 'walk_executor(food_le
mon_2100)', 'cut_executor(food_lemon_2100)', 'walk_executor(table_114)', 'walk_executor(food_lemon_2
100)', 'cut_executor(food_lemon_2100)', 'walk_executor(cup_2132)', 'grab_executor(cup_2132)', 'walk_
executor(faucet_20)', 'switchon_executor(faucet_20)', 'switchoff_executor(faucet_20)', 'walk_executo
r(food_lemon_2100)', 'cut_executor(food_lemon_2100)', 'walk_executor(kitchen_counter_119)', 'put_exe
cutor(knife_2035, kitchen_counter_119)', 'walk_executor(food_lemon_2100)', 'grab_executor(food_lemon
_2100)', 'walk_executor(kitchen_counter_119)', 'put_executor(food_lemon_2100, kitchen_counter_119)',
 'walk_executor(food_lemon_2100)', 'walk_executor(faucet_20)', 'switchon_executor(faucet_20)', 'swit
choff_executor(faucet_20)', 'walk_executor(food_lemon_2100)', 'grab_executor(food_lemon_2100)', 'wal
k_executor(cutting_board_2123)', 'put_executor(food_lemon_2100, cutting_board_2123)', 'walk_executor
(knife_2122)', 'grab_executor(knife_2122)', 'walk_executor(food_lemon_2100)', 'cut_executor(food_lem
on_2100)', 'walk_executor(kitchen_counter_119)', 'put_executor(cup_2132, kitchen_counter_119)', 'wal
k_executor(food_lemon_2100)', 'grab_executor(food_lemon_2100)', 'walk_executor(kitchen_counter_119)'
, 'put_executor(food_lemon_2100, kitchen_counter_119)', 'walk_executor(food_sugar_2111)', 'grab_exec
utor(food_sugar_2111)', 'walk_executor(cup_2132)', 'putin_executor(food_sugar_2111, cup_2132)', 'gra
b_executor(cup_2132)', 'walk_executor(faucet_20)', 'switchon_executor(faucet_20)', 'wash_executor(cu
p_2132)', 'switchoff_executor(faucet_20)']","Time consume: 412 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 5
goal generate times: 13
goal correct times: 2
action_num: 71
","Keystate: k1 - Requires: 5 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Pet_cat/g4.txt,Wash my cat.,['walk_executor(bed_105)'],"Time consume: 125 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 5
goal generate times: 9
goal correct times: 0
action_num: 1
","Keystate: k1 - Requires: 6 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g5.txt,Iron the shirt and the skirt.,"['walk_executor(closetdrawer_394)', 'walk_executor(closetdrawer_394)', 'walk_executor(closetdrawer_3
94)', 'walk_executor(closetdrawer_394)', 'walk_executor(closetdrawer_394)', 'walk_executor(closetdra
wer_394)', 'walk_executor(basket_for_clothes_2006)', 'walk_executor(ironing_board_2074)', 'walk_exec
utor(iron_2089)', 'plugin_executor(iron_2089)', 'switchon_executor(iron_2089)', 'walk_executor(ironi
ng_board_2074)', 'walk_executor(clothes_shirt_2086)', 'grab_executor(clothes_shirt_2086)', 'walk_exe
cutor(ironing_board_2074)', 'put_executor(clothes_shirt_2086, ironing_board_2074)', 'walk_executor(c
lothes_skirt_2088)', 'grab_executor(clothes_skirt_2088)', 'walk_executor(ironing_board_2074)', 'put_
executor(clothes_skirt_2088, ironing_board_2074)', 'walk_executor(clothes_shirt_2086)', 'grab_execut
or(clothes_shirt_2086)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'wash_executor(
clothes_shirt_2086)', 'switchoff_executor(faucet_43)', 'walk_executor(clothes_skirt_2088)', 'grab_ex
ecutor(clothes_skirt_2088)', 'walk_executor(kitchen_counter_230)', 'put_executor(clothes_shirt_2086,
 kitchen_counter_230)', 'switchon_executor(faucet_232)', 'wash_executor(clothes_skirt_2088)', 'switc
hoff_executor(faucet_232)']","Time consume: 257 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 5
goal generate times: 6
goal correct times: 0
action_num: 33
","Keystate: k1 - Requires: 6 steps
Keystate: k2 - Requires: 5 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g2.txt,Hand wash a shirt and iron this shirt.,"['walk_executor(basket_for_clothes_2006)', 'grab_executor(clothes_shirt_2086)', 'walk_executor(fauce
t_43)', 'switchon_executor(faucet_43)', 'wash_executor(clothes_shirt_2086)', 'switchoff_executor(fau
cet_43)', 'walk_executor(ironing_board_2074)', 'put_executor(clothes_shirt_2086, ironing_board_2074)
', 'walk_executor(iron_2089)', 'plugin_executor(iron_2089)', 'switchon_executor(iron_2089)', 'grab_e
xecutor(iron_2089)', 'walk_executor(clothes_shirt_2086)', 'put_executor(iron_2089, clothes_shirt_208
6)', 'switchoff_executor(iron_2089)']","Time consume: 125 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 5
goal generate times: 6
goal correct times: 0
action_num: 15
","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Pet_cat/g1.txt,Find my cat and touch it,"['walk_executor(couch_352)', 'walk_executor(cat_2055)', 'touch_executor(cat_2055)']","Time consume: 25 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 7
goal generate times: 2
goal correct times: 0
action_num: 3
",1,Scene_id: 0
cdl_dataset/dataset/Cook_some_food/g9.txt,Syntax Error,"['walk_executor(kitchen_counter_123)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)'
, 'open_executor(fridge_126)', 'grab_executor(food_potato_2107)', 'walk_executor(cutting_board_2123)
', 'put_executor(food_potato_2107, cutting_board_2123)', 'walk_executor(knife_2035)', 'grab_executor
(knife_2035)', 'walk_executor(food_potato_2107)', 'cut_executor(food_potato_2107)']","Time consume: 186 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 7
goal generate times: 7
goal correct times: 3
action_num: 11
","Keystate: k1 - Requires: 14 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Prepare_a_reading_space/g3.txt,Find a book and put it on the coffe table in home office. Then open the window in the home office.,"['walk_executor(bookshelf_101)', 'open_executor(bookshelf_101)', 'walk_executor(bookshelf_354)', 'op
en_executor(bookshelf_354)', 'walk_executor(book_2066)', 'open_executor(book_2066)', 'walk_executor(
book_2067)', 'open_executor(book_2067)', 'grab_executor(book_2067)', 'walk_executor(coffee_table_206
8)', 'put_executor(book_2067, coffee_table_2068)', 'walk_executor(window_348)', 'open_executor(windo
w_348)']","Time consume: 117 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 7
goal generate times: 5
goal correct times: 1
action_num: 13
","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 0
Task Category,Content,Executed Actions,Info,Success Rate,Task Path
