Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Prepare_dinner/g6.txt,"Put pizza and hamburger on a plate. Then hot them in the microwave. Then put them on a table in dinn
ing room.","['walk_executor(kitchen_counter_132)', 'walk_executor(cupboard_131)', 'open_executor(cupboard_131)',
 'walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'walk_e
xecutor(cupboard_130)', 'walk_executor(cutting_board_2080)', 'walk_executor(cpuscreen_383)', 'walk_e
xecutor(kitchen_counter_129)', 'walk_executor(table_127)', 'walk_executor(food_hamburger_2057)', 'gr
ab_executor(food_hamburger_2057)', 'walk_executor(plate_2105)', 'put_executor(food_hamburger_2057, p
late_2105)', 'walk_executor(food_pizza_2065)', 'grab_executor(food_pizza_2065)', 'walk_executor(plat
e_2105)', 'put_executor(food_pizza_2065, plate_2105)', 'walk_executor(microwave_149)', 'open_executo
r(microwave_149)', 'walk_executor(food_hamburger_2057)', 'grab_executor(food_hamburger_2057)', 'walk
_executor(microwave_149)', 'putin_executor(food_hamburger_2057, microwave_149)', 'close_executor(mic
rowave_149)', 'switchon_executor(microwave_149)', 'switchoff_executor(microwave_149)', 'open_executo
r(microwave_149)', 'walk_executor(food_pizza_2065)', 'grab_executor(food_pizza_2065)', 'walk_executo
r(microwave_149)', 'putin_executor(food_pizza_2065, microwave_149)', 'close_executor(microwave_149)'
, 'switchon_executor(microwave_149)', 'walk_executor(plate_2105)']","Time consume: 364 seconds
Exp_helper query times: 1
Guidance query times: 1
library scale: 0
goal generate times: 12
goal correct times: 4
action_num: 36
","Keystate: k1 - Requires: 16 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Prepare_a_reading_space/g2.txt,Find the book and put it on the table in home office. Then turn on the light in the home office.,"['walk_executor(bench_113)', 'walk_executor(bookshelf_275)', 'walk_executor(bookshelf_124)', 'open_e
xecutor(bookshelf_124)', 'walk_executor(book_2136)', 'grab_executor(book_2136)', 'walk_executor(tabl
e_270)', 'put_executor(book_2136, table_270)', 'walk_executor(light_283)', 'switchon_executor(light_
283)']","Time consume: 62 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 2
goal generate times: 2
goal correct times: 0
action_num: 10
",1,Scene_id: 1
cdl_dataset/dataset/Drink/g6.txt,Make a cup of lemon water with additional sugar.,"['walk_executor(kitchen_counter_122)', 'walk_executor(cupboard_117)', 'walk_executor(fridge_126)', '
switchoff_executor(fridge_126)', 'open_executor(fridge_126)', 'grab_executor(food_lemon_2100)', 'wal
k_executor(sink_19)', 'putin_executor(food_lemon_2100, sink_19)', 'walk_executor(food_lemon_2100)', 
'grab_executor(food_lemon_2100)', 'walk_executor(faucet_20)', 'switchon_executor(faucet_20)', 'wash_
executor(food_lemon_2100)', 'switchoff_executor(faucet_20)', 'walk_executor(cutting_board_2123)', 'p
ut_executor(food_lemon_2100, cutting_board_2123)', 'walk_executor(knifeblock_76)', 'walk_executor(po
wersocket_72)', 'walk_executor(walllamp_306)', 'walk_executor(walllamp_141)', 'walk_executor(table_1
14)', 'walk_executor(knife_2122)', 'grab_executor(knife_2122)', 'walk_executor(food_lemon_2100)', 'c
ut_executor(food_lemon_2100)', 'grab_executor(food_lemon_2100)', 'walk_executor(cup_2132)', 'putin_e
xecutor(food_lemon_2100, cup_2132)', 'walk_executor(food_sugar_2111)', 'grab_executor(food_sugar_211
1)', 'walk_executor(cup_2132)', 'putin_executor(food_sugar_2111, cup_2132)', 'grab_executor(cup_2132
)', 'walk_executor(faucet_20)', 'switchon_executor(faucet_20)', 'wash_executor(cup_2132)', 'switchof
f_executor(faucet_20)', 'walk_executor(kitchen_counter_119)', 'put_executor(cup_2132, kitchen_counte
r_119)', 'walk_executor(food_sugar_2111)', 'grab_executor(food_sugar_2111)', 'walk_executor(cutting_
board_2123)', 'put_executor(food_sugar_2111, cutting_board_2123)', 'walk_executor(food_sugar_2111)',
 'cut_executor(food_sugar_2111) (Failed)', 'grab_executor(food_sugar_2111)', 'walk_executor(cup_2132
)', 'putin_executor(food_sugar_2111, cup_2132)', 'walk_executor(cupboard_118)', 'open_executor(cupbo
ard_118)', 'walk_executor(cup_2132)', 'walk_executor(dishwasher_129)', 'open_executor(dishwasher_129
)', 'walk_executor(cup_2132)', 'walk_executor(plate_2152)', 'walk_executor(cup_2132)', 'walk_executo
r(orchid_285)', 'walk_executor(cup_2132)', 'walk_executor(food_food_2021)', 'walk_executor(cup_2132)
', 'walk_executor(table_199)', 'walk_executor(cup_2132)', 'walk_executor(wooden_spoon_2000)', 'grab_
executor(wooden_spoon_2000)', 'walk_executor(cup_2132)', 'put_executor(wooden_spoon_2000, cup_2132)'
, 'walk_executor(cup_2133)', 'walk_executor(cup_2134)', 'walk_executor(cup_2049)']","Time consume: 743 seconds
Exp_helper query times: 2
Guidance query times: 2
library scale: 4
goal generate times: 21
goal correct times: 1
action_num: 69
",1,Scene_id: 1
cdl_dataset/dataset/Pet_cat/g4.txt,Wash my cat.,"['walk_executor(bed_105)', 'walk_executor(shower_38)', 'walk_executor(bathroom_counter_41)', 'walk_e
xecutor(tablelamp_98)', 'walk_executor(clothes_dress_2044)', 'walk_executor(television_410)', 'walk_
executor(couch_352)', 'walk_executor(cat_2055)', 'grab_executor(cat_2055)', 'walk_executor(faucet_43
)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'walk_executor(sink_42)', 'walk
_executor(soap_2053)', 'grab_executor(soap_2053)', 'walk_executor(faucet_43)', 'switchon_executor(fa
ucet_43)', 'wash_executor(cat_2055)', 'switchoff_executor(faucet_43)']","Time consume: 146 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 6
goal generate times: 3
goal correct times: 0
action_num: 19
",1,Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g5.txt,Iron the shirt and the skirt.,"['walk_executor(closetdrawer_117)', 'walk_executor(closetdrawer_117)', 'walk_executor(closetdrawer_1
17)', 'walk_executor(closetdrawer_117)', 'walk_executor(closetdrawer_117)', 'walk_executor(closetdra
wer_117)', 'walk_executor(ironing_board_2074)', 'walk_executor(basket_for_clothes_2006)', 'walk_exec
utor(ironing_board_2074)', 'walk_executor(basket_for_clothes_2006)', 'walk_executor(ironing_board_20
74)', 'walk_executor(basket_for_clothes_2006)', 'grab_executor(clothes_shirt_2086)', 'walk_executor(
ironing_board_2074)', 'put_executor(clothes_shirt_2086, ironing_board_2074)', 'walk_executor(iron_20
89)', 'plugin_executor(iron_2089)', 'switchon_executor(iron_2089)', 'walk_executor(clothes_skirt_208
8)', 'grab_executor(clothes_skirt_2088)', 'walk_executor(ironing_board_2074)', 'put_executor(clothes
_skirt_2088, ironing_board_2074)', 'walk_executor(clothes_skirt_2088)', 'grab_executor(clothes_skirt
_2088)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'wash_executor(clothes_skirt_20
88)', 'switchoff_executor(faucet_43)']","Time consume: 336 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 6
goal generate times: 6
goal correct times: 2
action_num: 28
","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 5 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g2.txt,Hand wash a shirt and iron this shirt.,"['walk_executor(basket_for_clothes_2006)', 'grab_executor(clothes_shirt_2086)', 'walk_executor(fauce
t_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'walk_executor(bathroom_cou
nter_41)', 'walk_executor(sink_42)', 'walk_executor(soap_2053)', 'grab_executor(soap_2053)', 'walk_e
xecutor(faucet_43)', 'switchon_executor(faucet_43)', 'wash_executor(clothes_shirt_2086)', 'switchoff
_executor(faucet_43)', 'walk_executor(ironing_board_2074)', 'walk_executor(kitchen_counter_230)', 'p
ut_executor(soap_2053, kitchen_counter_230)', 'walk_executor(iron_2089)', 'plugin_executor(iron_2089
)', 'switchon_executor(iron_2089)', 'walk_executor(ironing_board_2074)', 'put_executor(clothes_shirt
_2086, ironing_board_2074)', 'switchoff_executor(iron_2089)', 'plugout_executor(iron_2089)']","Time consume: 157 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 6
goal generate times: 4
goal correct times: 0
action_num: 23
","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 7 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Pet_cat/g1.txt,Find my cat and touch it,"['walk_executor(bed_105)', 'walk_executor(nightstand_100)', 'open_executor(nightstand_100)', 'walk_e
xecutor(bathroom_counter_41)', 'walk_executor(bathtub_30)', 'walk_executor(shower_38)', 'walk_execut
or(cutting_board_2051)', 'walk_executor(couch_352)', 'walk_executor(cat_2055)', 'touch_executor(cat_
2055)']","Time consume: 64 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 7
goal generate times: 1
goal correct times: 0
action_num: 10
",1,Scene_id: 0
cdl_dataset/dataset/Cook_some_food/g9.txt,Make some French fries.,"['walk_executor(kitchen_counter_119)', 'walk_executor(cupboard_117)', 'walk_executor(cupboard_118)',
 'open_executor(cupboard_118)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open
_executor(fridge_126)', 'grab_executor(food_potato_2107)', 'walk_executor(sink_19)', 'putin_executor
(food_potato_2107, sink_19)', 'walk_executor(food_potato_2107)', 'grab_executor(food_potato_2107)', 
'walk_executor(faucet_20)', 'switchon_executor(faucet_20)', 'wash_executor(food_potato_2107)', 'swit
choff_executor(faucet_20)', 'walk_executor(cutting_board_2123)', 'put_executor(food_potato_2107, cut
ting_board_2123)', 'walk_executor(knife_2037)', 'grab_executor(knife_2037)', 'walk_executor(food_pot
ato_2107)', 'cut_executor(food_potato_2107)', 'walk_executor(dishwasher_129)', 'open_executor(dishwa
sher_129)', 'walk_executor(kitchen_counter_122)', 'walk_executor(fryingpan_2154)', 'grab_executor(fr
yingpan_2154)', 'walk_executor(stove_2135)', 'put_executor(fryingpan_2154, stove_2135)', 'switchon_e
xecutor(stove_2135)', 'walk_executor(pot_2138)', 'open_executor(pot_2138)', 'walk_executor(food_food
_1000)', 'walk_executor(kitchen_counter_123)', 'walk_executor(oil_2149)', 'grab_executor(oil_2149)',
 'walk_executor(fryingpan_2154)', 'putin_executor(oil_2149, fryingpan_2154)']","Time consume: 659 seconds
Exp_helper query times: 1
Guidance query times: 3
library scale: 7
goal generate times: 24
goal correct times: 5
action_num: 38
","Keystate: k1 - Requires: 5 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Prepare_a_reading_space/g3.txt,Find a book and put it on the coffe table in home office. Then open the window in the home office.,"['walk_executor(bookshelf_354)', 'open_executor(bookshelf_354)', 'walk_executor(book_2066)', 'grab_e
xecutor(book_2066)', 'walk_executor(coffee_table_2068)', 'put_executor(book_2066, coffee_table_2068)
', 'walk_executor(window_348)', 'open_executor(window_348)']","Time consume: 56 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 7
goal generate times: 2
goal correct times: 0
action_num: 8
","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g1.txt,Directly iron a pair of skirt.,"['walk_executor(ironing_board_2144)', 'walk_executor(table_114)', 'walk_executor(cupboard_117)', 'wa
lk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_executor(washing_machine_2079)', 'o
pen_executor(washing_machine_2079)', 'walk_executor(basket_for_clothes_2078)', 'walk_executor(wallla
mp_141)', 'walk_executor(cup_2134)', 'walk_executor(window_310)', 'open_executor(window_310)', 'walk
_executor(cup_2132)', 'walk_executor(table_cloth_2005)', 'walk_executor(tablelamp_239)', 'walk_execu
tor(bathroom_counter_18)', 'walk_executor(dishwasher_129)', 'open_executor(dishwasher_129)', 'walk_e
xecutor(walllamp_306)', 'walk_executor(kitchen_counter_122)', 'walk_executor(kitchen_counter_119)', 
'walk_executor(bowl_2142)', 'walk_executor(iron_2161)', 'plugin_executor(iron_2161)', 'switchon_exec
utor(iron_2161)', 'walk_executor(clothes_skirt_2160)', 'grab_executor(clothes_skirt_2160)', 'walk_ex
ecutor(ironing_board_2144)', 'put_executor(clothes_skirt_2160, ironing_board_2144)', 'grab_executor(
clothes_skirt_2160)', 'walk_executor(faucet_20)', 'switchon_executor(faucet_20)', 'wash_executor(clo
thes_skirt_2160)', 'switchoff_executor(faucet_20)', 'walk_executor(ironing_board_2144)', 'put_execut
or(clothes_skirt_2160, ironing_board_2144)']","Time consume: 263 seconds
Exp_helper query times: 3
Guidance query times: 0
library scale: 7
goal generate times: 5
goal correct times: 1
action_num: 36
","Keystate: k1 - Requires: 4 steps
Action Completion Rate: 0.0",Scene_id: 1
