Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Prepare_dinner/g6.txt,Syntax Error,"['walk_executor(kitchen_counter_129)', 'walk_executor(fridge_140)', 'switchoff_executor(fridge_140)'
, 'open_executor(fridge_140)', 'walk_executor(cupboard_130)', 'walk_executor(cupboard_131)', 'open_e
xecutor(cupboard_131)', 'walk_executor(table_127)', 'walk_executor(food_pizza_2065)', 'grab_executor
(food_pizza_2065)', 'walk_executor(plate_2105)', 'put_executor(food_pizza_2065, plate_2105)', 'walk_
executor(food_hamburger_2057)', 'grab_executor(food_hamburger_2057)', 'walk_executor(plate_2105)', '
put_executor(food_hamburger_2057, plate_2105)', 'walk_executor(microwave_149)', 'open_executor(micro
wave_149)', 'walk_executor(plate_2105)', 'grab_executor(plate_2105)', 'walk_executor(microwave_149)'
, 'putin_executor(plate_2105, microwave_149)', 'close_executor(microwave_149)', 'switchon_executor(m
icrowave_149)', 'switchoff_executor(microwave_149)', 'open_executor(microwave_149)', 'grab_executor(
plate_2105)', 'walk_executor(table_123)', 'put_executor(plate_2105, table_123)']","Time consume: 210 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 8
goal correct times: 2
action_num: 29
","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Prepare_a_reading_space/g2.txt,Find the book and put it on the table in home office. Then turn on the light in the home office.,"['walk_executor(bookshelf_275)', 'walk_executor(bookshelf_124)', 'open_executor(bookshelf_124)', 'wa
lk_executor(book_2136)', 'grab_executor(book_2136)', 'walk_executor(table_270)', 'put_executor(book_
2136, table_270)', 'walk_executor(light_283)', 'switchon_executor(light_283)']","Time consume: 58 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 2
goal generate times: 3
goal correct times: 0
action_num: 9
",1,Scene_id: 1
cdl_dataset/dataset/Drink/g6.txt,Make a cup of lemon water with additional sugar.,"['walk_executor(sink_19)', 'walk_executor(sink_120)']","Time consume: 232 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 2
goal generate times: 11
goal correct times: 1
action_num: 2
","Keystate: k1 - Requires: 16 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Pet_cat/g4.txt,Syntax Error,"['walk_executor(washing_machine_2007)', 'open_executor(washing_machine_2007)', 'walk_executor(basket
_for_clothes_2006)', 'walk_executor(sink_231)', 'walk_executor(washing_machine_2007)', 'walk_executo
r(basket_for_clothes_2006)', 'walk_executor(sink_231)', 'walk_executor(basket_for_clothes_2006)', 'w
alk_executor(washing_machine_2007)', 'walk_executor(sink_42)', 'walk_executor(sink_231)']","Time consume: 203 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 2
goal generate times: 8
goal correct times: 0
action_num: 11
","Keystate: k1 - Requires: 6 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g5.txt,Iron the shirt and the skirt.,"['walk_executor(closetdrawer_119)', 'walk_executor(closetdrawer_119)', 'walk_executor(closetdrawer_1
19)', 'walk_executor(closetdrawer_119)', 'walk_executor(closetdrawer_119)', 'walk_executor(closetdra
wer_119)', 'walk_executor(basket_for_clothes_2006)', 'grab_executor(clothes_shirt_2086)', 'walk_exec
utor(ironing_board_2074)', 'put_executor(clothes_shirt_2086, ironing_board_2074)', 'walk_executor(ir
on_2089)', 'plugin_executor(iron_2089)', 'switchon_executor(iron_2089)', 'walk_executor(clothes_skir
t_2088)', 'grab_executor(clothes_skirt_2088)', 'walk_executor(ironing_board_2074)', 'put_executor(cl
othes_skirt_2088, ironing_board_2074)', 'switchoff_executor(iron_2089)', 'plugout_executor(iron_2089
)']","Time consume: 216 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 2
goal generate times: 3
goal correct times: 0
action_num: 19
","Keystate: k1 - Requires: 7 steps
Keystate: k2 - Requires: 7 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g2.txt,Syntax Error,"['walk_executor(washing_machine_2007)', 'open_executor(washing_machine_2007)', 'walk_executor(basket
_for_clothes_2006)']","Time consume: 98 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 2
goal generate times: 4
goal correct times: 2
action_num: 3
","Keystate: k1 - Requires: 5 steps
Keystate: k2 - Requires: 9 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Pet_cat/g1.txt,Find my cat and touch it,"['walk_executor(bed_105)', 'walk_executor(nightstand_100)', 'open_executor(nightstand_100)', 'walk_e
xecutor(dresser_108)', 'open_executor(dresser_108)', 'walk_executor(dresser_358)', 'open_executor(dr
esser_358)', 'walk_executor(closetdrawer_143)', 'walk_executor(closetdrawer_143)', 'walk_executor(co
uch_352)', 'walk_executor(cat_2055)', 'touch_executor(cat_2055)']","Time consume: 118 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 4
goal generate times: 4
goal correct times: 0
action_num: 12
",1,Scene_id: 0
cdl_dataset/dataset/Cook_some_food/g9.txt,Make some French fries.,"['walk_executor(kitchen_counter_123)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)'
, 'open_executor(fridge_126)', 'grab_executor(food_potato_2107)', 'walk_executor(faucet_20)', 'switc
hon_executor(faucet_20)', 'wash_executor(food_potato_2107)', 'switchoff_executor(faucet_20)', 'walk_
executor(cutting_board_2123)', 'put_executor(food_potato_2107, cutting_board_2123)', 'walk_executor(
knife_2035)', 'grab_executor(knife_2035)', 'walk_executor(food_potato_2107)', 'cut_executor(food_pot
ato_2107)', 'walk_executor(cupboard_117)', 'walk_executor(oven_127)', 'open_executor(oven_127)', 'wa
lk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_executor(nightstand_192)', 'walk_ex
ecutor(television_281)', 'walk_executor(kitchen_counter_122)', 'walk_executor(oil_2149)', 'grab_exec
utor(oil_2149)', 'walk_executor(fryingpan_2154)', 'putin_executor(oil_2149, fryingpan_2154)', 'walk_
executor(stove_2135)', 'switchon_executor(stove_2135)']","Time consume: 277 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 4
goal generate times: 12
goal correct times: 0
action_num: 29
","Keystate: k1 - Requires: 10 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Prepare_a_reading_space/g3.txt,Find a book and put it on the coffe table in home office. Then open the window in the home office.,"['walk_executor(bookshelf_233)', 'open_executor(bookshelf_233)', 'walk_executor(bookshelf_101)', 'op
en_executor(bookshelf_101)', 'walk_executor(bookshelf_354)', 'open_executor(bookshelf_354)', 'walk_e
xecutor(book_2066)', 'grab_executor(book_2066)', 'walk_executor(table_355)', 'put_executor(book_2066
, table_355)', 'walk_executor(window_348)', 'open_executor(window_348)']","Time consume: 68 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 6
goal generate times: 2
goal correct times: 0
action_num: 12
",1,Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g1.txt,Directly iron a pair of skirt.,['walk_executor(ironing_board_2144)'],"Time consume: 62 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 6
goal generate times: 3
goal correct times: 0
action_num: 1
","Keystate: k1 - Requires: 11 steps
Action Completion Rate: 0.0",Scene_id: 1
