Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Make_coffee/g1.txt,Make a cup of coffee using the coffee maker.,"['walk_executor(coffe_maker_290)', 'switchon_executor(coffe_maker_290)', 'walk_executor(desk_357)', 
'walk_executor(cup_2064)', 'grab_executor(cup_2064)', 'walk_executor(faucet_43)', 'switchon_executor
(faucet_43)', 'switchoff_executor(faucet_43)', 'walk_executor(coffe_maker_290)', 'switchoff_executor
(coffe_maker_290)', 'open_executor(coffe_maker_290)', 'putin_executor(cup_2064, coffe_maker_290)', '
close_executor(coffe_maker_290)', 'switchon_executor(coffe_maker_290)']","Time consume: 91 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 5
goal correct times: 0
action_num: 14
",1,Scene_id: 0
cdl_dataset/dataset/Prepare_a_reading_space/g4.txt,"Find the book and put it on the coffe table in home office. Then prepare a cup of hot milk, put it o
n the table.","['walk_executor(bookshelf_233)', 'open_executor(bookshelf_233)', 'walk_executor(bookshelf_354)', 'op
en_executor(bookshelf_354)', 'walk_executor(book_2066)', 'grab_executor(book_2066)', 'walk_executor(
coffee_table_2068)', 'put_executor(book_2066, coffee_table_2068)', 'walk_executor(fridge_289)', 'swi
tchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_executor(dishwasher_1001)', 'open_e
xecutor(dishwasher_1001)', 'walk_executor(closetdrawer_388)', 'walk_executor(closetdrawer_388)', 'wa
lk_executor(closetdrawer_388)', 'walk_executor(kitchen_counter_230)', 'walk_executor(cup_2063)', 'gr
ab_executor(cup_2063)', 'walk_executor(coffee_table_2068)', 'put_executor(cup_2063, coffee_table_206
8)', 'grab_executor(cup_2063)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'switcho
ff_executor(faucet_43)', 'walk_executor(coffee_table_2068)', 'put_executor(cup_2063, coffee_table_20
68)', 'grab_executor(cup_2063)', 'walk_executor(milk_2043)', 'grab_executor(milk_2043)', 'walk_execu
tor(cup_2063)', 'put_executor(milk_2043, cup_2063)', 'walk_executor(faucet_43)', 'switchon_executor(
faucet_43)', 'wash_executor(cup_2063)', 'switchoff_executor(faucet_43)', 'walk_executor(coffee_table
_2068)', 'put_executor(cup_2063, coffee_table_2068)']","Time consume: 243 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 5
goal correct times: 0
action_num: 38
","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 12 steps
Keystate: k3 - Requires: 7 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Prepare_breakfast/g5.txt,Prepare a cup of hot milk with cereal inside.,"['walk_executor(stove_2065)', 'switchon_executor(stove_2065)', 'walk_executor(kitchen_counter_230)',
 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'grab_e
xecutor(milk_2043)', 'walk_executor(cup_2063)', 'putin_executor(milk_2043, cup_2063)', 'walk_executo
r(food_cereal_2015)', 'grab_executor(food_cereal_2015)', 'walk_executor(cup_2063)', 'putin_executor(
food_cereal_2015, cup_2063)', 'grab_executor(cup_2063)', 'walk_executor(stove_2065)', 'put_executor(
cup_2063, stove_2065)']","Time consume: 97 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 5
goal correct times: 0
action_num: 16
","Keystate: k1 - Requires: 8 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Wash_dishes_with_dishwasher/g3.txt,Wash the bowls and plates with dishwasher. And wash forks by hand.,"['walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001)', 'walk_executor(coffee_table_206
8)', 'walk_executor(table_355)', 'walk_executor(kitchen_counter_230)', 'walk_executor(sink_231)', 'w
alk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(table_226)', 'walk_execut
or(bowl_2071)', 'grab_executor(bowl_2071)', 'walk_executor(dishwasher_1001)', 'putin_executor(bowl_2
071, dishwasher_1001)', 'walk_executor(bowl_2072)', 'grab_executor(bowl_2072)', 'walk_executor(dishw
asher_1001)', 'putin_executor(bowl_2072, dishwasher_1001)', 'walk_executor(plate_1000)', 'grab_execu
tor(plate_1000)', 'walk_executor(dishwasher_1001)', 'putin_executor(plate_1000, dishwasher_1001)', '
close_executor(dishwasher_1001)', 'switchon_executor(dishwasher_1001)', 'walk_executor(fork_2080)', 
'grab_executor(fork_2080)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'wash_execut
or(fork_2080)', 'switchoff_executor(faucet_43)', 'walk_executor(fork_2081)', 'grab_executor(fork_208
1)', 'walk_executor(kitchen_counter_230)', 'put_executor(fork_2080, kitchen_counter_230)', 'switchon
_executor(faucet_232)', 'wash_executor(fork_2081)', 'switchoff_executor(faucet_232)']","Time consume: 128 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 36
",1,Scene_id: 0
cdl_dataset/dataset/Vacuum_the_living_room/g1.txt,Vacuum the floor by push and pull the vacuume clearner.,"['walk_executor(washing_machine_2007)', 'open_executor(washing_machine_2007)', 'walk_executor(basket
_for_clothes_2006)', 'walk_executor(closetdrawer_158)', 'walk_executor(closetdrawer_158)', 'walk_exe
cutor(closetdrawer_158)', 'walk_executor(closetdrawer_158)', 'walk_executor(couch_352)', 'walk_execu
tor(vacuum_cleaner_2070)', 'push_executor(vacuum_cleaner_2070)', 'pull_executor(vacuum_cleaner_2070)
']","Time consume: 78 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 11
","Keystate: k1 - Requires: 3 steps
Action Completion Rate: 1.0",Scene_id: 0
cdl_dataset/dataset/Cook_some_food/g4.txt,Boil some vegetables with pot. Then store the whole pot in the fridge.,"['walk_executor(kitchen_counter_230)', 'walk_executor(pot_2069)', 'open_executor(pot_2069)', 'grab_e
xecutor(pot_2069)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(
faucet_43)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_28
9)', 'grab_executor(food_vegetable_2041)', 'putin_executor(food_vegetable_2041, pot_2069)', 'walk_ex
ecutor(stove_2065)', 'switchon_executor(stove_2065)', 'put_executor(pot_2069, stove_2065)', 'walk_ex
ecutor(pot_2069)', 'grab_executor(pot_2069)', 'walk_executor(fridge_289)', 'putin_executor(pot_2069,
 fridge_289)', 'close_executor(fridge_289)']","Time consume: 140 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 4
goal correct times: 0
action_num: 20
","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 10 steps
Keystate: k3 - Requires: 2 steps
Action Completion Rate: 1.0",Scene_id: 0
cdl_dataset/dataset/Prepare_a_reading_space/g3.txt,Find a book and put it on the coffe table in home office. Then open the window in the home office.,"['walk_executor(bookshelf_233)', 'open_executor(bookshelf_233)', 'walk_executor(bookshelf_101)', 'op
en_executor(bookshelf_101)', 'walk_executor(bookshelf_354)', 'open_executor(bookshelf_354)', 'walk_e
xecutor(book_2066)', 'grab_executor(book_2066)', 'walk_executor(coffee_table_2068)', 'put_executor(b
ook_2066, coffee_table_2068)', 'walk_executor(window_348)', 'open_executor(window_348)']","Time consume: 62 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 12
","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Prepare_dinner/g5.txt,Fried a steak. Then cut it and put it on a plate.,"['walk_executor(stove_2065)', 'open_executor(stove_2065)', 'walk_executor(fridge_289)', 'switchoff_e
xecutor(fridge_289)', 'open_executor(fridge_289)', 'grab_executor(food_steak_2008)', 'walk_executor(
fryingpan_2083)', 'putin_executor(food_steak_2008, fryingpan_2083)', 'grab_executor(fryingpan_2083)'
, 'walk_executor(stove_2065)', 'put_executor(fryingpan_2083, stove_2065)', 'switchon_executor(stove_
2065)', 'walk_executor(food_steak_2008)', 'grab_executor(food_steak_2008)', 'walk_executor(cutting_b
oard_2051)', 'put_executor(food_steak_2008, cutting_board_2051)', 'walk_executor(knife_2050)', 'grab
_executor(knife_2050)', 'walk_executor(food_steak_2008)', 'cut_executor(food_steak_2008)', 'walk_exe
cutor(kitchen_counter_230)', 'walk_executor(food_steak_2008)', 'grab_executor(food_steak_2008)', 'wa
lk_executor(fryingpan_2083)', 'putin_executor(food_steak_2008, fryingpan_2083)', 'walk_executor(food
_steak_2008)', 'grab_executor(food_steak_2008)', 'walk_executor(cutting_board_2051)', 'put_executor(
food_steak_2008, cutting_board_2051)', 'walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1
001)', 'walk_executor(food_steak_2008)', 'grab_executor(food_steak_2008)', 'walk_executor(fryingpan_
2083)', 'putin_executor(food_steak_2008, fryingpan_2083)', 'walk_executor(food_steak_2008)', 'grab_e
xecutor(food_steak_2008)', 'walk_executor(cutting_board_2051)', 'put_executor(food_steak_2008, cutti
ng_board_2051)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(food_s
teak_2008)', 'grab_executor(food_steak_2008)', 'walk_executor(fryingpan_2083)', 'putin_executor(food
_steak_2008, fryingpan_2083)', 'walk_executor(food_steak_2008)', 'grab_executor(food_steak_2008)', '
walk_executor(cutting_board_2051)', 'put_executor(food_steak_2008, cutting_board_2051)', 'walk_execu
tor(oven_295)', 'open_executor(oven_295)', 'walk_executor(food_steak_2008)', 'grab_executor(food_ste
ak_2008)', 'walk_executor(fryingpan_2083)', 'putin_executor(food_steak_2008, fryingpan_2083)', 'walk
_executor(food_steak_2008)', 'grab_executor(food_steak_2008)', 'walk_executor(cutting_board_2051)', 
'put_executor(food_steak_2008, cutting_board_2051)', 'walk_executor(doorjamb_347)', 'walk_executor(f
ood_steak_2008)', 'grab_executor(food_steak_2008)', 'walk_executor(fryingpan_2083)', 'putin_executor
(food_steak_2008, fryingpan_2083)', 'walk_executor(food_steak_2008)', 'grab_executor(food_steak_2008
)', 'walk_executor(cutting_board_2051)', 'put_executor(food_steak_2008, cutting_board_2051)', 'walk_
executor(photoframe_185)', 'walk_executor(food_steak_2008)', 'grab_executor(food_steak_2008)', 'walk
_executor(fryingpan_2083)', 'putin_executor(food_steak_2008, fryingpan_2083)', 'walk_executor(food_s
teak_2008)', 'grab_executor(food_steak_2008)', 'walk_executor(cutting_board_2051)', 'put_executor(fo
od_steak_2008, cutting_board_2051)', 'walk_executor(sink_231)', 'walk_executor(food_steak_2008)', 'g
rab_executor(food_steak_2008)', 'walk_executor(fryingpan_2083)', 'putin_executor(food_steak_2008, fr
yingpan_2083)', 'walk_executor(food_steak_2008)', 'grab_executor(food_steak_2008)', 'walk_executor(c
utting_board_2051)', 'put_executor(food_steak_2008, cutting_board_2051)', 'walk_executor(food_steak_
2008)', 'grab_executor(food_steak_2008)', 'walk_executor(plate_1000)', 'put_executor(food_steak_2008
, plate_1000)']","Time consume: 325 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 90
","Keystate: k1 - Requires: 8 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Iron_clothes/g5.txt,Iron the shirt and the skirt.,"['walk_executor(dresser_358)', 'open_executor(dresser_358)', 'walk_executor(ironing_board_2074)', 'w
alk_executor(iron_2089)', 'plugin_executor(iron_2089)', 'switchon_executor(iron_2089)', 'walk_execut
or(dresser_108)', 'open_executor(dresser_108)', 'walk_executor(closetdrawer_143)', 'walk_executor(cl
osetdrawer_143)', 'walk_executor(closetdrawer_143)', 'walk_executor(closetdrawer_158)', 'walk_execut
or(basket_for_clothes_2006)', 'grab_executor(clothes_shirt_2086)', 'walk_executor(faucet_43)', 'swit
chon_executor(faucet_43)', 'wash_executor(clothes_shirt_2086)', 'switchoff_executor(faucet_43)', 'wa
lk_executor(clothes_skirt_2088)', 'grab_executor(clothes_skirt_2088)', 'walk_executor(kitchen_counte
r_230)', 'put_executor(clothes_shirt_2086, kitchen_counter_230)', 'switchon_executor(faucet_232)', '
wash_executor(clothes_skirt_2088)', 'switchoff_executor(faucet_232)', 'grab_executor(clothes_shirt_2
086)', 'walk_executor(ironing_board_2074)', 'put_executor(clothes_shirt_2086, ironing_board_2074)', 
'put_executor(clothes_skirt_2088, ironing_board_2074)', 'walk_executor(iron_2089)', 'grab_executor(i
ron_2089)', 'put_executor(iron_2089, ironing_board_2074)', 'grab_executor(iron_2089)', 'walk_executo
r(clothes_shirt_2086)', 'put_executor(iron_2089, clothes_shirt_2086)', 'walk_executor(iron_2089)', '
grab_executor(iron_2089)', 'walk_executor(clothes_skirt_2088)', 'put_executor(iron_2089, clothes_ski
rt_2088)']","Time consume: 590 seconds
Exp_helper query times: 1
Guidance query times: 2
library scale: 0
goal generate times: 30
goal correct times: 0
action_num: 39
","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Prepare_breakfast/g3.txt,Boil egg.,"['walk_executor(dishwasher_1001)', 'open_executor(dishwasher_1001)', 'walk_executor(cupboard_229)', 
'open_executor(cupboard_229)', 'walk_executor(kitchen_counter_230)', 'walk_executor(pot_2069)', 'ope
n_executor(pot_2069)', 'grab_executor(pot_2069)', 'walk_executor(faucet_43)', 'switchon_executor(fau
cet_43)', 'switchoff_executor(faucet_43)', 'walk_executor(stove_2065)', 'switchon_executor(stove_206
5)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'gr
ab_executor(food_egg_2020)', 'putin_executor(food_egg_2020, pot_2069)', 'walk_executor(stove_2065)',
 'put_executor(pot_2069, stove_2065)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)']","Time consume: 136 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 6
goal correct times: 0
action_num: 22
",1,Scene_id: 0
