Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Clean_the_bathroom/g2.txt,Prepare a sink of soapy water in the bathroom.,"['walk_executor(faucet_20)', 'switchon_executor(faucet_20)', 'switchoff_executor(faucet_20)', 'walk_
executor(bathroom_counter_18)', 'walk_executor(bathroom_cabinet_17)', 'open_executor(bathroom_cabine
t_17)', 'walk_executor(stovefan_125)', 'walk_executor(faucet_121)', 'walk_executor(sink_19)', 'walk_
executor(soap_2125)', 'grab_executor(soap_2125)', 'walk_executor(sink_19)', 'putin_executor(soap_212
5, sink_19)', 'grab_executor(soap_2125)', 'put_executor(soap_2125, sink_19)', 'walk_executor(faucet_
20)', 'switchon_executor(faucet_20)']","Time consume: 219 seconds
Exp_helper query times: 0
Guidance query times: 1
library scale: 0
goal generate times: 15
goal correct times: 0
action_num: 17
","Keystate: k1 - Requires: 4 steps
Action Completion Rate: 1.0",Scene_id: 1
cdl_dataset/dataset/Cook_some_food/g7.txt,Get a bowl of ice cream and add some jam on the top.,"['walk_executor(kitchen_counter_123)', 'walk_executor(cupboard_117)', 'walk_executor(cupboard_118)',
 'open_executor(cupboard_118)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open
_executor(fridge_126)', 'walk_executor(kitchen_counter_122)', 'walk_executor(kitchen_counter_119)', 
'walk_executor(food_ice_cream_2097)', 'grab_executor(food_ice_cream_2097)', 'walk_executor(bowl_2140
)', 'put_executor(food_ice_cream_2097, bowl_2140)', 'walk_executor(food_jam_2098)', 'grab_executor(f
ood_jam_2098)', 'walk_executor(bowl_2140)', 'put_executor(food_jam_2098, bowl_2140)']","Time consume: 105 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 17
","Keystate: k1 - Requires: 7 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Clean_the_bathroom/g3.txt,Wipe the toilet with toilet paper. Then throw it into the toilet.,"['walk_executor(bathroom_counter_18)', 'walk_executor(bathroom_cabinet_17)', 'open_executor(bathroom
_cabinet_17)', 'walk_executor(toilet_15)', 'open_executor(toilet_15)', 'walk_executor(toilet_paper_2
076)', 'grab_executor(toilet_paper_2076)', 'walk_executor(toilet_15)', 'putin_executor(toilet_paper_
2076, toilet_15)', 'grab_executor(toilet_paper_2076)', 'wipe_executor(toilet_15)', 'putin_executor(t
oilet_paper_2076, toilet_15)']","Time consume: 92 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 3
goal correct times: 0
action_num: 12
",1,Scene_id: 1
cdl_dataset/dataset/Cook_some_food/g9.txt,Make some French fries.,"['walk_executor(kitchen_counter_123)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)'
, 'open_executor(fridge_126)', 'grab_executor(food_potato_2107)', 'walk_executor(cutting_board_2123)
', 'put_executor(food_potato_2107, cutting_board_2123)', 'walk_executor(knife_2035)', 'grab_executor
(knife_2035)', 'walk_executor(food_potato_2107)', 'cut_executor(food_potato_2107)', 'walk_executor(c
upboard_117)', 'walk_executor(food_potato_2107)', 'cut_executor(food_potato_2107)', 'walk_executor(s
tove_2135)', 'open_executor(stove_2135)', 'walk_executor(food_potato_2107)', 'cut_executor(food_pota
to_2107)', 'walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_executor(food_potato_
2107)', 'cut_executor(food_potato_2107)', 'walk_executor(door_38)', 'walk_executor(food_potato_2107)
', 'cut_executor(food_potato_2107)', 'walk_executor(walllamp_141)', 'walk_executor(food_potato_2107)
', 'cut_executor(food_potato_2107)', 'walk_executor(kitchen_counter_122)', 'walk_executor(food_potat
o_2107)', 'cut_executor(food_potato_2107)', 'walk_executor(oil_2149)', 'grab_executor(oil_2149)', 'w
alk_executor(fryingpan_2154)', 'putin_executor(oil_2149, fryingpan_2154)', 'walk_executor(stove_2135
)', 'switchon_executor(stove_2135)', 'walk_executor(food_potato_2107)', 'grab_executor(food_potato_2
107)', 'walk_executor(fryingpan_2154)', 'putin_executor(food_potato_2107, fryingpan_2154)']","Time consume: 227 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 4
goal correct times: 0
action_num: 41
","Keystate: k1 - Requires: 13 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Write_an_email/g1.txt,Turn on the computer in home office.,"['walk_executor(computer_276)', 'switchon_executor(computer_276)']","Time consume: 17 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 2
","Keystate: k1 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 1
cdl_dataset/dataset/Prepare_breakfast/g2.txt,Scramble egg by the fryingpan.,"['walk_executor(stove_2135)', 'switchon_executor(stove_2135)', 'walk_executor(kitchen_counter_123)',
 'walk_executor(cupboard_117)', 'walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_
executor(table_199)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open_executor(
fridge_126)', 'walk_executor(microwave_135)', 'open_executor(microwave_135)', 'walk_executor(food_eg
g_2092)', 'grab_executor(food_egg_2092)', 'walk_executor(fryingpan_2154)', 'putin_executor(food_egg_
2092, fryingpan_2154)', 'walk_executor(wooden_spoon_2000)', 'grab_executor(wooden_spoon_2000)', 'wal
k_executor(stove_2135)', 'switchoff_executor(stove_2135)', 'switchon_executor(stove_2135)', 'walk_ex
ecutor(fryingpan_2154)']","Time consume: 212 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 10
goal correct times: 0
action_num: 22
","Keystate: k1 - Requires: 7 steps
Keystate: k2 - Requires: 10 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Wash_clothes/g4.txt,"First, hand wash the underwear with soap in the sink in the bathroom, then put it in the washing mac
hine, add some detergent for a thorough clean.","['walk_executor(basket_for_clothes_2078)', 'walk_executor(bathroom_counter_18)', 'walk_executor(bed_
197)', 'walk_executor(clothes_underwear_2121)', 'grab_executor(clothes_underwear_2121)', 'walk_execu
tor(faucet_20)', 'switchon_executor(faucet_20)', 'wash_executor(clothes_underwear_2121)', 'switchoff
_executor(faucet_20)', 'walk_executor(washing_machine_2079)', 'open_executor(washing_machine_2079)',
 'putin_executor(clothes_underwear_2121, washing_machine_2079)', 'walk_executor(bathroom_cabinet_17)
', 'open_executor(bathroom_cabinet_17)', 'walk_executor(light_39)', 'walk_executor(cupboard_117)', '
walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_executor(sink_19)', 'walk_executo
r(detergent_2155)', 'grab_executor(detergent_2155)', 'walk_executor(washing_machine_2079)', 'putin_e
xecutor(detergent_2155, washing_machine_2079)']","Time consume: 184 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 3
goal correct times: 0
action_num: 23
","Keystate: k1 - Requires: 6 steps
Keystate: k2 - Requires: 3 steps
Action Completion Rate: 1.0",Scene_id: 1
cdl_dataset/dataset/Cook_some_food/g2.txt,slice some chicken,"['walk_executor(kitchen_counter_119)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)'
, 'open_executor(fridge_126)', 'grab_executor(food_chicken_2089)', 'walk_executor(cutting_board_2123
)', 'put_executor(food_chicken_2089, cutting_board_2123)', 'walk_executor(knifeblock_76)', 'walk_exe
cutor(cupboard_117)', 'walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'grab_executor(k
nife_2037)', 'walk_executor(food_chicken_2089)', 'cut_executor(food_chicken_2089)']","Time consume: 82 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 0
goal generate times: 1
goal correct times: 0
action_num: 14
","Keystate: k1 - Requires: 1 steps
Action Completion Rate: 1.0",Scene_id: 1
cdl_dataset/dataset/Drink/g4.txt,Get a cup of milk and heat it by microwave.,"['walk_executor(kitchen_counter_123)', 'walk_executor(cupboard_117)', 'walk_executor(cupboard_118)',
 'open_executor(cupboard_118)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open
_executor(fridge_126)', 'walk_executor(kitchen_counter_119)', 'walk_executor(microwave_135)', 'open_
executor(microwave_135)', 'walk_executor(table_114)', 'walk_executor(milk_2115)', 'grab_executor(mil
k_2115)', 'walk_executor(cup_2132)', 'putin_executor(milk_2115, cup_2132)', 'grab_executor(cup_2132)
', 'walk_executor(microwave_135)', 'putin_executor(cup_2132, microwave_135)', 'close_executor(microw
ave_135)', 'switchon_executor(microwave_135)']","Time consume: 144 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 3
goal correct times: 0
action_num: 20
",1,Scene_id: 1
cdl_dataset/dataset/Prepare_dinner/g3.txt,Cook bacon with the frying pan.,"['walk_executor(kitchen_counter_123)', 'walk_executor(cupboard_117)', 'walk_executor(cupboard_118)',
 'open_executor(cupboard_118)', 'walk_executor(stove_2135)', 'open_executor(stove_2135)', 'walk_exec
utor(oven_127)', 'open_executor(oven_127)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_
126)', 'open_executor(fridge_126)', 'walk_executor(kitchen_counter_122)', 'walk_executor(fryingpan_2
154)', 'grab_executor(fryingpan_2154)', 'walk_executor(stove_2135)', 'put_executor(fryingpan_2154, s
tove_2135)', 'walk_executor(food_bacon_2082)', 'grab_executor(food_bacon_2082)', 'walk_executor(fryi
ngpan_2154)', 'putin_executor(food_bacon_2082, fryingpan_2154)', 'walk_executor(stove_2135)', 'switc
hon_executor(stove_2135)']","Time consume: 135 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 0
goal generate times: 2
goal correct times: 0
action_num: 22
","Keystate: k1 - Requires: 4 steps
Action Completion Rate: No actions required",Scene_id: 1
