Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Prepare_breakfast/g4.txt,Syntax Error,"['walk_executor(cupboard_118)', 'open_executor(cupboard_118)']","Time consume: 233 seconds
Exp_helper query times: 0
Guidance query times: 2
library scale: 0","Keystate: k1 - Requires: 14 steps
Keystate: k2 - Requires: 15 steps
Keystate: k3 - Requires: 11 steps
Keystate: k4 - Requires: 11 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Listen_to_music/g2.txt,Turn on the dvd player with remote control.,"['walk_executor(tvstand_353)', 'walk_executor(dvd_player_2061)', 'walk_executor(remote_control_2052)
', 'grab_executor(remote_control_2052)', 'walk_executor(dvd_player_2061)', 'plugin_executor(dvd_play
er_2061)', 'switchon_executor(dvd_player_2061)', 'touch_executor(remote_control_2052)']","Time consume: 46 seconds
Exp_helper query times: 0
Guidance query times: 1
library scale: 1",1,Scene_id: 0
cdl_dataset/dataset/make_up_bed/g3.txt,Prepare a cup of water on the nightstand.,"['walk_executor(nightstand_102)', 'walk_executor(nightstand_100)', 'open_executor(nightstand_100)', 
'walk_executor(table_107)', 'walk_executor(table_226)', 'walk_executor(table_355)', 'walk_executor(c
losetdrawer_120)', 'walk_executor(kitchen_counter_230)', 'walk_executor(cup_2063)', 'grab_executor(c
up_2063)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_43
)', 'walk_executor(nightstand_100)', 'put_executor(cup_2063, nightstand_100)']","Time consume: 43 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 2",1,Scene_id: 0
cdl_dataset/dataset/Listen_to_music/g1.txt,Turn on the cd player.,"['walk_executor(table_107)', 'walk_executor(nightstand_102)', 'walk_executor(nightstand_100)', 'open
_executor(nightstand_100)', 'walk_executor(wallshelf_235)', 'walk_executor(wallshelf_234)', 'walk_ex
ecutor(bookshelf_233)', 'open_executor(bookshelf_233)', 'walk_executor(tvstand_225)', 'walk_executor
(cd_player_2060)', 'plugin_executor(cd_player_2060)', 'switchon_executor(cd_player_2060)']","Time consume: 43 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 2","Keystate: k1 - Requires: 8 steps
Keystate: k2 - Requires: 4 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Pet_cat/g5.txt,Shower my cat in the bathtub. Use towel to dry my cat.,['walk_executor(couch_352)'],"Time consume: 186 seconds
Exp_helper query times: 0
Guidance query times: 3
library scale: 2","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 2 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Pet_cat/g5.txt,Syntax Error,['walk_executor(couch_192)'],"Time consume: 254 seconds
Exp_helper query times: 0
Guidance query times: 4
library scale: 2","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 2 steps
Action Completion Rate: 0.0",Scene_id: 2
cdl_dataset/dataset/Put_groceries_in_Fridge/g4.txt,"Cut the chicken into pieces, then put back to the fridge.","['walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'close_
executor(fridge_140)', 'walk_executor(kitchen_counter_129)', 'walk_executor(kitchen_counter_132)', '
walk_executor(kitchen_counter_128)', 'walk_executor(fridge_140)', 'open_executor(fridge_140)', 'walk
_executor(food_chicken_2050)', 'grab_executor(food_chicken_2050)', 'walk_executor(cutting_board_2080
)', 'put_executor(food_chicken_2050, cutting_board_2080)', 'walk_executor(knifeblock_52)', 'walk_exe
cutor(window_40)', 'open_executor(window_40)', 'walk_executor(photoframe_361)', 'walk_executor(curta
in_199)', 'open_executor(curtain_199)', 'walk_executor(dishwasher_143)', 'open_executor(dishwasher_1
43)', 'grab_executor(knife_2036)', 'walk_executor(food_chicken_2050)', 'cut_executor(food_chicken_20
50)', 'grab_executor(food_chicken_2050)', 'walk_executor(fridge_140)', 'putin_executor(food_chicken_
2050, fridge_140)', 'close_executor(fridge_140)']","Time consume: 183 seconds
Exp_helper query times: 1
Guidance query times: 2
library scale: 3",1,Scene_id: 2
cdl_dataset/dataset/Pet_cat/g3.txt,"Prepare a bowl of water and put the bowl on the table in home office. Then find my cat put it on the
 table.","['walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_executor(cupboard_117)', 'walk_
executor(kitchen_counter_122)', 'walk_executor(kitchen_counter_123)', 'walk_executor(sink_120)', 'wa
lk_executor(bowl_2140)', 'grab_executor(bowl_2140)', 'walk_executor(sink_19)', 'putin_executor(bowl_
2140, sink_19)', 'walk_executor(faucet_20)', 'switchon_executor(faucet_20)', 'walk_executor(bowl_214
0)', 'grab_executor(bowl_2140)', 'walk_executor(faucet_20)', 'switchoff_executor(faucet_20)', 'switc
hon_executor(faucet_20)', 'switchoff_executor(faucet_20)', 'walk_executor(table_270)', 'put_executor
(bowl_2140, table_270)', 'walk_executor(cat_2069)', 'grab_executor(cat_2069) (Failed)', 'open_execut
or(dresser_274)', 'grab_executor(cat_2069)', 'walk_executor(table_270)', 'put_executor(cat_2069, tab
le_270)']","Time consume: 153 seconds
Exp_helper query times: 0
Guidance query times: 2
library scale: 6",1,Scene_id: 1
cdl_dataset/dataset/Change_TV_channel/g3.txt,"Sitting on the couch, then turn on the TV with the remote control.","['walk_executor(couch_352)', 'sit_executor(couch_352)', 'standup_executor(char)', 'walk_executor(rem
ote_control_2052)', 'grab_executor(remote_control_2052)', 'touch_executor(remote_control_2052)', 'st
andup_executor(char) (Failed)', 'touch_executor(remote_control_2052)', 'walk_executor(television_248
)', 'switchon_executor(television_248)']","Time consume: 171 seconds
Exp_helper query times: 0
Guidance query times: 3
library scale: 8",1,Scene_id: 0
