Task Category,Content,Executed Actions,Info,Success Rate,Task Path
cdl_dataset/dataset/Prepare_breakfast/g4.txt,Syntax Error,"['walk_executor(stove_2135)', 'switchon_executor(stove_2135)', 'walk_executor(kitchen_counter_123)',
 'walk_executor(pot_2138)', 'grab_executor(pot_2138)', 'walk_executor(faucet_20)', 'switchon_executo
r(faucet_20)', 'switchoff_executor(faucet_20)', 'walk_executor(cupboard_117)', 'walk_executor(desk_2
72)', 'walk_executor(window_191)', 'open_executor(window_191)', 'walk_executor(cupboard_118)', 'open
_executor(cupboard_118)', 'walk_executor(bowl_2140)', 'walk_executor(fridge_126)', 'switchoff_execut
or(fridge_126)', 'open_executor(fridge_126)', 'walk_executor(table_114)', 'open_executor(pot_2138)',
 'walk_executor(dry_pasta_2114)', 'grab_executor(dry_pasta_2114)', 'walk_executor(pot_2138)', 'putin
_executor(dry_pasta_2114, pot_2138)']","Time consume: 1038 seconds
Exp_helper query times: 1
Guidance query times: 2
library scale: 0","Keystate: k1 - Requires: 2 steps
Keystate: k2 - Requires: 11 steps
Keystate: k3 - Requires: 7 steps
Keystate: k4 - Requires: 7 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Listen_to_music/g2.txt,Turn on the dvd player with remote control.,"['walk_executor(tvstand_225)', 'walk_executor(tvstand_353)', 'walk_executor(dvd_player_2061)', 'plug
in_executor(dvd_player_2061)', 'switchon_executor(dvd_player_2061)', 'walk_executor(remote_control_2
052)', 'grab_executor(remote_control_2052)', 'walk_executor(dvd_player_2061)', 'touch_executor(remot
e_control_2052)']","Time consume: 272 seconds
Exp_helper query times: 0
Guidance query times: 1
library scale: 1",1,Scene_id: 0
cdl_dataset/dataset/make_up_bed/g3.txt,Prepare a cup of water on the nightstand.,"['walk_executor(coffee_table_2068)', 'walk_executor(table_226)', 'walk_executor(desk_357)', 'walk_ex
ecutor(nightstand_102)', 'walk_executor(nightstand_100)', 'open_executor(nightstand_100)', 'walk_exe
cutor(table_355)', 'walk_executor(kitchen_counter_230)', 'walk_executor(cup_2063)', 'grab_executor(c
up_2063)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_43
)', 'walk_executor(nightstand_100)', 'put_executor(cup_2063, nightstand_100)']","Time consume: 174 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 2",1,Scene_id: 0
cdl_dataset/dataset/Listen_to_music/g1.txt,Turn on the cd player.,"['walk_executor(tvstand_225)', 'walk_executor(cd_player_2060)', 'plugin_executor(cd_player_2060)', '
switchon_executor(cd_player_2060)']","Time consume: 52 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 2","Keystate: k1 - Requires: 8 steps
Keystate: k2 - Requires: 4 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Pet_cat/g5.txt,Shower my cat in the bathtub. Use towel to dry my cat.,"['walk_executor(bathroom_1)', 'walk_executor(bedroom_67)', 'walk_executor(couch_352)', 'walk_executo
r(bathtub_30)']","Time consume: 765 seconds
Exp_helper query times: 0
Guidance query times: 3
library scale: 2","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 2 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Pet_cat/g5.txt,Syntax Error,[],"Time consume: 110 seconds
Exp_helper query times: 0
Guidance query times: 1
library scale: 2","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 2 steps
Action Completion Rate: 0.0",Scene_id: 2
cdl_dataset/dataset/Put_groceries_in_Fridge/g4.txt,Syntax Error,[],"Time consume: 71 seconds
Exp_helper query times: 0
Guidance query times: 1
library scale: 2","Keystate: k1 - Requires: 13 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Pet_cat/g3.txt,"Prepare a bowl of water and put the bowl on the table in home office. Then find my cat put it on the
 table.","['walk_executor(cupboard_117)', 'walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_
executor(kitchen_counter_119)', 'walk_executor(bowl_2140)', 'grab_executor(bowl_2140)', 'walk_execut
or(faucet_20)', 'switchon_executor(faucet_20)', 'switchoff_executor(faucet_20)', 'walk_executor(tabl
e_270)', 'put_executor(bowl_2140, table_270)', 'walk_executor(cat_2069)', 'grab_executor(cat_2069) (
Failed)', 'open_executor(dresser_274)', 'grab_executor(cat_2069)', 'walk_executor(table_270)', 'put_
executor(cat_2069, table_270)']","Time consume: 125 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 4",1,Scene_id: 1
cdl_dataset/dataset/Change_TV_channel/g3.txt,"Sitting on the couch, then turn on the TV with the remote control.","['walk_executor(couch_352)', 'sit_executor(couch_352)', 'standup_executor(char)', 'walk_executor(rem
ote_control_2052)', 'grab_executor(remote_control_2052)', 'standup_executor(char) (Failed)', 'walk_e
xecutor(television_248)', 'switchon_executor(television_248)']","Time consume: 45 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 4","Keystate: k1 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 0
cdl_dataset/dataset/Prepare_dinner/g3.txt,Cook bacon.,"['walk_executor(stove_2090)', 'open_executor(stove_2090)', 'walk_executor(fridge_140)', 'switchoff_e
xecutor(fridge_140)', 'open_executor(fridge_140)', 'grab_executor(food_bacon_2044)', 'walk_executor(
fryingpan_2107)', 'putin_executor(food_bacon_2044, fryingpan_2107)', 'grab_executor(fryingpan_2107)'
, 'walk_executor(stove_2090)', 'put_executor(fryingpan_2107, stove_2090)', 'close_executor(stove_209
0)', 'switchon_executor(stove_2090)']","Time consume: 45 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 4","Keystate: k1 - Requires: 4 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Clean_the_bathroom/g1.txt,Clean the bathroom sink directly.,"['walk_executor(sink_19)', 'wash_executor(sink_19)']","Time consume: 21 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 5",1,Scene_id: 1
cdl_dataset/dataset/Turn_on_light/g3.txt,Make sure there is at least one light on in every room.,"['walk_executor(dining_room_1)', 'walk_executor(home_office_161)', 'walk_executor(bedroom_220)', 'wa
lk_executor(bathroom_265)', 'walk_executor(bedroom_327)', 'walk_executor(dining_room_1)', 'walk_exec
utor(light_49)', 'switchon_executor(light_49)', 'walk_executor(home_office_161)', 'walk_executor(lig
ht_217)', 'switchon_executor(light_217)', 'walk_executor(bedroom_220)', 'walk_executor(light_258)', 
'switchon_executor(light_258)', 'walk_executor(bathroom_265)', 'walk_executor(light_325)', 'switchon
_executor(light_325)', 'walk_executor(bedroom_327)', 'walk_executor(light_384)', 'switchon_executor(
light_384)']","Time consume: 159 seconds
Exp_helper query times: 0
Guidance query times: 1
library scale: 7",1,Scene_id: 2
cdl_dataset/dataset/Iron_clothes/g5.txt,Iron the shirt and the skirt.,"['walk_executor(ironing_board_2144)', 'walk_executor(walllamp_306)', 'walk_executor(cupboard_117)', 
'walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_executor(light_39)', 'walk_execu
tor(kitchen_counter_119)', 'walk_executor(bowl_2142)', 'walk_executor(iron_2161)', 'plugin_executor(
iron_2161)', 'walk_executor(bed_197)', 'walk_executor(nightstand_192)', 'walk_executor(headset_2146)
', 'walk_executor(dresser_274)', 'open_executor(dresser_274)', 'walk_executor(powersocket_282)', 'wa
lk_executor(washing_machine_2079)', 'open_executor(washing_machine_2079)', 'walk_executor(clothes_sc
arf_2120)', 'walk_executor(tvstand_273)', 'walk_executor(bench_113)', 'walk_executor(walllamp_307)',
 'walk_executor(shoes_2033)', 'walk_executor(ceilinglamp_303)', 'walk_executor(bookshelf_275)', 'wal
k_executor(bookshelf_124)', 'open_executor(bookshelf_124)', 'walk_executor(desk_193)', 'walk_executo
r(toaster_132)', 'walk_executor(table_270)', 'walk_executor(table_114)', 'walk_executor(chair_194)',
 'walk_executor(chair_271)', 'walk_executor(ceilinglamp_137)', 'walk_executor(door_61)', 'walk_execu
tor(walllamp_141)', 'walk_executor(bench_115)', 'walk_executor(bathroom_cabinet_17)', 'open_executor
(bathroom_cabinet_17)', 'walk_executor(pillow_104)', 'walk_executor(nightstand_195)', 'open_executor
(nightstand_195)', 'walk_executor(keyboard_278)', 'walk_executor(fridge_126)', 'switchoff_executor(f
ridge_126)', 'open_executor(fridge_126)', 'walk_executor(basket_for_clothes_2078)', 'grab_executor(c
lothes_shirt_2158)', 'walk_executor(ironing_board_2144)', 'put_executor(clothes_shirt_2158, ironing_
board_2144)', 'walk_executor(iron_2161)', 'switchon_executor(iron_2161)', 'walk_executor(clothes_shi
rt_2158)', 'wash_executor(clothes_shirt_2158)', 'walk_executor(clothes_skirt_2160)', 'grab_executor(
clothes_skirt_2160)', 'walk_executor(ironing_board_2144)', 'put_executor(clothes_skirt_2160, ironing
_board_2144)', 'walk_executor(clothes_skirt_2160)', 'wash_executor(clothes_skirt_2160)', 'walk_execu
tor(iron_2161)', 'walk_executor(clothes_shirt_2158)', 'grab_executor(clothes_shirt_2158)', 'walk_exe
cutor(ironing_board_2144)', 'put_executor(clothes_shirt_2158, ironing_board_2144)', 'grab_executor(c
lothes_skirt_2160)', 'put_executor(clothes_skirt_2160, ironing_board_2144)']","Time consume: 761 seconds
Exp_helper query times: 6
Guidance query times: 1
library scale: 7","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 4 steps
Action Completion Rate: 0.0",Scene_id: 1
cdl_dataset/dataset/Clean_the_bathroom/g1.txt,Clean the bathroom sink directly.,"['walk_executor(sink_42)', 'wash_executor(sink_42)']","Time consume: 26 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 8",1,Scene_id: 0
cdl_dataset/dataset/Drink/g2.txt,Get a cup of water and freeze it.,"['walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(tray_296)', 'walk_exec
utor(stove_2065)', 'open_executor(stove_2065)', 'walk_executor(cup_2063)', 'grab_executor(cup_2063)'
, 'walk_executor(sink_42)', 'putin_executor(cup_2063, sink_42)', 'walk_executor(faucet_43)', 'switch
on_executor(faucet_43)', 'walk_executor(cup_2063)', 'grab_executor(cup_2063)', 'walk_executor(faucet
_43)', 'switchoff_executor(faucet_43)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)
', 'open_executor(fridge_289)', 'putin_executor(cup_2063, fridge_289)']","Time consume: 70 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 10",1,Scene_id: 0
cdl_dataset/dataset/Prepare_a_reading_space/g2.txt,Find the book and put it on the table in bedroom. Then turn on the light in the bedroom.,"['walk_executor(bookshelf_136)', 'walk_executor(bookshelf_137)', 'open_executor(bookshelf_137)', 'wa
lk_executor(bookshelf_188)', 'open_executor(bookshelf_188)', 'walk_executor(bookshelf_189)', 'open_e
xecutor(bookshelf_189)', 'walk_executor(bookshelf_260)', 'open_executor(bookshelf_260)', 'walk_execu
tor(bookshelf_372)', 'open_executor(bookshelf_372)']","Time consume: 526 seconds
Exp_helper query times: 0
Guidance query times: 3
library scale: 10","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 2 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Prepare_breakfast/g3.txt,Boil egg.,"['walk_executor(cupboard_117)', 'walk_executor(cupboard_118)', 'open_executor(cupboard_118)', 'walk_
executor(stove_2135)', 'open_executor(stove_2135)', 'walk_executor(fridge_126)', 'switchoff_executor
(fridge_126)', 'open_executor(fridge_126)', 'walk_executor(pot_2138)', 'open_executor(pot_2138)', 'w
alk_executor(food_egg_2092)', 'grab_executor(food_egg_2092)', 'walk_executor(pot_2138)', 'putin_exec
utor(food_egg_2092, pot_2138)', 'grab_executor(pot_2138)', 'walk_executor(faucet_20)', 'switchon_exe
cutor(faucet_20)', 'switchoff_executor(faucet_20)', 'walk_executor(stove_2135)', 'close_executor(sto
ve_2135)', 'switchon_executor(stove_2135)']","Time consume: 53 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 10","Keystate: k1 - Requires: 1 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Turn_on_light/g2.txt,Turn on the lights in the bedroom. Then turn on the lights in the bathroom.,"['walk_executor(light_258)', 'switchon_executor(light_258)', 'walk_executor(light_325)', 'switchon_e
xecutor(light_325)']","Time consume: 36 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 12",1,Scene_id: 2
