Goal Representation,Debug Result,Action,Add Info,LLM Answer,Plan
Cook rice.,,,,,
"['1. Measure and rinse the rice.', '2. Add the rice and water to the rice cooker or pan.', '3. Cook 
the rice until done.']",,,,,
"behavior measure_rice(rice:item, container:item):
    body:
        achieve inside(rice, container)

behavior rinse_rice(rice:item, sink:item):
    body:
        achieve_once inside(rice, sink)
        rinse(rice)

behavior __goal__():
    body:
        bind rice: item where:
            is_food_rice(rice)

        bind container: item where:
            movable(container) and surfaces(container) and recipient(container)

        bind sink: item where:
            is_sink(sink)

        measure_rice(rice, container)
        rinse_rice(rice, sink)",,,,,[]
"['1. Find the rice and the necessary cooking equipment.', '2. Wash the rice.', '3. Cook the rice usi
ng the chosen method.']",,,,,
" 
behavior find_rice():
    body:
        foreach item: item:
            if is_food_rice(item) and not visited(item):
                observe(item, ""Is this rice"")
                achieve close_char(char, item)

behavior find_cooking_equipment():
    body:
        foreach item: item:
            if not visited(item):
                observe(item, ""Is this necessary cooking equipment for cooking rice"")
                achieve close_char(char, item)

behavior __goal__():
    body:
        find_rice()
        find_cooking_equipment()
",,,,,[]
"['1. Find the rice and necessary cooking equipment.', '2. Measure and wash the rice.', '3. Cook the 
rice.']",,,,,
"
behavior find_rice():
    body:
        foreach item: item:
            if is_food_rice(item) and not visited(item):
                observe(item, ""Check if this is rice"")

behavior find_cooking_equipment():
    body:
        foreach item: item:
            if (is_pot(item) or is_stove(item)) and not visited(item):
                observe(item, ""Check if this is the needed cooking equipment"")

behavior __goal__():
    body:
        find_rice()
        find_cooking_equipment()
",,,,,"['walk_executor(kitchen_counter_230); exp(food_rice_2036, kitchen_counter_230); walk_executor(food_r
ice_2036); obs(food_rice_2036, Check if this is rice); walk_executor(stove_2065); obs(stove_2065, Ch
eck if this is the needed cooking equipment); walk_executor(kitchen_counter_230); exp(pot_2069, kitc
hen_counter_230); walk_executor(pot_2069); obs(pot_2069, Check if this is the needed cooking equipme
nt); walk_executor(oven_295); obs(oven_295, Check if this is the needed cooking equipment)']"
,,,,,"(CrowControllerApplier<walk_executor(kitchen_counter_230)>, CrowControllerApplier<exp(food_rice_2036
, kitchen_counter_230)>, CrowControllerApplier<walk_executor(food_rice_2036)>, CrowControllerApplier
<obs(food_rice_2036, Check if this is rice)>, CrowControllerApplier<walk_executor(stove_2065)>, Crow
ControllerApplier<obs(stove_2065, Check if this is the needed cooking equipment)>, CrowControllerApp
lier<walk_executor(kitchen_counter_230)>, CrowControllerApplier<exp(pot_2069, kitchen_counter_230)>,
 CrowControllerApplier<walk_executor(pot_2069)>, CrowControllerApplier<obs(pot_2069, Check if this i
s the needed cooking equipment)>, CrowControllerApplier<walk_executor(oven_295)>, CrowControllerAppl
ier<obs(oven_295, Check if this is the needed cooking equipment)>)"
,,walk_executor(kitchen_counter_230),"Find cup_2064. Find cup_2063. Find drawing_239. Find tray_296. Find cutting_board_2051. Find knife_2
050. Find pot_2069. Find napkin_2005. Find drawing_238. Find drawing_240. Find drawing_241. Find dra
wing_242. Find drawing_243. Robot is inside dining_room_201. Robot is close kitchen_counter_230. Rob
ot is no longer inside bathroom_1.",,
,,"exp(food_rice_2036, kitchen_counter_230)",Failed to find food_rice_2036 around kitchen_counter_230. ,,
,,,,,"(CrowControllerApplier<walk_executor(cupboard_229)>, CrowControllerApplier<exp(food_rice_2036, cupbo
ard_229)>, CrowControllerApplier<walk_executor(food_rice_2036)>, CrowControllerApplier<obs(food_rice
_2036, Check if this is rice)>, CrowControllerApplier<walk_executor(stove_2065)>, CrowControllerAppl
ier<obs(stove_2065, Check if this is the needed cooking equipment)>, CrowControllerApplier<walk_exec
utor(pot_2069)>, CrowControllerApplier<obs(pot_2069, Check if this is the needed cooking equipment)>
, CrowControllerApplier<walk_executor(oven_295)>, CrowControllerApplier<obs(oven_295, Check if this 
is the needed cooking equipment)>)"
